energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.16534501,0.02591422,0.06100770,0.00818203,0.42400891,0.14390683,0.12510650,0.36002148,0.25773172
-5.99399700,1.16438992,0.02557779,0.06153639,0.00833161,0.42427830,0.14584951,0.12360762,0.36103834,0.25652981
-5.98799400,1.16196409,0.02547840,0.06173369,0.00847911,0.42426050,0.14820251,0.12226153,0.36063923,0.25494494
-5.98199100,1.15825209,0.02561856,0.06160924,0.00862622,0.42399540,0.15097039,0.12107594,0.35886149,0.25303977
-5.97598799,1.15347707,0.02599513,0.06118168,0.00877451,0.42352742,0.15414974,0.12005399,0.35577751,0.25088904
-5.96998499,1.14788750,0.02659927,0.06047769,0.00892532,0.42290169,0.15772781,0.11919348,0.35149092,0.24857611
-5.96398199,1.14174280,0.02741638,0.05953081,0.00907963,0.42216008,0.16168134,0.11848633,0.34613148,0.24618896
-5.95797899,1.13529833,0.02842638,0.05837996,0.00923794,0.42133731,0.16597576,0.11791826,0.33984920,0.24381606
-5.95197599,1.12879046,0.02960405,0.05706781,0.00940020,0.42045746,0.17056473,0.11746865,0.33280771,0.24154214
-5.94597299,1.12242262,0.03091961,0.05563899,0.00956573,0.41953090,0.17539004,0.11711081,0.32517736,0.23944405
-5.93996998,1.11635290,0.03233939,0.05413835,0.00973315,0.41855215,0.18038214,0.11681237,0.31712825,0.23758699
-5.93396698,1.11068403,0.03382664,0.05260917,0.00990044,0.41749845,0.18546099,0.11653614,0.30882358,0.23602115
-5.92796398,1.10545632,0.03534251,0.05109154,0.01006487,0.41632962,0.19053757,0.11624112,0.30041361,0.23477913
-5.92196098,1.10064393,0.03684700,0.04962092,0.01022313,0.41498884,0.19551581,0.11588383,0.29203053,0.23387410
-5.91595798,1.09615488,0.03830004,0.04822699,0.01037139,0.41340467,0.20029503,0.11541983,0.28378443,0.23329892
-5.90995498,1.09183477,0.03966253,0.04693270,0.01050543,0.41149411,0.20477272,0.11480543,0.27576052,0.23302626
-5.90395198,1.08747405,0.04089740,0.04575381,0.01062077,0.40916655,0.20884769,0.11399937,0.26801781,0.23300965
-5.89794897,1.08281866,0.04197055,0.04469862,0.01071288,0.40632848,0.21242332,0.11296466,0.26058908,0.23318559
-5.89194597,1.07758331,0.04285180,0.04376816,0.01077732,0.40288870,0.21541100,0.11167019,0.25348219,0.23347643
-5.88594297,1.07146683,0.04351555,0.04295669,0.01080992,0.39876371,0.21773333,0.11009225,0.24668268,0.23379402
-5.87993997,1.06416883,0.04394151,0.04225245,0.01080702,0.39388305,0.21932723,0.10821581,0.24015729,0.23404390
-5.87393697,1.05540670,0.04411503,0.04163871,0.01076560,0.38819429,0.22014659,0.10603540,0.23385837,0.23412982
-5.86793397,1.04493212,0.04402744,0.04109499,0.01068342,0.38166731,0.22016451,0.10355579,0.22772874,0.23395832
-5.86193097,1.03254629,0.04367612,0.04059843,0.01055921,0.37429784,0.21937480,0.10079207,0.22170696,0.23344332
-5.85592796,1.01811302,0.04306432,0.04012516,0.01039272,0.36610986,0.21779296,0.09776951,0.21573248,0.23251019
-5.84992496,1.00156907,0.04220096,0.03965173,0.01018480,0.35715682,0.21545631,0.09452288,0.20975064,0.23109942
-5.84392196,0.98293135,0.04110012,0.03915646,0.00993748,0.34752169,0.21242334,0.09109552,0.20371717,0.22916944
-5.83791896,0.96230045,0.03978047,0.03862055,0.00965394,0.33731574,0.20877243,0.08753796,0.19760196,0.22669868
-5.83191596,0.93986062,0.03826456,0.03802918,0.00933848,0.32667620,0.20459971,0.08390637,0.19139216,0.22368658
-5.82591296,0.91587609,0.03657805,0.03737224,0.00899650,0.31576282,0.20001643,0.08026084,0.18509424,0.22015371
-5.81990995,0.89068400,0.03474888,0.03664489,0.00863441,0.30475364,0.19514575,0.07666346,0.17873515,0.21614082
-5.81390695,0.86468444,0.03280639,0.03584785,0.00825953,0.29384008,0.19011914,0.07317650,0.17236247,0.21170707
-5.80790395,0.83832794,0.03078053,0.03498738,0.00787997,0.28322158,0.18507250,0.06986056,0.16604365,0.20692736
-5.80190095,0.81210118,0.02870102,0.03407509,0.00750453,0.27310006,0.18014229,0.06677286,0.15986436,0.20188909
-5.79589795,0.78651153,0.02659667,0.03312746,0.00714253,0.26367441,0.17546152,0.06396583,0.15392606,0.19668845
-5.78989495,0.76207100,0.02449471,0.03216518,0.00680371,0.25513516,0.17115610,0.06148579,0.14834289,0.19142632
-5.78389195,0.73928052,0.02242029,0.03121233,0.00649802,0.24765962,0.16734142,0.05937202,0.14323807,0.18620424
-5.77788894,0.71861481,0.02039601,0.03029540,0.00623553,0.24140751,0.16411930,0.05765605,0.13873988,0.18112043
-5.77188594,0.70050873,0.01844172,0.02944232,0.00602625,0.23651728,0.16157556,0.05636131,0.13497734,0.17626608
-5.76588294,0.68534519,0.01657422,0.02868134,0.00587992,0.23310309,0.15977809,0.05550302,0.13207582,0.17172224
