energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,1.62619049,0.01198080,0.06530705,0.01545443,0.00000000,0.39827820,0.79919894,0.65583501,0.00000000
-5.99399700,1.65309735,0.01208474,0.06383469,0.01533077,0.00000000,0.39126729,0.82824991,0.65422118,0.00000000
-5.98799400,1.68341178,0.01220882,0.06243404,0.01519779,0.00000000,0.38502770,0.86031552,0.65308784,0.00000000
-5.98199100,1.71732579,0.01235162,0.06114561,0.01505905,0.00000000,0.37976613,0.89545866,0.65257154,0.00000000
-5.97598799,1.75490888,0.01251075,0.06000565,0.01491772,0.00000000,0.37565674,0.93366008,0.65277708,0.00000000
-5.96998499,1.79610557,0.01268297,0.05904534,0.01477654,0.00000000,0.37283763,0.97481582,0.65377668,0.00000000
-5.96398199,1.84073868,0.01286427,0.05829022,0.01463789,0.00000000,0.37140923,1.01873830,0.65561079,0.00000000
-5.95797899,1.88851811,0.01305004,0.05775999,0.01450378,0.00000000,0.37143433,1.06516087,0.65829055,0.00000000
-5.95197599,1.93905456,0.01323524,0.05746867,0.01437600,0.00000000,0.37293976,1.11374562,0.66180143,0.00000000
-5.94597299,1.99187722,0.01341454,0.05742493,0.01425613,0.00000000,0.37591948,1.16409384,0.66610799,0.00000000
-5.93996998,2.04645433,0.01358252,0.05763279,0.01414572,0.00000000,0.38033877,1.21575861,0.67115917,0.00000000
-5.93396698,2.10221538,0.01373383,0.05809233,0.01404632,0.00000000,0.38613921,1.26825872,0.67689393,0.00000000
-5.92796398,2.15857363,0.01386337,0.05880067,0.01395958,0.00000000,0.39324406,1.32109314,0.68324666,0.00000000
-5.92196098,2.21494760,0.01396642,0.05975283,0.01388730,0.00000000,0.40156375,1.37375527,0.69015223,0.00000000
-5.91595798,2.27078037,0.01403883,0.06094263,0.01383151,0.00000000,0.41100093,1.42574605,0.69755010,0.00000000
-5.90995498,2.32555547,0.01407709,0.06236345,0.01379443,0.00000000,0.42145498,1.47658550,0.70538738,0.00000000
-5.90395198,2.37880863,0.01407844,0.06400876,0.01377845,0.00000000,0.43282552,1.52582186,0.71362061,0.00000000
-5.89794897,2.43013483,0.01404095,0.06587254,0.01378609,0.00000000,0.44501484,1.57303817,0.72221603,0.00000000
-5.89194597,2.47919023,0.01396356,0.06794928,0.01381991,0.00000000,0.45792902,1.61785601,0.73114851,0.00000000
-5.88594297,2.52568926,0.01384608,0.07023389,0.01388235,0.00000000,0.47147780,1.65993642,0.74039897,0.00000000
-5.87993997,2.56939719,0.01368925,0.07272116,0.01397562,0.00000000,0.48557329,1.69897831,0.74995064,0.00000000
-5.87393697,2.61011884,0.01349465,0.07540513,0.01410154,0.00000000,0.50012755,1.73471470,0.75978432,0.00000000
-5.86793397,2.64768465,0.01326470,0.07827822,0.01426132,0.00000000,0.51504941,1.76690737,0.76987294,0.00000000
-5.86193097,2.68193504,0.01300258,0.08133017,0.01445544,0.00000000,0.53024081,1.79534065,0.78017595,0.00000000
-5.85592796,2.71270459,0.01271220,0.08454704,0.01468346,0.00000000,0.54559292,1.81981498,0.79063374,0.00000000
-5.84992496,2.73980734,0.01239811,0.08791015,0.01494389,0.00000000,0.56098264,1.84014116,0.80116278,0.00000000
-5.84392196,2.76302452,0.01206541,0.09139521,0.01523407,0.00000000,0.57626953,1.85613572,0.81165174,0.00000000
-5.83791896,2.78209581,0.01171967,0.09497160,0.01555014,0.00000000,0.59129393,1.86761818,0.82195901,0.00000000
-5.83191596,2.79671518,0.01136691,0.09860200,0.01588701,0.00000000,0.60587612,1.87441055,0.83191205,0.00000000
-5.82591296,2.80653183,0.01101344,0.10224231,0.01623840,0.00000000,0.61981718,1.87633926,0.84130857,0.00000000
-5.81990995,2.81115649,0.01066584,0.10584199,0.01659694,0.00000000,0.63290128,1.87323960,0.84991994,0.00000000
-5.81390695,2.81017304,0.01033087,0.10934480,0.01695435,0.00000000,0.64489971,1.86496244,0.85749649,0.00000000
-5.80790395,2.80315492,0.01001541,0.11268996,0.01730164,0.00000000,0.65557640,1.85138295,0.86377485,0.00000000
-5.80190095,2.78968540,0.00972637,0.11581367,0.01762938,0.00000000,0.66469478,1.83241062,0.86848680,0.00000000
-5.79589795,2.76938080,0.00947059,0.11865093,0.01792797,0.00000000,0.67202569,1.80800007,0.87136934,0.00000000
-5.78989495,2.74191499,0.00925479,0.12113762,0.01818802,0.00000000,0.67735586,1.77816182,0.87217551,0.00000000
-5.78389195,2.70704395,0.00908543,0.12321267,0.01840061,0.00000000,0.68049667,1.74297225,0.87068529,0.00000000
-5.77788894,2.66462872,0.00896861,0.12482028,0.01855765,0.00000000,0.68129259,1.70258206,0.86671612,0.00000000
-5.77188594,2.61465532,0.00890994,0.12591208,0.01865220,0.00000000,0.67962891,1.65722256,0.86013227,0.00000000
-5.76588294,2.55725041,0.00891439,0.12644896,0.01867866,0.00000000,0.67543822,1.60720930,0.85085277,0.00000000
-5.75987994,2.49269158,0.00898611,0.12640274,0.01863307,0.00000000,0.66870542,1.55294262,0.83885720,0.00000000
-5.75387694,2.42141173,0.00912835,0.12575733,0.01851316,0.00000000,0.65947081,1.49490506,0.82418919,0.00000000
-5.74787394,2.34399704,0.00934317,0.12450949,0.01831852,0.00000000,0.64783116,1.43365559,0.80695732,0.00000000
-5.74187094,2.26117870,0.00963142,0.12266903,0.01805054,0.00000000,0.63393867,1.36982096,0.78733343,0.00000000
-5.73586793,2.17381886,0.00999248,0.12025859,0.01771238,0.00000000,0.61799793,1.30408444,0.76554841,0.00000000
-5.72986493,2.08289143,0.01042423,0.11731285,0.01730883,0.00000000,0.60026086,1.23717267,0.74188571,0.00000000
-5.72386193,1.98945885,0.01092293,0.11387735,0.01684614,0.00000000,0.58102014,1.16984105,0.71667303,0.00000000
-5.71785893,1.89464611,0.01148318,0.11000694,0.01633175,0.00000000,0.56060129,1.10285852,0.69027250,0.00000000
-5.71185593,1.79961322,0.01209798,0.10576392,0.01577408,0.00000000,0.53935385,1.03699227,0.66307002,0.00000000
-5.70585293,1.70552751,0.01275877,0.10121605,0.01518220,0.00000000,0.51764212,0.97299312,0.63546424,0.00000000
-5.69984992,1.61353710,0.01345557,0.09643446,0.01456556,0.00000000,0.49583580,0.91158212,0.60785568,0.00000000
-5.69384692,1.52474648,0.01417721,0.09149162,0.01393372,0.00000000,0.47430095,0.85343869,0.58063659,0.00000000
-5.68784392,1.44019521,0.01491160,0.08645942,0.01329609,0.00000000,0.45339168,0.79919079,0.55418179,0.00000000
-5.68184092,1.36084023,0.01564598,0.08140745,0.01266168,0.00000000,0.43344267,0.74940707,0.52884100,0.00000000
-5.67583792,1.28754210,0.01636734,0.07640161,0.01203895,0.00000000,0.41476281,0.70459117,0.50493255,0.00000000
-5.66983492,1.22105527,0.01706279,0.07150296,0.01143563,0.00000000,0.39763001,0.66517792,0.48273889,0.00000000
-5.66383192,1.16202207,0.01771991,0.06676696,0.01085863,0.00000000,0.38228726,0.63153124,0.46250350,0.00000000
-5.65782891,1.11096991,0.01832718,0.06224303,0.01031398,0.00000000,0.36893970,0.60394348,0.44442933,0.00000000
-5.65182591,1.06831125,0.01887429,0.05797438,0.00980674,0.00000000,0.35775279,0.58263561,0.42867840,0.00000000
-5.64582291,1.03434545,0.01935247,0.05399811,0.00934106,0.00000000,0.34885132,0.56775821,0.41537236,0.00000000
-5.63981991,1.00926183,0.01975472,0.05034558,0.00892019,0.00000000,0.34231902,0.55939253,0.40459361,0.00000000
-5.63381691,0.99314340,0.02007598,0.04704284,0.00854647,0.00000000,0.33819875,0.55755160,0.39638694,0.00000000
-5.62781391,0.98597040,0.02031323,0.04411117,0.00822141,0.00000000,0.33649306,0.56218104,0.39076112,0.00000000
-5.62181091,0.98762356,0.02046545,0.04156767,0.00794570,0.00000000,0.33716499,0.57315944,0.38769060,0.00000000
-5.61580790,0.99788650,0.02053357,0.03942574,0.00771932,0.00000000,0.34013902,0.59029828,0.38711685,0.00000000
-5.60980490,1.01644748,0.02052030,0.03769554,0.00754150,0.00000000,0.34530233,0.61334157,0.38894962,0.00000000
-5.60380190,1.04290052,0.02042983,0.03638424,0.00741083,0.00000000,0.35250616,0.64196531,0.39306787,0.00000000
-5.59779890,1.07674613,0.02026764,0.03549617,0.00732524,0.00000000,0.36156756,0.67577695,0.39932069,0.00000000
-5.59179590,1.11739215,0.02004007,0.03503279,0.00728209,0.00000000,0.37227150,0.71431545,0.40752814,0.00000000
-5.58579290,1.16415526,0.01975408,0.03499249,0.00727816,0.00000000,0.38437355,0.75705191,0.41748241,0.00000000
-5.57978989,1.21626355,0.01941680,0.03537027,0.00730971,0.00000000,0.39760313,0.80339142,0.42894926,0.00000000
-5.57378689,1.27286081,0.01903535,0.03615731,0.00737254,0.00000000,0.41166752,0.85267633,0.44167017,0.00000000
