energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,5.89457606,0.02976746,0.41539639,0.99273198,0.79995199,1.58636135,2.37496829,2.57920228,0.00000000
-5.99399700,5.91592340,0.02996854,0.40574986,1.00366901,0.79481897,1.56971420,2.40994875,2.58982358,0.00000000
-5.98799400,5.93038813,0.03010887,0.39576493,1.01360774,0.78808426,1.55203190,2.44320277,2.59676680,0.00000000
-5.98199100,5.93754800,0.03018185,0.38549957,1.02231849,0.77983315,1.53322834,2.47438873,2.59980726,0.00000000
-5.97598799,5.93699608,0.03018168,0.37501814,1.02955055,0.77015486,1.51322279,2.50316411,2.59873470,0.00000000
-5.96998499,5.92835178,0.03010357,0.36439087,1.03504019,0.75914040,1.49194435,2.52919262,2.59335919,0.00000000
-5.96398199,5.91127669,0.02994390,0.35369352,1.03852078,0.74688139,1.46933733,2.55215289,2.58351903,0.00000000
-5.95797899,5.88549514,0.02970032,0.34300705,1.03973450,0.73346977,1.44536774,2.57174877,2.56909074,0.00000000
-5.95197599,5.85081904,0.02937200,0.33241765,1.03844518,0.71899866,1.42003075,2.58772098,2.55000060,0.00000000
-5.94597299,5.80717597,0.02895966,0.32201688,1.03445176,0.70356408,1.39335890,2.59985952,2.52623757,0.00000000
-5.93996998,5.75463908,0.02846578,0.31190205,1.02760165,0.68726751,1.36543076,2.60801653,2.49786644,0.00000000
-5.93396698,5.69345702,0.02789463,0.30217674,1.01780321,0.67021915,1.33637954,2.61211867,2.46504085,0.00000000
-5.92796398,5.62408195,0.02725238,0.29295140,1.00503680,0.65254142,1.30640129,2.61217841,2.42801486,0.00000000
-5.92196098,5.54719345,0.02654713,0.28434401,0.98936359,0.63437255,1.27576200,2.60830334,2.38715239,0.00000000
-5.91595798,5.46371627,0.02578890,0.27648058,0.97093163,0.61587001,1.24480317,2.60070270,2.34293351,0.00000000
-5.90995498,5.37483024,0.02498958,0.26949549,0.94997870,0.59721325,1.21394529,2.58969059,2.29595685,0.00000000
-5.90395198,5.28197069,0.02416286,0.26353155,0.92683168,0.57860572,1.18368882,2.57568512,2.24693754,0.00000000
-5.89794897,5.18681840,0.02332402,0.25873969,0.90190230,0.56027585,1.15461230,2.55920338,2.19670026,0.00000000
-5.89194597,5.09127872,0.02248979,0.25527816,0.87567928,0.54247676,1.12736741,2.54085192,2.14616744,0.00000000
-5.88594297,4.99744977,0.02167805,0.25331129,0.84871723,0.52548471,1.10267090,2.52131303,2.09634255,0.00000000
-5.87993997,4.90758069,0.02090755,0.25300769,0.82162252,0.50959621,1.08129335,2.50132713,2.04828906,0.00000000
-5.87393697,4.82402087,0.02019756,0.25453796,0.79503680,0.49512380,1.06404517,2.48167190,2.00310574,0.00000000
-5.86793397,4.74916215,0.01956747,0.25807182,0.76961877,0.48239073,1.05175989,2.46313894,1.96189895,0.00000000
-5.86193097,4.68537589,0.01903640,0.26377492,0.74602482,0.47172447,1.04527536,2.44650896,1.92575328,0.00000000
-5.85592796,4.63494741,0.01862273,0.27180509,0.72488950,0.46344956,1.04541337,2.43252651,1.89570127,0.00000000
-5.84992496,4.60001005,0.01834371,0.28230848,0.70680624,0.45787973,1.05295811,2.42187535,1.87269364,0.00000000
-5.84392196,4.58248149,0.01821498,0.29541530,0.69230939,0.45530979,1.06863425,2.41515551,1.85757095,0.00000000
-5.83791896,4.58400461,0.01825017,0.31123556,0.68185792,0.45600739,1.09308523,2.41286300,1.85103783,0.00000000
-5.83191596,4.60589485,0.01846048,0.32985484,0.67582149,0.46020502,1.12685233,2.41537295,1.85364074,0.00000000
-5.82591296,4.64909612,0.01885432,0.35133003,0.67446932,0.46809244,1.17035526,2.42292692,1.86574984,0.00000000
