energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
-6.00000000,4.45214959,0.02584714,0.36919225,1.24525048,2.12945641,1.27892473,0.00000000,0.02707912,1.69289931
-5.99399700,4.60616602,0.02556597,0.38240354,1.28529305,2.21237689,1.32967575,0.00000000,0.02747630,1.75179252
-5.98799400,4.74666243,0.02515952,0.39462393,1.32025728,2.29138536,1.37582238,0.00000000,0.02774248,1.80332340
-5.98199100,4.87241258,0.02464144,0.40580193,1.34980531,2.36594699,1.41679889,0.00000000,0.02787230,1.84681457
-5.97598799,4.98251293,0.02402799,0.41591245,1.37371300,2.43563785,1.45215781,0.00000000,0.02786311,1.88173793
-5.96998499,5.07639777,0.02333750,0.42495690,1.39187632,2.50014719,1.48158356,0.00000000,0.02771501,1.90772933
-5.96398199,5.15384287,0.02258985,0.43296227,1.40431386,2.55927513,1.50490170,0.00000000,0.02743083,1.92459850
-5.95797899,5.21495735,0.02180591,0.43997909,1.41116508,2.61292608,1.52208338,0.00000000,0.02701601,1.93233374
-5.95197599,5.26016403,0.02100690,0.44607816,1.41268444,2.66109805,1.53324472,0.00000000,0.02647845,1.93110119
-5.94597299,5.29016920,0.02021384,0.45134643,1.40923156,2.70386862,1.53864111,0.00000000,0.02582823,1.92123860
-5.93996998,5.30592297,0.01944698,0.45588186,1.40125762,2.74137810,1.53865667,0.00000000,0.02507739,1.90324386
-5.93396698,5.30857211,0.01872529,0.45978767,1.38928872,2.77381084,1.53378931,0.00000000,0.02423949,1.87775875
-5.92796398,5.29940743,0.01806605,0.46316624,1.37390673,2.80137575,1.52463196,0.00000000,0.02332934,1.84554860
-5.92196098,5.27980820,0.01748445,0.46611285,1.35572859,2.82428701,1.51185092,0.00000000,0.02236250,1.80747854
-5.91595798,5.25118612,0.01699337,0.46870970,1.33538477,2.84274594,1.49616218,0.00000000,0.02135497,1.76448752
-5.90995498,5.21493134,0.01660310,0.47102051,1.31349799,2.85692525,1.47830677,0.00000000,0.02032272,1.71756088
-5.90395198,5.17236304,0.01632132,0.47308600,1.29066298,2.86695628,1.45902612,0.00000000,0.01928136,1.66770270
-5.89794897,5.12468660,0.01615302,0.47492055,1.26742816,2.87292004,1.43903849,0.00000000,0.01824576,1.61590887
-5.89194597,5.07295906,0.01610055,0.47651029,1.24428003,2.87484248,1.41901729,0.00000000,0.01722975,1.56314181
-5.88594297,5.01806410,0.01616375,0.47781275,1.22163072,2.87269415,1.39957209,0.00000000,0.01624586,1.51030763
-5.87993997,4.96069715,0.01634008,0.47875811,1.19980920,2.86639418,1.38123286,0.00000000,0.01530515,1.45823648
-5.87393697,4.90136060,0.01662481,0.47925214,1.17905632,2.85581823,1.36443784,0.00000000,0.01441697,1.40766635
-5.86793397,4.84036868,0.01701126,0.47918045,1.15952362,2.84080981,1.34952520,0.00000000,0.01358894,1.35923079
-5.86193097,4.77786086,0.01749101,0.47841419,1.14127579,2.82119410,1.33672847,0.00000000,0.01282688,1.31345048
-5.85592796,4.71382231,0.01805413,0.47681661,1.12429636,2.79679352,1.32617556,0.00000000,0.01213481,1.27072862
-5.84992496,4.64810965,0.01868942,0.47425019,1.10849606,2.76744374,1.31789100,0.00000000,0.01151502,1.23134990
-5.84392196,4.58048016,0.01938462,0.47058412,1.09372343,2.73300943,1.31180100,0.00000000,0.01096812,1.19548265
-5.83791896,4.51062227,0.02012661,0.46570145,1.07977665,2.69339850,1.30774081,0.00000000,0.01049321,1.16318387
-5.83191596,4.43818575,0.02090160,0.45950576,1.06641635,2.64857427,1.30546394,0.00000000,0.01008795,1.13440648
-5.82591296,4.36280992,0.02169527,0.45192680,1.05337839,2.59856471,1.30465262,0.00000000,0.00974880,1.10900860
-5.81990995,4.28414864,0.02249299,0.44292500,1.04038626,2.54346851,1.30492924,0.00000000,0.00947111,1.08676416
-5.81390695,4.20189127,0.02327992,0.43249446,1.02716254,2.48345777,1.30586833,0.00000000,0.00924933,1.06737473
-5.80790395,4.11577925,0.02404119,0.42066442,1.01343912,2.41877733,1.30700878,0.00000000,0.00907716,1.05048205
-5.80190095,4.02561811,0.02476208,0.40749914,0.99896588,2.34974102,1.30786625,0.00000000,0.00894776,1.03568113
-5.79589795,3.93128551,0.02542816,0.39309623,0.98351786,2.27672544,1.30794547,0.00000000,0.00885387,1.02253362
-5.78989495,3.83273567,0.02602551,0.37758369,0.96690084,2.20016172,1.30675257,0.00000000,0.00878798,1.01058142
-5.78389195,3.73000117,0.02654094,0.36111575,0.94895546,2.12052594,1.30380721,0.00000000,0.00874252,0.99936027
-5.77788894,3.62319283,0.02696219,0.34386790,0.92956003,2.03832903,1.29865450,0.00000000,0.00870995,0.98841315
-5.77188594,3.51249859,0.02727818,0.32603140,0.90863226,1.95410667,1.29087671,0.00000000,0.00868299,0.97730345
-5.76588294,3.39818206,0.02747926,0.30780753,0.88613008,1.86840980,1.28010448,0.00000000,0.00865468,0.96562754
-5.75987994,3.28058114,0.02755748,0.28940197,0.86205175,1.78179614,1.26602740,0.00000000,0.00861855,0.95302659
-5.75387694,3.16010714,0.02750677,0.27101956,0.83643538,1.69482307,1.24840368,0.00000000,0.00856876,0.93919730
-5.74787394,3.03724427,0.02732318,0.25285963,0.80935799,1.60804191,1.22706857,0.00000000,0.00850015,0.92390121
-5.74187094,2.91254925,0.02700503,0.23511212,0.78093410,1.52199363,1.20194117,0.00000000,0.00840843,0.90697228
-5.73586793,2.78665075,0.02655304,0.21795463,0.75131390,1.43720581,1.17302926,0.00000000,0.00829017,0.88832231
-5.72986493,2.66024798,0.02597037,0.20155033,0.72068093,1.35419055,1.14043181,0.00000000,0.00814291,0.86794404
-5.72386193,2.53410784,0.02526259,0.18604681,0.68924923,1.27344312,1.10433888,0.00000000,0.00796519,0.84591154
-5.71785893,2.40906002,0.02443762,0.17157572,0.65725983,1.19544084,1.06502881,0.00000000,0.00775655,0.82237789
-5.71185593,2.28598960,0.02350554,0.15825320,0.62497663,1.12064197,1.02286245,0.00000000,0.00751752,0.79757006
-5.70585293,2.16582680,0.02247837,0.14618077,0.59268162,1.04948425,0.97827479,0.00000000,0.00724957,0.77178102
