energy_ev,total_up,Al_p_up,Al_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,1.05467608,0.15805773,0.00000000,0.37815996,0.00000000,0.38189387,0.45815296
-5.99399700,1.06209104,0.16544645,0.00000000,0.38416175,0.00000000,0.38700071,0.46017975
-5.98799400,1.07391414,0.17363868,0.00000000,0.39178458,0.00000000,0.39402742,0.46408442
-5.98199100,1.09018024,0.18263369,0.00000000,0.40097299,0.00000000,0.40302340,0.46988324
-5.97598799,1.11083368,0.19241695,0.00000000,0.41163310,0.00000000,0.41400715,0.47755210
-5.96998499,1.13573125,0.20295958,0.00000000,0.42363556,0.00000000,0.42696631,0.48702789
-5.96398199,1.16464684,0.21421813,0.00000000,0.43681923,0.00000000,0.44185824,0.49821056
-5.95797899,1.19727774,0.22613465,0.00000000,0.45099586,0.00000000,0.45861133,0.51096589
-5.95197599,1.23325222,0.23863696,0.00000000,0.46595523,0.00000000,0.47712666,0.52512883
-5.94597299,1.27213835,0.25163925,0.00000000,0.48147088,0.00000000,0.49728035,0.54050732
-5.93996998,1.31345373,0.26504296,0.00000000,0.49730605,0.00000000,0.51892619,0.55688649
-5.93396698,1.35667581,0.27873782,0.00000000,0.51321983,0.00000000,0.54189864,0.57403322
-5.92796398,1.40125274,0.29260328,0.00000000,0.52897304,0.00000000,0.56601609,0.59170081
-5.92196098,1.44661427,0.30650999,0.00000000,0.54433399,0.00000000,0.59108424,0.60963380
-5.91595798,1.49218260,0.32032163,0.00000000,0.55908371,0.00000000,0.61689956,0.62757281
-5.90995498,1.53738286,0.33389681,0.00000000,0.57302054,0.00000000,0.64325265,0.64525920
-5.90395198,1.58165309,0.34709113,0.00000000,0.58596403,0.00000000,0.66993152,0.66243969
-5.89794897,1.62445351,0.35975939,0.00000000,0.59775805,0.00000000,0.69672466,0.67887066
-5.89194597,1.66527497,0.37175790,0.00000000,0.60827297,0.00000000,0.72342376,0.69432222
-5.88594297,1.70364644,0.38294680,0.00000000,0.61740696,0.00000000,0.74982628,0.70858187
-5.87993997,1.73914161,0.39319245,0.00000000,0.62508654,0.00000000,0.77573756,0.72145789
-5.87393697,1.77138446,0.40236989,0.00000000,0.63126620,0.00000000,0.80097267,0.73278227
-5.86793397,1.80005392,0.41036515,0.00000000,0.63592748,0.00000000,0.82535794,0.74241331
