energy_ev,total_up,Mn_p_up,Mn_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.98962709,0.99232347,0.63033749,2.13358716,0.90507195,0.00467479,0.86058451,0.00821671,1.56173822
-5.99399700,4.10826504,1.03054944,0.64149779,2.20587600,0.92901724,0.00492461,0.88662257,0.00859442,1.61562060
-5.98799400,4.21232021,1.06597990,0.65058023,2.26993871,0.94943205,0.00516214,0.90896309,0.00895815,1.66484805
-5.98199100,4.30059471,1.09827839,0.65753446,2.32482985,0.96608514,0.00538510,0.92730051,0.00930280,1.70890514
-5.97598799,4.37228527,1.12720066,0.66235370,2.36983295,0.97884170,0.00559152,0.94142978,0.00962376,1.74741302
-5.96998499,4.42700527,1.15260077,0.66507390,2.40448025,0.98766741,0.00577977,0.95125332,0.00991705,1.78013836
-5.96398199,4.46479188,1.17443323,0.66577155,2.42856372,0.99262905,0.00594859,0.95678409,0.01017937,1.80699676
-5.95797899,4.48609782,1.19275120,0.66456017,2.44213669,0.99389137,0.00609709,0.95814489,0.01040819,1.82805044
-5.95197599,4.49176821,1.20770076,0.66158574,2.44550627,0.99171050,0.00622477,0.95556366,0.01060177,1.84350049
-5.94597299,4.48300350,1.21951161,0.65702122,2.43921705,0.98642410,0.00633145,0.94936511,0.01075923,1.85367389
-5.93996998,4.46131026,1.22848459,0.65106044,2.42402669,0.97843866,0.00641727,0.93995902,0.01088047,1.85900622
-5.93396698,4.42844208,1.23497680,0.64391159,2.40087496,0.96821455,0.00648264,0.92782567,0.01096621,1.86002072
-5.92796398,4.38633336,1.23938487,0.63579063,2.37084741,0.95624948,0.00652817,0.91349915,0.01101795,1.85730483
-5.92196098,4.33702887,1.24212741,0.62691490,2.33513552,0.94306093,0.00655466,0.89754907,0.01103790,1.85148541
-5.91595798,4.28261220,1.24362733,0.61749720,2.29499515,0.92916850,0.00656301,0.88056171,0.01102894,1.84320373
-5.90995498,4.22513620,1.24429487,0.60774048,2.25170489,0.91507668,0.00655419,0.86312108,0.01099454,1.83309138
-5.90395198,4.16655795,1.24451213,0.59783352,2.20652612,0.90125874,0.00652922,0.84579085,0.01093872,1.82174821
-5.89794897,4.10868100,1.24461966,0.58794746,2.16066630,0.88814248,0.00648911,0.82909764,0.01086599,1.80972305
-5.89194597,4.05310657,1.24490556,0.57823353,2.11524657,0.87609806,0.00643486,0.81351641,0.01078124,1.79749797
-5.88594297,4.00119524,1.24559745,0.56882173,2.07127470,0.86542844,0.00636745,0.79945824,0.01068970,1.78547656
-5.87993997,3.95403990,1.24685742,0.55982059,2.02962408,0.85636265,0.00628784,0.78726088,0.01059690,1.77397634
-5.87393697,3.91245030,1.24877994,0.55131787,1.99101879,0.84905190,0.00619697,0.77718234,0.01050857,1.76322536
