energy_ev,total_up,Cd_p_up,Cd_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,2.77557876,1.52474459,0.13767951,0.24652473,0.00000000,1.61711997,0.00000000
-5.99399700,2.67124329,1.49850121,0.13014783,0.24327329,0.00000000,1.55354436,0.00000000
-5.98799400,2.56420368,1.46536976,0.12319291,0.23899541,0.00000000,1.48831022,0.00000000
-5.98199100,2.45484362,1.42594303,0.11678768,0.23377666,0.00000000,1.42169779,0.00000000
-5.97598799,2.34386534,1.38100870,0.11092137,0.22773490,0.00000000,1.35416868,0.00000000
-5.96998499,2.23226140,1.33152215,0.10559872,0.22101679,0.00000000,1.28634941,0.00000000
-5.96398199,2.12127417,1.27857333,0.10083842,0.21379313,0.00000000,1.21900806,0.00000000
-5.95797899,2.01234571,1.22334932,0.09667083,0.20625335,0.00000000,1.15302562,0.00000000
-5.95197599,1.90706090,1.16709422,0.09313519,0.19859942,0.00000000,1.08936381,0.00000000
-5.94597299,1.80708696,1.11106809,0.09027647,0.19103945,0.00000000,1.02903081,0.00000000
-5.93996998,1.71411216,1.05650666,0.08814199,0.18378123,0.00000000,0.97304675,0.00000000
-5.93396698,1.62978646,1.00458332,0.08677818,0.17702614,0.00000000,0.92241018,0.00000000
-5.92796398,1.55566627,0.95637476,0.08622732,0.17096346,0.00000000,0.87806674,0.00000000
-5.92196098,1.49316523,0.91283144,0.08652468,0.16576551,0.00000000,0.84088094,0.00000000
-5.91595798,1.44351231,0.87475360,0.08769608,0.16158367,0.00000000,0.81161174,0.00000000
-5.90995498,1.40771803,0.84277355,0.08975584,0.15854545,0.00000000,0.79089218,0.00000000
-5.90395198,1.38654930,0.81734434,0.09270538,0.15675267,0.00000000,0.77921328,0.00000000
-5.89794897,1.38051264,0.79873490,0.09653233,0.15628073,0.00000000,0.77691204,0.00000000
-5.89194597,1.38984563,0.78703130,0.10121032,0.15717889,0.00000000,0.78416351,0.00000000
-5.88594297,1.41451573,0.78214378,0.10669922,0.15947161,0.00000000,0.80097638,0.00000000
-5.87993997,1.45422582,0.78381879,0.11294602,0.16316050,0.00000000,0.82719203,0.00000000
-5.87393697,1.50842542,0.79165536,0.11988613,0.16822708,0.00000000,0.86248654,0.00000000
-5.86793397,1.57632679,0.80512491,0.12744501,0.17463570,0.00000000,0.90637545,0.00000000
-5.86193097,1.65692492,0.82359353,0.13554024,0.18233684,0.00000000,0.95822118,0.00000000
-5.85592796,1.74902072,0.84634605,0.14408364,0.19127014,0.00000000,1.01724287,0.00000000
-5.84992496,1.85124663,0.87261078,0.15298357,0.20136730,0.00000000,1.08252869,0.00000000
-5.84392196,1.96209416,0.90158424,0.16214721,0.21255444,0.00000000,1.15305068,0.00000000
-5.83791896,2.07994293,0.93245513,0.17148271,0.22475382,0.00000000,1.22768208,0.00000000
-5.83191596,2.20309075,0.96442686,0.18090121,0.23788488,0.00000000,1.30521726,0.00000000
-5.82591296,2.32978460,0.99673812,0.19031852,0.25186452,0.00000000,1.38439415,0.00000000
-5.81990995,2.45825210,1.02868098,0.19965661,0.26660660,0.00000000,1.46391912,0.00000000
