energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,2.57064405,0.01509925,0.39428774,0.80481113,0.39050420,0.87945033,0.88571713,0.01765707,0.95548365
-5.99399700,2.45484580,0.01510959,0.37413004,0.77488323,0.37844173,0.84938456,0.83625616,0.01705173,0.91740871
-5.98799400,2.34011157,0.01510931,0.35440881,0.74540614,0.36615507,0.82010058,0.78776891,0.01640120,0.87935337
-5.98199100,2.22849598,0.01510210,0.33547207,0.71698713,0.35388100,0.79228276,0.74105522,0.01571654,0.84202461
-5.97598799,2.12188952,0.01509087,0.31763688,0.69018512,0.34183904,0.76655726,0.69684488,0.01500887,0.80607532
-5.96998499,2.02198808,0.01507753,0.30118370,0.66550280,0.33022777,0.74348006,0.65578605,0.01428925,0.77209423
-5.96398199,1.93027214,0.01506298,0.28635228,0.64338229,0.31922225,0.72352842,0.61843731,0.01356839,0.74059940
-5.95797899,1.84799549,0.01504706,0.27333906,0.62420414,0.30897265,0.70709580,0.58526312,0.01285653,0.71203524
-5.95197599,1.77618313,0.01502855,0.26229618,0.60828946,0.29960402,0.69449020,0.55663279,0.01216325,0.68677283
-5.94597299,1.71563728,0.01500531,0.25333183,0.59590477,0.29121709,0.68593585,0.53282231,0.01149737,0.66511319
-5.93996998,1.66695053,0.01497435,0.24651190,0.58726894,0.28388993,0.68157785,0.51401886,0.01086680,0.64729290
-5.93396698,1.63052452,0.01493205,0.24186282,0.58256164,0.27768040,0.68148950,0.50032750,0.01027848,0.63349166
-5.92796398,1.60659262,0.01487438,0.23937517,0.58193239,0.27262902,0.68568158,0.49177923,0.00973831,0.62384096
-5.92196098,1.59524504,0.01479713,0.23900811,0.58550970,0.26876219,0.69411330,0.48834029,0.00925113,0.61843317
-5.91595798,1.59645442,0.01469617,0.24069415,0.59340921,0.26609542,0.70670409,0.48992177,0.00882073,0.61733055
-5.90995498,1.61010059,0.01456772,0.24434427,0.60574045,0.26463638,0.72334560,0.49638919,0.00844982,0.62057329
-5.90395198,1.63599280,0.01440862,0.24985289,0.62261145,0.26438757,0.74391345,0.50757159,0.00814015,0.62818617
-5.89794897,1.67388839,0.01421651,0.25710275,0.64413067,0.26534839,0.76827786,0.52326965,0.00789252,0.64018338
-5.89194597,1.72350671,0.01399008,0.26596934,0.67040615,0.26751656,0.79631285,0.54326255,0.00770687,0.65657105
-5.88594297,1.78453790,0.01372916,0.27632476,0.70154162,0.27088864,0.82790339,0.56731334,0.00758241,0.67734752
-5.87993997,1.85664602,0.01343484,0.28804087,0.73762963,0.27545977,0.86295018,0.59517273,0.00751769,0.70250110
-5.87393697,1.93946668,0.01310950,0.30099172,0.77874214,0.28122257,0.90137184,0.62658122,0.00751073,0.73200566
-5.86793397,2.03259969,0.01275675,0.31505510,0.82491879,0.28816530,0.94310444,0.66126963,0.00755913,0.76581417
-5.86193097,2.13559724,0.01238138,0.33011325,0.87615375,0.29626943,0.98809827,0.69895828,0.00766019,0.80385082
-5.85592796,2.24794897,0.01198916,0.34605286,0.93238167,0.30550668,1.03631216,0.73935507,0.00781099,0.84600202
-5.84992496,2.36906493,0.01158670,0.36276424,0.99346379,0.31583599,1.08770573,0.78215264,0.00800850,0.89210717
-5.84392196,2.49825802,0.01118117,0.38014009,1.05917492,0.32720040,1.14222973,0.82702526,0.00824969,0.94194964
-5.83791896,2.63472742,0.01078005,0.39807364,1.12919234,0.33952428,1.19981532,0.87362556,0.00853157,0.99524877
-5.83191596,2.77754445,0.01039084,0.41645673,1.20308731,0.35271100,1.26036274,0.92158182,0.00885128,1.05165349
