energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,10.28362344,0.03888864,0.80543041,1.57874871,0.65630645,3.27094692,5.59754279,3.33512943,0.00000000
-5.99399700,10.09667894,0.03703989,0.78265868,1.58430469,0.66112517,3.30758752,5.41819425,3.33953604,0.00000000
-5.98799400,9.91016372,0.03510825,0.76013993,1.58790618,0.66524251,3.34094978,5.24267740,3.34046143,0.00000000
-5.98199100,9.72613163,0.03312933,0.73793908,1.58962637,0.66869353,3.37065361,5.07284972,3.33805924,0.00000000
-5.97598799,9.54642943,0.03113929,0.71611011,1.58954272,0.67153424,3.39635279,4.91034105,3.33250271,0.00000000
-5.96998499,9.37270809,0.02917403,0.69469984,1.58773932,0.67384392,3.41775661,4.75655009,3.32399210,0.00000000
-5.96398199,9.20644276,0.02726847,0.67375154,1.58430976,0.67572707,3.43465111,4.61264880,3.31276333,0.00000000
-5.95797899,9.04895835,0.02545589,0.65330841,1.57936019,0.67731463,3.44691866,4.47959358,3.29909672,0.00000000
-5.95197599,8.90145802,0.02376736,0.63341651,1.57301211,0.67876425,3.45455441,4.35814161,3.28332509,0.00000000
-5.94597299,8.76505110,0.02223131,0.61412701,1.56540453,0.68025943,3.45767851,4.24887058,3.26583994,0.00000000
-5.93996998,8.64077763,0.02087315,0.59549783,1.55669507,0.68200722,3.45654290,4.15220004,3.24709502,0.00000000
-5.93396698,8.52962654,0.01971498,0.57759427,1.54705965,0.68423459,3.45153182,4.06841268,3.22760620,0.00000000
-5.92796398,8.43254524,0.01877548,0.56048878,1.53669060,0.68718315,3.44315545,3.99767373,3.20794724,0.00000000
-5.92196098,8.35043911,0.01806979,0.54425971,1.52579306,0.69110254,3.43203661,3.94004743,3.18874079,0.00000000
-5.91595798,8.28415993,0.01760945,0.52898920,1.51457959,0.69624235,3.41889047,3.89550939,3.17064489,0.00000000
-5.90995498,8.23448350,0.01740251,0.51476014,1.50326333,0.70284306,3.40449815,3.86395436,3.15433482,0.00000000
-5.90395198,8.20207737,0.01745351,0.50165239,1.49204975,0.71112604,3.38967503,3.84519927,3.14048126,0.00000000
-5.89794897,8.18746046,0.01776362,0.48973848,1.48112771,0.72128324,3.37523515,3.83898193,3.12972532,0.00000000
-5.89194597,8.19095747,0.01833068,0.47907895,1.47065999,0.73346686,3.36195337,3.84495605,3.12265187,0.00000000
-5.88594297,8.21265095,0.01914933,0.46971749,1.46077412,0.74777951,3.35052709,3.86268379,3.11976226,0.00000000
-5.87993997,8.25233499,0.02021110,0.46167640,1.45155395,0.76426546,3.34153957,3.89162711,3.12144820,0.00000000
-5.87393697,8.30947400,0.02150439,0.45495239,1.44303253,0.78290331,3.33542663,3.93113963,3.12796801,0.00000000
-5.86793397,8.38317055,0.02301466,0.44951310,1.43518695,0.80360067,3.33244873,3.98046030,3.13942701,0.00000000
-5.86193097,8.47214530,0.02472436,0.44529473,1.42793529,0.82619121,3.33266989,4.03871073,3.15576306,0.00000000
-5.85592796,8.57473193,0.02661309,0.44220067,1.42113633,0.85043425,3.33594482,4.10489708,3.17673856,0.00000000
