energy_ev,total_up,Al_p_up,Al_d_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-6.00000000,1.48455247,0.26101553,0.00000000,0.93983090,0.21819836,0.07931489,0.47578356
-5.99399700,1.48247404,0.25605419,0.00000000,0.97123402,0.21397153,0.07703924,0.48520028
-5.98799400,1.48660301,0.25185060,0.00000000,1.00784160,0.21059739,0.07524276,0.49694652
-5.98199100,1.49772835,0.24853277,0.00000000,1.04969290,0.20823023,0.07404915,0.51116754
-5.97598799,1.51643871,0.24619278,0.00000000,1.09665652,0.20699780,0.07357673,0.52793971
-5.96998499,1.54310653,0.24488480,0.00000000,1.14842669,0.20699882,0.07393609,0.54726748
-5.96398199,1.57787917,0.24462437,0.00000000,1.20452529,0.20830157,0.07522776,0.56908270
-5.95797899,1.62067681,0.24538915,0.00000000,1.26430959,0.21094316,0.07753996,0.59324621
-5.95197599,1.67119709,0.24712092,0.00000000,1.32698562,0.21492973,0.08094640,0.61955163
-5.94597299,1.72892563,0.24972865,0.00000000,1.39162654,0.22023724,0.08550416,0.64773095
-5.93996998,1.79315194,0.25309261,0.00000000,1.45719569,0.22681289,0.09125163,0.67746178
-5.93396698,1.86298966,0.25706926,0.00000000,1.52257327,0.23457701,0.09820660,0.70837576
-5.92796398,1.93740020,0.26149656,0.00000000,1.58658591,0.24342522,0.10636455,0.74006775
-5.92196098,2.01521881,0.26619975,0.00000000,1.64803799,0.25323093,0.11569712,0.77210551
-5.91595798,2.09518212,0.27099705,0.00000000,1.70574369,0.26384787,0.12615093,0.80403939
-5.90995498,2.17595622,0.27570533,0.00000000,1.75855860,0.27511274,0.13764678,0.83541175
-5.90395198,2.25616461,0.28014539,0.00000000,1.80541000,0.28684791,0.15007930,0.86576583
-5.89794897,2.33441534,0.28414681,0.00000000,1.84532457,0.29886409,0.16331723,0.89465397
-5.89194597,2.40932706,0.28755210,0.00000000,1.87745293,0.31096303,0.17720433,0.92164490
-5.88594297,2.47955347,0.29022028,0.00000000,1.90109018,0.32294029,0.19156099,0.94633023
-5.87993997,2.54380618,0.29202954,0.00000000,1.91569179,0.33458805,0.20618672,0.96833010
-5.87393697,2.60087598,0.29287934,0.00000000,1.92088476,0.34569812,0.22086334,0.98729804
-5.86793397,2.64965228,0.29269160,0.00000000,1.91647364,0.35606504,0.23535905,1.00292523
-5.86193097,2.68914112,0.29141125,0.00000000,1.90244150,0.36548941,0.24943317,1.01494423
-5.85592796,2.71848146,0.28900622,0.00000000,1.87894620,0.37378137,0.26284160,1.02313237
-5.84992496,2.73695992,0.28546675,0.00000000,1.84631204,0.38076431,0.27534277,1.02731477
-5.84392196,2.74402389,0.28080434,0.00000000,1.80501758,0.38627858,0.28670385,1.02736724
-5.83791896,2.73929263,0.27505023,0.00000000,1.75567998,0.39018530,0.29670724,1.02321886
-5.83191596,2.72256636,0.26825372,0.00000000,1.69903671,0.39236999,0.30515679,1.01485433
-5.82591296,2.69383275,0.26048010,0.00000000,1.63592519,0.39274597,0.31188379,1.00231591
