energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Fe_p_up,Fe_d_up,Te_p_up,Te_d_up
-6.00000000,0.57838455,0.01730751,0.05213921,0.39040082,0.07009040,0.24450154,0.06057300,0.27754325,0.00000000
-5.99399700,0.57235109,0.01624800,0.05308030,0.39656791,0.06814318,0.24337293,0.06025430,0.27611935,0.00000000
-5.98799400,0.56550949,0.01515735,0.05392617,0.40199410,0.06606295,0.24179387,0.05995229,0.27433249,0.00000000
-5.98199100,0.55805520,0.01405610,0.05466998,0.40663484,0.06388828,0.23981646,0.05968482,0.27226213,0.00000000
-5.97598799,0.55018946,0.01296440,0.05530516,0.41044686,0.06165659,0.23749206,0.05947432,0.26999180,0.00000000
-5.96998499,0.54211903,0.01190168,0.05582609,0.41339263,0.05940368,0.23487194,0.05934767,0.26760962,0.00000000
-5.96398199,0.53405743,0.01088639,0.05622881,0.41544551,0.05716337,0.23200856,0.05933637,0.26520937,0.00000000
-5.95797899,0.52622732,0.00993584,0.05651177,0.41659529,0.05496753,0.22895737,0.05947658,0.26289201,0.00000000
-5.95197599,0.51886376,0.00906613,0.05667656,0.41685376,0.05284612,0.22577891,0.05980930,0.26076741,0.00000000
-5.94597299,0.51221751,0.00829215,0.05672861,0.41625970,0.05082762,0.22254106,0.06038043,0.25895607,0.00000000
-5.93996998,0.50655814,0.00762769,0.05667763,0.41488310,0.04893933,0.21932105,0.06124064,0.25759036,0.00000000
-5.93396698,0.50217608,0.00708559,0.05653801,0.41282800,0.04720793,0.21620724,0.06244508,0.25681518,0.00000000
-5.92796398,0.49938330,0.00667794,0.05632884,0.41023373,0.04565986,0.21330017,0.06405269,0.25678766,0.00000000
-5.92196098,0.49851195,0.00641631,0.05607375,0.40727419,0.04432178,0.21071295,0.06612523,0.25767578,0.00000000
-5.91595798,0.49991077,0.00631201,0.05580040,0.40415512,0.04322082,0.20857067,0.06872585,0.25965560,0.00000000
-5.90995498,0.50393908,0.00637627,0.05553973,0.40110926,0.04238471,0.20700885,0.07191731,0.26290728,0.00000000
-5.90395198,0.51095819,0.00662050,0.05532486,0.39838955,0.04184175,0.20617086,0.07575977,0.26760968,0.00000000
-5.89794897,0.52132055,0.00705636,0.05518984,0.39626048,0.04162052,0.20620434,0.08030830,0.27393391,0.00000000
-5.89194597,0.53535683,0.00769590,0.05516819,0.39498811,0.04174945,0.20725688,0.08561007,0.28203577,0.00000000
-5.88594297,0.55336159,0.00855151,0.05529125,0.39482901,0.04225618,0.20947081,0.09170148,0.29204771,0.00000000
-5.87993997,0.57557796,0.00963586,0.05558662,0.39601881,0.04316675,0.21297771,0.09860516,0.30407040,0.00000000
-5.87393697,0.60218223,0.01096166,0.05607652,0.39876072,0.04450466,0.21789250,0.10632722,0.31816456,0.00000000
-5.86793397,0.63326908,0.01254136,0.05677641,0.40321482,0.04628982,0.22430773,0.11485471,0.33434337,0.00000000
-5.86193097,0.66883830,0.01438682,0.05769371,0.40948848,0.04853754,0.23228805,0.12415356,0.35256595,0.00000000
-5.85592796,0.70878373,0.01650872,0.05882686,0.41762859,0.05125740,0.24186531,0.13416708,0.37273246,0.00000000
-5.84992496,0.75288520,0.01891606,0.06016477,0.42761589,0.05445228,0.25303451,0.14481527,0.39468099,0.00000000
-5.84392196,0.80080406,0.02161549,0.06168660,0.43936185,0.05811746,0.26575075,0.15599483,0.41818677,0.00000000
-5.83791896,0.85208276,0.02461068,0.06336200,0.45270829,0.06223988,0.27992745,0.16758020,0.44296370,0.00000000
-5.83191596,0.90614869,0.02790156,0.06515180,0.46742976,0.06679761,0.29543580,0.17942544,0.46866845,0.00000000
-5.82591296,0.96232245,0.03148370,0.06700902,0.48323877,0.07175948,0.31210578,0.19136705,0.49490707,0.00000000
-5.81990995,1.01983034,0.03534766,0.06888040,0.49979351,0.07708507,0.32972838,0.20322763,0.52124383,0.00000000
-5.81390695,1.07782076,0.03947845,0.07070811,0.51670794,0.08272486,0.34805937,0.21482027,0.54721215,0.00000000
-5.80790395,1.13538393,0.04385512,0.07243176,0.53356366,0.08862071,0.36682415,0.22595350,0.57232719,0.00000000
-5.80190095,1.19157437,0.04845043,0.07399053,0.54992319,0.09470661,0.38572381,0.23643662,0.59609953,0.00000000
-5.79589795,1.24543516,0.05323077,0.07532542,0.56534407,0.10090966,0.40444204,0.24608520,0.61804950,0.00000000
-5.78989495,1.29602311,0.05815628,0.07638135,0.57939310,0.10715130,0.42265270,0.25472656,0.63772150,0.00000000
-5.78389195,1.34243390,0.06318110,0.07710921,0.59166023,0.11334875,0.44002779,0.26220483,0.65469770,0.00000000
-5.77788894,1.38382623,0.06825396,0.07746761,0.60177150,0.11941660,0.45624567,0.26838567,0.66861062,0.00000000
-5.77188594,1.41944402,0.07331889,0.07742433,0.60940052,0.12526856,0.47099900,0.27316008,0.67915392,0.00000000
-5.76588294,1.44863586,0.07831622,0.07695746,0.61427803,0.13081924,0.48400247,0.27644745,0.68609114,0.00000000
