energy_ev,total_up,total_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.21644164,-1.16456219,0.28186051,-0.26089634,0.00000000,-0.00000000,0.02035479,-0.01967443,0.06941776,-0.06385742,0.23275677,-0.21459458,0.29043098,-0.28151256,0.03731348,-0.03803106,0.63147683,-0.60505879
-5.99399700,1.23662079,-1.17331849,0.29094669,-0.26774932,0.00000000,-0.00000000,0.02087818,-0.02021582,0.07294259,-0.06582823,0.24039546,-0.21852849,0.28921067,-0.27838910,0.03793499,-0.03814956,0.64126958,-0.60968335
-5.98799400,1.25960344,-1.18565150,0.30068851,-0.27541166,0.00000000,-0.00000000,0.02133847,-0.02070008,0.07684159,-0.06824733,0.24959109,-0.22402583,0.28851355,-0.27591808,0.03860038,-0.03836627,0.65233645,-0.61597259
-5.98199100,1.28513338,-1.20137676,0.31100950,-0.28383234,0.00000000,-0.00000000,0.02172930,-0.02112158,0.08108794,-0.07109271,0.26035390,-0.23111302,0.28833515,-0.27410146,0.03928281,-0.03865832,0.66454075,-0.62383015
-5.97598799,1.31293179,-1.22028042,0.32182378,-0.29295034,0.00000000,-0.00000000,0.02204478,-0.02147507,0.08565349,-0.07434041,0.27268500,-0.23980798,0.28866823,-0.27293763,0.03995524,-0.03900151,0.67773256,-0.63314283
-5.96998499,1.34270245,-1.24212427,0.33303767,-0.30269563,0.00000000,-0.00000000,0.02227952,-0.02175576,0.09050912,-0.07796493,0.28657649,-0.25012070,0.28950277,-0.27242175,0.04059107,-0.03937096,0.69175182,-0.64378339
-5.96398199,1.37413683,-1.26665035,0.34455140,-0.31299026,0.00000000,-0.00000000,0.02242884,-0.02195939,0.09562514,-0.08193963,0.30201155,-0.26205354,0.29082585,-0.27254566,0.04116474,-0.03974175,0.70643134,-0.65561313
-5.95797899,1.40691918,-1.29358516,0.35626103,-0.32374958,0.00000000,-0.00000000,0.02248881,-0.02208230,0.10097166,-0.08623698,0.31896425,-0.27560124,0.29262137,-0.27329778,0.04165235,-0.04008947,0.72159998,-0.66848446
-5.95197599,1.44073163,-1.32264356,0.36806043,-0.33488358,0.00000000,-0.00000000,0.02245649,-0.02212153,0.10651903,-0.09082899,0.33739934,-0.29075080,0.29486983,-0.27466270,0.04203217,-0.04039088,0.73708572,-0.68224329
-5.94597299,1.47525915,-1.35353252,0.37984334,-0.34629830,0.00000000,-0.00000000,0.02232995,-0.02207491,0.11223826,-0.09568745,0.35727196,-0.30748108,0.29754804,-0.27662079,0.04228522,-0.04062438,0.75271874,-0.69673137
-5.93996998,1.51019437,-1.38595461,0.39150539,-0.35789731,0.00000000,-0.00000000,0.02210848,-0.02194113,0.11810138,-0.10078431,0.37852729,-0.32576225,0.30062900,-0.27914780,0.04239567,-0.04077052,0.76833435,-0.71178862
-5.93396698,1.54524210,-1.41961151,0.40294602,-0.36958324,0.00000000,-0.00000000,0.02179261,-0.02171987,0.12408188,-0.10609191,0.40110031,-0.34555523,0.30408187,-0.28221449,0.04235125,-0.04081247,0.78377580,-0.72725532
-5.92796398,1.58012358,-1.45420738,0.41407033,-0.38125934,0.00000000,-0.00000000,0.02138421,-0.02141183,0.13015499,-0.11158336,0.42491556,-0.36681101,0.30787199,-0.28578647,0.04214352,-0.04073633,0.79889679,-0.74297429
-5.92196098,1.61458003,-1.48945218,0.42479063,-0.39283096,0.00000000,-0.00000000,0.02088654,-0.02101880,0.13629798,-0.11723277,0.44988703,-0.38947008,0.31196117,-0.28982412,0.04176805,-0.04053147,0.81356363,-0.75879295
-5.91595798,1.64837566,-1.52506481,0.43502779,-0.40420701,0.00000000,-0.00000000,0.02030420,-0.02054372,0.14249031,-0.12301553,0.47591819,-0.41346191,0.31630799,-0.29428279,0.04122447,-0.04019072,0.82765705,-0.77456529
-5.90995498,1.68129981,-1.56077607,0.44471221,-0.41530122,0.00000000,-0.00000000,0.01964312,-0.01999066,0.14871372,-0.12890854,0.50290213,-0.43870454,0.32086827,-0.29911313,0.04051643,-0.03971047,0.84107345,-0.79015357
-5.90395198,1.71316812,-1.59633119,0.45378452,-0.42603330,0.00000000,-0.00000000,0.01891046,-0.01936479,0.15495216,-0.13489032,0.53072189,-0.46510447,0.32559566,-0.30426163,0.03965141,-0.03909068,0.85372560,-0.80542984
-5.89794897,1.74382276,-1.63149204,0.46219587,-0.43632987,0.00000000,-0.00000000,0.01811444,-0.01867234,0.16119158,-0.14094115,0.55925081,-0.49255655,0.33044216,-0.30967136,0.03864041,-0.03833480,0.86554282,-0.82027717
-5.89194597,1.77313145,-1.66603867,0.46990781,-0.44612514,0.00000000,-0.00000000,0.01726426,-0.01792050,0.16741963,-0.14704303,0.58835303,-0.52094423,0.33535879,-0.31528281,0.03749758,-0.03744960,0.87647049,-0.83459047
-5.88594297,1.80098549,-1.69977023,0.47689188,-0.45536138,0.00000000,-0.00000000,0.01636978,-0.01711728,0.17362512,-0.15317956,0.61788390,-0.55013982,0.34029614,-0.32103476,0.03623969,-0.03644483,0.88646893,-0.84827694
-5.87993997,1.82729660,-1.73250505,0.48312878,-0.46398900,0.00000000,-0.00000000,0.01544138,-0.01627136,0.17979739,-0.15933572,0.64769047,-0.58000496,0.34520488,-0.32686528,0.03488558,-0.03533288,0.89551179,-0.86125607
-5.87393697,1.85199292,-1.76407989,0.48860728,-0.47196651,0.00000000,-0.00000000,0.01448968,-0.01539191,0.18592561,-0.16549749,0.67761172,-0.61039108,0.35003625,-0.33271257,0.03345549,-0.03412837,0.90358387,-0.87345920
-5.86793397,1.87501399,-1.79434833,0.49332284,-0.47926006,0.00000000,-0.00000000,0.01352529,-0.01448840,0.19199788,-0.17165138,0.70747873,-0.64113988,0.35474238,-0.33851589,0.03197047,-0.03284757,0.91067841,-0.88482852
-5.86193097,1.89630521,-1.82317823,0.49727605,-0.48584281,0.00000000,-0.00000000,0.01255859,-0.01357035,0.19800037,-0.17778381,0.73711460,-0.67208366,0.35927652,-0.34421619,0.03045170,-0.03150794,0.91679418,-0.89531575
-5.85592796,1.91581180,-1.85044839,0.50047089,-0.49169399,0.00000000,-0.00000000,0.01159947,-0.01264717,0.20391635,-0.18388040,0.76633421,-0.70304562,0.36359325,-0.34975674,0.02891984,-0.03012751,0.92193219,-0.90488030
-5.84992496,1.93347266,-1.87604444,0.50291293,-0.49679780,0.00000000,-0.00000000,0.01065713,-0.01172793,0.20972537,-0.18992516,0.79494377,-0.73383983,0.36764855,-0.35508356,0.02739445,-0.02872435,0.92609240,-0.91348704
-5.84392196,1.94921439,-1.89985427,0.50460758,-0.50114214,0.00000000,-0.00000000,0.00973991,-0.01082117,0.21540241,-0.19589971,0.82274032,-0.76427111,0.37139991,-0.36014565,0.02589350,-0.02731606,0.92927043,-0.92110395
-5.83791896,1.96294597,-1.92176302,0.50555840,-0.50471721,0.00000000,-0.00000000,0.00885517,-0.00993475,0.22091736,-0.20178241,0.84951116,-0.79413473,0.37480638,-0.36489513,0.02443290,-0.02591921,0.93145449,-0.92769937
-5.83191596,1.97455426,-1.94164813,0.50576563,-0.50751410,0.00000000,-0.00000000,0.00800914,-0.00907569,0.22623454,-0.20754762,0.87503362,-0.82321597,0.37782878,-0.36928727,0.02302619,-0.02454898,0.93262278,-0.93323943
-5.82591296,1.98390094,-1.95937467,0.50522491,-0.50952338,0.00000000,-0.00000000,0.00720692,-0.00825012,0.23131266,-0.21316506,0.89907499,-0.85128974,0.38042995,-0.37328044,0.02168430,-0.02321875,0.93274141,-0.93768543
-5.81990995,1.99082106,-1.97479131,0.50392651,-0.51073384,0.00000000,-0.00000000,0.00645240,-0.00746312,0.23610503,-0.21859934,0.92139318,-0.87812039,0.38257525,-0.37683611,0.02041542,-0.02193982,0.93176302,-0.94099161
-5.81390695,1.99512367,-1.98772741,0.50185489,-0.51113140,0.00000000,-0.00000000,0.00574833,-0.00671877,0.24056019,-0.22380979,0.94173809,-0.90346188,0.38423325,-0.37991887,0.01922500,-0.02072123,0.92962647,-0.94310331
-5.80790395,1.99659468,-1.99799162,0.49898880,-0.51069839,0.00000000,-0.00000000,0.00509635,-0.00602010,0.24462294,-0.22875054,0.95985391,-0.92705853,0.38537661,-0.38249658,0.01811583,-0.01956966,0.92625735,-0.94395582
-5.80190095,1.99500212,-2.00537222,0.49530191,-0.50941312,0.00000000,-0.00000000,0.00449707,-0.00536913,0.24823572,-0.23337097,0.97548258,-0.94864659,0.38598333,-0.38454082,0.01708821,-0.01848942,0.92156981,-0.94347408
-5.79589795,1.99010382,-2.00963967,0.49076414,-0.50724999,0.00000000,-0.00000000,0.00395018,-0.00476695,0.25134043,-0.23761661,0.98836845,-0.96795680,0.38603813,-0.38602745,0.01614020,-0.01748248,0.91546939,-0.94157325
-5.78989495,1.98165743,-2.01055152,0.48534339,-0.50418011,0.00000000,-0.00000000,0.00345456,-0.00421375,0.25388052,-0.24143037,0.99826412,-0.98471812,0.38553405,-0.38693754,0.01526796,-0.01654870,0.90785707,-0.93816045
-5.78389195,1.96943240,-2.00785968,0.47900792,-0.50017245,0.00000000,-0.00000000,0.00300840,-0.00370895,0.25580338,-0.24475417,1.00493739,-0.99866265,0.38447420,-0.38725856,0.01446606,-0.01568596,0.89863433,-0.93313758
