energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.59602465,0.00986743,0.55072131,0.80977143,0.28670414,0.00708151,1.36365816,1.06025948,0.44742931
-5.99399700,2.61544520,0.01035766,0.54300320,0.82214101,0.29227251,0.00731279,1.38650023,1.08162024,0.44578570
-5.98799400,2.63458061,0.01081156,0.53557419,0.83389420,0.29791489,0.00755634,1.40860007,1.10091686,0.44435349
-5.98199100,2.65283804,0.01122084,0.52844451,0.84480888,0.30354903,0.00780769,1.42951477,1.11771087,0.44307505
-5.97598799,2.66953187,0.01157786,0.52158884,0.85463677,0.30908062,0.00806190,1.44876691,1.13158649,0.44187098
-5.96998499,2.68390445,0.01187587,0.51494921,0.86311011,0.31440605,0.00831362,1.46585730,1.14216173,0.44064277
-5.96398199,2.69515269,0.01210919,0.50843951,0.86995027,0.31941566,0.00855725,1.48028067,1.14909944,0.43927678
-5.95797899,2.70245939,0.01227336,0.50195137,0.87487782,0.32399757,0.00878709,1.49154327,1.15211807,0.43764927
-5.95197599,2.70502770,0.01236527,0.49536123,0.87762357,0.32804174,0.00899746,1.49918180,1.15100147,0.43563224
-5.94597299,2.70211698,0.01238328,0.48853791,0.87794015,0.33144423,0.00918294,1.50278267,1.14560749,0.43309971
-5.93996998,2.69307822,0.01232723,0.48135060,0.87561335,0.33411136,0.00933852,1.50200066,1.13587470,0.42993420
-5.93396698,2.67738732,0.01219846,0.47367660,0.87047284,0.33596368,0.00945981,1.49657595,1.12182714,0.42603287
-5.92796398,2.65467440,0.01199977,0.46540862,0.86240158,0.33693951,0.00954322,1.48634876,1.10357667,0.42131328
-5.92196098,2.62474771,0.01173533,0.45646109,0.85134358,0.33699789,0.00958606,1.47127079,1.08132280,0.41571821
-5.91595798,2.58761079,0.01141053,0.44677541,0.83730938,0.33612086,0.00958673,1.45141270,1.05534993,0.40921942
-5.90995498,2.54347216,0.01103188,0.43632372,0.82037929,0.33431483,0.00954473,1.42696738,1.02602200,0.40182022
-5.90395198,2.49274674,0.01060676,0.42511125,0.80070390,0.33161111,0.00946073,1.39824865,0.99377481,0.39355654
-5.89794897,2.43604901,0.01014325,0.41317696,0.77850202,0.32806549,0.00933655,1.36568532,0.95910603,0.38449667
-5.89194597,2.37417817,0.00964990,0.40059272,0.75405609,0.32375682,0.00917512,1.32981090,0.92256348,0.37473954
-5.88594297,2.30809574,0.00913552,0.38746095,0.72770523,0.31878469,0.00898032,1.29124927,0.88473190,0.36441172
-5.87993997,2.23889685,0.00860893,0.37391101,0.69983630,0.31326635,0.00875692,1.25069695,0.84621868,0.35366327
-5.87393697,2.16777621,0.00807877,0.36009447,0.67087332,0.30733282,0.00851035,1.20890267,0.80763916,0.34266264
-5.86793397,2.09599046,0.00755333,0.34617952,0.64126571,0.30112455,0.00824651,1.16664510,0.76960190,0.33159089
-5.86193097,2.02481852,0.00704037,0.33234495,0.61147600,0.29478663,0.00797161,1.12470971,0.73269445,0.32063550
-5.85592796,1.95552159,0.00654695,0.31877372,0.58196728,0.28846386,0.00769187,1.08386580,0.69747015,0.30998412
-5.84992496,1.88930477,0.00607940,0.30564675,0.55319110,0.28229597,0.00741342,1.04484451,0.66443642,0.29981846
-5.84392196,1.82728176,0.00564320,0.29313696,0.52557621,0.27641294,0.00714203,1.00831899,0.63404482,0.29030867
-5.83791896,1.77044422,0.00524296,0.28140390,0.49951860,0.27093097,0.00688299,0.97488726,0.60668340,0.28160849
-5.83191596,1.71963722,0.00488243,0.27058921,0.47537306,0.26594909,0.00664098,0.94505874,0.58267141,0.27385127
-5.82591296,1.67554145,0.00456453,0.26081303,0.45344667,0.26154652,0.00641996,0.91924472,0.56225655,0.26714712
-5.81990995,1.63866314,0.00429140,0.25217152,0.43399423,0.25778116,0.00622318,0.89775326,0.54561480,0.26158131
-5.81390695,1.60933173,0.00406449,0.24473549,0.41721574,0.25468900,0.00605311,0.88078850,0.53285281,0.25721383
-5.80790395,1.58770526,0.00388465,0.23855012,0.40325593,0.25228463,0.00591152,0.86845434,0.52401249,0.25408020
-5.80190095,1.57378285,0.00375228,0.23363584,0.39220556,0.25056276,0.00579955,0.86076211,0.51907768,0.25219338
-5.79589795,1.56742343,0.00366736,0.22999008,0.38410437,0.24950069,0.00571781,0.85764167,0.51798236,0.25154671
-5.78989495,1.56836953,0.00362965,0.22758982,0.37894543,0.24906153,0.00566652,0.85895533,0.52062006,0.25211746
-5.78389195,1.57627449,0.00363872,0.22639478,0.37668043,0.24919796,0.00564566,0.86451356,0.52685375,0.25387106
-5.77788894,1.59073155,0.00369405,0.22635091,0.37722563,0.24985643,0.00565509,0.87409170,0.53652586,0.25676544
-5.77188594,1.61130305,0.00379511,0.22739409,0.38046808,0.25098136,0.00569475,0.88744661,0.54946766,0.26075539
-5.76588294,1.63754797,0.00394136,0.22945369,0.38627182,0.25251918,0.00576474,0.90433229,0.56550757,0.26579657
-5.75987994,1.66904618,0.00413227,0.23245589,0.39448361,0.25442198,0.00586544,0.92451361,0.58447794,0.27184896
-5.75387694,1.70541810,0.00436727,0.23632643,0.40493807,0.25665047,0.00599759,0.94777732,0.60621976,0.27887954
-5.74787394,1.74633856,0.00464574,0.24099283,0.41746192,0.25917615,0.00616231,0.97393982,0.63058522,0.28686398
-5.74187094,1.79154430,0.00496687,0.24638579,0.43187726,0.26198244,0.00636109,1.00285131,0.65743791,0.29578737
-5.73586793,1.84083478,0.00532961,0.25243991,0.44800388,0.26506486,0.00659574,1.03439609,0.68665063,0.30564384
-5.72986493,1.89406653,0.00573251,0.25909365,0.46566057,0.26843013,0.00686828,1.06848936,0.71810122,0.31643526
-5.72386193,1.95114174,0.00617362,0.26628860,0.48466560,0.27209435,0.00718080,1.10507069,0.75166652,0.32816904
-5.71785893,2.01199209,0.00665036,0.27396826,0.50483660,0.27608032,0.00753529,1.14409486,0.78721517,0.34085530
-5.71185593,2.07655939,0.00715941,0.28207642,0.52599000,0.28041436,0.00793342,1.18552099,0.82459982,0.35450365
-5.70585293,2.14477456,0.00769665,0.29055544,0.54794042,0.28512261,0.00837636,1.22930067,0.86364936,0.36911983
-5.69984992,2.21653685,0.00825703,0.29934455,0.57050019,0.29022736,0.00886451,1.27536638,0.90416209,0.38470259
-5.69384692,2.29169512,0.00883465,0.30837839,0.59347938,0.29574343,0.00939738,1.32362098,0.94590032,0.40124098
-5.68784392,2.37003290,0.00942270,0.31758613,0.61668645,0.30167515,0.00997331,1.37392948,0.98858729,0.41871242
-5.68184092,2.45125846,0.01001359,0.32689109,0.63992987,0.30801380,0.01058942,1.42611355,1.03190669,0.43708167
-5.67583792,2.53500127,0.01059907,0.33621121,0.66302061,0.31473613,0.01124145,1.47994968,1.07550529,0.45630087
