energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,6.00020480,3.23311217,0.94754147,0.01179922,1.53738672,2.24668017,0.00000000
-5.99399700,5.74502650,3.10399605,0.90441997,0.01133104,1.48029180,2.14200343,0.00000000
-5.98799400,5.47655984,2.96515683,0.85993294,0.01084440,1.41960857,2.03221640,0.00000000
-5.98199100,5.19695329,2.81810518,0.81434882,0.01034026,1.35570478,1.91840578,0.00000000
-5.97598799,4.90863069,2.66449311,0.76798117,0.00982038,1.28904796,1.80172771,0.00000000
-5.96998499,4.61423269,2.50607289,0.72118177,0.00928721,1.22019464,1.68337925,0.00000000
-5.96398199,4.31655291,2.34465442,0.67433266,0.00874391,1.14977705,1.56456942,0.00000000
-5.95797899,4.01847161,2.18206283,0.62783774,0.00819414,1.07848790,1.44649106,0.00000000
-5.95197599,3.72288975,2.02009790,0.58211410,0.00764203,1.00706413,1.33029467,0.00000000
-5.94597299,3.43266624,1.86049678,0.53758366,0.00709202,0.93627029,1.21706500,0.00000000
-5.93996998,3.15056062,1.70490122,0.49466544,0.00654869,0.86688229,1.10780119,0.00000000
-5.93396698,2.87918313,1.55483016,0.45376856,0.00601670,0.79967217,1.00340113,0.00000000
-5.92796398,2.62095347,1.41165826,0.41528638,0.00550059,0.73539434,0.90465004,0.00000000
-5.92196098,2.37806898,1.27660063,0.37959179,0.00500469,0.67477361,0.81221360,0.00000000
-5.91595798,2.15248248,1.15070358,0.34703353,0.00453305,0.61849531,0.72663522,0.00000000
-5.90995498,1.94588924,1.03484110,0.31793368,0.00408934,0.56719738,0.64833724,0.00000000
-5.90395198,1.75972232,0.92971628,0.29258598,0.00367678,0.52146447,0.57762538,0.00000000
-5.89794897,1.59515471,0.83586688,0.27125483,0.00329814,0.48182360,0.51469585,0.00000000
-5.89194597,1.45310687,0.75367411,0.25417465,0.00295569,0.44874120,0.45964435,0.00000000
-5.88594297,1.33425773,0.68337338,0.24154938,0.00265123,0.42262096,0.41247619,0.00000000
-5.87993997,1.23905725,0.62506618,0.23355165,0.00238608,0.40380209,0.37311681,0.00000000
-5.87393697,1.16773893,0.57873194,0.23032164,0.00216113,0.39255750,0.34142198,0.00000000
-5.86793397,1.12033052,0.54423906,0.23196510,0.00197684,0.38909150,0.31718715,0.00000000
-5.86193097,1.09666194,0.52135450,0.23855063,0.00183331,0.39353678,0.30015548,0.00000000
-5.85592796,1.09636946,0.50975134,0.25010603,0.00173029,0.40595030,0.29002431,0.00000000
-5.84992496,1.11889588,0.50901426,0.26661388,0.00166721,0.42630835,0.28644987,0.00000000
-5.84392196,1.16348695,0.51864277,0.28800638,0.00164319,0.45450070,0.28905030,0.00000000
-5.83791896,1.22918462,0.53805276,0.31415994,0.00165708,0.49032420,0.29740723,0.00000000
-5.83191596,1.31481852,0.56657651,0.34488966,0.00170744,0.53347638,0.31106614,0.00000000
-5.82591296,1.41899687,0.60346216,0.37994430,0.00179251,0.58354969,0.32953594,0.00000000
-5.81990995,1.54009910,0.64787325,0.41900228,0.00191027,0.64002693,0.35228839,0.00000000
-5.81390695,1.67627178,0.69888928,0.46166916,0.00205835,0.70227890,0.37875770,0.00000000
-5.80790395,1.82543025,0.75550818,0.50747715,0.00223405,0.76956481,0.40834104,0.00000000
-5.80190095,1.98526761,0.81665147,0.55588724,0.00243432,0.84103645,0.44040028,0.00000000
-5.79589795,2.15327281,0.88117284,0.60629422,0.00265576,0.91574647,0.47426550,0.00000000
-5.78989495,2.32675894,0.94787065,0.65803493,0.00289461,0.99266139,0.50924047,0.00000000
-5.78389195,2.50290253,1.01550462,0.71039994,0.00314679,1.07067950,0.54461037,0.00000000
-5.77788894,2.67879360,1.08281665,0.76264841,0.00340791,1.14865360,0.57965168,0.00000000
-5.77188594,2.85149599,1.14855567,0.81402607,0.00367335,1.22541819,0.61364409,0.00000000
-5.76588294,3.01811642,1.21150563,0.86378576,0.00393830,1.29982055,0.64588419,0.00000000
-5.75987994,3.17588023,1.27051614,0.91120995,0.00419790,1.37075472,0.67570046,0.00000000
-5.75387694,3.32221111,1.32453443,0.95563432,0.00444731,1.43719711,0.70246895,0.00000000
-5.74787394,3.45481157,1.37263749,0.99647156,0.00468184,1.49824251,0.72562912,0.00000000
-5.74187094,3.57174076,1.41406303,1.03323423,0.00489710,1.55313868,0.74469898,0.00000000
-5.73586793,3.67148586,1.44823785,1.06555571,0.00508911,1.60131811,0.75928892,0.00000000
-5.72986493,3.75302360,1.47480229,1.09320795,0.00525447,1.64242525,0.76911362,0.00000000
-5.72386193,3.81586847,1.49362957,1.11611527,0.00539044,1.67633761,0.77400121,0.00000000
-5.71785893,3.86010485,1.50483896,1.13436310,0.00549509,1.70317956,0.77389952,0.00000000
-5.71185593,3.88640095,1.50880206,1.14820116,0.00556739,1.72332776,0.76887879,0.00000000
-5.70585293,3.89600293,1.50614178,1.15804047,0.00560723,1.73740750,0.75913085,0.00000000
-5.69984992,3.89070902,1.49772378,1.16444421,0.00561553,1.74627974,0.74496465,0.00000000
-5.69384692,3.87282377,1.48464071,1.16811238,0.00559420,1.75101904,0.72679842,0.00000000
-5.68784392,3.84509412,1.46818977,1.16986077,0.00554611,1.75288288,0.70514864,0.00000000
-5.68184092,3.81062927,1.44984427,1.17059498,0.00547504,1.75327366,0.68061638,0.00000000
-5.67583792,3.77280770,1.43122050,1.17128042,0.00538558,1.75369449,0.65387153,0.00000000
-5.66983492,3.73517481,1.41404085,1.17290955,0.00528300,1.75570089,0.62563549,0.00000000
-5.66383192,3.70133546,1.40009477,1.17646768,0.00517309,1.76085010,0.59666308,0.00000000
-5.65782891,3.67484561,1.39119873,1.18289882,0.00506199,1.77065037,0.56772424,0.00000000
-5.65182591,3.65910770,1.38915655,1.19307315,0.00495600,1.78651225,0.53958615,0.00000000
-5.64582291,3.65727353,1.39572136,1.20775741,0.00486136,1.80970407,0.51299623,0.00000000
-5.63981991,3.67215878,1.41256003,1.22758967,0.00478408,1.84131354,0.48866661,0.00000000
-5.63381691,3.70617191,1.44122104,1.25305960,0.00472969,1.88221696,0.46726026,0.00000000
-5.62781391,3.76126000,1.48310627,1.28449498,0.00470310,1.93305743,0.44937903,0.00000000
-5.62181091,3.83887298,1.53944703,1.32205519,0.00470840,1.99423270,0.43555374,0.00000000
-5.61580790,3.93994672,1.61128439,1.36573172,0.00474870,2.06589314,0.42623628,0.00000000
-5.60980490,4.06490460,1.69945377,1.41535573,0.00482604,2.14794940,0.42179370,0.00000000
-5.60380190,4.21367642,1.80457329,1.47061206,0.00494130,2.24008926,0.42250403,0.00000000
-5.59779890,4.38573243,1.92703566,1.53105891,0.00509412,2.34180229,0.42855384,0.00000000
-5.59179590,4.58012986,2.06700292,1.59615206,0.00528292,2.45241097,0.44003714,0.00000000
-5.58579290,4.79556869,2.22440353,1.66527239,0.00550492,2.57110619,0.45695555,0.00000000
-5.57978989,5.03045320,2.39893137,1.73775503,0.00575618,2.69698523,0.47921955,0.00000000
-5.57378689,5.28295566,2.59004617,1.81291871,0.00603178,2.82908988,0.50665067,0.00000000
-5.56778389,5.55107864,2.79697505,1.89009372,0.00632587,2.96644265,0.53898452,0.00000000
-5.56178089,5.83271279,3.01871511,1.96864689,0.00663190,3.10807919,0.57587461,0.00000000
-5.55577789,6.12568738,3.25403692,2.04800241,0.00694283,3.25307492,0.61689701,0.00000000
-5.54977489,6.42781141,3.50148928,2.12765738,0.00725129,3.40056484,0.66155582,0.00000000
-5.54377189,6.73690394,3.75940542,2.20719128,0.00754985,3.54975537,0.70928958,0.00000000
-5.53776888,7.05081309,4.02591118,2.28626896,0.00783127,3.69992792,0.75947856,0.00000000
-5.53176588,7.36742368,4.29893561,2.36463717,0.00808866,3.85043419,0.81145318,0.00000000
-5.52576288,7.68465466,4.57622477,2.44211478,0.00831576,4.00068388,0.86450344,0.00000000
-5.51975988,8.00044781,4.85535902,2.51857753,0.00850709,4.15012577,0.91788945,0.00000000
-5.51375688,8.31274985,5.13377458,2.59393820,0.00865813,4.29822380,0.97085294,0.00000000
-5.50775388,8.61949081,5.40878963,2.66812344,0.00876544,4.44442978,1.02262976,0.00000000
-5.50175088,8.91856131,5.67763525,2.74104885,0.00882675,4.58815496,1.07246315,0.00000000
-5.49574787,9.20779190,5.93749128,2.81259375,0.00884101,4.72874255,1.11961756,0.00000000
-5.48974487,9.48493742,6.18552693,2.88257737,0.00880842,4.86544329,1.16339275,0.00000000
-5.48374187,9.74766902,6.41894573,2.95073803,0.00873034,4.99739635,1.20313791,0.00000000
-5.47773887,9.99357607,6.63503424,3.01671680,0.00860929,5.12361715,1.23826538,0.00000000
-5.47173587,10.22017976,6.83121355,3.08004686,0.00844882,5.24299366,1.26826360,0.00000000
-5.46573287,10.42495938,7.00509253,3.14014960,0.00825339,5.35429232,1.29270894,0.00000000
-5.45972986,10.60539155,7.15452141,3.19633804,0.00802821,5.45617394,1.31127601,0.00000000
