energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,3.74030111,1.46410017,0.41359652,0.01349301,0.44963520,0.96693901,1.26999310,0.00324355,1.66866169
-5.99399700,3.79884255,1.53834980,0.42784224,0.01427936,0.43521610,1.01156064,1.25606887,0.00330609,1.73214129
-5.98799400,3.85039371,1.60923808,0.44132217,0.01501847,0.42023899,1.05313168,1.24014484,0.00338319,1.79207555
-5.98199100,3.89371480,1.67573121,0.45378217,0.01569869,0.40483449,1.09104444,1.22220777,0.00347001,1.84745521
-5.97598799,3.92762941,1.73682165,0.46497711,0.01630894,0.38913423,1.12473937,1.20225400,0.00356217,1.89730791
-5.96998499,3.95106181,1.79155295,0.47467732,0.01683907,0.37326972,1.15372060,1.18029439,0.00365574,1.94072390
-5.96398199,3.96307330,1.83904415,0.48267479,0.01728009,0.35737123,1.17757015,1.15635935,0.00374735,1.97688088
-5.95797899,3.96289598,1.87851290,0.48878896,0.01762442,0.34156694,1.19596007,1.13050377,0.00383420,2.00506721
-5.95197599,3.94996264,1.90929643,0.49287184,0.01786614,0.32598213,1.20866225,1.10281134,0.00391406,2.02470240
-5.94597299,3.92393128,1.93086960,0.49481228,0.01800111,0.31073841,1.21555538,1.07339803,0.00398531,2.03535432
-5.93996998,3.88470320,1.94285953,0.49453926,0.01802713,0.29595307,1.21662888,1.04241447,0.00404690,2.03675223
-5.93396698,3.83243378,1.94505615,0.49202401,0.01794394,0.28173828,1.21198365,1.01004695,0.00409836,2.02879539
-5.92796398,3.76753537,1.93741851,0.48728086,0.01775329,0.26820039,1.20182973,0.97651690,0.00413978,2.01155667
-5.92196098,3.69067223,1.92007646,0.48036697,0.01745882,0.25543903,1.18648090,0.94207879,0.00417174,1.98528128
-5.91595798,3.60274743,1.89332786,0.47138067,0.01706596,0.24354625,1.16634655,0.90701655,0.00419526,1.95038055
-5.90995498,3.50488255,1.85763146,0.46045873,0.01658179,0.23260554,1.14192112,0.87163847,0.00421180,1.90742109
-5.90395198,3.39839068,1.81359558,0.44777254,0.01601481,0.22269091,1.11377171,0.83627090,0.00422313,1.85710974
-5.89794897,3.28474410,1.76196326,0.43352342,0.01537470,0.21386590,1.08252413,0.80125105,0.00423130,1.80027498
-5.89194597,3.16553775,1.70359423,0.41793718,0.01467206,0.20618280,1.04884811,0.76691904,0.00423857,1.73784543
-5.88594297,3.04245006,1.63944441,0.40125817,0.01391810,0.19968192,1.01344220,0.73360983,0.00424733,1.67082625
-5.87993997,2.91720269,1.57054366,0.38374309,0.01312441,0.19439119,0.97701885,0.70164514,0.00426005,1.60027440
-5.87393697,2.79152059,1.49797241,0.36565469,0.01230262,0.19032600,0.94029023,0.67132595,0.00427919,1.52727340
-5.86793397,2.66709404,1.42283799,0.34725565,0.01146418,0.18748946,0.90395520,0.64292577,0.00430715,1.45290870
