energy_ev,total_up,Cd_p_up,Cd_d_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.80099812,0.32774572,0.30294303,1.31696408,0.22125461,0.05495702,0.07501864,0.03678564,0.80943149
-5.99399700,1.83283427,0.33609867,0.30736231,1.35488077,0.21878818,0.05603275,0.07625106,0.03701108,0.82913573
-5.98799400,1.86241489,0.34367391,0.31069355,1.38810064,0.21776900,0.05681913,0.07734394,0.03716645,0.84840097
-5.98199100,1.88881654,0.35037848,0.31279320,1.41599466,0.21803102,0.05728891,0.07827800,0.03723320,0.86679498
-5.97598799,1.91122307,0.35613927,0.31355137,1.43805646,0.21939607,0.05742194,0.07903897,0.03719568,0.88391556
-5.96998499,1.92894050,0.36090171,0.31289425,1.45391041,0.22167849,0.05720591,0.07961700,0.03704163,0.89939715
-5.96398199,1.94140708,0.36462801,0.31078535,1.46331558,0.22468969,0.05663677,0.08000602,0.03676241,0.91291605
-5.95797899,1.94819914,0.36729520,0.30722546,1.46616590,0.22824242,0.05571882,0.08020293,0.03635316,0.92419450
-5.95197599,1.94903312,0.36889316,0.30225133,1.46248674,0.23215509,0.05446455,0.08020701,0.03581279,0.93300381
-5.94597299,1.94376462,0.36942289,0.29593339,1.45242854,0.23625591,0.05289416,0.08001921,0.03514381,0.93916690
-5.93996998,1.93238507,0.36889518,0.28837252,1.43625796,0.24038707,0.05103478,0.07964175,0.03435207,0.94256040
-5.93396698,1.91501692,0.36732973,0.27969615,1.41434726,0.24440884,0.04891957,0.07907779,0.03344639,0.94311659
-5.92796398,1.89190789,0.36475493,0.27005385,1.38716256,0.24820363,0.04658649,0.07833128,0.03243815,0.94082531
-5.92196098,1.86342474,0.36120813,0.25961273,1.35525150,0.25167986,0.04407714,0.07740705,0.03134083,0.93573590
-5.91595798,1.83004704,0.35673644,0.24855270,1.31923085,0.25477560,0.04143537,0.07631103,0.03016954,0.92795902
-5.90995498,1.79236090,0.35139799,0.23706194,1.27977445,0.25746176,0.03870603,0.07505056,0.02894057,0.91766831
-5.90395198,1.75105260,0.34526333,0.22533255,1.23760170,0.25974466,0.03593368,0.07363487,0.02767095,0.90510157
-5.89794897,1.70690184,0.33841684,0.21355671,1.19346669,0.26166784,0.03316144,0.07207552,0.02637805,0.89056112
-5.89194597,1.66077415,0.33095803,0.20192315,1.14814792,0.26331285,0.03043000,0.07038687,0.02507926,0.87441292
-5.88594297,1.61361188,0.32300221,0.19061418,1.10243855,0.26479881,0.02777676,0.06858636,0.02379162,0.85708414
-5.87993997,1.56642320,0.31468071,0.17980317,1.05713675,0.26628065,0.02523515,0.06669483,0.02253164,0.83905875
-5.87393697,1.52026854,0.30614010,0.16965240,1.01303599,0.26794587,0.02283422,0.06473645,0.02131502,0.82087076
-5.86793397,1.47624396,0.29754058,0.16031132,0.97091496,0.27000972,0.02059829,0.06273863,0.02015649,0.80309500
-5.86193097,1.43546126,0.28905321,0.15191501,0.93152675,0.27270885,0.01854690,0.06073153,0.01906963,0.78633525
-5.85592796,1.39902465,0.28085624,0.14458285,0.89558727,0.27629357,0.01669480,0.05874746,0.01806671,0.77120980
-5.84992496,1.36800415,0.27313044,0.13841727,0.86376262,0.28101871,0.01505216,0.05682003,0.01715857,0.75833474
-5.84392196,1.34340637,0.26605362,0.13350257,0.83665569,0.28713352,0.01362479,0.05498308,0.01635443,0.74830527
-5.83791896,1.32614311,0.25979460,0.12990369,0.81479203,0.29487076,0.01241454,0.05326950,0.01566181,0.74167559
-5.83191596,1.31699909,0.25450684,0.12766500,0.79860540,0.30443555,0.01141961,0.05171001,0.01508633,0.73893819
-5.82591296,1.31659988,0.25032209,0.12680908,0.78842351,0.31599420,0.01063498,0.05033184,0.01463159,0.74050323
-5.81990995,1.32538145,0.24734423,0.12733554,0.78445456,0.32966370,0.01005281,0.04915757,0.01429906,0.74667889
-5.81390695,1.34356289,0.24564393,0.12921999,0.78677527,0.34550223,0.00966280,0.04820395,0.01408796,0.75765386
-5.80790395,1.37112388,0.24525404,0.13241328,0.79532117,0.36350127,0.00945254,0.04748106,0.01399520,0.77348251
-5.80190095,1.40778821,0.24616639,0.13684095,0.80987980,0.38357970,0.00940784,0.04699158,0.01401532,0.79407398
-5.79589795,1.45301485,0.24832987,0.14240332,0.83008768,0.40558024,0.00951300,0.04673041,0.01414054,0.81918569
-5.78989495,1.50599747,0.25165026,0.14897598,0.85543147,0.42926877,0.00975111,0.04668460,0.01436084,0.84842200
-5.78389195,1.56567330,0.25599164,0.15641112,0.88525386,0.45433645,0.01010425,0.04683358,0.01466407,0.88123843
-5.77788894,1.63074154,0.26117955,0.16453946,0.91876436,0.48040495,0.01055376,0.04714971,0.01503626,0.91695144
-5.77188594,1.69969143,0.26700580,0.17317305,0.95505514,0.50703471,0.01108046,0.04759917,0.01546179,0.95475399
-5.76588294,1.77083929,0.27323469,0.18210887,0.99312158,0.53373601,0.01166492,0.04814310,0.01592387,0.99373631
-5.75987994,1.84237367,0.27961053,0.19113313,1.03188711,0.55998256,0.01228770,0.04873894,0.01640489,1.03291131
-5.75387694,1.91240721,0.28586605,0.20002626,1.07023169,0.58522721,0.01292965,0.04934201,0.01688694,1.07124399
-5.74787394,1.97903331,0.29173145,0.20856839,1.10702299,0.60891919,0.01357223,0.04990708,0.01735226,1.10768352
