energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,2.67482802,0.21632833,0.01352304,0.02610830,0.00000000,1.10475389,0.39267669,0.02193812,1.34173856
-5.99399700,2.59412708,0.20977831,0.01316651,0.02531470,0.00000000,1.07383559,0.38037205,0.02123286,1.30298087
-5.98799400,2.50668119,0.20261465,0.01278760,0.02445230,0.00000000,1.03996871,0.36713113,0.02048762,1.26075926
-5.98199100,2.41378974,0.19496576,0.01239670,0.02353215,0.00000000,1.00373900,0.35313418,0.01970882,1.21570882
-5.97598799,2.31678889,0.18696254,0.01200591,0.02256580,0.00000000,0.96575004,0.33856964,0.01890318,1.16848123
-5.96998499,2.21702581,0.17873522,0.01162913,0.02156511,0.00000000,0.92661141,0.32363058,0.01807760,1.11973214
-5.96398199,2.11583458,0.17041024,0.01128201,0.02054198,0.00000000,0.88692761,0.30851129,0.01723911,1.07010929
-5.95797899,2.01451435,0.16210754,0.01098213,0.01950818,0.00000000,0.84728792,0.29340414,0.01639481,1.02024176
-5.95197599,1.91431025,0.15393805,0.01074903,0.01847517,0.00000000,0.80825751,0.27849669,0.01555177,0.97073041
-5.94597299,1.81639711,0.14600159,0.01060442,0.01745393,0.00000000,0.77036993,0.26396918,0.01471703,0.92213975
-5.93996998,1.72186652,0.13838530,0.01057231,0.01645485,0.00000000,0.73412120,0.24999250,0.01389754,0.87499120
-5.93396698,1.63171706,0.13116242,0.01067921,0.01548759,0.00000000,0.69996542,0.23672654,0.01310016,0.82975803
-5.92796398,1.54684792,0.12439156,0.01095434,0.01456104,0.00000000,0.66831216,0.22431900,0.01233158,0.78686182
-5.92196098,1.46805571,0.11811652,0.01142979,0.01368324,0.00000000,0.63952540,0.21290472,0.01159838,0.74667046
-5.91595798,1.39603430,0.11236650,0.01214065,0.01286136,0.00000000,0.61392407,0.20260533,0.01090693,0.70949783
-5.90995498,1.33137741,0.10715675,0.01312507,0.01210168,0.00000000,0.59178392,0.19352938,0.01026338,0.67560480
-5.90395198,1.27458356,0.10248967,0.01442419,0.01140964,0.00000000,0.57334058,0.18577271,0.00967364,0.64520163
-5.89794897,1.22606276,0.09835616,0.01608199,0.01078980,0.00000000,0.55879340,0.17941904,0.00914335,0.61845146
-5.89194597,1.18614448,0.09473731,0.01814486,0.01024595,0.00000000,0.54830987,0.17454067,0.00867782,0.59547466
-5.88594297,1.15508614,0.09160631,0.02066104,0.00978112,0.00000000,0.54203001,0.17119920,0.00828196,0.57635383
-5.87993997,1.13308126,0.08893036,0.02367979,0.00939766,0.00000000,0.54007048,0.16944607,0.00796029,0.56113894
-5.87393697,1.12026672,0.08667280,0.02725032,0.00909723,0.00000000,0.54252790,0.16932289,0.00771679,0.54985245
-5.86793397,1.11672821,0.08479500,0.03142038,0.00888092,0.00000000,0.54948087,0.17086135,0.00755491,0.54249388
-5.86193097,1.12250335,0.08325829,0.03623469,0.00874924,0.00000000,0.56099053,0.17408277,0.00747741,0.53904355
-5.85592796,1.13758192,0.08202553,0.04173304,0.00870212,0.00000000,0.57709920,0.17899703,0.00748634,0.53946523
-5.84992496,1.16190284,0.08106255,0.04794821,0.00873894,0.00000000,0.59782704,0.18560111,0.00758291,0.54370736
-5.84392196,1.19534790,0.08033917,0.05490378,0.00885847,0.00000000,0.62316669,0.19387700,0.00776739,0.55170276
-5.83791896,1.23773243,0.07982993,0.06261177,0.00905886,0.00000000,0.65307599,0.20378928,0.00803904,0.56336680
-5.83191596,1.28879323,0.07951437,0.07107044,0.00933754,0.00000000,0.68746922,0.21528239,0.00839595,0.57859409
-5.82591296,1.34817468,0.07937705,0.08026209,0.00969120,0.00000000,0.72620713,0.22827775,0.00883504,0.59725391
-5.81990995,1.41541393,0.07940713,0.09015119,0.01011566,0.00000000,0.76908650,0.24267098,0.00935188,0.61918469
-5.81390695,1.48992630,0.07959771,0.10068284,0.01060581,0.00000000,0.81583005,0.25832948,0.00994072,0.64418806
-5.80790395,1.57099235,0.07994488,0.11178178,0.01115553,0.00000000,0.86607722,0.27509052,0.01059442,0.67202280
-5.80190095,1.65774784,0.08044664,0.12335192,0.01175768,0.00000000,0.91937697,0.29276025,0.01130446,0.70239947
-5.79589795,1.74917794,0.08110164,0.13527664,0.01240400,0.00000000,0.97518324,0.31111368,0.01206100,0.73497614
-5.78989495,1.84411686,0.08190793,0.14741987,0.01308521,0.00000000,1.03285379,0.32989595,0.01285293,0.76935572
-5.78389195,1.94125389,0.08286177,0.15962791,0.01379099,0.00000000,1.09165307,0.34882498,0.01366805,0.80508553
