energy_ev,total_up,Au_p_up,Au_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,1.52979373,0.75285808,0.94651223,0.22835229,0.00072029,0.20787250,0.00000000
-5.99399700,1.51540051,0.73702826,0.93941309,0.22405983,0.00070645,0.20559164,0.00000000
-5.98799400,1.49383166,0.71680324,0.92817141,0.21848133,0.00068837,0.20222056,0.00000000
-5.98199100,1.46598438,0.69269526,0.91333174,0.21177134,0.00066649,0.19787517,0.00000000
-5.97598799,1.43290929,0.66530526,0.89552830,0.20411073,0.00064135,0.19269382,0.00000000
-5.96998499,1.39577805,0.63530713,0.87546464,0.19570195,0.00061353,0.18683296,0.00000000
-5.96398199,1.35584861,0.60343061,0.85389188,0.18676389,0.00058371,0.18046254,0.00000000
-5.95797899,1.31442963,0.57044357,0.83158679,0.17752655,0.00055256,0.17376107,0.00000000
-5.95197599,1.27284584,0.53713436,0.80933050,0.16822575,0.00052079,0.16691084,0.00000000
-5.94597299,1.23240556,0.50429479,0.78788880,0.15909805,0.00048911,0.16009325,0.00000000
-5.93996998,1.19437167,0.47270445,0.76799486,0.15037603,0.00045822,0.15348465,0.00000000
-5.93396698,1.15993692,0.44311639,0.75033473,0.14228413,0.00042879,0.14725263,0.00000000
-5.92796398,1.13020399,0.41624473,0.73553611,0.13503494,0.00040146,0.14155295,0.00000000
-5.92196098,1.10617051,0.39275396,0.72416036,0.12882607,0.00037680,0.13652716,0.00000000
-5.91595798,1.08871887,0.37325000,0.71669753,0.12383762,0.00035536,0.13230083,0.00000000
-5.90995498,1.07861008,0.35827273,0.71356425,0.12023000,0.00033761,0.12898242,0.00000000
-5.90395198,1.07648108,0.34828985,0.71510362,0.11814220,0.00032395,0.12666260,0.00000000
-5.89794897,1.08284432,0.34369146,0.72158670,0.11769026,0.00031474,0.12541410,0.00000000
-5.89194597,1.09808872,0.34478538,0.73321467,0.11896589,0.00031024,0.12529168,0.00000000
-5.88594297,1.12248068,0.35179268,0.75012106,0.12203520,0.00031066,0.12633235,0.00000000
-5.87993997,1.15616453,0.36484331,0.77237334,0.12693735,0.00031614,0.12855560,0.00000000
-5.87393697,1.19916144,0.38397178,0.79997329,0.13368320,0.00032675,0.13196357,0.00000000
-5.86793397,1.25136639,0.40911289,0.83285593,0.14225386,0.00034248,0.13654106,0.00000000
-5.86193097,1.31254326,0.44009771,0.87088679,0.15259937,0.00036324,0.14225542,0.00000000
-5.85592796,1.38231808,0.47665017,0.91385768,0.16463741,0.00038888,0.14905627,0.00000000
-5.84992496,1.46017120,0.51838457,0.96148133,0.17825230,0.00041916,0.15687512,0.00000000
-5.84392196,1.54542921,0.56480473,1.01338533,0.19329444,0.00045377,0.16562503,0.00000000
