energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,2.66790472,0.00734957,0.15874942,0.32423815,0.92506686,1.39104089,0.03032779,0.77277423
-5.99399700,2.62312346,0.00749842,0.15283849,0.31822029,0.90266152,1.36716095,0.02974312,0.76472601
-5.98799400,2.57323480,0.00761397,0.14692000,0.31172117,0.87915940,1.34035632,0.02909790,0.75506815
-5.98199100,2.51897809,0.00769533,0.14109924,0.30485342,0.85499970,1.31096713,0.02840275,0.74396121
-5.97598799,2.46121794,0.00774250,0.13548839,0.29773543,0.83068829,1.27939227,0.02766889,0.73160493
-5.96998499,2.40093581,0.00775641,0.13020501,0.29049061,0.80679144,1.24608480,0.02690802,0.71823759
-5.96398199,2.33921907,0.00773893,0.12537045,0.28324669,0.78392763,1.21154652,0.02613226,0.70413452
-5.95797899,2.27724771,0.00769288,0.12110808,0.27613505,0.76275745,1.17632156,0.02535404,0.68960567
-5.95197599,2.21627856,0.00762193,0.11754149,0.26929006,0.74397175,1.14098913,0.02458601,0.67499220
-5.94597299,2.15762710,0.00753057,0.11479252,0.26284817,0.72827810,1.10615552,0.02384101,0.66066203
-5.93996998,2.10264700,0.00742403,0.11297930,0.25694688,0.71638597,1.07244522,0.02313201,0.64700445
-5.93396698,2.05270737,0.00730811,0.11221412,0.25172345,0.70899063,1.04049127,0.02247197,0.63442364
-5.92796398,2.00916808,0.00718907,0.11260127,0.24731322,0.70675631,1.01092503,0.02187381,0.62333134
-5.92196098,1.97335321,0.00707347,0.11423488,0.24384761,0.71029877,0.98436506,0.02135031,0.61413862
-5.91595798,1.94652319,0.00696798,0.11719663,0.24145181,0.72016789,0.96140563,0.02091395,0.60724704
-5.90995498,1.92984592,0.00687921,0.12155352,0.24024205,0.73683047,0.94260476,0.02057681,0.60303918
-5.90395198,1.92436765,0.00681351,0.12735566,0.24032267,0.76065396,0.92847197,0.02035036,0.60186900
-5.89794897,1.93098418,0.00677675,0.13463413,0.24178287,0.79189137,0.91945616,0.02024531,0.60405209
-5.89194597,1.95041321,0.00677419,0.14339901,0.24469347,0.83066804,0.91593376,0.02027139,0.60985617
-5.88594297,1.98316877,0.00681023,0.15363763,0.24910359,0.87697071,0.91819758,0.02043714,0.61949211
-5.87993997,2.02953864,0.00688832,0.16531310,0.25503752,0.93063929,0.92644672,0.02074964,0.63310591
-5.87393697,2.08956559,0.00701073,0.17836326,0.26249188,0.99136179,0.94077790,0.02121434,0.65077168
