energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,9.29502185,0.02056660,1.94906175,0.01156107,0.00000000,6.33279367,4.81528732,2.44707055,0.00000000
-5.99399700,9.55005989,0.02138626,2.00975494,0.01157248,0.00000000,6.52845634,4.97356288,2.48479423,0.00000000
-5.98799400,9.80169473,0.02224690,2.06793273,0.01166528,0.00000000,6.72763571,5.12770877,2.52322251,0.00000000
-5.98199100,10.04610730,0.02314116,2.12249323,0.01183469,0.00000000,6.92746619,5.27551823,2.56184016,0.00000000
-5.97598799,10.27945184,0.02406006,2.17239076,0.01207510,0.00000000,7.12482296,5.41484235,2.60007668,0.00000000
-5.96998499,10.49793862,0.02499315,2.21666123,0.01238015,0.00000000,7.31639897,5.54363037,2.63731775,0.00000000
-5.96398199,10.69791571,0.02592861,2.25444520,0.01274287,0.00000000,7.49878939,5.65996779,2.67291775,0.00000000
-5.95797899,10.87594742,0.02685348,2.28500810,0.01315575,0.00000000,7.66858101,5.76211124,2.70621286,0.00000000
-5.95197599,11.02888711,0.02775390,2.30775672,0.01361087,0.00000000,7.82244385,5.84851935,2.73653454,0.00000000
-5.94597299,11.15394261,0.02861539,2.32225172,0.01409996,0.00000000,7.95722222,5.91787885,2.76322299,0.00000000
-5.93996998,11.24873287,0.02942317,2.32821566,0.01461456,0.00000000,8.07002228,5.96912546,2.78564050,0.00000000
-5.93396698,11.31133458,0.03016250,2.32553652,0.01514611,0.00000000,8.15829349,6.00145937,2.80318454,0.00000000
-5.92796398,11.34031813,0.03081904,2.31426656,0.01568608,0.00000000,8.21990131,6.01435519,2.81530037,0.00000000
-5.92196098,11.33477228,0.03137921,2.29461680,0.01622613,0.00000000,8.25318872,6.00756638,2.82149313,0.00000000
-5.91595798,11.29431756,0.03183056,2.26694721,0.01675828,0.00000000,8.25702468,5.98112443,2.82133925,0.00000000
-5.90995498,11.21910819,0.03216212,2.23175320,0.01727503,0.00000000,8.23083774,5.93533290,2.81449708,0.00000000
-5.90395198,11.10982283,0.03236470,2.18964873,0.01776959,0.00000000,8.17463363,5.87075666,2.80071635,0.00000000
-5.89794897,10.96764434,0.03243117,2.14134667,0.01823598,0.00000000,8.08899611,5.78820666,2.77984645,0.00000000
-5.89194597,10.79422919,0.03235674,2.08763709,0.01866923,0.00000000,7.97507099,5.68872033,2.75184301,0.00000000
-5.88594297,10.59166690,0.03213907,2.02936412,0.01906551,0.00000000,7.83453367,5.57353824,2.71677256,0.00000000
-5.87993997,10.36243044,0.03177842,1.96740218,0.01942219,0.00000000,7.66954116,5.44407706,2.67481476,0.00000000
-5.87393697,10.10931848,0.03127769,1.90263216,0.01973797,0.00000000,7.48267025,5.30189946,2.62626210,0.00000000
-5.86793397,9.83539065,0.03064235,1.83591853,0.02001283,0.00000000,7.27684381,5.14868132,2.57151650,0.00000000
-5.86193097,9.54389730,0.02988037,1.76808785,0.02024807,0.00000000,7.05524782,4.98617687,2.51108280,0.00000000
-5.85592796,9.23820536,0.02900198,1.69990952,0.02044617,0.00000000,6.82124188,4.81618245,2.44555910,0.00000000
