energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.95931996,0.05357863,0.00000000,0.39290069,0.00000000,0.48026067,0.17923703
-5.99399700,0.94703875,0.05247362,0.00000000,0.38738220,0.00000000,0.47598447,0.17684394
-5.98799400,0.92889773,0.05113169,0.00000000,0.37956763,0.00000000,0.46837306,0.17337738
-5.98199100,0.90512007,0.04955433,0.00000000,0.36953528,0.00000000,0.45758758,0.16887647
-5.97598799,0.87606390,0.04775110,0.00000000,0.35741920,0.00000000,0.44385463,0.16340571
-5.96998499,0.84220771,0.04573889,0.00000000,0.34340326,0.00000000,0.42745856,0.15705223
-5.96398199,0.80413187,0.04354098,0.00000000,0.32771361,0.00000000,0.40873192,0.14992238
-5.95797899,0.76249729,0.04118589,0.00000000,0.31060997,0.00000000,0.38804474,0.14213775
-5.95197599,0.71802227,0.03870611,0.00000000,0.29237602,0.00000000,0.36579292,0.13383088
-5.94597299,0.67145867,0.03613675,0.00000000,0.27330959,0.00000000,0.34238644,0.12514078
-5.93996998,0.62356854,0.03351427,0.00000000,0.25371293,0.00000000,0.31823791,0.11620857
-5.93396698,0.57510216,0.03087517,0.00000000,0.23388354,0.00000000,0.29375183,0.10717342
-5.92796398,0.52677832,0.02825492,0.00000000,0.21410589,0.00000000,0.26931516,0.09816884
-5.92196098,0.47926772,0.02568696,0.00000000,0.19464440,0.00000000,0.24528938,0.08931959
-5.91595798,0.43317969,0.02320195,0.00000000,0.17573772,0.00000000,0.22200438,0.08073920
-5.90995498,0.38905285,0.02082719,0.00000000,0.15759460,0.00000000,0.19975424,0.07252822
-5.90395198,0.34734946,0.01858625,0.00000000,0.14039130,0.00000000,0.17879497,0.06477321
-5.89794897,0.30845350,0.01649888,0.00000000,0.12427049,0.00000000,0.15934416,0.05754636
-5.89194597,0.27267222,0.01458101,0.00000000,0.10934156,0.00000000,0.14158220,0.05090578
-5.88594297,0.24024050,0.01284499,0.00000000,0.09568210,0.00000000,0.12565508,0.04489632
-5.87993997,0.21132769,0.01129993,0.00000000,0.08334048,0.00000000,0.11167819,0.03955089
-5.87393697,0.18604609,0.00995218,0.00000000,0.07233909,0.00000000,0.09974102,0.03489200
-5.86793397,0.16446055,0.00880581,0.00000000,0.06267819,0.00000000,0.08991214,0.03093358
-5.86193097,0.14659844,0.00786318,0.00000000,0.05433992,0.00000000,0.08224435,0.02768279
