energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,4.08435248,-4.08246529,0.64709357,-0.64817616,2.12785546,-2.13357558,1.99071581,-1.98865365,0.63259967,-0.62008426,0.00208986,-0.00208558,0.75578531,-0.75792438,0.04854989,-0.04918850,0.37001584,-0.37076268
-5.99399700,4.06207293,-4.07645272,0.63669167,-0.64233030,2.10962528,-2.12183769,1.98125456,-1.98351107,0.63025523,-0.62190114,0.00227211,-0.00226738,0.75319742,-0.75898421,0.04816729,-0.04906038,0.37064285,-0.37226950
-5.98799400,4.04047976,-4.07050231,0.62633731,-0.63632082,2.09340035,-2.11191131,1.97152240,-1.97770337,0.62687362,-0.62252264,0.00246929,-0.00246313,0.74951499,-0.75877188,0.04778906,-0.04892442,0.37220360,-0.37465795
-5.98199100,4.01999038,-4.06473181,0.61623218,-0.63024646,2.07936285,-2.10388208,1.96176346,-1.97136518,0.62256206,-0.62196935,0.00268163,-0.00267301,0.74482623,-0.75729877,0.04741989,-0.04878170,0.37470971,-0.37792678
-5.97598799,4.00092202,-4.05918735,0.60657383,-0.62421043,2.06760563,-2.09774939,1.95219319,-1.96462583,0.61743723,-0.62028200,0.00290909,-0.00289697,0.73922816,-0.75459640,0.04706217,-0.04863136,0.37814104,-0.38204519
-5.96998499,3.98348781,-4.05384936,0.59755196,-0.61831980,2.05813686,-2.09343376,1.94299365,-1.95761040,0.61162107,-0.61752002,0.00315131,-0.00313469,0.73282305,-0.75071582,0.04671590,-0.04847063,0.38244606,-0.38695359
-5.96398199,3.96779524,-4.04863937,0.58934472,-0.61268434,2.05088665,-2.09078623,1.93430864,-1.95043968,0.60523620,-0.61375932,0.00340755,-0.00338552,0.72571447,-0.74572606,0.04637871,-0.04829491,0.38754323,-0.39256509
-5.95797899,3.95384697,-4.04342717,0.58211505,-0.60741475,2.04571549,-2.08959910,1.92623866,-1.94322836,0.59840147,-0.60908936,0.00367670,-0.00364851,0.71800307,-0.73971159,0.04604598,-0.04809800,0.39332332,-0.39876797
-5.95197599,3.94154431,-4.03803805,0.57600737,-0.60262051,2.04242412,-2.08961780,1.91883610,-1.93608170,0.59122765,-0.60360963,0.00395725,-0.00392231,0.70978235,-0.73276880,0.04571105,-0.04787226,0.39965271,-0.40542884
-5.94597299,3.93069349,-4.03226031,0.57114473,-0.59840741,2.04076467,-2.09055335,1.91210086,-1.92909048,0.58381356,-0.59742564,0.00424730,-0.00420524,0.70113466,-0.72500182,0.04536545,-0.04760891,0.40637763,-0.41239662
-5.93996998,3.92101502,-4.02585280,0.56762655,-0.59487486,2.04045274,-2.09209520,1.90597710,-1.92232484,0.57624291,-0.59064481,0.00454459,-0.00449529,0.69212760,-0.71651779,0.04499932,-0.04729838,0.41332906,-0.41950719
-5.93396698,3.91215616,-4.01855290,0.56552722,-0.59211346,2.04118017,-2.09392402,1.90035149,-1.91582739,0.56858200,-0.58337227,0.00484652,-0.00479013,0.68281132,-0.70742187,0.04460175,-0.04693065,0.42032846,-0.42658854
-5.92796398,3.90370653,-4.01008512,0.56489559,-0.59020262,2.04262827,-2.09572429,1.89505353,-1.90960632,0.56087839,-0.57570701,0.00515023,-0.00508716,0.67321659,-0.69781240,0.04416134,-0.04649567,0.42719377,-0.43346638
-5.92196098,3.89521654,-4.00017034,0.56575535,-0.58920882,2.04448110,-2.09719637,1.88985839,-1.90362930,0.55316068,-0.56773850,0.00545260,-0.00538356,0.66335421,-0.68777646,0.04366666,-0.04598379,0.43374579,-0.43996986
-5.91595798,3.88621820,-3.98853596,0.56810646,-0.58918433,2.04643843,-2.09806768,1.88449255,-1.89781889,0.54543953,-0.55954407,0.00575042,-0.00567634,0.65321553,-0.67738618,0.04310681,-0.04538617,0.43981448,-0.44593738
-5.90995498,3.87624770,-3.97492680,0.57192737,-0.59016666,2.04822798,-2.09810288,1.87864229,-1.89205008,0.53770962,-0.55118712,0.00604036,-0.00596244,0.64277436,-0.66669611,0.04247191,-0.04469520,0.44524499,-0.45122214
-5.90395198,3.86486872,-3.95911660,0.57717809,-0.59217872,2.04961654,-2.09711262,1.87196506,-1.88615072,0.52995271,-0.54271638,0.00631917,-0.00623881,0.63199008,-0.65574175,0.04175366,-0.04390489,0.44990323,-0.45569716
-5.89794897,3.85169557,-3.94091978,0.58380379,-0.59522968,2.05041947,-2.09496057,1.86410321,-1.87990484,0.52214149,-0.53416613,0.00658366,-0.00650242,0.62081183,-0.64453949,0.04094574,-0.04301124,0.45368051,-0.45925967
-5.89194597,3.83641490,-3.92020291,0.59173886,-0.59931649,2.05050813,-2.09156856,1.85469978,-1.87305938,0.51424398,-0.52555751,0.00683085,-0.00675041,0.60918360,-0.63308792,0.04004424,-0.04201252,0.45649736,-0.46183465
-5.88594297,3.81880486,-3.89689536,0.60091106,-0.60442583,2.04981492,-2.08691951,1.84341531,-1.86533376,0.50622828,-0.51690065,0.00705802,-0.00698014,0.59704990,-0.62137045,0.03904789,-0.04090947,0.45830601,-0.46337715
-5.87993997,3.79875052,-3.87099840,0.61124568,-0.61053654,2.04833569,-2.08105796,1.82994506,-1.85643224,0.49806739,-0.50819765,0.00726276,-0.00718920,0.58436164,-0.60935908,0.03795832,-0.03970544,0.45909168,-0.46387360
-5.87393697,3.77625482,-3.84259220,0.62266932,-0.61762210,2.04612919,-2.07408818,1.81403551,-1.84605818,0.48974364,-0.49944597,0.00744306,-0.00737554,0.57108198,-0.59701909,0.03678008,-0.03840642,0.45887243,-0.46334173
-5.86793397,3.75144397,-3.81184004,0.63511320,-0.62565328,2.04331367,-2.06616988,1.79549919,-1.83392955,0.48125274,-0.49064228,0.00759728,-0.00753743,0.55719159,-0.58431434,0.03552061,-0.03702100,0.45769777,-0.46182930
-5.86193097,3.72456721,-3.77898930,0.64851579,-0.63460043,2.04006068,-2.05751156,1.77422700,-1.81979466,0.47260692,-0.48178627,0.00772425,-0.00767353,0.54269322,-0.57121282,0.03419009,-0.03556016,0.45564589,-0.45941166
-5.85592796,3.69599058,-3.74436906,0.66282460,-0.64443562,2.03658637,-2.04836192,1.75019714,-1.80344716,0.46383718,-0.47288423,0.00782318,-0.00778288,0.52761511,-0.55769204,0.03280115,-0.03403708,0.45281988,-0.45618819
-5.84992496,3.66618509,-3.70838405,0.67799711,-0.65513422,2.03314069,-2.03899948,1.72348013,-1.78473929,0.45499437,-0.46395223,0.00789375,-0.00786488,0.51201313,-0.54374409,0.03136855,-0.03246678,0.44934305,-0.45227793
-5.84392196,3.63570982,-3.67150523,0.69400079,-0.66667598,2.02999502,-2.02972119,1.69423953,-1.76359265,0.44614918,-0.45501868,0.00793601,-0.00791931,0.49597145,-0.52937975,0.02990870,-0.03086573,0.44535356,-0.44781457
-5.83791896,3.60519091,-3.63425742,0.71081225,-0.67904550,2.02742892,-2.02083033,1.66272832,-1.74000568,0.43739092,-0.44612594,0.00795038,-0.00794628,0.47960182,-0.51463166,0.02843922,-0.02925144,0.44099872,-0.44294102
-5.83191596,3.57529744,-3.59720445,0.72841558,-0.69223217,2.02571676,-2.01262444,1.62928116,-1.71405738,0.42882521,-0.43733119,0.00793761,-0.00794620,0.46304134,-0.49955624,0.02697837,-0.02764198,0.43642930,-0.43780395
-5.82591296,3.54671580,-3.56093275,0.74680013,-0.70622946,2.02511477,-2.00538395,1.59430289,-1.68590717,0.42057082,-0.42870622,0.00789871,-0.00791975,0.44644899,-0.48423428,0.02554456,-0.02605552,0.43179394,-0.43254853
-5.81990995,3.52012367,-3.52603411,0.76595765,-0.72103381,2.02584948,-1.99936199,1.55825413,-1.65579083,0.41275568,-0.42033638,0.00783496,-0.00786785,0.43000116,-0.46877014,0.02415584,-0.02450991,0.42723417,-0.42731356
-5.81390695,3.49616524,-3.49308868,0.78587931,-0.73664310,2.02810793,-1.99477598,1.52163466,-1.62401294,0.40551242,-0.41231856,0.00774779,-0.00779160,0.41388623,-0.45328974,0.02282942,-0.02302225,0.42288011,-0.42222738
-5.80790395,3.47542882,-3.46264904,0.80655246,-0.75305485,2.03203041,-1.99180151,1.48496576,-1.59093619,0.39897364,-0.40475861,0.00763881,-0.00769228,0.39829883,-0.43793741,0.02158125,-0.02160852,0.41884705,-0.41740457
-5.80190095,3.45842808,-3.43522621,0.82795756,-0.77026431,2.03770585,-1.99056866,1.44877226,-1.55696856,0.39326716,-0.39776803,0.00750971,-0.00757130,0.38343382,-0.42287183,0.02042566,-0.02028331,0.41523310,-0.41294366
-5.79589795,3.44558765,-3.41127831,0.85006529,-0.78826247,2.04517028,-1.99116101,1.41356557,-1.52254892,0.38851144,-0.39146043,0.00736227,-0.00743018,0.36948043,-0.40826129,0.01937512,-0.01905954,0.41211777,-0.40892589
-5.78989495,3.43723366,-3.39120222,0.87283418,-0.80703425,2.05440822,-1.99361735,1.37982830,-1.48813221,0.38481151,-0.38594769,0.00719830,-0.00727054,0.35661685,-0.39427867,0.01843997,-0.01794832,0.40956171,-0.40541498
-5.78389195,3.43358950,-3.37532871,0.89620861,-0.82655681,2.06535695,-1.99793574,1.34800130,-1.45417484,0.38225541,-0.38133625,0.00701964,-0.00709408,0.34500538,-0.38109623,0.01762836,-0.01695884,0.40760730,-0.40245785
-5.77788894,3.43477643,-3.36392080,0.92011745,-0.84679810,2.07791314,-2.00407984,1.31847352,-1.42112130,0.38091135,-0.37772348,0.00682815,-0.00690255,0.33478845,-0.36888062,0.01694615,-0.01609831,0.40628008,-0.40008615
-5.77188594,3.44081871,-3.35717525,0.94447333,-0.86771574,2.09194144,-2.01198670,1.29157499,-1.38939244,0.38082566,-0.37519448,0.00662566,-0.00669779,0.32608555,-0.35778829,0.01639694,-0.01537198,0.40559078,-0.39831842
-5.76588294,3.45165236,-3.35522658,0.96917239,-0.88925612,2.10728443,-2.02157565,1.26757289,-1.35937598,0.38202156,-0.37381925,0.00641399,-0.00648167,0.31899103,-0.34796140,0.01598214,-0.01478321,0.40553778,-0.39716270
-5.75987994,3.46713665,-3.35815287,0.99409463,-0.91135376,2.12377297,-2.03275755,1.24667040,-1.33141937,0.38449853,-0.37365041,0.00619493,-0.00625610,0.31357287,-0.33952447,0.01570105,-0.01433351,0.40610971,-0.39661926
-5.75387694,3.48706698,-3.36598265,1.01910462,-0.93393086,2.14123646,-2.04544351,1.22900804,-1.30582510,0.38823258,-0.37472147,0.00597024,-0.00602302,0.30987218,-0.33258168,0.01555101,-0.01402263,0.40728804,-0.39668331
-5.74787394,3.51118812,-3.37870178,1.04405256,-0.95689697,2.15951208,-2.05955270,1.21466676,-1.28284816,0.39317687,-0.37704557,0.00574162,-0.00578440,0.30790346,-0.32721492,0.01552760,-0.01384874,0.40904940,-0.39734741
-5.74187094,3.53920646,-3.39625945,1.06877554,-0.98014870,2.17845228,-2.07501826,1.20367222,-1.26269526,0.39926297,-0.38061482,0.00551072,-0.00554220,0.30765530,-0.32348252,0.01562474,-0.01380846,0.41136747,-0.39860339
-5.73586793,3.57080035,-3.41857246,1.09309890,-1.00356944,2.19793016,-2.09179100,1.19599952,-1.24552546,0.40640235,-0.38539999,0.00527911,-0.00529834,0.30909151,-0.32141845,0.01583493,-0.01389702,0.41421431,-0.40044362
-5.72986493,3.60562774,-3.44552714,1.11683763,-1.02702895,2.21784201,-2.10984041,1.19157782,-1.23145137,0.41448809,-0.39135066,0.00504829,-0.00505471,0.31215232,-0.32103209,0.01614941,-0.01410832,0.41756106,-0.40286153
-5.72386193,3.64333035,-3.47697829,1.13979767,-1.05038297,2.23810706,-2.12915272,1.19029417,-1.22054058,0.42339674,-0.39839560,0.00481965,-0.00481311,0.31675581,-0.32230819,0.01655835,-0.01443503,0.42137796,-0.40585136
