energy_ev,total_up,Re_p_up,Re_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,4.45665861,1.26728577,2.43260504,0.29963901,0.01521886,0.05329931,2.51008888
-5.99399700,4.53719423,1.29684350,2.45954950,0.30887784,0.01605671,0.05554226,2.54478756
-5.98799400,4.62796930,1.33051305,2.48957733,0.32100229,0.01697595,0.05806417,2.58199439
-5.98199100,4.72879882,1.36816546,2.52282927,0.33590603,0.01797089,0.06084745,2.62178589
-5.97598799,4.83940322,1.40964995,2.55942030,0.35346222,0.01903470,0.06386958,2.66422489
-5.96998499,4.95940376,1.45479392,2.59943169,0.37352471,0.02015943,0.06710326,2.70935544
-5.96398199,5.08831916,1.50340253,2.64290343,0.39592911,0.02133616,0.07051668,2.75719799
-5.95797899,5.22556379,1.55525818,2.68982763,0.42049375,0.02255510,0.07407394,2.80774513
-5.95197599,5.37044848,1.61012001,2.74014341,0.44702065,0.02380573,0.07773555,2.86095828
-5.94597299,5.52218416,1.66772368,2.79373377,0.47529652,0.02507692,0.08145908,2.91676574
-5.93996998,5.67988876,1.72778165,2.85042455,0.50509387,0.02635716,0.08519984,2.97506206
-5.93396698,5.84259732,1.78998403,2.90998572,0.53617235,0.02763467,0.08891171,3.03570898
-5.92796398,6.00927526,1.85400025,2.97213485,0.56828037,0.02889766,0.09254803,3.09853765
-5.92196098,6.17883426,1.91948151,3.03654261,0.60115703,0.03013447,0.09606247,3.16335204
-5.91595798,6.35015028,1.98606403,3.10283981,0.63453444,0.03133377,0.09941000,3.22993315
-5.90995498,6.52208285,2.05337319,3.17062583,0.66814045,0.03248476,0.10254776,3.29804374
-5.90395198,6.69349512,2.12102825,3.23947759,0.70170178,0.03357733,0.10543602,3.36743313
-5.89794897,6.86327355,2.18864777,3.30895890,0.73494753,0.03460223,0.10803891,3.43784164
-5.89194597,7.03034679,2.25585527,3.37862962,0.76761309,0.03555119,0.11032523,3.50900461
-5.88594297,7.19370309,2.32228530,3.44805416,0.79944426,0.03641707,0.11226904,3.58065546
-5.87993997,7.35240568,2.38758937,3.51680927,0.83020165,0.03719396,0.11385022,3.65252798
-5.87393697,7.50560598,2.45144182,3.58449081,0.85966508,0.03787724,0.11505482,3.72435766
-5.86793397,7.65255441,2.51354530,3.65071945,0.88763797,0.03846362,0.11587540,3.79588228
-5.86193097,7.79260893,2.57363574,3.71514543,0.91395158,0.03895123,0.11631109,3.86684203
-5.85592796,7.92524134,2.63148662,3.77745245,0.93846879,0.03933957,0.11636768,3.93697929
-5.84992496,8.05004164,2.68691253,3.83736088,0.96108746,0.03962955,0.11605744,4.00603857
-5.84392196,8.16672064,2.73977176,3.89463043,0.98174296,0.03982342,0.11539896,4.07376692
-5.83791896,8.27511105,2.78996795,3.94906258,1.00041001,0.03992477,0.11441677,4.13991492
-5.83191596,8.37516712,2.83745073,4.00050265,1.01710334,0.03993845,0.11314095,4.20423882
-5.82591296,8.46696305,2.88221531,4.04884183,1.03187733,0.03987045,0.11160655,4.26650352
-5.81990995,8.55068991,2.92430101,4.09401891,1.04482440,0.03972790,0.10985299,4.32648680
-5.81390695,8.62665102,2.96378869,4.13602171,1.05607219,0.03951885,0.10792333,4.38398432
-5.80790395,8.69525558,3.00079722,4.17488792,1.06577942,0.03925221,0.10586352,4.43881537
-5.80190095,8.75701007,3.03547890,4.21070521,1.07413063,0.03893759,0.10372145,4.49082886
-5.79589795,8.81250733,3.06801400,4.24361013,1.08132987,0.03858511,0.10154608,4.53990916
-5.78989495,8.86241285,3.09860453,4.27378566,1.08759356,0.03820521,0.09938638,4.58598119
-5.78389195,8.90744829,3.12746722,4.30145708,1.09314266,0.03780848,0.09729029,4.62901433
-5.77788894,8.94837205,3.15482603,4.32688599,1.09819463,0.03740541,0.09530359,4.66902465
-5.77188594,8.98595716,3.18090432,4.35036239,1.10295535,0.03700616,0.09346887,4.70607499
-5.76588294,9.02096691,3.20591686,4.37219488,1.10761141,0.03662033,0.09182433,4.74027262
-5.75987994,9.05412879,3.23006193,4.39269920,1.11232317,0.03625674,0.09040282,4.77176442
-5.75387694,9.08610762,3.25351378,4.41218539,1.11721884,0.03592315,0.08923080,4.80072942
-5.74787394,9.11747902,3.27641572,4.43094417,1.12238993,0.03562609,0.08832753,4.82736916
-5.74187094,9.14870421,3.29887409,4.44923302,1.12788834,0.03537067,0.08770435,4.85189607
-5.73586793,9.18010766,3.32095331,4.46726278,1.13372513,0.03516037,0.08736417,4.87452044
-5.72986493,9.21185866,3.34267233,4.48518545,1.13987123,0.03499698,0.08730120,4.89543687
-5.72386193,9.24395816,3.36400254,4.50308396,1.14625985,0.03488052,0.08750089,4.91481065
-5.71785893,9.27623180,3.38486737,4.52096456,1.15279064,0.03480919,0.08794023,4.93276530
-5.71185593,9.30832996,3.40514361,4.53875255,1.15933529,0.03477946,0.08858821,4.94937173
-5.70585293,9.33973528,3.42466439,4.55629164,1.16574430,0.03478615,0.08940671,4.96464006
-5.69984992,9.36977774,3.44322391,4.57334727,1.17185456,0.03482259,0.09035149,4.97851463
-5.69384692,9.39765709,3.46058363,4.58961406,1.17749727,0.03488086,0.09137356,4.99087272
-5.68784392,9.42247177,3.47647986,4.60472693,1.18250586,0.03495203,0.09242069,5.00152728
-5.68184092,9.44325350,3.49063238,4.61827580,1.18672347,0.03502647,0.09343902,5.01023366
-5.67583792,9.45900589,3.50275391,4.62982302,1.19000955,0.03509420,0.09437483,5.01670027
