energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,2.01629091,0.00337445,0.09205798,0.30223790,0.33076698,0.50074941,0.88860182,0.03725023,0.80326378
-5.99399700,1.94389842,0.00311214,0.08764521,0.28947765,0.32133691,0.49396362,0.84948281,0.03486007,0.77821579
-5.98799400,1.86877778,0.00289539,0.08311838,0.27622611,0.31193837,0.48603551,0.80882499,0.03247663,0.75133177
-5.98199100,1.79158519,0.00272459,0.07851674,0.26261224,0.30259108,0.47699506,0.76707432,0.03012789,0.72287868
-5.97598799,1.71299857,0.00260004,0.07388065,0.24877408,0.29331187,0.46689649,0.72467588,0.02783977,0.69315029
-5.96998499,1.63370956,0.00252193,0.06925093,0.23485622,0.28411646,0.45581795,0.68206690,0.02563581,0.66246210
-5.96398199,1.55441403,0.00249047,0.06466811,0.22100672,0.27502101,0.44386026,0.63966987,0.02353691,0.63114522
-5.95797899,1.47580134,0.00250579,0.06017172,0.20737377,0.26604327,0.43114454,0.59788598,0.02156108,0.59953937
-5.95197599,1.39854271,0.00256799,0.05579940,0.19410211,0.25720351,0.41780899,0.55708899,0.01972331,0.56798534
-5.94597299,1.32327898,0.00267702,0.05158619,0.18132940,0.24852494,0.40400505,0.51761960,0.01803549,0.53681702
-5.93996998,1.25060837,0.00283266,0.04756378,0.16918267,0.24003378,0.38989286,0.47978070,0.01650639,0.50635362
-5.93396698,1.18107448,0.00303439,0.04375987,0.15777507,0.23175885,0.37563646,0.44383328,0.01514166,0.47689201
-5.92796398,1.11515515,0.00328130,0.04019758,0.14720296,0.22373081,0.36139884,0.40999337,0.01394396,0.44869980
-5.92196098,1.05325245,0.00357195,0.03689508,0.13754349,0.21598103,0.34733696,0.37843001,0.01291300,0.42200923
-5.91595798,0.99568430,0.00390430,0.03386528,0.12885278,0.20854020,0.33359708,0.34926414,0.01204578,0.39701207
-5.90995498,0.94267804,0.00427562,0.03111570,0.12116477,0.20143675,0.32031042,0.32256870,0.01133674,0.37385585
-5.90395198,0.89436625,0.00468239,0.02864849,0.11449070,0.19469517,0.30758947,0.29836967,0.01077797,0.35264142
-5.89794897,0.85078506,0.00512030,0.02646063,0.10881942,0.18833445,0.29552500,0.27664820,0.01035954,0.33342193
-5.89194597,0.81187519,0.00558422,0.02454419,0.10411825,0.18236659,0.28418388,0.25734367,0.01006969,0.31620333
-5.88594297,0.77748570,0.00606826,0.02288678,0.10033463,0.17679543,0.27360789,0.24035765,0.00989523,0.30094626
-5.87993997,0.74738053,0.00656585,0.02147214,0.09739831,0.17161589,0.26381347,0.22555867,0.00982184,0.28756939
-5.87393697,0.72124784,0.00706989,0.02028073,0.09522412,0.16681367,0.25479254,0.21278764,0.00983442,0.27595399
-5.86793397,0.69871174,0.00757291,0.01929045,0.09371514,0.16236545,0.24651426,0.20186385,0.00991750,0.26594959
-5.86193097,0.67934639,0.00806731,0.01847742,0.09276628,0.15823968,0.23892779,0.19259144,0.01005559,0.25738066
-5.85592796,0.66269192,0.00854561,0.01781672,0.09226804,0.15439800,0.23196586,0.18476601,0.01023363,0.25005396
-5.84992496,0.64827181,0.00900075,0.01728321,0.09211040,0.15079702,0.22554910,0.17818153,0.01043735,0.24376637
-5.84392196,0.63561111,0.00942640,0.01685225,0.09218670,0.14739075,0.21959083,0.17263707,0.01065369,0.23831300
-5.83791896,0.62425505,0.00981726,0.01650045,0.09239741,0.14413322,0.21400232,0.16794338,0.01087115,0.23349529
-5.83191596,0.61378716,0.01016938,0.01620629,0.09265360,0.14098142,0.20869812,0.16392916,0.01108015,0.22912876
-5.82591296,0.60384658,0.01048042,0.01595071,0.09288014,0.13789823,0.20360129,0.16044670,0.01127331,0.22505028
-5.81990995,0.59414355,0.01074992,0.01571761,0.09301828,0.13485534,0.19864835,0.15737702,0.01144571,0.22112459
-5.81390695,0.58447281,0.01097946,0.01549420,0.09302787,0.13183589,0.19379370,0.15463409,0.01159509,0.21724976
-5.80790395,0.57472421,0.01117283,0.01527128,0.09288885,0.12883666,0.18901327,0.15216821,0.01172191,0.21336156
-5.80190095,0.56489007,0.01133604,0.01504343,0.09260203,0.12586986,0.18430728,0.14996839,0.01182943,0.20943650
-5.79589795,0.55506905,0.01147730,0.01480899,0.09218934,0.12296413,0.17970200,0.14806366,0.01192358,0.20549345
-5.78989495,0.54546625,0.01160690,0.01457005,0.09169318,0.12016491,0.17525029,0.14652325,0.01201289,0.20159389
-5.78389195,0.53638949,0.01173700,0.01433221,0.09117522,0.11753399,0.17103110,0.14545564,0.01210814,0.19784057
-5.77788894,0.52824182,0.01188131,0.01410438,0.09071454,0.11514828,0.16714767,0.14500642,0.01222211,0.19437489
-5.77188594,0.52151038,0.01205472,0.01389834,0.09040507,0.11309783,0.16372470,0.14535506,0.01236908,0.19137287
-5.76588294,0.51675203,0.01227280,0.01372836,0.09035269,0.11148307,0.16090448,0.14671058,0.01256435,0.18903994
-5.75987994,0.51457605,0.01255128,0.01361069,0.09067177,0.11041152,0.15884215,0.14930614,0.01282369,0.18760467
-5.75387694,0.51562445,0.01290546,0.01356300,0.09148148,0.10999392,0.15770021,0.15339282,0.01316270,0.18731165
-5.74787394,0.52055056,0.01334961,0.01360387,0.09290187,0.11034000,0.15764257,0.15923242,0.01359617,0.18841369
-5.74187094,0.52999636,0.01389629,0.01375218,0.09504991,0.11155407,0.15882829,0.16708969,0.01413740,0.19116362
-5.73586793,0.54456949,0.01455582,0.01402655,0.09803551,0.11373050,0.16140529,0.17722402,0.01479759,0.19580586
-5.72986493,0.56482050,0.01533561,0.01444481,0.10195779,0.11694941,0.16550418,0.18988076,0.01558521,0.20256810
-5.72386193,0.59122112,0.01623971,0.01502346,0.10690161,0.12127261,0.17123259,0.20528252,0.01650545,0.21165323
-5.71785893,0.62414443,0.01726833,0.01577721,0.11293447,0.12674001,0.17867010,0.22362059,0.01755973,0.22323188
-5.71185593,0.66384744,0.01841756,0.01671857,0.12010393,0.13336669,0.18786405,0.24504683,0.01874541,0.23743576
-5.70585293,0.71045704,0.01967914,0.01785751,0.12843560,0.14114077,0.19882639,0.26966630,0.02005546,0.25435204
-5.69984992,0.76395970,0.02104044,0.01920112,0.13793180,0.15002210,0.21153174,0.29753100,0.02147846,0.27401909
-5.69384692,0.82419574,0.02248453,0.02075348,0.14857086,0.15994202,0.22591682,0.32863500,0.02299858,0.29642358
-5.68784392,0.89085839,0.02399048,0.02251546,0.16030720,0.17080414,0.24188119,0.36291134,0.02459589,0.32149941
-5.68184092,0.96349806,0.02553379,0.02448472,0.17307210,0.18248614,0.25928954,0.40023084,0.02624667,0.34912831
-5.67583792,1.04153200,0.02708694,0.02665572,0.18677520,0.19484264,0.27797534,0.44040327,0.02792403,0.37914238
-5.66983492,1.12425908,0.02862018,0.02901983,0.20130667,0.20770910,0.29774577,0.48318080,0.02959852,0.41132852
-5.66383192,1.21087974,0.03010227,0.03156556,0.21653996,0.22090651,0.31838792,0.52826397,0.03123902,0.44543468
-5.65782891,1.30052026,0.03150153,0.03427882,0.23233511,0.23424678,0.33967593,0.57531005,0.03281359,0.48117785
-5.65182591,1.39226087,0.03278670,0.03714325,0.24854249,0.24753870,0.36137882,0.62394366,0.03429050,0.51825345
-5.64582291,1.48516658,0.03392805,0.04014065,0.26500674,0.26059415,0.38326878,0.67376924,0.03563917,0.55634598
-5.63981991,1.57831961,0.03489824,0.04325145,0.28157101,0.27323432,0.40512955,0.72438514,0.03683118,0.59514033
-5.63381691,1.67085211,0.03567333,0.04645523,0.29808116,0.28529570,0.42676442,0.77539849,0.03784124,0.63433347
-5.62781391,1.76197772,0.03623351,0.04973122,0.31438979,0.29663560,0.44800368,0.82644047,0.03864796,0.67364593
-5.62181091,1.85102044,0.03656377,0.05305891,0.33036014,0.30713680,0.46871091,0.87718106,0.03923463,0.71283245
-5.61580790,1.93743933,0.03665440,0.05641855,0.34586946,0.31671127,0.48878796,0.92734251,0.03958969,0.75169139
-5.60980490,2.02084784,0.03650130,0.05979172,0.36081196,0.32530267,0.50817826,0.97671088,0.03970718,0.79007217
-5.60380190,2.10102628,0.03610603,0.06316173,0.37510107,0.33288751,0.52686814,1.02514473,0.03958679,0.82788051
-5.59779890,2.17792685,0.03547573,0.06651409,0.38867097,0.33947483,0.54488617,1.07258050,0.03923392,0.86508075
-5.59179590,2.25167035,0.03462279,0.06983677,0.40147741,0.34510449,0.56230032,1.11903396,0.03865933,0.90169528
-5.58579290,2.32253446,0.03356436,0.07312039,0.41349756,0.34984408,0.57921305,1.16459742,0.03787874,0.93780068
-5.57978989,2.39093378,0.03232171,0.07635825,0.42472914,0.35378448,0.59575448,1.20943268,0.03691220,0.97352070
-5.57378689,2.45739217,0.03091939,0.07954621,0.43518861,0.35703450,0.61207379,1.25375965,0.03578331,1.00901615
-5.56778389,2.52250843,0.02938446,0.08268245,0.44490860,0.35971451,0.62832929,1.29784112,0.03451837,1.04447223
-5.56178089,2.58691671,0.02774547,0.08576699,0.45393462,0.36194974,0.64467756,1.34196422,0.03314542,1.08008342
-5.55577789,2.65124332,0.02603161,0.08880110,0.46232118,0.36386326,0.66126210,1.38641918,0.03169330,1.11603703
-5.54977489,2.71606197,0.02427180,0.09178660,0.47012735,0.36556912,0.67820205,1.43147664,0.03019069,1.15249571
-5.54377189,2.78184950,0.02249386,0.09472492,0.47741213,0.36716606,0.69558151,1.47736426,0.02866522,1.18958011
-5.53776888,2.84894433,0.02072378,0.09761628,0.48422958,0.36873186,0.71344005,1.52424402,0.02714264,1.22735237
-5.53176588,2.91750971,0.01898513,0.10045868,0.49062419,0.37031895,0.73176483,1.57219121,0.02564617,1.26580138
-5.52576288,2.98750377,0.01729861,0.10324698,0.49662642,0.37195114,0.75048487,1.62117643,0.02419593,1.30483068
-5.51975988,3.05865807,0.01568169,0.10597206,0.50224894,0.37362193,0.76946780,1.67105142,0.02280852,1.34424972
-5.51375688,3.13046597,0.01414843,0.10862015,0.50748349,0.37529430,0.78851931,1.72153983,0.02149684,1.38376907
-5.50775388,3.20218176,0.01270952,0.11117234,0.51229885,0.37690202,0.80738548,1.77223331,0.02026994,1.42300011
-5.50175088,3.27283091,0.01137226,0.11360429,0.51663982,0.37835251,0.82575799,1.82259370,0.01913314,1.46145935
-5.49574787,3.34123148,0.01014086,0.11588636,0.52042750,0.37953093,0.84328210,1.87196112,0.01808824,1.49857751
-5.48974487,3.40602580,0.00901663,0.11798394,0.52356089,0.38030545,0.85956703,1.91956807,0.01713380,1.53371302
-5.48374187,3.46572159,0.00799844,0.11985819,0.52591973,0.38053334,0.87419851,1.96455906,0.01626561,1.56616970
-5.47773887,3.51874059,0.00708303,0.12146704,0.52736866,0.38006761,0.88675284,2.00601498,0.01547717,1.59521778
-5.47173587,3.56347303,0.00626546,0.12276652,0.52776239,0.37876388,0.89681200,2.04298146,0.01476019,1.62011758
-5.46573287,3.59833546,0.00553955,0.12371230,0.52695179,0.37648717,0.90397911,2.07450001,0.01410519,1.64014485
-5.45972986,3.62182950,0.00489826,0.12426143,0.52479058,0.37311825,0.90789354,2.09964062,0.01350205,1.65461663
-5.45372686,3.63259915,0.00433407,0.12437414,0.52114236,0.36855928,0.90824515,2.11753466,0.01294049,1.66291666
-5.44772386,3.62948399,0.00383932,0.12401567,0.51588753,0.36273856,0.90478683,2.12740651,0.01241058,1.66451911
-5.44172086,3.61156625,0.00340651,0.12315798,0.50892994,0.35561411,0.89734506,2.12860272,0.01190315,1.65900964
-5.43571786,3.57820963,0.00302852,0.12178129,0.50020271,0.34717606,0.88582784,2.12061750,0.01141013,1.64610291
-5.42971486,3.52908835,0.00269879,0.11987537,0.48967314,0.33744769,0.87022975,2.10311341,0.01092485,1.62565581
-5.42371186,3.46420544,0.00241151,0.11744046,0.47734632,0.32648524,0.85063407,2.07593656,0.01044217,1.59767573
-5.41770885,3.38389949,0.00216166,0.11448784,0.46326728,0.31437644,0.82721177,2.03912559,0.00995867,1.56232375
-5.41170585,3.28884014,0.00194513,0.11103993,0.44752161,0.30123807,0.80021765,1.99291425,0.00947262,1.51991262
-5.40570285,3.18001238,0.00175868,0.10713003,0.43023455,0.28721248,0.76998374,1.93772753,0.00898402,1.47089959
-5.39969985,3.05869107,0.00160003,0.10280157,0.41156851,0.27246355,0.73691047,1.87417161,0.00849446,1.41587467
-5.39369685,2.92640666,0.00146781,0.09810708,0.39171929,0.25717211,0.70145602,1.80301815,0.00800705,1.35554484
-5.38769385,2.78490412,0.00136155,0.09310674,0.37091112,0.24153114,0.66412435,1.72518376,0.00752625,1.29071496
-5.38169085,2.63609685,0.00128165,0.08786674,0.34939079,0.22574098,0.62545253,1.64170542,0.00705769,1.22226629
-5.37568784,2.48201757,0.00122937,0.08245749,0.32742121,0.21000472,0.58599789,1.55371316,0.00660801,1.15113358
-5.36968484,2.32476846,0.00120684,0.07695171,0.30527469,0.19452398,0.54632554,1.46240093,0.00618464,1.07828163
-5.36368184,2.16647223,0.00121695,0.07142255,0.28322617,0.17949515,0.50699667,1.36899695,0.00579565,1.00468232
-5.35767884,2.00922592,0.00126343,0.06594173,0.26154683,0.16510629,0.46855811,1.27473463,0.00544959,0.93129285
-5.35167584,1.85505899,0.00135074,0.06057798,0.24049811,0.15153460,0.43153322,1.18082498,0.00515532,0.85903596
-5.34567284,1.70589658,0.00148407,0.05539548,0.22032657,0.13894454,0.39641452,1.08843153,0.00492185,0.78878265
-5.33966983,1.56352878,0.00166930,0.05045274,0.20125946,0.12748655,0.36365790,0.99864829,0.00475825,0.72133782
-5.33366683,1.42958622,0.00191287,0.04580161,0.18350132,0.11729623,0.33367837,0.91248134,0.00467349,0.65742890
-5.32766383,1.30552189,0.00222176,0.04148665,0.16723139,0.10849394,0.30684736,0.83083424,0.00467632,0.59769770
-5.32166083,1.19259875,0.00260330,0.03754469,0.15260194,0.10118464,0.28349098,0.75449741,0.00477512,0.54269514
-5.31565783,1.09188265,0.00306502,0.03400468,0.13973730,0.09545787,0.26388933,0.68414123,0.00497778,0.49287868
-5.30965483,1.00423951,0.00361444,0.03088774,0.12873360,0.09138768,0.24827624,0.62031272,0.00529148,0.44861212
-5.30365183,0.93033589,0.00425882,0.02820736,0.11965898,0.08903249,0.23683926,0.56343526,0.00572254,0.41016716
-5.29764882,0.87064201,0.00500487,0.02596977,0.11255408,0.08843462,0.22971958,0.51381093,0.00627620,0.37772654
-5.29164582,0.82543619,0.00585842,0.02417432,0.10743286,0.08961967,0.22701158,0.47162488,0.00695638,0.35138790
-5.28564282,0.79481001,0.00682405,0.02281402,0.10428342,0.09259547,0.22876199,0.43695128,0.00776542,0.33116838
-5.27963982,0.77867359,0.00790476,0.02187602,0.10306887,0.09735080,0.23496842,0.40976019,0.00870384,0.31700928
