energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up,W_p_up,W_d_up
-6.00000000,1.80055904,0.00288736,0.29736339,0.01320587,0.92996398,0.52033728,0.25281565,0.53090416,0.26658169
-5.99399700,1.79526152,0.00270256,0.29469046,0.01300729,0.93451386,0.53480117,0.24975274,0.53898063,0.26217791
-5.98799400,1.80566970,0.00255195,0.29484592,0.01287291,0.94687598,0.55346493,0.24906275,0.55236440,0.26011190
-5.98199100,1.83086162,0.00243396,0.29757974,0.01280719,0.96662823,0.57587585,0.25065005,0.57066830,0.26026679
-5.97598799,1.86974069,0.00234664,0.30261883,0.01281223,0.99325915,0.60154186,0.25438508,0.59346361,0.26250131
-5.96998499,1.92106328,0.00228772,0.30967362,0.01288772,1.02618042,0.62994261,0.26010802,0.62028958,0.26665394
-5.96398199,1.98346819,0.00225471,0.31844448,0.01303087,1.06474059,0.66054078,0.26763297,0.65066284,0.27254728
-5.95797899,2.05550724,0.00224492,0.32862801,0.01323649,1.10823967,0.69279347,0.27675262,0.68408646,0.27999241
-5.95197599,2.13567664,0.00225561,0.33992293,0.01349716,1.15594433,0.72616332,0.28724324,0.72005852,0.28879340
-5.94597299,2.22244822,0.00228399,0.35203564,0.01380342,1.20710331,0.76012914,0.29886997,0.75808011,0.29875157
-5.93996998,2.31429972,0.00232737,0.36468518,0.01414412,1.26096259,0.79419582,0.31139210,0.79766239,0.30966958
-5.93396698,2.40974325,0.00238314,0.37760748,0.01450678,1.31677990,0.82790314,0.32456835,0.83833274,0.32135509
-5.92796398,2.50735087,0.00244895,0.39055890,0.01487801,1.37383789,0.86083321,0.33816195,0.87963962,0.33362397
-5.92196098,2.60577662,0.00252266,0.40331879,0.01524396,1.43145573,0.89261626,0.35194520,0.92115615,0.34630285
-5.91595798,2.70377409,0.00260249,0.41569110,0.01559082,1.48899851,0.92293459,0.36570366,0.96248219,0.35923104
-5.90995498,2.80020905,0.00268701,0.42750507,0.01590526,1.54588415,0.95152444,0.37923945,1.00324499,0.37226161
-5.90395198,2.89406677,0.00277520,0.43861478,0.01617487,1.60158776,0.97817591,0.39237400,1.04309841,0.38526185
-5.89794897,2.98445408,0.00286646,0.44889797,0.01638860,1.65564317,1.00273066,0.40494974,1.08172084,0.39811292
-5.89194597,3.07059636,0.00296062,0.45825387,0.01653705,1.70764187,1.02507794,0.41683108,1.11881207,0.41070884
-5.88594297,3.15183009,0.00305796,0.46660056,0.01661280,1.75722966,1.04514882,0.42790449,1.15408944,0.42295504
-5.87993997,3.22759174,0.00315911,0.47387178,0.01661054,1.80410122,1.06290926,0.43807776,1.18728365,0.43476646
-5.87393697,3.29740413,0.00326509,0.48001358,0.01652721,1.84799339,1.07835235,0.44727872,1.21813464,0.44606539
-5.86793397,3.36086137,0.00337718,0.48498107,0.01636201,1.88867756,1.09149021,0.45545330,1.24638798,0.45677943
-5.86193097,3.41761374,0.00349686,0.48873536,0.01611634,1.92595197,1.10234600,0.46256337,1.27179230,0.46683944
-5.85592796,3.46735371,0.00362573,0.49124108,0.01579361,1.95963447,1.11094669,0.46858429,1.29409794,0.47617790
-5.84992496,3.50980419,0.00376539,0.49246458,0.01539905,1.98955647,1.11731693,0.47350255,1.31305734,0.48472775
-5.84392196,3.54471003,0.00391733,0.49237292,0.01493942,2.01555847,1.12147434,0.47731356,1.32842715,0.49242173
-5.83791896,3.57183334,0.00408281,0.49093377,0.01442272,2.03748766,1.12342662,0.48001973,1.33997227,0.49919246
-5.83191596,3.59095305,0.00426275,0.48811622,0.01385781,2.05519771,1.12317060,0.48162901,1.34747157,0.50497310
-5.82591296,3.60186870,0.00445763,0.48389232,0.01325411,2.06855096,1.12069308,0.48215396,1.35072514,0.50969872
-5.81990995,3.60440818,0.00466736,0.47823944,0.01262120,2.07742267,1.11597362,0.48161127,1.34956271,0.51330815
-5.81390695,3.59843884,0.00489126,0.47114300,0.01196858,2.08170733,1.10898882,0.48002187,1.34385267,0.51574636
-5.80790395,3.58388110,0.00512795,0.46259952,0.01130532,2.08132639,1.09971786,0.47741154,1.33351118,0.51696714
-5.80190095,3.56072357,0.00537535,0.45261973,0.01063986,2.07623699,1.08814886,0.47381183,1.31851081,0.51693585
-5.79589795,3.52903853,0.00563069,0.44123140,0.00997983,2.06644119,1.07428564,0.46926130,1.29888805,0.51563226
-5.78989495,3.48899667,0.00589050,0.42848166,0.00933190,2.05199491,1.05815429,0.46380697,1.27474921,0.51305314
-5.78389195,3.44087997,0.00615071,0.41443874,0.00870168,2.03301612,1.03980931,0.45750569,1.24627412,0.50921454
-5.77788894,3.38509173,0.00640673,0.39919281,0.00809375,2.00969167,1.01933863,0.45042542,1.21371750,0.50415356
-5.77188594,3.32216297,0.00665356,0.38285583,0.00751161,1.98228228,0.99686742,0.44264635,1.17740758,0.49792958
-5.76588294,3.25275464,0.00688597,0.36556051,0.00695778,1.95112526,0.97256026,0.43426150,1.13774202,0.49062480
