energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,7.15391459,4.28923115,0.41944357,0.10549446,0.53622720,3.65252178,2.02053422,0.07338599,4.00987478
-5.99399700,6.93476492,4.17475610,0.40815567,0.10403888,0.51526865,3.53462510,1.95072406,0.07234799,3.89760554
-5.98799400,6.70757882,4.05447373,0.39647893,0.10266956,0.49417467,3.41221526,1.87893758,0.07134169,3.77997857
-5.98199100,6.47673101,3.93102755,0.38464079,0.10143561,0.47326783,3.28789371,1.80638548,0.07039461,3.65944711
-5.97598799,6.24645904,3.80705938,0.37285063,0.10037547,0.45284600,3.16423377,1.73424288,0.06952981,3.53842053
-5.96998499,6.02073321,3.68513249,0.36129274,0.09951525,0.43317296,3.04370496,1.66361303,0.06876496,3.41919109
-5.96398199,5.80314530,3.56766263,0.35012076,0.09886773,0.41447097,2.92860594,1.59549604,0.06811156,3.30387011
-5.95797899,5.59682057,3.45686007,0.33945387,0.09843197,0.39691548,2.82100889,1.53076381,0.06757452,3.19433596
-5.95197599,5.40435602,3.35468436,0.32937489,0.09819356,0.38063229,2.72271719,1.47014223,0.06715215,3.09219580
-5.94597299,5.22778645,3.26281347,0.31993014,0.09812553,0.36569707,2.63523751,1.41420083,0.06683637,2.99876196
-5.93996998,5.06857797,3.18262735,0.31113118,0.09818983,0.35213722,2.55976665,1.36335013,0.06661334,2.91504315
-5.93396698,4.92764738,3.11520565,0.30295804,0.09833931,0.33993580,2.49719234,1.31784594,0.06646430,2.84174979
-5.92796398,4.80540419,3.06133800,0.29536383,0.09852008,0.32903726,2.44810673,1.27780013,0.06636673,2.77931174
-5.92196098,4.70181111,3.02154505,0.28828031,0.09867419,0.31935447,2.41283034,1.24319651,0.06629557,2.72790653
-5.91595798,4.61645784,2.99610743,0.28162411,0.09874241,0.31077667,2.39144407,1.21391043,0.06622460,2.68749522
-5.90995498,4.54864257,2.98509977,0.27530321,0.09866696,0.30317777,2.38382608,1.18973085,0.06612782,2.65786300
-5.90395198,4.49745558,2.98842654,0.26922328,0.09839420,0.29642466,2.38969070,1.17038306,0.06598076,2.63866137
-5.89794897,4.46185922,3.00585662,0.26329358,0.09787699,0.29038483,2.40862619,1.15555079,0.06576161,2.62944897
-5.89194597,4.44075947,3.03705379,0.25743210,0.09707662,0.28493313,2.44012867,1.14489622,0.06545228,2.62972821
-5.88594297,4.43306487,3.08160056,0.25156973,0.09596439,0.27995729,2.48362981,1.13807696,0.06503906,2.63897540
-5.87993997,4.43772983,3.13901379,0.24565323,0.09452262,0.27536184,2.53851654,1.13475901,0.06451313,2.65666267
-5.87393697,4.45378035,3.20875077,0.23964706,0.09274506,0.27107047,2.60414173,1.13462532,0.06387070,2.68227056
-5.86793397,4.48032175,3.29020570,0.23353380,0.09063685,0.26702680,2.67982526,1.13737973,0.06311296,2.71529086
-5.86193097,4.51652908,3.38269695,0.22731356,0.08821387,0.26319350,2.76484626,1.14274646,0.06224564,2.75522023
-5.85592796,4.56162222,3.48544668,0.22100221,0.08550175,0.25955006,2.85842727,1.15046565,0.06127845,2.80154547
