energy_ev,total_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-5.36368184,1.90422920,0.03046542,0.00000000,0.01655212,1.33691106,0.78544929,0.61495159
-5.35767884,1.95147561,0.03103764,0.00000000,0.01625500,1.37039360,0.78922521,0.62641673
-5.35167584,2.00617636,0.03179949,0.00000000,0.01602969,1.40891771,0.79676394,0.64005186
-5.34567284,2.06829339,0.03275297,0.00000000,0.01587799,1.45246708,0.80820842,0.65584449
-5.33966983,2.13762206,0.03389769,0.00000000,0.01579976,1.50090948,0.82364114,0.67372172
-5.33366683,2.21379290,0.03523087,0.00000000,0.01579301,1.55399797,0.84308342,0.69355094
-5.32766383,2.29627875,0.03674739,0.00000000,0.01585399,1.61137594,0.86649609,0.71514265
-5.32166083,2.38440687,0.03843982,0.00000000,0.01597746,1.67258558,0.89378124,0.73825530
-5.31565783,2.47737496,0.04029856,0.00000000,0.01615689,1.73707930,0.92478489,0.76260187
-5.30965483,2.57427035,0.04231197,0.00000000,0.01638477,1.80423329,0.95930034,0.78785780
-5.30365183,2.67409114,0.04446646,0.00000000,0.01665290,1.87336253,0.99707185,0.81366993
-5.29764882,2.77576819,0.04674658,0.00000000,0.01695263,1.94373634,1.03779836,0.83966594
-5.29164582,2.87818692,0.04913510,0.00000000,0.01727519,2.01459381,1.08113726,0.86546396
-5.28564282,2.98020807,0.05161305,0.00000000,0.01761186,2.08515853,1.12670781,0.89068190
-5.27963982,3.08068679,0.05415973,0.00000000,0.01795421,2.15465195,1.17409438,0.91494618
-5.27363682,3.17848948,0.05675269,0.00000000,0.01829424,2.22230517,1.22284949,0.93789960
-5.26763382,3.27250852,0.05936774,0.00000000,0.01862446,2.28736916,1.27249686,0.95920814
-5.26163082,3.36167479,0.06197900,0.00000000,0.01893800,2.34912330,1.32253461,0.97856670
-5.25562781,3.44496850,0.06455894,0.00000000,0.01922860,2.40688261,1.37243901,0.99570358
-5.24962481,3.52142875,0.06707857,0.00000000,0.01949061,2.46000400,1.42166908,1.01038400
-5.24362181,3.59016255,0.06950762,0.00000000,0.01971901,2.50789207,1.46967221,1.02241256
-5.23761881,3.65035381,0.07181495,0.00000000,0.01990931,2.55000469,1.51589122,1.03163496
-5.23161581,3.70127282,0.07396901,0.00000000,0.02005755,2.58585900,1.55977274,1.03793901
-5.22561281,3.74228657,0.07593839,0.00000000,0.02016030,2.61503788,1.60077714,1.04125515
-5.21960980,3.77286998,0.07769255,0.00000000,0.02021457,2.63719701,1.63838969,1.04155650
-5.21360680,3.79261785,0.07920260,0.00000000,0.02021789,2.65207247,1.67213257,1.03885868
-5.20760380,3.80125698,0.08044212,0.00000000,0.02016829,2.65948861,1.70157747,1.03321920
-5.20160080,3.79865787,0.08138801,0.00000000,0.02006436,2.65936548,1.72635788,1.02473648
-5.19559780,3.78484493,0.08202134,0.00000000,0.01990528,2.65172555,1.74618065,1.01354850
-5.18959480,3.76000425,0.08232807,0.00000000,0.01969089,2.63669864,1.76083583,0.99983081
-5.18359180,3.72448786,0.08229969,0.00000000,0.01942178,2.61452468,1.77020434,0.98379393
-5.17758879,3.67881355,0.08193368,0.00000000,0.01909930,2.58555342,1.77426266,0.96567990
-5.17158579,3.62365952,0.08123378,0.00000000,0.01872561,2.55024074,1.77308417,0.94575814
-5.16558279,3.55985343,0.08021003,0.00000000,0.01830370,2.50914115,1.76683693,0.92432027
-5.15957979,3.48835578,0.07887860,0.00000000,0.01783737,2.46289656,1.75577770,0.90167431
-5.15357679,3.41023793,0.07726135,0.00000000,0.01733122,2.41222132,1.74024255,0.87813813
-5.14757379,3.32665545,0.07538522,0.00000000,0.01679048,2.35788436,1.72063442,0.85403237
-5.14157079,3.23881798,0.07328142,0.00000000,0.01622100,2.30068878,1.69740836,0.82967317
-5.13556778,3.14795674,0.07098444,0.00000000,0.01562906,2.24145005,1.67105508,0.80536495
-5.12956478,3.05529136,0.06853105,0.00000000,0.01502124,2.18097384,1.64208392,0.78139343
-5.12356178,2.96199759,0.06595915,0.00000000,0.01440421,2.12003445,1.61100611,0.75801940
-5.11755878,2.86917736,0.06330669,0.00000000,0.01378462,2.05935497,1.57831909,0.73547326
-5.11155578,2.77783258,0.06061065,0.00000000,0.01316888,1.99959008,1.54449293,0.71395077
-5.10555278,2.68884385,0.05790606,0.00000000,0.01256303,1.94131212,1.50995923,0.69360998
-5.09954977,2.60295467,0.05522524,0.00000000,0.01197262,1.88500118,1.47510308,0.67456949
-5.09354677,2.52076179,0.05259714,0.00000000,0.01140255,1.83103909,1.44025818,0.65690804
-5.08754377,2.44271149,0.05004687,0.00000000,0.01085706,1.77970762,1.40570513,0.64066531
-5.08154077,2.36910160,0.04759540,0.00000000,0.01033962,1.73119044,1.37167257,0.62584374
-5.07553777,2.30008852,0.04525949,0.00000000,0.00985295,1.68557837,1.33834072,0.61241130
-5.06953477,2.23569850,0.04305168,0.00000000,0.00939899,1.64287744,1.30584686,0.60030486
