energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.63904969,0.00417029,0.19895340,0.29337158,0.09098390,0.46589287,0.00000000,0.60755793,0.31137220
-5.99399700,1.65100016,0.00475917,0.19259418,0.31486965,0.09229540,0.48719676,0.00000000,0.59787987,0.30891465
-5.98799400,1.66523722,0.00549243,0.18560568,0.33760177,0.09449972,0.51060918,0.00000000,0.58684124,0.30680250
-5.98199100,1.68290501,0.00639460,0.17814279,0.36160030,0.09778830,0.53642749,0.00000000,0.57495909,0.30522415
-5.97598799,1.70514836,0.00749183,0.17036638,0.38689499,0.10235659,0.56495294,0.00000000,0.56278928,0.30435398
-5.96998499,1.73309254,0.00881155,0.16243954,0.41351228,0.10840099,0.59648676,0.00000000,0.55091456,0.30434903
-5.96398199,1.76782544,0.01038204,0.15452405,0.44147469,0.11611557,0.63132623,0.00000000,0.53993201,0.30534683
-5.95797899,1.81038196,0.01223191,0.14677702,0.47080027,0.12568839,0.66976088,0.00000000,0.53044015,0.30746448
-5.95197599,1.86173052,0.01438936,0.13934797,0.50150184,0.13729767,0.71206847,0.00000000,0.52302599,0.31079884
-5.94597299,1.92276112,0.01688154,0.13237618,0.53358592,0.15110757,0.75851052,0.00000000,0.51825219,0.31542754
-5.93996998,1.99427444,0.01973367,0.12598850,0.56705121,0.16726372,0.80932722,0.00000000,0.51664463,0.32141081
-5.93396698,2.07697128,0.02296817,0.12029759,0.60188646,0.18588858,0.86473167,0.00000000,0.51868047,0.32879366
-5.92796398,2.17144195,0.02660383,0.11540049,0.63806769,0.20707668,0.92490304,0.00000000,0.52477690,0.33760835
-5.92196098,2.27815500,0.03065484,0.11137760,0.67555467,0.23088986,0.98997894,0.00000000,0.53528087,0.34787676
-5.91595798,2.39744520,0.03513009,0.10829198,0.71428680,0.25735282,1.06004699,0.00000000,0.55045969,0.35961252
-5.90995498,2.52950074,0.04003240,0.10618894,0.75417842,0.28644902,1.13513569,0.00000000,0.57049310,0.37282268
-5.90395198,2.67434988,0.04535804,0.10509590,0.79511401,0.31811722,1.21520513,0.00000000,0.59546663,0.38750887
-5.89794897,2.83184770,0.05109635,0.10502247,0.83694336,0.35224898,1.30013792,0.00000000,0.62536676,0.40366779
-5.89194597,3.00166372,0.05722972,0.10596072,0.87947724,0.38868713,1.38973076,0.00000000,0.66007800,0.42129108
-5.88594297,3.18327136,0.06373376,0.10788570,0.92248410,0.42722571,1.48368753,0.00000000,0.69938221,0.44036466
-5.87993997,3.37594035,0.07057781,0.11075615,0.96568804,0.46761125,1.58161419,0.00000000,0.74296029,0.46086753
-5.87393697,3.57873327,0.07772571,0.11451536,1.00876865,0.50954559,1.68301637,0.00000000,0.79039652,0.48277031
-5.86793397,3.79050713,0.08513693,0.11909241,1.05136306,0.55269041,1.78729991,0.00000000,0.84118568,0.50603351
-5.86193097,4.00992091,0.09276784,0.12440347,1.09307040,0.59667317,1.89377492,0.00000000,0.89474289,0.53060591
-5.85592796,4.23544962,0.10057330,0.13035358,1.13345880,0.64109448,2.00166339,0.00000000,0.95041614,0.55642294
-5.84992496,4.46540499,0.10850821,0.13683848,1.17207499,0.68553665,2.11011053,0.00000000,1.00750134,0.58340544
-5.84392196,4.69796270,0.11652925,0.14374690,1.20845610,0.72957316,2.21819948,0.00000000,1.06525949,0.61145878
-5.83791896,4.93119545,0.12459647,0.15096298,1.24214340,0.77277864,2.32496919,0.00000000,1.12293541,0.64047242
-5.83191596,5.16311091,0.13267472,0.15836890,1.27269736,0.81473901,2.42943463,0.00000000,1.17977760,0.67031991
-5.82591296,5.39169312,0.14073482,0.16584767,1.29971333,0.85506137,2.53060885,0.00000000,1.23505835,0.70085943
-5.81990995,5.61494588,0.14875442,0.17328600,1.32283696,0.89338327,2.62752579,0.00000000,1.28809328,0.73193468
-5.81390695,5.83093611,0.15671835,0.18057702,1.34177870,0.92938094,2.71926308,0.00000000,1.33825969,0.76337619
-5.80790395,6.03783550,0.16461855,0.18762299,1.35632629,0.96277612,2.80496371,0.00000000,1.38501269,0.79500282
-5.80190095,6.23395863,0.17245347,0.19433764,1.36635470,0.99334136,2.88385589,0.00000000,1.42789849,0.82662351
-5.79589795,6.41779580,0.18022697,0.20064816,1.37183270,1.02090344,2.95527001,0.00000000,1.46656418,0.85803906
-5.78989495,6.58803944,0.18794680,0.20649677,1.37282565,1.04534497,3.01865234,0.00000000,1.50076355,0.88904396
-5.78389195,6.74360284,0.19562262,0.21184165,1.36949428,1.06660398,3.07357467,0.00000000,1.53035861,0.91942815
-5.77788894,6.88363078,0.20326381,0.21665730,1.36208927,1.08467184,3.11973981,0.00000000,1.55531685,0.94897875
-5.77188594,7.00750170,0.21087707,0.22093423,1.35094207,1.09958936,3.15698273,0.00000000,1.57570427,0.97748165
-5.76588294,7.11482173,0.21846404,0.22467798,1.33645204,1.11144154,3.18526749,0.00000000,1.59167466,1.00472307
-5.75987994,7.20541118,0.22601902,0.22790751,1.31907094,1.12035108,3.20468019,0.00000000,1.60345561,1.03049103
-5.75387694,7.27928443,0.23352702,0.23065307,1.29928518,1.12647115,3.21541845,0.00000000,1.61133209,1.05457691
-5.74787394,7.33662448,0.24096220,0.23295354,1.27759697,1.12997741,3.21777800,0.00000000,1.61562844,1.07677694
-5.74187094,7.37775367,0.24828691,0.23485345,1.25450525,1.13106005,3.21213695,0.00000000,1.61668963,1.09689392
-5.73586793,7.40310215,0.25545127,0.23639985,1.23048737,1.12991578,3.19893866,0.00000000,1.61486293,1.11473900
-5.72986493,7.41317572,0.26239360,0.23763902,1.20598235,1.12674027,3.17867384,0.00000000,1.61048077,1.13013364
-5.72386193,7.40852465,0.26904142,0.23861337,1.18137666,1.12172129,3.15186272,0.00000000,1.60384574,1.14291183
-5.71785893,7.38971510,0.27531327,0.23935863,1.15699297,1.11503273,3.11903801,0.00000000,1.59521836,1.15292242
-5.71185593,7.35730431,0.28112104,0.23990140,1.13308246,1.10682969,3.08072927,0.00000000,1.58480818,1.16003165
-5.70585293,7.31182076,0.28637292,0.24025726,1.10982084,1.09724475,3.03744929,0.00000000,1.57276859,1.16412581
-5.69984992,7.25375002,0.29097670,0.24042953,1.08730814,1.08638568,2.98968293,0.00000000,1.55919538,1.16511392
-5.69384692,7.18352688,0.29484334,0.24040874,1.06557209,1.07433434,2.93787873,0.00000000,1.54412894,1.16293034
-5.68784392,7.10153375,0.29789049,0.24017286,1.04457475,1.06114697,2.88244342,0.00000000,1.52755992,1.15753732
-5.68184092,7.00810528,0.30004604,0.23968816,1.02422177,1.04685583,2.82373947,0.00000000,1.50943769,1.14892723
-5.67583792,6.90353851,0.30125120,0.23891090,1.00437378,1.03147184,2.76208542,0.00000000,1.48968107,1.13712444
-5.66983492,6.78810768,0.30146323,0.23778953,0.98485906,1.01498839,2.69775880,0.00000000,1.46819058,1.12218670
-5.66383192,6.66208270,0.30065751,0.23626735,0.96548691,0.99738583,2.63100130,0.00000000,1.44486134,1.10420590
