energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.95588906,0.00489946,0.37447600,0.92612276,0.00000000,0.44987591,0.26698288,0.86910218,0.40339677
-5.99399700,1.96700737,0.00473362,0.35784551,0.95308999,0.00000000,0.46602033,0.27790047,0.87220529,0.39162325
-5.98799400,1.98509810,0.00459582,0.34340603,0.98274931,0.00000000,0.48393663,0.28899425,0.87975596,0.38196840
-5.98199100,2.01045331,0.00448353,0.33142057,1.01502615,0.00000000,0.50358961,0.30020490,0.89212121,0.37462981
-5.97598799,2.04318949,0.00439446,0.32208592,1.04979510,0.00000000,0.52491472,0.31146336,0.90955487,0.36974667
-5.96998499,2.08324206,0.00432665,0.31553003,1.08687831,0.00000000,0.54781648,0.32269094,0.93218552,0.36739848
-5.96398199,2.13036353,0.00427857,0.31181090,1.12604461,0.00000000,0.57216738,0.33379974,0.96000746,0.36760506
-5.95797899,2.18412550,0.00424917,0.31091715,1.16700958,0.00000000,0.59780740,0.34469351,0.99287498,0.37032773
-5.95197599,2.24392441,0.00423787,0.31276995,1.20943676,0.00000000,0.62454420,0.35526881,1.03050031,0.37547159
-5.94597299,2.30899117,0.00424461,0.31722636,1.25294016,0.00000000,0.65215417,0.36541672,1.07245558,0.38288866
-5.93996998,2.37840461,0.00426974,0.32408384,1.29708824,0.00000000,0.68038443,0.37502482,1.11817880,0.39238204
-5.93396698,2.45110869,0.00431396,0.33308602,1.34140936,0.00000000,0.70895573,0.38397949,1.16698391,0.40371074
-5.92796398,2.52593326,0.00437825,0.34392939,1.38539878,0.00000000,0.73756637,0.39216862,1.21807474,0.41659538
-5.92196098,2.60161802,0.00446374,0.35627104,1.42852716,0.00000000,0.76589698,0.39948429,1.27056259,0.43072448
-5.91595798,2.67683942,0.00457157,0.36973710,1.47025026,0.00000000,0.79361622,0.40582571,1.32348689,0.44576141
-5.90995498,2.75023973,0.00470276,0.38393193,1.51001985,0.00000000,0.82038698,0.41110202,1.37583849,0.46135184
-5.90395198,2.82045776,0.00485807,0.39844775,1.54729521,0.00000000,0.84587328,0.41523495,1.42658476,0.47713162
-5.89794897,2.88616028,0.00503788,0.41287458,1.58155506,0.00000000,0.86974722,0.41816123,1.47469578,0.49273487
-5.89194597,2.94607325,0.00524208,0.42681028,1.61230938,0.00000000,0.89169609,0.41983456,1.51917068,0.50780228
-5.88594297,2.99901185,0.00546994,0.43987032,1.63911068,0.00000000,0.91142916,0.42022710,1.55906336,0.52198916
-5.87993997,3.04390828,0.00572006,0.45169716,1.66156418,0.00000000,0.92868402,0.41933041,1.59350665,0.53497326
-5.87393697,3.07983636,0.00599030,0.46196888,1.67933666,0.00000000,0.94323210,0.41715569,1.62173406,0.54646199
-5.86793397,3.10603199,0.00627781,0.47040671,1.69216337,0.00000000,0.95488330,0.41373345,1.64309849,0.55619882
-5.86193097,3.12190872,0.00657898,0.47678132,1.69985292,0.00000000,0.96348952,0.40911246,1.65708725,0.56396861
-5.85592796,3.12706789,0.00688956,0.48091756,1.70228985,0.00000000,0.96894689,0.40335817,1.66333291,0.56960171
-5.84992496,3.12130293,0.00720470,0.48269750,1.69943485,0.00000000,0.97119674,0.39655052,1.66161977,0.57297668
-5.84392196,3.10459789,0.00751905,0.48206160,1.69132272,0.00000000,0.97022534,0.38878143,1.65188582,0.57402146
-5.83791896,3.07712030,0.00782695,0.47900808,1.67805823,0.00000000,0.96606233,0.38015192,1.63422024,0.57271302
-5.83191596,3.03920878,0.00812256,0.47359037,1.65981015,0.00000000,0.95877810,0.37076908,1.60885678,0.56907543
-5.82591296,2.99135628,0.00840004,0.46591294,1.63680385,0.00000000,0.94848029,0.36074314,1.57616336,0.56317665
-5.81990995,2.93418968,0.00865377,0.45612551,1.60931296,0.00000000,0.93530942,0.35018451,1.53662845,0.55512396
-5.81390695,2.86844685,0.00887849,0.44441608,1.57765041,0.00000000,0.91943421,0.33920122,1.49084486,0.54505847
-5.80790395,2.79495227,0.00906951,0.43100300,1.54215948,0.00000000,0.90104644,0.32789671,1.43949167,0.53314885
-5.80190095,2.71459239,0.00922289,0.41612649,1.50320512,0.00000000,0.88035591,0.31636804,1.38331499,0.51958467
-5.79589795,2.62829156,0.00933560,0.40003995,1.46116612,0.00000000,0.85758549,0.30470468,1.32310816,0.50456960
-5.78989495,2.53698982,0.00940558,0.38300145,1.41642812,0.00000000,0.83296653,0.29298774,1.25969230,0.48831484
-5.78389195,2.44162286,0.00943193,0.36526575,1.36937788,0.00000000,0.80673474,0.28128980,1.19389749,0.47103296
-5.77788894,2.34310510,0.00941484,0.34707714,1.32039883,0.00000000,0.77912666,0.26967515,1.12654533,0.45293245
-5.77188594,2.24231589,0.00935573,0.32866343,1.26986770,0.00000000,0.75037671,0.25820040,1.05843314,0.43421313
-5.76588294,2.14008910,0.00925711,0.31023110,1.21815236,0.00000000,0.72071484,0.24691536,0.99032009,0.41506259
-5.75987994,2.03720593,0.00912257,0.29196188,1.16561045,0.00000000,0.69036476,0.23586415,0.92291552,0.39565353
-5.75387694,1.93439049,0.00895664,0.27401070,1.11258862,0.00000000,0.65954266,0.22508627,0.85686941,0.37614224
-5.74787394,1.83230798,0.00876463,0.25650498,1.05942217,0.00000000,0.62845625,0.21461766,0.79276508,0.35666791
-5.74187094,1.73156460,0.00855250,0.23954516,1.00643469,0.00000000,0.59730413,0.20449157,0.73111397,0.33735284
-5.73586793,1.63270887,0.00832659,0.22320625,0.95393742,0.00000000,0.56627524,0.19473918,0.67235244,0.31830322
-5.72986493,1.53623367,0.00809344,0.20754026,0.90222839,0.00000000,0.53554839,0.18538995,0.61684030,0.29961043
-5.72386193,1.44257853,0.00785955,0.19257928,0.85159080,0.00000000,0.50529170,0.17647158,0.56486098,0.28135269
-5.71785893,1.35213171,0.00763114,0.17833890,0.80229097,0.00000000,0.47566193,0.16800976,0.51662313,0.26359680
-5.71185593,1.26523196,0.00741396,0.16482181,0.75457565,0.00000000,0.44680370,0.16002749,0.47226341,0.24639984
-5.70585293,1.18216965,0.00721305,0.15202139,0.70866890,0.00000000,0.41884848,0.15254431,0.43185040,0.22981079
-5.69984992,1.10318730,0.00703262,0.13992502,0.66476874,0.00000000,0.39191351,0.14557527,0.39538932,0.21387193
-5.69384692,1.02847975,0.00687585,0.12851711,0.62304375,0.00000000,0.36610074,0.13912992,0.36282769,0.19861990
-5.68784392,0.95819412,0.00674486,0.11778164,0.58362993,0.00000000,0.34149569,0.13321134,0.33406153,0.18408656
-5.68184092,0.89242981,0.00664060,0.10770419,0.54662811,0.00000000,0.31816653,0.12781534,0.30894224,0.17029953
-5.67583792,0.83123901,0.00656289,0.09827349,0.51210220,0.00000000,0.29616343,0.12292987,0.28728393,0.15728252
-5.66983492,0.77462795,0.00651041,0.08948249,0.48007848,0.00000000,0.27551822,0.11853481,0.26887123,0.14505554
-5.66383192,0.72255916,0.00648085,0.08132891,0.45054609,0.00000000,0.25624457,0.11460212,0.25346730,0.13363495
-5.65782891,0.67495513,0.00647100,0.07381551,0.42345892,0.00000000,0.23833861,0.11109648,0.24082212,0.12303356
-5.65182591,0.63170318,0.00647692,0.06694996,0.39873882,0.00000000,0.22178020,0.10797630,0.23068082,0.11326077
-5.64582291,0.59266190,0.00649418,0.06074455,0.37628018,0.00000000,0.20653476,0.10519514,0.22279178,0.10432277
-5.63981991,0.55766868,0.00651802,0.05521573,0.35595558,0.00000000,0.19255556,0.10270356,0.21691457,0.09622289
-5.63381691,0.52654839,0.00654365,0.05038345,0.33762246,0.00000000,0.17978664,0.10045115,0.21282726,0.08896215
-5.62781391,0.49912262,0.00656645,0.04627057,0.32113043,0.00000000,0.16816596,0.09838887,0.21033300,0.08253981
-5.62181091,0.47521920,0.00658224,0.04290216,0.30632879,0.00000000,0.15762891,0.09647135,0.20926563,0.07695416
-5.61580790,0.45468144,0.00658746,0.04030476,0.29307416,0.00000000,0.14811193,0.09465918,0.20949409,0.07220320
-5.60980490,0.43737651,0.00657942,0.03850562,0.28123754,0.00000000,0.13955598,0.09292108,0.21092535,0.06828542
-5.60380190,0.42320259,0.00655642,0.03753189,0.27071066,0.00000000,0.13190995,0.09123572,0.21350584,0.06520042
-5.59779890,0.41209417,0.00651790,0.03740973,0.26141121,0.00000000,0.12513354,0.08959318,0.21722110,0.06294934
-5.59179590,0.40402519,0.00646450,0.03816327,0.25328669,0.00000000,0.11919976,0.08799596,0.22209370,0.06153508
-5.58579290,0.39900968,0.00639813,0.03981349,0.24631662,0.00000000,0.11409665,0.08645937,0.22817930,0.06096223
-5.57978989,0.39709977,0.00632190,0.04237693,0.24051317,0.00000000,0.10982836,0.08501145,0.23556105,0.06123662
-5.57378689,0.39838090,0.00624010,0.04586423,0.23591983,0.00000000,0.10641529,0.08369218,0.24434247,0.06236455
-5.56778389,0.40296455,0.00615807,0.05027861,0.23260849,0.00000000,0.10389344,0.08255223,0.25463887,0.06435166
-5.56178089,0.41097851,0.00608203,0.05561417,0.23067484,0.00000000,0.10231283,0.08165106,0.26656791,0.06720144
-5.55577789,0.42255510,0.00601888,0.06185422,0.23023226,0.00000000,0.10173511,0.08105458,0.28023934,0.07091353
-5.54977489,0.43781801,0.00597599,0.06896961,0.23140458,0.00000000,0.10223033,0.08083244,0.29574466,0.07548177
