energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,3.42263341,0.01095742,0.61433009,0.54684892,0.26045517,1.35481921,0.00000000,0.77901298,1.03501255
-5.99399700,3.37431432,0.01039529,0.61465133,0.52487844,0.26112247,1.32806354,0.00000000,0.77226758,1.03699237
-5.98799400,3.33462176,0.00984796,0.61588039,0.50568980,0.26215829,1.30639403,0.00000000,0.76653694,1.04065228
-5.98199100,3.30441776,0.00932268,0.61816331,0.48944718,0.26364161,1.29008322,0.00000000,0.76202090,1.04619918
-5.97598799,3.28447834,0.00882635,0.62162112,0.47628548,0.26564873,1.27937471,0.00000000,0.75890331,1.05380288
-5.96998499,3.27545606,0.00836529,0.62634349,0.46630685,0.26824911,1.27446867,0.00000000,0.75734339,1.06358529
-5.96398199,3.27784519,0.00794512,0.63238374,0.45957762,0.27150125,1.27550725,0.00000000,0.75746802,1.07561168
-5.95797899,3.29195092,0.00757062,0.63975533,0.45612578,0.27544908,1.28256065,0.00000000,0.75936504,1.08988421
-5.95197599,3.31786381,0.00724562,0.64842996,0.45593876,0.28011859,1.29561433,0.00000000,0.76307798,1.10633808
-5.94597299,3.35544033,0.00697292,0.65833736,0.45896193,0.28551531,1.31455811,0.00000000,0.76860234,1.12484044
-5.93996998,3.40429027,0.00675425,0.66936659,0.46509747,0.29162236,1.33917757,0.00000000,0.77588358,1.14519175
-5.93396698,3.46377128,0.00659024,0.68136877,0.47420396,0.29839935,1.36914836,0.00000000,0.78481678,1.16712970
-5.92796398,3.53299087,0.00648043,0.69416106,0.48609642,0.30578212,1.40403367,0.00000000,0.79524806,1.19033518
-5.92196098,3.61081557,0.00642331,0.70753154,0.50054719,0.31368327,1.44328515,0.00000000,0.80697749,1.21444000
-5.91595798,3.69588702,0.00641635,0.72124488,0.51728735,0.32199350,1.48624739,0.00000000,0.81976350,1.23903598
-5.90995498,3.78664450,0.00645609,0.73504833,0.53600901,0.33058370,1.53216600,0.00000000,0.83332844,1.26368482
-5.90395198,3.88135326,0.00653825,0.74867799,0.55636837,0.33930765,1.58019917,0.00000000,0.84736514,1.28792851
-5.89794897,3.97813789,0.00665782,0.76186497,0.57798968,0.34800529,1.62943242,0.00000000,0.86154427,1.31129971
-5.89194597,4.07501997,0.00680918,0.77434127,0.60047014,0.35650649,1.67889640,0.00000000,0.87552221,1.33333197
-5.88594297,4.16995918,0.00698627,0.78584542,0.62338575,0.36463505,1.72758709,0.00000000,0.88894920,1.35356929
-5.87993997,4.26089695,0.00718272,0.79612758,0.64629808,0.37221305,1.77448804,0.00000000,0.90147770,1.37157520
-5.87393697,4.34580187,0.00739201,0.80495422,0.66876205,0.37906521,1.81859401,0.00000000,0.91277066,1.38694098
-5.86793397,4.42271580,0.00760765,0.81211238,0.69033441,0.38502333,1.85893537,0.00000000,0.92250960,1.39929323
-5.86193097,4.48979991,0.00782332,0.81741351,0.71058300,0.38993056,1.89460255,0.00000000,0.93040245,1.40830077
-5.85592796,4.54537955,0.00803304,0.82069707,0.72909644,0.39364553,1.92476975,0.00000000,0.93619090,1.41368100
-5.84992496,4.58798687,0.00823135,0.82183382,0.74549406,0.39604609,1.94871716,0.00000000,0.93965727,1.41520574
-5.84392196,4.61640025,0.00841344,0.82072899,0.75943574,0.39703267,1.96585104,0.00000000,0.94063080,1.41270679
-5.83791896,4.62967929,0.00857530,0.81732527,0.77063127,0.39653115,1.97572064,0.00000000,0.93899309,1.40608112
-5.83191596,4.62719430,0.00871379,0.81160571,0.77884894,0.39449509,1.97803165,0.00000000,0.93468280,1.39529574
-5.82591296,4.60864919,0.00882679,0.80359636,0.78392292,0.39090726,1.97265523,0.00000000,0.92769932,1.38039216
