energy_ev,total_up,Cu_p_up,Cu_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,4.08074121,1.21540458,1.11798672,1.59570492,0.76660064,0.00550206,0.78934978,0.03051682,1.31946823
-5.99399700,4.07875345,1.23306859,1.10463041,1.60337025,0.76643404,0.00529567,0.79159592,0.03100051,1.32300560
-5.98799400,4.07575766,1.24984385,1.09128875,1.61014222,0.76637645,0.00509139,0.79346067,0.03142949,1.32602027
-5.98199100,4.07120074,1.26530032,1.07794710,1.61562961,0.76634511,0.00488943,0.79488411,0.03179534,1.32822126
-5.97598799,4.06443593,1.27899723,1.06454466,1.61946245,0.76622771,0.00469000,0.79579779,0.03208937,1.32929663
-5.96998499,4.05475720,1.29049553,1.05098292,1.62130675,0.76588883,0.00449326,0.79612955,0.03230295,1.32892685
-5.96398199,4.04143820,1.29937105,1.03713605,1.62087835,0.76517779,0.00429941,0.79580880,0.03242778,1.32679940
-5.95797899,4.02377422,1.30522817,1.02286283,1.61795533,0.76393738,0.00410872,0.79477208,0.03245623,1.32262418
-5.95197599,4.00112543,1.30771351,1.00801953,1.61238842,0.76201321,0.00392158,0.79296858,0.03238170,1.31614913
-5.94597299,3.97295947,1.30652913,0.99247314,1.60410898,0.75926332,0.00373849,0.79036534,0.03219890,1.30717528
-5.93996998,3.93889125,1.30144477,0.97611436,1.59313432,0.75556737,0.00356008,0.78695187,0.03190421,1.29557071
-5.93396698,3.89871828,1.29230856,0.95886977,1.57956999,0.75083519,0.00338715,0.78274393,0.03149582,1.28128270
-5.92796398,3.85244948,1.27905572,0.94071241,1.56360891,0.74501417,0.00322062,0.77778620,0.03097405,1.26434739
-5.92196098,3.80032604,1.26171482,0.92167051,1.54552743,0.73809503,0.00306154,0.77215375,0.03034132,1.24489643
-5.91595798,3.74283306,1.24041118,0.90183367,1.52567840,0.73011586,0.00291106,0.76595213,0.02960232,1.22316017
-5.90995498,3.68070110,1.21536721,0.88135633,1.50448147,0.72116396,0.00277039,0.75931607,0.02876385,1.19946716
-5.90395198,3.61489734,1.18689942,0.86045824,1.48241114,0.71137556,0.00264075,0.75240677,0.02783478,1.17423964
-5.89794897,3.54660635,1.15541223,0.83942185,1.45998291,0.70093327,0.00252335,0.74540797,0.02682576,1.14798518
-5.89194597,3.47720126,1.12138859,0.81858671,1.43773824,0.69006147,0.00241927,0.73852096,0.02574899,1.12128461
-5.88594297,3.40820626,1.08537774,0.79834111,1.41622880,0.67901968,0.00232951,0.73195868,0.02461788,1.09477672
-5.87993997,3.34125196,1.04798054,0.77911120,1.39600083,0.66809439,0.00225483,0.72593932,0.02344661,1.06914008
-5.87393697,3.27802553,1.00983279,0.76134816,1.37758012,0.65758956,0.00219578,0.72067961,0.02224980,1.04507281
-5.86793397,3.22021758,0.97158725,0.74551382,1.36145811,0.64781636,0.00215260,0.71638818,0.02104199,1.02327107
-5.86193097,3.16946806,0.93389505,0.73206547,1.34807981,0.63908249,0.00212524,0.71325931,0.01983730,1.00440696
-5.85592796,3.12731334,0.89738710,0.72144033,1.33783366,0.63168162,0.00211329,0.71146719,0.01864903,0.98910693
-5.84992496,3.09513659,0.86265621,0.71404048,1.33104370,0.62588338,0.00211597,0.71116108,0.01748927,0.97793129
-5.84392196,3.07412330,0.83024070,0.71021872,1.32796406,0.62192423,0.00213218,0.71246132,0.01636869,0.97135588
-5.83791896,3.06522360,0.80060996,0.71026598,1.32877577,0.61999970,0.00216043,0.71545645,0.01529623,0.96975630
-5.83191596,3.06912252,0.77415244,0.71440074,1.33358559,0.62025801,0.00219895,0.72020124,0.01427903,0.97339557
-5.82591296,3.08621894,0.75116659,0.72276080,1.34242662,0.62279556,0.00224567,0.72671568,0.01332231,0.98241534
-5.81990995,3.11661380,0.73185478,0.73539775,1.35526034,0.62765399,0.00229831,0.73498479,0.01242939,0.99683116
-5.81390695,3.16010720,0.71632048,0.75227414,1.37197955,0.63481914,0.00235440,0.74495895,0.01160175,1.01653169
-5.80790395,3.21620434,0.70456861,0.77326353,1.39241186,0.64422158,0.00241140,0.75655482,0.01083920,1.04128193
-5.80190095,3.28412927,0.69650879,0.79815329,1.41632333,0.65573867,0.00246673,0.76965635,0.01014002,1.07073003
-5.79589795,3.36284562,0.69196147,0.82664983,1.44342192,0.66919796,0.00251789,0.78411599,0.00950124,1.10441761
-5.78989495,3.45108312,0.69066632,0.85838625,1.47336057,0.68438161,0.00256247,0.79975582,0.00891886,1.14179270
-5.78389195,3.54736870,0.69229263,0.89293177,1.50573992,0.70103170,0.00259831,0.81636867,0.00838814,1.18222511
-5.77788894,3.65006094,0.69645118,0.92980280,1.54011051,0.71885613,0.00262347,0.83371912,0.00790386,1.22502342
-5.77188594,3.75738664,0.70270716,0.96847501,1.57597497,0.73753491,0.00263637,0.85154460,0.00746062,1.26945290
-5.76588294,3.86747851,0.71059350,1.00839610,1.61279020,0.75672674,0.00263577,0.86955662,0.00705302,1.31475389
-5.75987994,3.97841299,0.71962442,1.04899877,1.64997016,0.77607558,0.00262085,0.88744242,0.00667596,1.36015990
-5.75387694,4.08824748,0.72930852,1.08971339,1.68688958,0.79521729,0.00259118,0.90486722,0.00632474,1.40491494
-5.74787394,4.19505621,0.73916121,1.12998021,1.72288907,0.81378606,0.00254674,0.92147736,0.00599527,1.44828957
-5.74187094,4.29696452,0.74871613,1.16926040,1.75728194,0.83142080,0.00248792,0.93690434,0.00568414,1.48959530
-5.73586793,4.39218081,0.75753531,1.20704607,1.78936315,0.84777123,0.00241547,0.95077027,0.00538868,1.52819707
-5.72986493,4.47902613,0.76521794,1.24286861,1.81842028,0.86250386,0.00233045,0.96269438,0.00510706,1.56352344
