energy_ev,total_up,Ge_p_up,Ge_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,1.78026231,0.01640547,0.00000000,1.17620608,0.76089229,0.01003906,1.41202884
-5.99399700,1.87590519,0.01749363,0.00000000,1.22990236,0.80822492,0.01056056,1.48965707
-5.98799400,1.96766118,0.01856762,0.00000000,1.28020934,0.85423465,0.01106270,1.56424934
-5.98199100,2.05433055,0.01961306,0.00000000,1.32643915,0.89832131,0.01153879,1.63482561
-5.97598799,2.13472674,0.02061499,0.00000000,1.36793398,0.93988271,0.01198214,1.70041546
-5.96998499,2.20770295,0.02155819,0.00000000,1.40408125,0.97832866,0.01238620,1.76008003
-5.96398199,2.27218041,0.02242756,0.00000000,1.43432922,1.01309593,0.01274472,1.81293546
-5.95797899,2.32717767,0.02320856,0.00000000,1.45820256,1.04366350,0.01305190,1.85817683
-5.95197599,2.37183954,0.02388759,0.00000000,1.47531724,1.06956770,0.01330261,1.89510193
-5.94597299,2.40546479,0.02445248,0.00000000,1.48539404,1.09041656,0.01349252,1.92313365
-5.93996998,2.42753123,0.02489292,0.00000000,1.48827027,1.10590278,0.01361831,1.94184037
-5.93396698,2.43771711,0.02520083,0.00000000,1.48390880,1.11581491,0.01367779,1.95095307
-5.92796398,2.43591776,0.02537077,0.00000000,1.47240411,1.12004597,0.01367007,1.95037862
-5.92196098,2.42225646,0.02540014,0.00000000,1.45398480,1.11859933,0.01359558,1.94020822
-5.91595798,2.39708888,0.02528946,0.00000000,1.42901230,1.11159142,0.01345620,1.92072075
-5.90995498,2.36100064,0.02504239,0.00000000,1.39797562,1.09925100,0.01325524,1.89238037
-5.90395198,2.31479768,0.02466580,0.00000000,1.36148221,1.08191510,0.01299740,1.85582854
-5.89794897,2.25948966,0.02416963,0.00000000,1.32024502,1.06002143,0.01268869,1.81187026
-5.89194597,2.19626674,0.02356664,0.00000000,1.27506621,1.03409779,0.01233629,1.76145519
-5.88594297,2.12647040,0.02287215,0.00000000,1.22681796,1.00474843,0.01194842,1.70565399
-5.87993997,2.05155930,0.02210359,0.00000000,1.17642106,0.97263816,0.01153407,1.64563072
-5.87393697,1.97307128,0.02128008,0.00000000,1.12482193,0.93847448,0.01110283,1.58261240
-5.86793397,1.89258289,0.02042184,0.00000000,1.07296894,0.90298844,0.01066455,1.51785645
-5.86193097,1.81166774,0.01954964,0.00000000,1.02178886,0.86691494,0.01022915,1.45261750
-5.85592796,1.73185528,0.01868427,0.00000000,0.97216418,0.83097302,0.00980631,1.38811451
-5.84992496,1.65459138,0.01784588,0.00000000,0.92491214,0.79584687,0.00940519,1.32549945
-5.84392196,1.58120196,0.01705352,0.00000000,0.88076621,0.76216823,0.00903422,1.26582851
-5.83791896,1.51286109,0.01632458,0.00000000,0.84036045,0.73050068,0.00870086,1.21003693
-5.83191596,1.45056438,0.01567439,0.00000000,0.80421746,0.70132635,0.00841143,1.15891810
-5.82591296,1.39510862,0.01511581,0.00000000,0.77274006,0.67503548,0.00817094,1.11310769
-5.81990995,1.34707817,0.01465897,0.00000000,0.74620698,0.65191909,0.00798299,1.07307316
-5.81390695,1.30683833,0.01431108,0.00000000,0.72477262,0.63216495,0.00784974,1.03910894
-5.80790395,1.27453590,0.01407628,0.00000000,0.70847069,0.61585688,0.00777186,1.01133721
-5.80190095,1.25010655,0.01395567,0.00000000,0.69722155,0.60297742,0.00774856,0.98971415
-5.79589795,1.23328859,0.01394734,0.00000000,0.69084282,0.59341358,0.00777770,0.97404126
-5.78989495,1.22364253,0.01404656,0.00000000,0.68906281,0.58696542,0.00785586,0.96398115
-5.78389195,1.22057544,0.01424597,0.00000000,0.69153620,0.58335718,0.00797851,0.95907719
-5.77788894,1.22336917,0.01453589,0.00000000,0.69786115,0.58225030,0.00814018,0.95877605
-5.77188594,1.23121135,0.01490465,0.00000000,0.70759743,0.58325811,0.00833462,0.96245236
-5.76588294,1.24322788,0.01533904,0.00000000,0.72028461,0.58596133,0.00855508,0.96943447
-5.75987994,1.25851575,0.01582467,0.00000000,0.73545963,0.58992399,0.00879445,0.97903028
-5.75387694,1.27617503,0.01634647,0.00000000,0.75267323,0.59470924,0.00904556,0.99055232
-5.74787394,1.29533887,0.01688912,0.00000000,0.77150439,0.59989426,0.00930132,1.00334107
-5.74187094,1.31520049,0.01743756,0.00000000,0.79157248,0.60508400,0.00955500,1.01678581
-5.73586793,1.33503634,0.01797735,0.00000000,0.81254653,0.60992321,0.00980036,1.03034226
-5.72986493,1.35422466,0.01849516,0.00000000,0.83415138,0.61410631,0.01003186,1.04354645
-5.72386193,1.37225899,0.01897910,0.00000000,0.85617061,0.61738498,0.01024477,1.05602463
-5.71785893,1.38875635,0.01941905,0.00000000,0.87844621,0.61957308,0.01043532,1.06749870
-5.71185593,1.40345993,0.01980692,0.00000000,0.90087508,0.62054896,0.01060074,1.07778751
-5.70585293,1.41623656,0.02013685,0.00000000,0.92340284,0.62025519,0.01073932,1.08680392
-5.69984992,1.42706928,0.02040530,0.00000000,0.94601517,0.61869569,0.01085044,1.09454809
-5.69384692,1.43604557,0.02061109,0.00000000,0.96872740,0.61593065,0.01093450,1.10109743
-5.68784392,1.44334197,0.02075539,0.00000000,0.99157288,0.61206945,0.01099288,1.10659388
-5.68184092,1.44920593,0.02084155,0.00000000,1.01459089,0.60726203,0.01102785,1.11122918
-5.67583792,1.45393593,0.02087491,0.00000000,1.03781479,0.60168904,0.01104245,1.11522893
-5.66983492,1.45786074,0.02086257,0.00000000,1.06126099,0.59555141,0.01104033,1.11883623
-5.66383192,1.46131887,0.02081307,0.00000000,1.08491958,0.58905965,0.01102563,1.12229571
-5.65782891,1.46463916,0.02073598,0.00000000,1.10874691,0.58242348,0.01100276,1.12583869
-5.65182591,1.46812331,0.02064160,0.00000000,1.13266070,0.57584217,0.01097627,1.12967005
-5.64582291,1.47203104,0.02054051,0.00000000,1.15653784,0.56949600,0.01095062,1.13395740
-5.63981991,1.47656845,0.02044317,0.00000000,1.18021502,0.56353916,0.01093008,1.13882296
-5.63381691,1.48187988,0.02035958,0.00000000,1.20349204,0.55809435,0.01091852,1.14433829
-5.62781391,1.48804346,0.02029889,0.00000000,1.22613766,0.55324916,0.01091929,1.15052200
-5.62181091,1.49507014,0.02026913,0.00000000,1.24789750,0.54905443,0.01093512,1.15734038
-5.61580790,1.50290624,0.02027693,0.00000000,1.26850354,0.54552429,0.01096800,1.16471059
-5.60980490,1.51143885,0.02032732,0.00000000,1.28768472,0.54263808,0.01101913,1.17250619
-5.60380190,1.52050367,0.02042359,0.00000000,1.30517780,0.54034362,0.01108889,1.18056450
-5.59779890,1.52989477,0.02056724,0.00000000,1.32073816,0.53856177,0.01117683,1.18869517
-5.59179590,1.53937544,0.02075795,0.00000000,1.33414967,0.53719195,0.01128167,1.19668968
-5.58579290,1.54868972,0.02099361,0.00000000,1.34523333,0.53611812,0.01140138,1.20433089
-5.57978989,1.55757372,0.02127047,0.00000000,1.35385420,0.53521508,0.01153321,1.21140244
-5.57378689,1.56576655,0.02158325,0.00000000,1.35992632,0.53435468,0.01167385,1.21769739
-5.56778389,1.57302009,0.02192534,0.00000000,1.36341560,0.53341160,0.01181945,1.22302587
-5.56178089,1.57910759,0.02228907,0.00000000,1.36434052,0.53226855,0.01196583,1.22722143
-5.55577789,1.58383063,0.02266591,0.00000000,1.36277092,0.53082067,0.01210858,1.23014597
-5.54977489,1.58702459,0.02304676,0.00000000,1.35882497,0.52897897,0.01224319,1.23169323
-5.54377189,1.58856254,0.02342226,0.00000000,1.35266474,0.52667283,0.01236525,1.23179088
-5.53776888,1.58835766,0.02378303,0.00000000,1.34449063,0.52385146,0.01247053,1.23040140
-5.53176588,1.58636438,0.02411996,0.00000000,1.33453512,0.52048453,0.01255518,1.22752177
-5.52576288,1.58257845,0.02442450,0.00000000,1.32305616,0.51656191,0.01261582,1.22318236
-5.51975988,1.57703610,0.02468887,0.00000000,1.31033047,0.51209272,0.01264966,1.21744514
-5.51375688,1.56981262,0.02490627,0.00000000,1.29664720,0.50710397,0.01265459,1.21040143
-5.50775388,1.56102024,0.02507112,0.00000000,1.28230191,0.50163865,0.01262927,1.20216940
-5.50175088,1.55080586,0.02517917,0.00000000,1.26759127,0.49575379,0.01257316,1.19289136
-5.49574787,1.53934829,0.02522765,0.00000000,1.25280828,0.48951834,0.01248654,1.18273117
-5.48974487,1.52685537,0.02521533,0.00000000,1.23823822,0.48301114,0.01237047,1.17187145
-5.48374187,1.51356072,0.02514257,0.00000000,1.22415523,0.47631897,0.01222682,1.16051105
-5.47773887,1.49972030,0.02501131,0.00000000,1.21081932,0.46953488,0.01205813,1.14886230
-5.47173587,1.48560856,0.02482507,0.00000000,1.19847388,0.46275661,0.01186756,1.13714839
-5.46573287,1.47151428,0.02458882,0.00000000,1.18734350,0.45608532,0.01165875,1.12560049
-5.45972986,1.45773596,0.02430889,0.00000000,1.17763198,0.44962439,0.01143572,1.11445478
-5.45372686,1.44457672,0.02399281,0.00000000,1.16952053,0.44347838,0.01120270,1.10394917
-5.44772386,1.43233885,0.02364917,0.00000000,1.16316601,0.43775202,0.01096396,1.09431969
-5.44172086,1.42131788,0.02328734,0.00000000,1.15869933,0.43254917,0.01072373,1.08579665
-5.43571786,1.41179627,0.02291730,0.00000000,1.15622374,0.42797163,0.01048597,1.07860035
-5.42971486,1.40403691,0.02254937,0.00000000,1.15581339,0.42411784,0.01025429,1.07293654
-5.42371186,1.39827639,0.02219393,0.00000000,1.15751176,0.42108126,0.01003179,1.06899159
-5.41770885,1.39471832,0.02186116,0.00000000,1.16133040,0.41894861,0.00982102,1.06692749
-5.41170585,1.39352669,0.02156081,0.00000000,1.16724766,0.41779774,0.00962385,1.06687675
-5.40570285,1.39481966,0.02130183,0.00000000,1.17520770,0.41769528,0.00944146,1.06893741
-5.39969985,1.39866376,0.02109223,0.00000000,1.18511969,0.41869411,0.00927431,1.07316815
-5.39369685,1.40506876,0.02093873,0.00000000,1.19685724,0.42083068,0.00912218,1.07958386
-5.38769385,1.41398352,0.02084660,0.00000000,1.21025819,0.42412232,0.00898420,1.08815168
-5.38169085,1.42529281,0.02081949,0.00000000,1.22512468,0.42856471,0.00885891,1.09878788
