energy_ev,total_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,4.00207484,2.39638883,1.79354404,0.00645721,2.26986721,0.12703982,0.00000000
-5.99399700,3.94929611,2.38106739,1.77785366,0.00579908,2.24854872,0.12078659,0.00000000
-5.98799400,3.89802803,2.36681918,1.76205451,0.00518901,2.22728182,0.11486400,0.00000000
-5.98199100,3.84751902,2.35283851,1.74589675,0.00462754,2.20562055,0.10924247,0.00000000
-5.97598799,3.79708067,2.33837093,1.72916205,0.00411451,2.18316183,0.10389126,0.00000000
-5.96998499,3.74611736,2.32274122,1.71167351,0.00364919,2.15956227,0.09878024,0.00000000
-5.96398199,3.69414895,2.30537577,1.69330312,0.00323032,2.13455110,0.09388143,0.00000000
-5.95797899,3.64082591,2.28581837,1.67397624,0.00285626,2.10793880,0.08917024,0.00000000
-5.95197599,3.58593661,2.26373932,1.65367314,0.00252503,2.07962118,0.08462644,0.00000000
-5.94597299,3.52940684,2.23893777,1.63242751,0.00223440,2.04957893,0.08023473,0.00000000
-5.93996998,3.47129216,2.21133758,1.61032230,0.00198194,2.01787300,0.07598512,0.00000000
-5.93396698,3.41176388,2.18097763,1.58748297,0.00176511,1.98463616,0.07187291,0.00000000
-5.92796398,3.35108988,2.14799722,1.56406886,0.00158130,1.95006151,0.06789854,0.00000000
-5.92196098,3.28961172,2.11261793,1.54026308,0.00142788,1.91438857,0.06406714,0.00000000
-5.91595798,3.22771934,2.07512309,1.51626158,0.00130225,1.87788798,0.06038797,0.00000000
-5.90995498,3.16582518,2.03583622,1.49226198,0.00120185,1.84084563,0.05687377,0.00000000
-5.90395198,3.10433908,1.99509963,1.46845285,0.00112423,1.80354704,0.05354001,0.00000000
-5.89794897,3.04364530,1.95325448,1.44500407,0.00106706,1.76626302,0.05040412,0.00000000
-5.89194597,2.98408298,1.91062327,1.42205857,0.00102814,1.72923711,0.04748477,0.00000000
-5.88594297,2.92593087,1.86749549,1.39972613,0.00100544,1.69267552,0.04480121,0.00000000
-5.87993997,2.86939695,1.82411708,1.37807929,0.00099712,1.65673994,0.04237258,0.00000000
-5.87393697,2.81461322,1.78068398,1.35715162,0.00100151,1.62154343,0.04021744,0.00000000
-5.86793397,2.76163575,1.73733966,1.33693837,0.00101716,1.58714945,0.03835334,0.00000000
-5.86193097,2.71044947,1.69417666,1.31739930,0.00104281,1.55357385,0.03679642,0.00000000
-5.85592796,2.66097719,1.65124137,1.29846353,0.00107740,1.52078964,0.03556120,0.00000000
-5.84992496,2.61309213,1.60854175,1.28003597,0.00112007,1.48873386,0.03466038,0.00000000
-5.84392196,2.56663275,1.56605695,1.26200501,0.00117015,1.45731632,0.03410468,0.00000000
-5.83791896,2.52141904,1.52374829,1.24425087,0.00122713,1.42642936,0.03390285,0.00000000
-5.83191596,2.47726912,1.48157053,1.22665422,0.00129063,1.39595807,0.03406154,0.00000000
-5.82591296,2.43401500,1.43948285,1.20910457,0.00136043,1.36579050,0.03458532,0.00000000
-5.81990995,2.39151688,1.39745868,1.19150795,0.00143639,1.33582700,0.03547664,0.00000000
-5.81390695,2.34967483,1.35549396,1.17379351,0.00151841,1.30598853,0.03673586,0.00000000
-5.80790395,2.30843771,1.31361333,1.15591874,0.00160646,1.27622332,0.03836121,0.00000000
-5.80190095,2.26780860,1.27187402,1.13787310,0.00170048,1.24651164,0.04034885,0.00000000
-5.79589795,2.22784695,1.23036741,1.11967991,0.00180040,1.21686866,0.04269283,0.00000000
-5.78989495,2.18866727,1.18921831,1.10139653,0.00190606,1.18734517,0.04538523,0.00000000
-5.78389195,2.15043483,1.14858217,1.08311283,0.00201721,1.15802640,0.04841623,0.00000000
-5.77788894,2.11335869,1.10864069,1.06494819,0.00213350,1.12902908,0.05177427,0.00000000
-5.77188594,2.07768275,1.06959597,1.04704717,0.00225443,1.10049687,0.05544631,0.00000000
-5.76588294,2.04367536,1.03166411,1.02957418,0.00237938,1.07259472,0.05941814,0.00000000
-5.75987994,2.01161820,0.99506823,1.01270740,0.00250756,1.04550234,0.06367482,0.00000000
-5.75387694,1.98179515,0.96003178,0.99663242,0.00263807,1.01940716,0.06820112,0.00000000
-5.74787394,1.95448169,0.92677230,0.98153559,0.00276987,0.99449721,0.07298212,0.00000000
-5.74187094,1.92993528,0.89549602,0.96759784,0.00290186,0.97095428,0.07800385,0.00000000
-5.73586793,1.90838730,0.86639357,0.95498870,0.00303283,0.94894753,0.08325390,0.00000000
-5.72986493,1.89003661,0.83963679,0.94386118,0.00316160,0.92862785,0.08872209,0.00000000
-5.72386193,1.87504493,0.81537681,0.93434735,0.00328699,0.91012318,0.09440109,0.00000000
-5.71785893,1.86353395,0.79374321,0.92655484,0.00340786,0.89353479,0.10028692,0.00000000
-5.71185593,1.85558410,0.77484417,0.92056425,0.00352323,0.87893469,0.10637931,0.00000000
-5.70585293,1.85123456,0.75876727,0.91642741,0.00363224,0.86636400,0.11268194,0.00000000
-5.69984992,1.85048429,0.74558076,0.91416652,0.00373425,0.85583227,0.11920237,0.00000000
-5.69384692,1.85329361,0.73533497,0.91377391,0.00382883,0.84731770,0.12595179,0.00000000
-5.68784392,1.85958599,0.72806350,0.91521239,0.00391579,0.84076794,0.13294444,0.00000000
-5.68184092,1.86924965,0.72378405,0.91841608,0.00399522,0.83610159,0.14019672,0.00000000
-5.67583792,1.88213866,0.72249851,0.92329145,0.00406746,0.83320991,0.14772615,0.00000000
-5.66983492,1.89807340,0.72419229,0.92971868,0.00413309,0.83195895,0.15554989,0.00000000
-5.66383192,1.91684031,0.72883283,0.93755301,0.00419291,0.83219174,0.16368322,0.00000000
-5.65782891,1.93819086,0.73636728,0.94662632,0.00424793,0.83373056,0.17213778,0.00000000
-5.65182591,1.96184009,0.74671939,0.95674871,0.00429927,0.83637934,0.18091982,0.00000000
-5.64582291,1.98746496,0.75978611,0.96771027,0.00434819,0.83992596,0.19002845,0.00000000
-5.63981991,2.01470288,0.77543388,0.97928310,0.00439595,0.84414479,0.19945405,0.00000000
-5.63381691,2.04315096,0.79349522,0.99122361,0.00444384,0.84879924,0.20917697,0.00000000
-5.62781391,2.07236650,0.81376586,1.00327536,0.00449310,0.85364460,0.21916658,0.00000000
-5.62181091,2.10186921,0.83600293,1.01517240,0.00454488,0.85843119,0.22938079,0.00000000
-5.61580790,2.13114559,0.85992456,1.02664334,0.00460023,0.86290787,0.23976613,0.00000000
-5.60980490,2.15965584,0.88521123,1.03741619,0.00466006,0.86682601,0.25025846,0.00000000
-5.60380190,2.18684363,0.91150915,1.04722391,0.00472519,0.86994398,0.26078436,0.00000000
-5.59779890,2.21214849,0.93843589,1.05581072,0.00479631,0.87203209,0.27126308,0.00000000
-5.59179590,2.23502103,0.96558811,1.06293910,0.00487407,0.87287795,0.28160919,0.00000000
-5.58579290,2.25494032,0.99255160,1.06839717,0.00495907,0.87229221,0.29173576,0.00000000
-5.57978989,2.27143307,1.01891299,1.07200641,0.00505196,0.87011442,0.30155789,0.00000000
-5.57378689,2.28409378,1.04427308,1.07362920,0.00515349,0.86621891,0.31099655,0.00000000
-5.56778389,2.29260503,1.06826101,1.07317612,0.00526455,0.86052041,0.31998255,0.00000000
-5.56178089,2.29675684,1.09054882,1.07061240,0.00538629,0.85297914,0.32846031,0.00000000
-5.55577789,2.29646407,1.11086550,1.06596332,0.00552012,0.84360517,0.33639139,0.00000000
-5.54977489,2.29178089,1.12900990,1.05931813,0.00566778,0.83246168,0.34375746,0.00000000
-5.54377189,2.28291115,1.14486173,1.05083219,0.00583135,0.81966689,0.35056257,0.00000000
-5.53776888,2.27021399,1.15838983,1.04072711,0.00601330,0.80539455,0.35683454,0.00000000
-5.53176588,2.25420389,1.16965722,1.02928860,0.00621640,0.78987261,0.36262532,0.00000000
-5.52576288,2.23554465,1.17882241,1.01686203,0.00644375,0.77338020,0.36801027,0.00000000
-5.51975988,2.21503726,1.18613658,1.00384567,0.00669864,0.75624257,0.37308626,0.00000000
-5.51375688,2.19360161,1.19193659,0.99068170,0.00698454,0.73882442,0.37796880,0.00000000
-5.50775388,2.17225250,1.19663389,0.97784516,0.00730488,0.72152127,0.38278795,0.00000000
-5.50175088,2.15207048,1.20069960,0.96583118,0.00766298,0.70474950,0.38768353,0.00000000
-5.49574787,2.13416859,1.20464632,0.95514087,0.00806189,0.68893494,0.39279954,0.00000000
-5.48974487,2.11965598,1.20900733,0.94626628,0.00850420,0.67450057,0.39827816,0.00000000
-5.48374187,2.10959980,1.21431413,0.93967489,0.00899188,0.66185366,0.40425352,0.00000000
-5.47773887,2.10498667,1.22107308,0.93579428,0.00952612,0.65137263,0.41084559,0.00000000
-5.47173587,2.10668536,1.22974249,0.93499737,0.01010719,0.64339424,0.41815442,0.00000000
-5.46573287,2.11541191,1.24071093,0.93758884,0.01073427,0.63820147,0.42625500,0.00000000
-5.45972986,2.13169879,1.25427802,0.94379316,0.01140538,0.63601252,0.43519304,0.00000000
-5.45372686,2.15586933,1.27063842,0.95374476,0.01211728,0.63697136,0.44498183,0.00000000
-5.44772386,2.18801845,1.28987005,0.96748065,0.01286541,0.64114026,0.45560039,0.00000000
-5.44172086,2.22800059,1.31192705,0.98493581,0.01364395,0.64849450,0.46699300,0.00000000
-5.43571786,2.27542566,1.33663786,1.00594165,0.01444579,0.65891971,0.47907012,0.00000000
-5.42971486,2.32966317,1.36370879,1.03022759,0.01526268,0.67221176,0.49171090,0.00000000
-5.42371186,2.38985468,1.39273295,1.05742587,0.01608536,0.68807964,0.50476687,0.00000000
-5.41770885,2.45493449,1.42320421,1.08707952,0.01690373,0.70615096,0.51806709,0.00000000
-5.41170585,2.52365789,1.45453584,1.11865330,0.01770708,0.72598033,0.53142424,0.00000000
-5.40570285,2.59463628,1.48608302,1.15154748,0.01848438,0.74706015,0.54464165,0.00000000
-5.39969985,2.66637813,1.51716843,1.18511391,0.01922452,0.76883374,0.55752102,0.00000000
-5.39369685,2.73733434,1.54710979,1.21867418,0.01991667,0.79071023,0.56987038,0.00000000
-5.38769385,2.80594677,1.57524833,1.25153913,0.02055061,0.81208101,0.58151218,0.00000000
-5.38169085,2.87069812,1.60097706,1.28302932,0.02111698,0.83233691,0.59229112,0.00000000
-5.37568784,2.93016145,1.62376763,1.31249566,0.02160766,0.85088587,0.60208152,0.00000000
-5.36968484,2.98304777,1.64319461,1.33933957,0.02201601,0.86717014,0.61079377,0.00000000
-5.36368184,3.02824969,1.65895644,1.36303208,0.02233710,0.88068280,0.61837979,0.00000000
-5.35767884,3.06487985,1.67089188,1.38313101,0.02256791,0.89098265,0.62483727,0.00000000
-5.35167584,3.09230245,1.67899156,1.39929580,0.02270747,0.89770716,0.63021237,0.00000000
-5.34567284,3.11015668,1.68340397,1.41129922,0.02275691,0.90058296,0.63460091,0.00000000
-5.33966983,3.11837137,1.68443582,1.41903568,0.02271941,0.89943344,0.63814789,0.00000000
-5.33366683,3.11716991,1.68254656,1.42252565,0.02260021,0.89418325,0.64104536,0.00000000
-5.32766383,3.10706558,1.67833751,1.42191606,0.02240633,0.88485955,0.64352868,0.00000000
-5.32166083,3.08884713,1.67253584,1.41747660,0.02214646,0.87158997,0.64587126,0.00000000
-5.31565783,3.06355532,1.66597415,1.40959194,0.02183060,0.85459745,0.64837785,0.00000000
-5.30965483,3.03245121,1.65956634,1.39875024,0.02146977,0.83419216,0.65137673,0.00000000
-5.30365183,2.99697736,1.65428072,1.38552829,0.02107563,0.81076086,0.65521087,0.00000000
-5.29764882,2.95871326,1.65111121,1.37057368,0.02066007,0.78475419,0.66022835,0.00000000
-5.29164582,2.91932679,1.65104776,1.35458487,0.02023487,0.75667236,0.66677238,0.00000000
-5.28564282,2.88052312,1.65504672,1.33828957,0.01981127,0.72704981,0.67517106,0.00000000
-5.27963982,2.84399294,1.66400221,1.32242236,0.01939962,0.69643944,0.68572730,0.00000000
-5.27363682,2.81136167,1.67871922,1.30770225,0.01900909,0.66539694,0.69870907,0.00000000
-5.26763382,2.78414115,1.69988904,1.29481076,0.01864735,0.63446578,0.71434017,0.00000000
-5.26163082,2.76368525,1.72806774,1.28437146,0.01832044,0.60416331,0.73279195,0.00000000
-5.25562781,2.75115061,1.76365791,1.27693133,0.01803254,0.57496831,0.75417593,0.00000000
-5.24962481,2.74746352,1.80689405,1.27294456,0.01778598,0.54731043,0.77853771,0.00000000
-5.24362181,2.75329355,1.85783190,1.27275920,0.01758118,0.52156162,0.80585217,0.00000000
-5.23761881,2.76903458,1.91634158,1.27660699,0.01741677,0.49802966,0.83602022,0.00000000
-5.23161581,2.79479348,1.98210484,1.28459654,0.01728965,0.47695396,0.86886708,0.00000000
-5.22561281,2.83038638,2.05461617,1.29670997,0.01719525,0.45850340,0.90414228,0.00000000
-5.21960980,2.87534266,2.13318794,1.31280308,0.01712770,0.44277631,0.94152148,0.00000000
-5.21360680,2.92891610,2.21695935,1.33260886,0.01708010,0.42980219,0.98060996,0.00000000
-5.20760380,2.99010307,2.30490921,1.35574435,0.01704484,0.41954512,1.02094804,0.00000000
-5.20160080,3.05766703,2.39587243,1.38172045,0.01701382,0.41190866,1.06201824,0.00000000
-5.19559780,3.13016868,2.48855993,1.40995456,0.01697882,0.40674178,1.10325416,0.00000000
-5.18959480,3.20600116,2.58158204,1.43978552,0.01693172,0.40384582,1.14405101,0.00000000
-5.18359180,3.28342929,2.67347477,1.47049062,0.01686480,0.40298202,1.18377756,0.00000000
