energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,5.22037891,0.00281663,0.25717625,2.45678553,4.03366371,0.71911363,0.48915528,0.39454392,0.00000000
-5.99399700,5.14906338,0.00264810,0.25684235,2.41988525,3.97444724,0.71992985,0.47957609,0.38611920,0.00000000
-5.98799400,5.07126712,0.00249103,0.25600286,2.37783257,3.90976037,0.72112452,0.46978725,0.37728736,0.00000000
-5.98199100,4.98771091,0.00234642,0.25463565,2.33083858,3.84022356,0.72266644,0.45992720,0.36809254,0.00000000
-5.97598799,4.89931514,0.00221514,0.25274062,2.27923456,3.76659089,0.72455487,0.45015360,0.35859580,0.00000000
-5.96998499,4.80716361,0.00209803,0.25033885,2.22346117,3.68971846,0.72681732,0.44063934,0.34887414,0.00000000
-5.96398199,4.71246139,0.00199582,0.24747076,2.16405408,3.61052980,0.72950545,0.43156766,0.33901910,0.00000000
-5.95797899,4.61648835,0.00190920,0.24419365,2.10162676,3.52997969,0.73268951,0.42312661,0.32913464,0.00000000
-5.95197599,4.52055032,0.00183882,0.24057841,2.03685084,3.44901785,0.73645134,0.41550297,0.31933465,0.00000000
-5.94597299,4.42593001,0.00178523,0.23670593,1.97043501,3.36855404,0.74087656,0.40887595,0.30973991,0.00000000
-5.93996998,4.33383953,0.00174895,0.23266315,1.90310306,3.28942581,0.74604623,0.40341090,0.30047485,0.00000000
-5.93396698,4.24537672,0.00173037,0.22853907,1.83557201,3.21237037,0.75202845,0.39925324,0.29166401,0.00000000
-5.92796398,4.16148700,0.00172978,0.22442096,1.76853107,3.13800151,0.75887048,0.39652300,0.28342850,0.00000000
-5.92196098,4.08293249,0.00174734,0.22039083,1.70262230,3.06679263,0.76659165,0.39531011,0.27588245,0.00000000
-5.91595798,4.01026967,0.00178302,0.21652239,1.63842356,2.99906646,0.77517763,0.39567082,0.26912975,0.00000000
-5.90995498,3.94383662,0.00183658,0.21287867,1.57643450,2.93499191,0.78457635,0.39762532,0.26326109,0.00000000
-5.90395198,3.88375029,0.00190757,0.20951034,1.51706602,2.87458795,0.79469590,0.40115678,0.25835148,0.00000000
-5.89794897,3.82991402,0.00199526,0.20645469,1.46063354,2.81773448,0.80540452,0.40621198,0.25445841,0.00000000
-5.89194597,3.78203469,0.00209863,0.20373551,1.40735419,2.76418940,0.81653276,0.41270335,0.25162063,0.00000000
-5.88594297,3.73964880,0.00221637,0.20136358,1.35734799,2.71361107,0.82787784,0.42051260,0.24985774,0.00000000
-5.87993997,3.70215594,0.00234687,0.19933785,1.31064271,2.66558496,0.83920996,0.42949563,0.24917048,0.00000000
-5.87393697,3.66885798,0.00248822,0.19764712,1.26718210,2.61965307,0.85028030,0.43948863,0.24954179,0.00000000
-5.86793397,3.63900196,0.00263822,0.19627219,1.22683699,2.57534465,0.86083033,0.45031494,0.25093854,0.00000000
-5.86193097,3.61182432,0.00279443,0.19518822,1.18941844,2.53220655,0.87060209,0.46179253,0.25331384,0.00000000
-5.85592796,3.58659419,0.00295421,0.19436725,1.15469257,2.48983165,0.87934872,0.47374152,0.25660979,0.00000000
-5.84992496,3.56265343,0.00311474,0.19378071,1.12239588,2.44788378,0.88684496,0.48599151,0.26076051,0.00000000
-5.84392196,3.53945133,0.00327315,0.19340177,1.09225061,2.40611800,0.89289688,0.49838815,0.26569524,0.00000000
-5.83791896,3.51657208,0.00342652,0.19320745,1.06397932,2.36439501,0.89735060,0.51079873,0.27134134,0.00000000
-5.83191596,3.49375362,0.00357202,0.19318042,1.03731797,2.32268908,0.90009923,0.52311637,0.27762703,0.00000000
-5.82591296,3.47089698,0.00370693,0.19331038,1.01202697,2.28108909,0.90108811,0.53526262,0.28448362,0.00000000
-5.81990995,3.44806552,0.00382876,0.19359509,0.98789991,2.23979260,0.90031775,0.54718822,0.29184711,0.00000000
-5.81390695,3.42547445,0.00393530,0.19404094,0.96476946,2.19909354,0.89784451,0.55887209,0.29965909,0.00000000
-5.80790395,3.40347113,0.00402466,0.19466317,0.94251051,2.15936399,0.89377905,0.57031848,0.30786684,0.00000000
-5.80190095,3.38250748,0.00409538,0.19548566,0.92104050,2.12103131,0.88828254,0.58155260,0.31642261,0.00000000
-5.79589795,3.36310609,0.00414640,0.19654054,0.90031707,2.08455180,0.88156095,0.59261481,0.32528224,0.00000000
-5.78989495,3.34582204,0.00417713,0.19786743,0.88033340,2.05038249,0.87385762,0.60355394,0.33440303,0.00000000
-5.78389195,3.33120265,0.00418740,0.19951253,0.86111164,2.01895239,0.86544457,0.61442000,0.34374125,0.00000000
-5.77788894,3.31974752,0.00417752,0.20152752,0.84269483,1.99063517,0.85661294,0.62525689,0.35324930,0.00000000
-5.77188594,3.31187108,0.00414816,0.20396837,0.82513805,1.96572433,0.84766297,0.63609546,0.36287293,0.00000000
-5.76588294,3.30786975,0.00410041,0.20689397,0.80849911,1.94441256,0.83889395,0.64694756,0.37254857,0.00000000
-5.75987994,3.30789567,0.00403562,0.21036469,0.79282964,1.92677617,0.83059451,0.65780120,0.38220124,0.00000000
-5.75387694,3.31193811,0.00395545,0.21444077,0.77816679,1.91276552,0.82303372,0.66861747,0.39174304,0.00000000
-5.74787394,3.31981385,0.00386171,0.21918065,0.76452634,1.90220180,0.81645303,0.67932920,0.40107254,0.00000000
-5.74187094,3.33116661,0.00375634,0.22463899,0.75189727,1.89478035,0.81105956,0.68984147,0.41007523,0.00000000
-5.73586793,3.34547553,0.00364134,0.23086466,0.74023832,1.89008026,0.80702047,0.70003407,0.41862493,0.00000000
-5.72986493,3.36207193,0.00351871,0.23789839,0.72947652,1.88757957,0.80445892,0.70976559,0.42658630,0.00000000
-5.72386193,3.38016332,0.00339038,0.24577034,0.71950784,1.88667526,0.80345114,0.71887895,0.43381831,0.00000000
-5.71785893,3.39886292,0.00325818,0.25449744,0.71019974,1.88670680,0.80402487,0.72720799,0.44017853,0.00000000
-5.71185593,3.41722299,0.00312382,0.26408067,0.70139553,1.88698203,0.80615890,0.73458465,0.44552802,0.00000000
-5.70585293,3.43427006,0.00298881,0.27450229,0.69292016,1.88680390,0.80978366,0.74084637,0.44973651,0.00000000
-5.69984992,3.44903989,0.00285451,0.28572322,0.68458716,1.88549672,0.81478266,0.74584312,0.45268765,0.00000000
-5.69384692,3.46061047,0.00272209,0.29768066,0.67620619,1.88243051,0.82099479,0.74944379,0.45428406,0.00000000
-5.68784392,3.46813148,0.00259255,0.31028613,0.66759080,1.87704249,0.82821732,0.75154142,0.45445171,0.00000000
-5.68184092,3.47084879,0.00246671,0.32342414,0.65856608,1.86885460,0.83620959,0.75205726,0.45314362,0.00000000
-5.67583792,3.46812326,0.00234524,0.33695160,0.64897561,1.85748649,0.84469738,0.75094318,0.45034248,0.00000000
-5.66983492,3.45944354,0.00222869,0.35069826,0.63868749,1.84266370,0.85337796,0.74818266,0.44606214,0.00000000
-5.66383192,3.44443269,0.00211747,0.36446814,0.62759923,1.82422096,0.86192588,0.74379033,0.44034792,0.00000000
-5.65782891,3.42284937,0.00201192,0.37804220,0.61564114,1.80210087,0.86999946,0.73781017,0.43327565,0.00000000
-5.65182591,3.39458408,0.00191229,0.39118224,0.60277838,1.77634854,0.87724807,0.73031268,0.42494966,0.00000000
-5.64582291,3.35965182,0.00181879,0.40363594,0.58901153,1.74710295,0.88332012,0.72139129,0.41549974,0.00000000
-5.63981991,3.31818211,0.00173157,0.41514300,0.57437577,1.71458578,0.88787159,0.71115836,0.40507732,0.00000000
-5.63381691,3.27040769,0.00165074,0.42544222,0.55893890,1.67908883,0.89057509,0.69974095,0.39385115,0.00000000
-5.62781391,3.21665289,0.00157641,0.43427923,0.54279849,1.64096076,0.89112916,0.68727683,0.38200264,0.00000000
-5.62181091,3.15732272,0.00150865,0.44141458,0.52607810,1.60059409,0.88926744,0.67391077,0.36972116,0.00000000
-5.61580790,3.09289321,0.00144749,0.44663189,0.50892327,1.55841312,0.88476755,0.65979141,0.35719953,0.00000000
-5.60980490,3.02390344,0.00139295,0.44974564,0.49149706,1.51486322,0.87745905,0.64506871,0.34462981,0.00000000
-5.60380190,2.95094911,0.00134504,0.45060820,0.47397572,1.47040193,0.86723036,0.62989199,0.33219968,0.00000000
-5.59779890,2.87467770,0.00130369,0.44911584,0.45654440,1.42549170,0.85403402,0.61440861,0.32008934,0.00000000
-5.59179590,2.79578431,0.00126881,0.44521331,0.43939317,1.38059443,0.83789010,0.59876303,0.30846904,0.00000000
-5.58579290,2.71500788,0.00124026,0.43889675,0.42271334,1.33616724,0.81888741,0.58309626,0.29749718,0.00000000
-5.57978989,2.63312674,0.00121785,0.43021482,0.40669402,1.29265935,0.79718244,0.56754540,0.28731897,0.00000000
-5.57378689,2.55095287,0.00120130,0.41926790,0.39151910,1.25050925,0.77299580,0.55224335,0.27806547,0.00000000
-5.56778389,2.46932421,0.00119030,0.40620536,0.37736437,1.21014196,0.74660648,0.53731825,0.26985290,0.00000000
-5.56178089,2.38909450,0.00118443,0.39122110,0.36439476,1.17196580,0.71834381,0.52289291,0.26278215,0.00000000
-5.55577789,2.31112040,0.00118322,0.37454751,0.35276172,1.13636821,0.68857774,0.50908394,0.25693827,0.00000000
-5.54977489,2.23624604,0.00118615,0.35644802,0.34260056,1.10371058,0.65770763,0.49600069,0.25238993,0.00000000
-5.54377189,2.16528521,0.00119262,0.33720890,0.33402775,1.07432195,0.62615014,0.48374412,0.24918878,0.00000000
-5.53776888,2.09900190,0.00120196,0.31713030,0.32713819,1.04849158,0.59432671,0.47240554,0.24736857,0.00000000
