energy_ev,total_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.61670487,0.21456566,0.68282266,0.05125978,0.06360378,0.18887272,0.00017477
-5.99399700,1.69302369,0.22517018,0.71495929,0.05441449,0.06657605,0.19819866,0.00018197
-5.98799400,1.76372037,0.23534148,0.74428925,0.05755479,0.06944389,0.20704124,0.00018861
-5.98199100,1.82711478,0.24482956,0.77013674,0.06061479,0.07212808,0.21519209,0.00019449
-5.97598799,1.88167596,0.25340032,0.79189502,0.06352926,0.07455532,0.22245641,0.00019944
-5.96998499,1.92606133,0.26084057,0.80904261,0.06623497,0.07665950,0.22865786,0.00020333
-5.96398199,1.95915154,0.26696286,0.82115739,0.06867222,0.07838301,0.23364291,0.00020604
-5.95797899,1.98007938,0.27160973,0.82792807,0.07078629,0.07967782,0.23728476,0.00020747
-5.95197599,1.98825154,0.27465719,0.82916233,0.07252876,0.08050635,0.23948647,0.00020758
-5.94597299,1.98336200,0.27601744,0.82479128,0.07385881,0.08084222,0.24018320,0.00020632
-5.93996998,1.96539658,0.27564051,0.81486998,0.07474427,0.08067057,0.23934359,0.00020371
-5.93396698,1.93462826,0.27351489,0.79957396,0.07516247,0.07998819,0.23697001,0.00019979
-5.92796398,1.89160348,0.26966698,0.77919189,0.07510087,0.07880322,0.23309787,0.00019462
-5.92196098,1.83712000,0.26415947,0.75411462,0.07455735,0.07713465,0.22779386,0.00018830
-5.91595798,1.77219727,0.25708865,0.72482119,0.07354023,0.07501143,0.22115330,0.00018094
-5.90995498,1.69804060,0.24858081,0.69186241,0.07206800,0.07247133,0.21329666,0.00017267
-5.90395198,1.61600077,0.23878777,0.65584262,0.07016878,0.06955960,0.20436539,0.00016366
-5.89794897,1.52753069,0.22788189,0.61740062,0.06787947,0.06632745,0.19451729,0.00015404
-5.89194597,1.43414095,0.21605059,0.57719029,0.06524478,0.06283040,0.18392154,0.00014399
-5.88594297,1.33735610,0.20349066,0.53586198,0.06231598,0.05912660,0.17275368,0.00013367
-5.87993997,1.23867320,0.19040267,0.49404511,0.05914968,0.05527514,0.16119058,0.00012322
-5.87393697,1.13952422,0.17698552,0.45233270,0.05580645,0.05133448,0.14940580,0.00011281
