energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.45756689,0.02034126,0.60202174,0.00729192,0.24249918,0.39279761,0.40515023
-5.99399700,1.43687788,0.01945368,0.59358156,0.00696250,0.24000489,0.38197285,0.39762718
-5.98799400,1.41454201,0.01850995,0.58423578,0.00663298,0.23753568,0.37048286,0.38923925
-5.98199100,1.39147985,0.01752859,0.57437735,0.00631197,0.23522413,0.35868734,0.38027312
-5.97598799,1.36864876,0.01652838,0.56442143,0.00600810,0.23320130,0.34696280,0.37103403
-5.96998499,1.34702066,0.01552785,0.55479580,0.00572977,0.23159360,0.33569475,0.36183902
-5.96398199,1.32755999,0.01454490,0.54593113,0.00548500,0.23051990,0.32526988,0.35300994
-5.95797899,1.31120221,0.01359644,0.53825121,0.00528117,0.23008898,0.31606861,0.34486651
-5.95197599,1.29883358,0.01269809,0.53216343,0.00512487,0.23039738,0.30845790,0.33771951
-5.94597299,1.29127254,0.01186393,0.52804982,0.00502172,0.23152771,0.30278468,0.33186429
-5.93996998,1.28925313,0.01110637,0.52625863,0.00497620,0.23354746,0.29936971,0.32757475
-5.93396698,1.29341044,0.01043607,0.52709677,0.00499159,0.23650822,0.29850207,0.32509775
-5.92796398,1.30426826,0.00986185,0.53082305,0.00506979,0.24044528,0.30043405,0.32464815
-5.92196098,1.32222897,0.00939075,0.53764237,0.00521131,0.24537767,0.30537662,0.32640438
-5.91595798,1.34756533,0.00902804,0.54770077,0.00541517,0.25130831,0.31349528,0.33050468
-5.90995498,1.38041430,0.00877733,0.56108157,0.00567895,0.25822438,0.32490638,0.33704396
-5.90395198,1.42077250,0.00864067,0.57780233,0.00599873,0.26609780,0.33967373,0.34607127
-5.89794897,1.46849349,0.00861863,0.59781291,0.00636916,0.27488559,0.35780577,0.35758797
-5.89194597,1.52328649,0.00871041,0.62099447,0.00678356,0.28453023,0.37925312,0.37154655
-5.88594297,1.58471679,0.00891392,0.64715957,0.00723402,0.29495997,0.40390667,0.38785018
-5.87993997,1.65220788,0.00922591,0.67605328,0.00771153,0.30608889,0.43159645,0.40635299
-5.87393697,1.72504543,0.00964198,0.70735559,0.00820618,0.31781706,0.46209123,0.42686121
-5.86793397,1.80238335,0.01015664,0.74068489,0.00870740,0.33003056,0.49509914,0.44913512
