energy_ev,total_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,0.63132601,0.33403744,0.20128547,0.00096024,0.27183202,0.02849905,0.00000000
-5.99399700,0.66494956,0.35783954,0.21218271,0.00098916,0.28542787,0.03157580,0.00000000
-5.98799400,0.70213469,0.38375165,0.22433765,0.00105047,0.30015967,0.03538871,0.00000000
-5.98199100,0.74278155,0.41183690,0.23773104,0.00114256,0.31597487,0.03994803,0.00000000
-5.97598799,0.78685089,0.44218006,0.25236297,0.00126401,0.33284649,0.04526672,0.00000000
-5.96998499,0.83435095,0.47487983,0.26824793,0.00141351,0.35076915,0.05135792,0.00000000
-5.96398199,0.88532117,0.51003935,0.28540861,0.00158975,0.36975368,0.05823216,0.00000000
-5.95797899,0.93981301,0.54775499,0.30386902,0.00179138,0.38982046,0.06589448,0.00000000
-5.95197599,0.99786872,0.58810395,0.32364689,0.00201689,0.41099175,0.07434155,0.00000000
-5.94597299,1.05949882,0.63113117,0.34474575,0.00226453,0.43328332,0.08355881,0.00000000
-5.93996998,1.12465946,0.67683600,0.36714712,0.00253229,0.45669581,0.09351790,0.00000000
-5.93396698,1.19323066,0.72515952,0.39080305,0.00281780,0.48120610,0.10417431,0.00000000
-5.92796398,1.26499677,0.77597329,0.41562968,0.00311832,0.50675946,0.11546567,0.00000000
-5.92196098,1.33963041,0.82907016,0.44150196,0.00343076,0.53326271,0.12731048,0.00000000
-5.91595798,1.41668117,0.88415817,0.46825019,0.00375170,0.56057901,0.13960769,0.00000000
-5.90995498,1.49557003,0.94085811,0.49565860,0.00407739,0.58852477,0.15223704,0.00000000
-5.90395198,1.57559061,0.99870537,0.52346633,0.00440389,0.61686902,0.16506035,0.00000000
-5.89794897,1.65591769,1.05715658,0.55137094,0.00472714,0.64533546,0.17792374,0.00000000
-5.89194597,1.73562342,1.11560104,0.57903463,0.00504307,0.67360748,0.19066079,0.00000000
-5.88594297,1.81370096,1.17337708,0.60609294,0.00534778,0.70133602,0.20309654,0.00000000
-5.87993997,1.88909510,1.22979273,0.63216586,0.00563766,0.72815021,0.21505236,0.00000000
-5.87393697,1.96073876,1.28415028,0.65687097,0.00590957,0.75367031,0.22635138,0.00000000
-5.86793397,2.02759399,1.33577356,0.67983796,0.00616101,0.77752258,0.23682437,0.00000000
-5.86193097,2.08869573,1.38403688,0.70072418,0.00639027,0.79935536,0.24631586,0.00000000
-5.85592796,2.14319618,1.42839414,0.71923022,0.00659659,0.81885554,0.25469012,0.00000000
-5.84992496,2.19040761,1.46840672,0.73511498,0.00678025,0.83576471,0.26183687,0.00000000
-5.84392196,2.22984131,1.50376848,0.74820937,0.00694270,0.84989393,0.26767637,0.00000000
-5.83791896,2.26124047,1.53432647,0.75842785,0.00708661,0.86113647,0.27216363,0.00000000
-5.83191596,2.28460498,1.56009596,0.76577724,0.00721589,0.86947753,0.27529157,0.00000000
-5.82591296,2.30020662,1.58126885,0.77036217,0.00733564,0.87500047,0.27709282,0.00000000
-5.81990995,2.30859323,1.59821443,0.77238680,0.00745213,0.87788893,0.27764024,0.00000000
-5.81390695,2.31058150,1.61147236,0.77215260,0.00757261,0.87842462,0.27704592,0.00000000
-5.80790395,2.30723805,1.62173778,0.77005214,0.00770521,0.87698073,0.27545876,0.00000000
-5.80190095,2.29984955,1.62983892,0.76655912,0.00785873,0.87401109,0.27306066,0.00000000
-5.79589795,2.28988281,1.63670825,0.76221487,0.00804237,0.87003556,0.27006155,0.00000000
-5.78989495,2.27893672,1.64334818,0.75761207,0.00826549,0.86562215,0.26669335,0.00000000
-5.78389195,2.26868787,1.65079302,0.75337615,0.00853734,0.86136677,0.26320322,0.00000000
-5.77788894,2.26083248,1.66006875,0.75014537,0.00886677,0.85787148,0.25984626,0.00000000
-5.77188594,2.25702698,1.67215257,0.74855018,0.00926195,0.85572216,0.25687811,0.00000000
-5.76588294,2.25883013,1.68793399,0.74919298,0.00973012,0.85546674,0.25454760,0.00000000
