energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,3.32200103,-2.57883681,0.04124249,-0.04142654,0.21733763,-0.16338095,2.40330686,-1.88709819,0.78114330,-0.49412494,1.97869825,-1.58572694,0.00000000,-0.00000000,1.03881827,-0.83741392,0.29342565,-0.23671653
-5.99399700,3.35538174,-2.63444122,0.04031404,-0.04183352,0.23172140,-0.15958724,2.42546561,-1.94042857,0.81320956,-0.49910611,1.97948424,-1.62992784,0.00000000,-0.00000000,1.03825695,-0.86163296,0.29326342,-0.24187659
-5.98799400,3.38231840,-2.68009155,0.03922777,-0.04199836,0.24689824,-0.15557915,2.44378121,-1.98622518,0.84563750,-0.50340056,1.97464978,-1.66726731,0.00000000,-0.00000000,1.03479219,-0.88211021,0.29227256,-0.24592557
-5.98199100,3.40322106,-2.71586334,0.03801271,-0.04192562,0.26276033,-0.15145723,2.45872943,-2.02445689,0.87818485,-0.50713482,1.96466593,-1.69765689,0.00000000,-0.00000000,1.02869336,-0.89878185,0.29053568,-0.24887480
-5.97598799,3.41843847,-2.74208594,0.03669931,-0.04162514,0.27916643,-0.14732797,2.47072748,-2.05530949,0.91054903,-0.51045729,1.95001037,-1.72118286,0.00000000,-0.00000000,1.02023198,-0.91168118,0.28813633,-0.25076392
-5.96998499,3.42823345,-2.75933379,0.03531846,-0.04111173,0.29594133,-0.14330354,2.48011278,-2.07918118,0.94236782,-0.51353699,1.93115029,-1.73810055,0.00000000,-0.00000000,1.00967253,-0.92093618,0.28515588,-0.25165932
-5.96398199,3.43276609,-2.76840740,0.03390046,-0.04040453,0.31287701,-0.13950146,2.48712749,-2.09666884,0.97322346,-0.51656150,1.90852830,-1.74882134,0.00000000,-0.00000000,0.99726487,-0.92676304,0.28167085,-0.25165151
-5.95797899,3.43208539,-2.77030470,0.03247412,-0.03952637,0.32973531,-0.13604411,2.49190951,-2.10854563,1.00265012,-0.51973380,1.88255195,-1.75389304,0.00000000,-0.00000000,0.98323876,-0.92945591,0.27775082,-0.25085144
-5.95197599,3.42612974,-2.76618381,0.03106586,-0.03850291,0.34625240,-0.13305797,2.49448999,-2.11573063,1.03014479,-0.52326819,1.85358685,-1.75397433,0.00000000,-0.00000000,0.96780019,-0.92937324,0.27345691,-0.24938597
-5.94597299,3.41473578,-2.75731872,0.02969900,-0.03736166,0.36214469,-0.13067265,2.49479742,-2.11925169,1.05518098,-0.52738529,1.82195353,-1.74980455,0.00000000,-0.00000000,0.95112982,-0.92692132,0.26884090,-0.24739267
-5.93996998,3.39765502,-2.74504991,0.02839324,-0.03613104,0.37711631,-0.12901945,2.49266741,-2.12020317,1.07722484,-0.53230619,1.78792751,-1.74217038,0.00000000,-0.00000000,0.93338316,-0.92253597,0.26394497,-0.24501422
-5.93396698,3.37457665,-2.73073211,0.02716416,-0.03483936,0.39086752,-0.12822957,2.48785746,-2.11970044,1.09575294,-0.53824602,1.75174242,-1.73187089,0.00000000,-0.00000000,0.91469216,-0.91666309,0.25880201,-0.24239263
-5.92796398,3.34515511,-2.71568160,0.02602305,-0.03351389,0.40310412,-0.12843182,2.48006565,-2.11883317,1.11027081,-0.54540700,1.71359517,-1.71968283,0.00000000,-0.00000000,0.89516810,-0.90973918,0.25343633,-0.23966351
-5.92196098,3.30904045,-2.70112549,0.02497682,-0.03217998,0.41354699,-0.12974996,2.46895169,-2.11861964,1.12033154,-0.55397144,1.67365278,-1.70632790,0.00000000,-0.00000000,0.87490504,-0.90217269,0.24786482,-0.23695084
-5.91595798,3.26590953,-2.68815513,0.02402816,-0.03086027,0.42194178,-0.13229954,2.45415933,-2.11996406,1.12555324,-0.56409473,1.63205994,-1.69244349,0.00000000,-0.00000000,0.85398376,-0.89432724,0.24209833,-0.23436215
-5.90995498,3.21549604,-2.67768593,0.02317574,-0.02957414,0.42806796,-0.13618440,2.43533861,-2.12361904,1.12563478,-0.57589862,1.58894673,-1.67855837,0.00000000,-0.00000000,0.83247559,-0.88650746,0.23614319,-0.23198472
-5.90395198,3.15761772,-2.67042505,0.02241467,-0.02833725,0.43174689,-0.14149285,2.41216676,-2.13015460,1.12036875,-0.58946521,1.54443584,-1.66507438,0.00000000,-0.00000000,0.81044593,-0.87894813,0.23000281,-0.22988260
-5.89794897,3.09219901,-2.66684825,0.02173700,-0.02716127,0.43284862,-0.14829368,2.38436690,-2.13993538,1.10965117,-0.60483157,1.49864880,-1.65225498,0.00000000,-0.00000000,0.78795716,-0.87180706,0.22367919,-0.22809485
-5.89194597,3.01928826,-2.66718677,0.02113228,-0.02605382,0.43129692,-0.15663207,2.35172352,-2.15310659,1.09348739,-0.62198544,1.45171091,-1.64022088,0.00000000,-0.00000000,0.76507079,-0.86516210,0.21717427,-0.22663479
-5.88594297,2.93906837,-2.67142424,0.02058829,-0.02501859,0.42707236,-0.16652562,2.31409436,-2.16958957,1.07199387,-0.64086205,1.40375465,-1.62895281,0.00000000,-0.00000000,0.74184879,-0.85901213,0.21049113,-0.22549056
-5.87993997,2.85186086,-2.67930354,0.02009161,-0.02405561,0.42021340,-0.17796064,2.27141837,-2.18908651,1.04539581,-0.66134214,1.35492149,-1.61830099,0.00000000,-0.00000000,0.71835415,-0.85328200,0.20363495,-0.22462665
-5.87393697,2.75812308,-2.69034276,0.01962839,-0.02316165,0.41081521,-0.19088893,2.22371973,-2.21109423,1.01402078,-0.68325142,1.30536230,-1.60800060,0.00000000,-0.00000000,0.69465063,-0.84783093,0.19661369,-0.22398642
-5.86793397,2.65843931,-2.70385922,0.01918485,-0.02233077,0.39902651,-0.20522515,2.17110807,-2.23492600,0.97828863,-0.70636130,1.25523639,-1.59769202,0.00000000,-0.00000000,0.67080201,-0.84246388,0.18943852,-0.22349555
-5.86193097,2.55350629,-2.71900008,0.01874796,-0.02155492,0.38504453,-0.22084514,2.11377535,-2.25974016,0.93869827,-0.73039120,1.20470958,-1.58694490,0.00000000,-0.00000000,0.64687088,-0.83694505,0.18212401,-0.22306596
-5.85592796,2.44411431,-2.73477797,0.01830586,-0.02082459,0.36910826,-0.23758523,2.05198988,-2.28457423,0.89581193,-0.75501211,1.15395152,-1.57528428,0.00000000,-0.00000000,0.62291730,-0.83101288,0.17468812,-0.22260029
-5.84992496,2.33112510,-2.75010991,0.01784826,-0.02012947,0.35149045,-0.25524278,1.98608803,-2.30838272,0.85023769,-0.77985171,1.10313268,-1.56221768,0.00000000,-0.00000000,0.59899740,-0.82439553,0.16715201,-0.22199657
-5.84392196,2.21544763,-2.76385780,0.01736676,-0.01945912,0.33248872,-0.27357804,1.91646440,-2.33007703,0.80261115,-0.80450075,1.05242125,-1.54726151,0.00000000,-0.00000000,0.57516218,-0.81682618,0.15953964,-0.22115280
-5.83791896,2.09801335,-2.77486892,0.01685500,-0.01880349,0.31241617,-0.29231741,1.84356091,-2.34856563,0.75357688,-0.82852072,1.00198020,-1.52996565,0.00000000,-0.00000000,0.55145666,-0.80805719,0.15187737,-0.21997140
-5.83191596,1.97975188,-2.78201483,0.01630877,-0.01815351,0.29159184,-0.31115817,1.76785554,-2.36279302,0.70377070,-0.85145278,0.95196481,-1.50993512,0.00000000,-0.00000000,0.52791944,-0.79787263,0.14419342,-0.21836322
-5.82591296,1.86156830,-2.78422759,0.01572596,-0.01750143,0.27033164,-0.32977456,1.68985113,-2.37177580,0.65380328,-0.87282758,0.90252074,-1.48684780,0.00000000,-0.00000000,0.50458273,-0.78609846,0.13651728,-0.21625099
-5.81990995,1.74432297,-2.78053203,0.01510652,-0.01684115,0.24893982,-0.34782512,1.61006476,-2.37463482,0.60424572,-0.89217603,0.85378271,-1.46046788,0.00000000,-0.00000000,0.48147284,-0.77261014,0.12887921,-0.21357216
-5.81390695,1.62881446,-2.77007349,0.01445220,-0.01616842,0.22770157,-0.36496110,1.52901786,-2.37062218,0.55561760,-0.90904061,0.80587389,-1.43065439,0.00000000,-0.00000000,0.45861118,-0.75733728,0.12130960,-0.21028086
-5.80790395,1.51576612,-2.75214037,0.01376640,-0.01548086,0.20687671,-0.38083574,1.44722749,-2.35914253,0.50837778,-0.92298706,0.75890586,-1.39736503,0.00000000,-0.00000000,0.43601551,-0.74026544,0.11383853,-0.20634923
-5.80190095,1.40581635,-2.72618123,0.01305382,-0.01477796,0.18669488,-0.39511396,1.36519863,-2.33976811,0.46291798,-0.93361594,0.71297909,-1.36065530,0.00000000,-0.00000000,0.41370150,-0.72143504,0.10649524,-0.20176784
-5.79589795,1.29951275,-2.69181629,0.01232021,-0.01406094,0.16735212,-0.40748224,1.28341782,-2.31224734,0.41955937,-0.94057394,0.66818378,-1.32067347,0.00000000,-0.00000000,0.39168437,-0.70093783,0.09930772,-0.19654540
-5.78989495,1.19730976,-2.64884343,0.01157206,-0.01333252,0.14900892,-0.41765819,1.20234783,-2.27650725,0.37855176,-0.94356434,0.62460103,-1.27765188,0.00000000,-0.00000000,0.36998058,-0.67891109,0.09230234,-0.19070780
-5.78389195,1.09956951,-2.59723901,0.01081624,-0.01259664,0.13178964,-0.42539945,1.12242347,-2.23264981,0.34007535,-0.94235629,0.58230400,-1.23189537,0.00000000,-0.00000000,0.34860924,-0.65553013,0.08550351,-0.18429656
-5.77788894,1.00656544,-2.53715364,0.01005979,-0.01185820,0.11578329,-0.43051153,1.04404835,-2.18094300,0.30424454,-0.93679252,0.54135916,-1.18376760,0.00000000,-0.00000000,0.32759338,-0.63099970,0.07893346,-0.17736672
