energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,4.29199957,0.16908528,0.00000000,0.04884629,0.47597999,0.05670693,2.04272047,1.71431644,0.84925891
-5.99399700,4.29510124,0.17053779,0.00000000,0.05012777,0.47883401,0.05731872,2.04186282,1.70635590,0.84795748
-5.98799400,4.30168577,0.17217949,0.00000000,0.05151522,0.48189463,0.05804638,2.04329233,1.70051934,0.84752489
-5.98199100,4.31188754,0.17402573,0.00000000,0.05300561,0.48509584,0.05889376,2.04716314,1.69691966,0.84800567
-5.97598799,4.32566266,0.17608471,0.00000000,0.05459276,0.48835316,0.05986204,2.05353064,1.69558206,0.84940008
-5.96998499,4.34278912,0.17835688,0.00000000,0.05626716,0.49156529,0.06094936,2.06235034,1.69644697,0.85166429
-5.96398199,4.36287384,0.18083452,0.00000000,0.05801588,0.49461673,0.06215055,2.07348043,1.69937606,0.85471243
-5.95797899,4.38536575,0.18350155,0.00000000,0.05982246,0.49738104,0.06345691,2.08668740,1.70416071,0.85841996
-5.95197599,4.40957384,0.18633355,0.00000000,0.06166701,0.49972462,0.06485598,2.10165431,1.71053229,0.86262844
-5.94597299,4.43468881,0.18929798,0.00000000,0.06352633,0.50151084,0.06633155,2.11799121,1.71817353,0.86715112
-5.93996998,4.45980738,0.19235455,0.00000000,0.06537415,0.50260434,0.06786365,2.13524690,1.72673030,0.87177929
-5.93396698,4.48395780,0.19545588,0.00000000,0.06718151,0.50287517,0.06942872,2.15292167,1.73582310,0.87628887
-5.92796398,4.50612575,0.19854829,0.00000000,0.06891722,0.50220281,0.07099989,2.17048036,1.74505776,0.88044711
-5.92196098,4.52527966,0.20157275,0.00000000,0.07054851,0.50047971,0.07254741,2.18736535,1.75403502,0.88401917
-5.91595798,4.54039479,0.20446609,0.00000000,0.07204172,0.49761444,0.07403922,2.20300912,1.76235853,0.88677426
-5.90995498,4.55047564,0.20716226,0.00000000,0.07336313,0.49353428,0.07544170,2.21684611,1.76964145,0.88849136
-5.90395198,4.55457643,0.20959383,0.00000000,0.07447995,0.48818714,0.07672047,2.22832385,1.77551143,0.88896425
-5.89794897,4.55181953,0.21169348,0.00000000,0.07536124,0.48154303,0.07784138,2.23691311,1.77961437,0.88800598
-5.89194597,4.54141182,0.21339566,0.00000000,0.07597902,0.47359478,0.07877156,2.24211718,1.78161713,0.88545258
-5.88594297,4.52265929,0.21463825,0.00000000,0.07630927,0.46435840,0.07948049,2.24348040,1.78120961,0.88116622
-5.87993997,4.49497977,0.21536417,0.00000000,0.07633295,0.45387282,0.07994113,2.24059585,1.77810649,0.87503764
-5.87393697,4.45791423,0.21552294,0.00000000,0.07603693,0.44219926,0.08013102,2.23311246,1.77204910,0.86698809
-5.86793397,4.41113657,0.21507219,0.00000000,0.07541481,0.42942027,0.08003324,2.22074146,1.76280769,0.85697073
-5.86193097,4.35446217,0.21397886,0.00000000,0.07446760,0.41563843,0.07963738,2.20326232,1.75018425,0.84497159
-5.85592796,4.28785505,0.21222035,0.00000000,0.07320416,0.40097480,0.07894021,2.18052817,1.73401616,0.83101012
-5.84992496,4.21143367,0.20978534,0.00000000,0.07164148,0.38556725,0.07794629,2.15247054,1.71418062,0.81513930
-5.84392196,4.12547527,0.20667431,0.00000000,0.06980473,0.36956853,0.07666829,2.11910352,1.69059962,0.79744554
-5.83791896,4.03041835,0.20289985,0.00000000,0.06772704,0.35314430,0.07512712,2.08052705,1.66324553,0.77804811
-5.83191596,3.92686335,0.19848663,0.00000000,0.06544906,0.33647101,0.07335178,2.03692931,1.63214663,0.75709826
-5.82591296,3.81557099,0.19347106,0.00000000,0.06301832,0.31973376,0.07137903,1.98858793,1.59739253,0.73477806
-5.81990995,3.69745815,0.18790072,0.00000000,0.06048835,0.30312400,0.06925277,1.93586990,1.55913885,0.71129878
-5.81390695,3.57359112,0.18183358,0.00000000,0.05791763,0.28683726,0.06702324,1.87923001,1.51761083,0.68689895
-5.80790395,3.44517581,0.17533689,0.00000000,0.05536843,0.27107074,0.06474603,1.81920763,1.47310535,0.66184191
-5.80190095,3.31354513,0.16848608,0.00000000,0.05290545,0.25602094,0.06248091,1.75642180,1.42599122,0.63641303
-5.79589795,3.18014318,0.16136337,0.00000000,0.05059448,0.24188119,0.06029056,1.69156439,1.37670717,0.61091637
-5.78989495,3.04650658,0.15405648,0.00000000,0.04850097,0.22883914,0.05823915,1.62539157,1.32575769,0.58567096
-5.78389195,2.91424289,0.14665713,0.00000000,0.04668852,0.21707427,0.05639090,1.55871337,1.27370636,0.56100651
-5.77788894,2.78500649,0.13925970,0.00000000,0.04521752,0.20675532,0.05480860,1.49238162,1.22116697,0.53725877
-5.77188594,2.66047220,0.13195983,0.00000000,0.04414370,0.19803774,0.05355207,1.42727633,1.16879241,0.51476437
-5.76588294,2.54230699,0.12485311,0.00000000,0.04351683,0.19106119,0.05267669,1.36429074,1.11726183,0.49385535
-5.75987994,2.43214041,0.11803381,0.00000000,0.04337941,0.18594693,0.05223198,1.30431536,1.06726615,0.47485329
-5.75387694,2.33153409,0.11159375,0.00000000,0.04376560,0.18279542,0.05226027,1.24822122,1.01949261,0.45806329
-5.74787394,2.24195101,0.10562118,0.00000000,0.04470010,0.18168390,0.05279539,1.19684275,0.97460879,0.44376768
-5.74187094,2.16472512,0.10019970,0.00000000,0.04619729,0.18266406,0.05386159,1.15096056,0.93324646,0.43221982
-5.73586793,2.10103190,0.09540730,0.00000000,0.04826051,0.18576000,0.05547259,1.11128455,0.89598596,0.42363788
-5.72986493,2.05186053,0.09131539,0.00000000,0.05088145,0.19096626,0.05763076,1.07843776,0.86334147,0.41819896
-5.72386193,2.01798823,0.08798780,0.00000000,0.05403986,0.19824624,0.06032663,1.05294124,0.83574771,0.41603349
-5.71785893,1.99995751,0.08547987,0.00000000,0.05770340,0.20753096,0.06353849,1.03520027,0.81354826,0.41722028
-5.71185593,1.99805672,0.08383743,0.00000000,0.06182776,0.21871823,0.06723244,1.02549250,0.79698611,0.42178220
-5.70585293,2.01230462,0.08309582,0.00000000,0.06635709,0.23167238,0.07136256,1.02395798,0.78619638,0.42968283
-5.69984992,2.04243945,0.08327891,0.00000000,0.07122474,0.24622454,0.07587152,1.03059162,0.78120159,0.44082405
-5.69384692,2.08791292,0.08439809,0.00000000,0.07635420,0.26217370,0.08069140,1.04523830,0.78190950,0.45504494
-5.68784392,2.14788955,0.08645133,0.00000000,0.08166047,0.27928843,0.08574490,1.06759075,0.78811355,0.47212186
-5.68184092,2.22125188,0.08942230,0.00000000,0.08705165,0.29730942,0.09094681,1.09719052,0.79949590,0.49177010
-5.67583792,2.30661159,0.09327963,0.00000000,0.09243080,0.31595287,0.09620576,1.13343211,0.81563308,0.51364695
-5.66983492,2.40232696,0.09797641,0.00000000,0.09769807,0.33491470,0.10142620,1.17557045,0.83600396,0.53735633
-5.66383192,2.50652668,0.10344982,0.00000000,0.10275297,0.35387553,0.10651059,1.22273178,0.86000012,0.56245501
-5.65782891,2.61713995,0.10962126,0.00000000,0.10749677,0.37250645,0.11136167,1.27392784,0.88693833,0.58846030
-5.65182591,2.73193278,0.11639673,0.00000000,0.11183496,0.39047539,0.11588486,1.32807348,0.91607492,0.61485920
-5.64582291,2.84855010,0.12366773,0.00000000,0.11567964,0.40745398,0.11999056,1.38400736,0.94662193,0.64111880
-5.63981991,2.96456302,0.13131265,0.00000000,0.11895182,0.42312482,0.12359639,1.44051561,0.97776466,0.66669775
-5.63381691,3.07752071,0.13919870,0.00000000,0.12158349,0.43718877,0.12662930,1.49635799,1.00868030,0.69105854
-5.62781391,3.18500560,0.14718430,0.00000000,0.12351942,0.44937231,0.12902737,1.55029616,1.03855744,0.71368035
-5.62181091,3.28469085,0.15512208,0.00000000,0.12471863,0.45943443,0.13074136,1.60112335,1.06661583,0.73407200
-5.61580790,3.37439860,0.16286225,0.00000000,0.12515540,0.46717309,0.13173587,1.64769477,1.09212611,0.75178478
-5.60980490,3.45215726,0.17025636,0.00000000,0.12481987,0.47243078,0.13199013,1.68895788,1.11442886,0.76642463
-5.60380190,3.51625613,0.17716135,0.00000000,0.12371818,0.47509916,0.13149835,1.72398165,1.13295258,0.77766328
-5.59779890,3.56529541,0.18344366,0.00000000,0.12187205,0.47512241,0.13026968,1.75198368,1.14722988,0.78524805
-5.59179590,3.59822969,0.18898335,0.00000000,0.11931806,0.47249927,0.12832773,1.77235432,1.15691135,0.78900974
-5.58579290,3.61440311,0.19367800,0.00000000,0.11610633,0.46728356,0.12570970,1.78467678,1.16177661,0.78886851
-5.57978989,3.61357449,0.19744617,0.00000000,0.11229895,0.45958318,0.12246519,1.78874217,1.16174192,0.78483724
-5.57378689,3.59593100,0.20023035,0.00000000,0.10796806,0.44955758,0.11865465,1.78455880,1.15686408,0.77702230
-5.56778389,3.56208933,0.20199917,0.00000000,0.10319372,0.43741371,0.11434765,1.77235515,1.14734007,0.76562157
-5.56178089,3.51308369,0.20274876,0.00000000,0.09806158,0.42340061,0.10962093,1.75257589,1.13350243,0.75091968
-5.55577789,3.45034047,0.20250313,0.00000000,0.09266057,0.40780284,0.10455633,1.72587104,1.11581024,0.73328060
-5.54977489,3.37563998,0.20131357,0.00000000,0.08708054,0.39093279,0.09923872,1.69307816,1.09483588,0.71313764
-5.54377189,3.29106601,0.19925704,0.00000000,0.08141002,0.37312242,0.09375387,1.65519813,1.07124782,0.69098131
-5.53776888,3.19894487,0.19643354,0.00000000,0.07573416,0.35471436,0.08818646,1.61336508,1.04579001,0.66734526
-5.53176588,3.10177557,0.19296263,0.00000000,0.07013286,0.33605291,0.08261820,1.56881154,1.01925843,0.64279085
