energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.62467630,0.01465834,0.20366776,0.86793546,0.52177018,0.50262283,0.16913706,0.84256439,0.00000000
-5.99399700,1.60226248,0.01421749,0.19873262,0.85232812,0.50948675,0.50866795,0.16729924,0.84411201,0.00000000
-5.98799400,1.58141401,0.01374636,0.19369118,0.83650862,0.49866092,0.51399695,0.16554706,0.84569787,0.00000000
-5.98199100,1.56124906,0.01324456,0.18851479,0.82025132,0.48892546,0.51832644,0.16379364,0.84678846,0.00000000
-5.97598799,1.54089774,0.01271268,0.18317805,0.80336851,0.47990667,0.52138834,0.16195242,0.84686417,0.00000000
-5.96998499,1.51953782,0.01215225,0.17766119,0.78572130,0.47123883,0.52294048,0.15994052,0.84543909,0.00000000
-5.96398199,1.49642730,0.01156581,0.17195196,0.76722806,0.46257766,0.52277628,0.15768189,0.84207945,0.00000000
-5.95797899,1.47093280,0.01095682,0.16604713,0.74787018,0.45361214,0.52073318,0.15511023,0.83641974,0.00000000
-5.95197599,1.44255238,0.01032955,0.15995352,0.72769472,0.44407431,0.51669936,0.15217148,0.82817607,0.00000000
-5.94597299,1.41093226,0.00968895,0.15368841,0.70681398,0.43374701,0.51061851,0.14882578,0.81715604,0.00000000
-5.93996998,1.37587682,0.00904051,0.14727947,0.68540199,0.42246898,0.50249235,0.14504881,0.80326481,0.00000000
-5.93396698,1.33735166,0.00839003,0.14076411,0.66368797,0.41013764,0.49238088,0.14083257,0.78650712,0.00000000
-5.92796398,1.29547980,0.00774346,0.13418833,0.64194727,0.39670934,0.48040026,0.13618546,0.76698531,0.00000000
-5.92196098,1.25053165,0.00710671,0.12760521,0.62049006,0.38219726,0.46671851,0.13113174,0.74489347,0.00000000
-5.91595798,1.20290919,0.00648547,0.12107300,0.59964828,0.36666729,0.45154925,0.12571042,0.72050804,0.00000000
-5.90995498,1.15312558,0.00588510,0.11465302,0.57976162,0.35023208,0.43514379,0.11997361,0.69417551,0.00000000
-5.90395198,1.10178116,0.00531045,0.10840744,0.56116294,0.33304375,0.41778192,0.11398459,0.66629773,0.00000000
-5.89794897,1.04953732,0.00476586,0.10239708,0.54416404,0.31528561,0.39976200,0.10781547,0.63731580,0.00000000
-5.89194597,0.99708952,0.00425506,0.09667927,0.52904233,0.29716331,0.38139068,0.10154478,0.60769312,0.00000000
-5.88594297,0.94514083,0.00378119,0.09130602,0.51602903,0.27889604,0.36297289,0.09525510,0.57789865,0.00000000
-5.87993997,0.89437738,0.00334681,0.08632243,0.50529960,0.26070798,0.34480247,0.08903074,0.54839115,0.00000000
-5.87393697,0.84544676,0.00295400,0.08176555,0.49696679,0.24282052,0.32715407,0.08295576,0.51960510,0.00000000
-5.86793397,0.79894061,0.00260442,0.07766364,0.49107677,0.22544560,0.31027639,0.07711231,0.49193889,0.00000000
-5.86193097,0.75538181,0.00229944,0.07403600,0.48760857,0.20878034,0.29438738,0.07157940,0.46574604,0.00000000
-5.85592796,0.71521710,0.00204029,0.07089324,0.48647697,0.19300315,0.27967136,0.06643229,0.44132942,0.00000000
-5.84992496,0.67881514,0.00182819,0.06823804,0.48753877,0.17827155,0.26627822,0.06174224,0.41893894,0.00000000
-5.84392196,0.64646997,0.00166449,0.06606645,0.49060224,0.16472149,0.25432469,0.05757695,0.39877252,0.00000000
-5.83791896,0.61840949,0.00155087,0.06436948,0.49543947,0.15246829,0.24389746,0.05400138,0.38098019,0.00000000
-5.83191596,0.59480838,0.00148942,0.06313512,0.50180091,0.14160895,0.23505804,0.05107906,0.36567099,0.00000000
-5.82591296,0.57580454,0.00148281,0.06235055,0.50943176,0.13222565,0.22784882,0.04887368,0.35292208,0.00000000
-5.81990995,0.56151795,0.00153436,0.06200445,0.51808908,0.12439014,0.22230017,0.04745095,0.34278949,0.00000000
-5.81390695,0.55207092,0.00164815,0.06208938,0.52755915,0.11816880,0.21843791,0.04688047,0.33531978,0.00000000
-5.80790395,0.54760825,0.00182901,0.06260401,0.53767391,0.11362795,0.21629084,0.04723760,0.33056191,0.00000000
-5.80190095,0.54831615,0.00208255,0.06355514,0.54832578,0.11083909,0.21589768,0.04860505,0.32857838,0.00000000
-5.79589795,0.55443856,0.00241512,0.06495938,0.55947995,0.10988378,0.21731307,0.05107412,0.32945510,0.00000000
-5.78989495,0.56628974,0.00283369,0.06684434,0.57118328,0.11085780,0.22061217,0.05474540,0.33330916,0.00000000
-5.78389195,0.58426208,0.00334568,0.06924933,0.58356938,0.11387425,0.22589346,0.05972879,0.34029392,0.00000000
-5.77788894,0.60882821,0.00395880,0.07222541,0.59685910,0.11906539,0.23327952,0.06614278,0.35060104,0.00000000
-5.77188594,0.64053695,0.00468077,0.07583477,0.61135646,0.12658308,0.24291549,0.07411281,0.36445902,0.00000000
-5.76588294,0.68000262,0.00551899,0.08014950,0.62743952,0.13659741,0.25496530,0.08376877,0.38212813,0.00000000
-5.75987994,0.72788777,0.00648024,0.08524956,0.64554676,0.14929375,0.26960558,0.09524151,0.40389178,0.00000000
-5.75387694,0.78487953,0.00757026,0.09122019,0.66615902,0.16486793,0.28701748,0.10865851,0.43004451,0.00000000
-5.74787394,0.85166023,0.00879331,0.09814869,0.68977770,0.18351982,0.30737662,0.12413869,0.46087696,0.00000000
-5.74187094,0.92887319,0.01015183,0.10612077,0.71690009,0.20544518,0.33084162,0.14178655,0.49665842,0.00000000
-5.73586793,1.01708478,0.01164597,0.11521643,0.74799264,0.23082634,0.35754167,0.16168581,0.53761768,0.00000000
-5.72986493,1.11674445,0.01327323,0.12550567,0.78346351,0.25982159,0.38756369,0.18389276,0.58392291,0.00000000
