energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.05515164,0.05991971,0.00000000,0.01381085,0.66548405,0.11503344,0.37147194
-5.99399700,1.12427193,0.06442869,0.00000000,0.01461469,0.70948267,0.12142661,0.39691001
-5.98799400,1.19267746,0.06892638,0.00000000,0.01541092,0.75312110,0.12769295,0.42233771
-5.98199100,1.25977503,0.07336828,0.00000000,0.01619609,0.79603015,0.13380186,0.44756388
-5.97598799,1.32496347,0.07770856,0.00000000,0.01696687,0.83783378,0.13972557,0.47239183
-5.96998499,1.38764151,0.08190106,0.00000000,0.01772006,0.87815380,0.14543904,0.49662141
-5.96398199,1.44721604,0.08590019,0.00000000,0.01845248,0.91661475,0.15091959,0.52005127
-5.95797899,1.50311078,0.08966195,0.00000000,0.01916095,0.95284926,0.15614656,0.54248128
-5.95197599,1.55477527,0.09314492,0.00000000,0.01984217,0.98650349,0.16110078,0.56371515
-5.94597299,1.60169400,0.09631117,0.00000000,0.02049274,1.01724293,0.16576410,0.58356328
-5.93996998,1.64339555,0.09912714,0.00000000,0.02110906,1.04475817,0.17011891,0.60184556
-5.93396698,1.67946149,0.10156440,0.00000000,0.02168733,1.06877070,0.17414776,0.61839441
-5.92796398,1.70953491,0.10360030,0.00000000,0.02222356,1.08903849,0.17783309,0.63305771
-5.92196098,1.73332825,0.10521849,0.00000000,0.02271356,1.10536128,0.18115712,0.64570168
-5.91595798,1.75063025,0.10640923,0.00000000,0.02315304,1.11758530,0.18410195,0.65621357
-5.90995498,1.76131174,0.10716959,0.00000000,0.02353761,1.12560740,0.18664977,0.66450418
-5.90395198,1.76533011,0.10750353,0.00000000,0.02386296,1.12937823,0.18878335,0.67050996
-5.89794897,1.76273223,0.10742172,0.00000000,0.02412491,1.12890461,0.19048671,0.67419482
-5.89194597,1.75365571,0.10694135,0.00000000,0.02431956,1.12425076,0.19174589,0.67555137
-5.88594297,1.73832857,0.10608574,0.00000000,0.02444340,1.11553844,0.19254994,0.67460184
-5.87993997,1.71706710,0.10488394,0.00000000,0.02449348,1.10294600,0.19289199,0.67139838
-5.87393697,1.69027225,0.10337015,0.00000000,0.02446749,1.08670635,0.19277036,0.66602294
-5.86793397,1.65842442,0.10158322,0.00000000,0.02436391,1.06710394,0.19218972,0.65858666
-5.86193097,1.62207705,0.09956602,0.00000000,0.02418209,1.04447080,0.19116222,0.64922885
-5.85592796,1.58184905,0.09736491,0.00000000,0.02392232,1.01918192,0.18970853,0.63811554
-5.84992496,1.53841630,0.09502909,0.00000000,0.02358593,0.99164983,0.18785873,0.62543770
-5.84392196,1.49250255,0.09261003,0.00000000,0.02317524,0.96231890,0.18565310,0.61140909
-5.83791896,1.44486958,0.09016091,0.00000000,0.02269364,0.93165903,0.18314251,0.59626385
-5.83191596,1.39630711,0.08773599,0.00000000,0.02214549,0.90015923,0.18038874,0.58025374
-5.82591296,1.34762218,0.08539004,0.00000000,0.02153614,0.86832091,0.17746426,0.56364506
-5.81990995,1.29962829,0.08317764,0.00000000,0.02087177,0.83665093,0.17445179,0.54671530
-5.81390695,1.25313417,0.08115251,0.00000000,0.02015935,0.80565460,0.17144339,0.52974934
-5.80790395,1.20893214,0.07936673,0.00000000,0.01940645,0.77582839,0.16853911,0.51303535
-5.80190095,1.16778612,0.07786985,0.00000000,0.01862114,0.74765250,0.16584527,0.49686024
-5.79589795,1.13041923,0.07670802,0.00000000,0.01781179,0.72158332,0.16347228,0.48150480
-5.78989495,1.09750102,0.07592286,0.00000000,0.01698691,0.69804562,0.16153205,0.46723838
-5.78389195,1.06963457,0.07555049,0.00000000,0.01615496,0.67742482,0.16013513,0.45431345
-5.77788894,1.04734352,0.07562028,0.00000000,0.01532415,0.66005923,0.15938752,0.44295987
-5.77188594,1.03105946,0.07615384,0.00000000,0.01450230,0.64623256,0.15938740,0.43337929
-5.76588294,1.02111012,0.07716382,0.00000000,0.01369663,0.63616690,0.16022168,0.42573964
-5.75987994,1.01770868,0.07865301,0.00000000,0.01291365,0.63001651,0.16196284,0.42017018
-5.75387694,1.02094507,0.08061347,0.00000000,0.01215900,0.62786265,0.16466578,0.41675718
-5.74787394,1.03077948,0.08302594,0.00000000,0.01143737,0.62970991,0.16836527,0.41554056
-5.74187094,1.04703904,0.08585953,0.00000000,0.01075243,0.63548423,0.17307381,0.41651172
-5.73586793,1.06941791,0.08907171,0.00000000,0.01010681,0.64503308,0.17878020,0.41961287
-5.72986493,1.09748134,0.09260871,0.00000000,0.00950210,0.65812794,0.18544897,0.42473788
-5.72386193,1.13067401,0.09640629,0.00000000,0.00893890,0.67446918,0.19302061,0.43173487
-5.71785893,1.16833260,0.10039096,0.00000000,0.00841690,0.69369362,0.20141278,0.44041052
-5.71185593,1.20970259,0.10448154,0.00000000,0.00793499,0.71538435,0.21052253,0.45053610
-5.70585293,1.25395889,0.10859109,0.00000000,0.00749140,0.73908292,0.22022933,0.46185497
-5.69984992,1.30022971,0.11262918,0.00000000,0.00708386,0.76430330,0.23039902,0.47409143
-5.69384692,1.34762279,0.11650433,0.00000000,0.00670974,0.79054729,0.24088840,0.48696048
-5.68784392,1.39525310,0.12012664,0.00000000,0.00636628,0.81732069,0.25155036,0.50017820
