energy_ev,total_up,Au_p_up,Au_d_up,B_p_up,B_d_up,S_s_up,S_p_up
-6.00000000,9.13827855,1.62055610,6.83942583,1.61554560,0.00000000,0.00672316,0.72862534
-5.99399700,9.21419134,1.63185881,6.92356873,1.63569622,0.00000000,0.00681259,0.71350639
-5.98799400,9.28744359,1.64138479,7.00656473,1.65551910,0.00000000,0.00689640,0.69727703
-5.98199100,9.35742609,1.64896581,7.08781668,1.67478490,0.00000000,0.00697556,0.68011569
-5.97598799,9.42350455,1.65445158,7.16670716,1.69325598,0.00000000,0.00705132,0.66220826
-5.96998499,9.48503560,1.65771415,7.24261250,1.71069314,0.00000000,0.00712506,0.64374282
-5.96398199,9.54138672,1.65865245,7.31491951,1.72686288,0.00000000,0.00719833,0.62490482
-5.95797899,9.59195905,1.65719651,7.38304399,1.74154503,0.00000000,0.00727274,0.60587316
-5.95197599,9.63621199,1.65331126,7.44645018,1.75454041,0.00000000,0.00734987,0.58681700
-5.94597299,9.67368775,1.64699964,7.50466979,1.76567796,0.00000000,0.00743129,0.56789350
-5.93996998,9.70403439,1.63830488,7.55731957,1.77482125,0.00000000,0.00751841,0.54924639
-5.93396698,9.72702532,1.62731161,7.60411582,1.78187361,0.00000000,0.00761249,0.53100531
-5.92796398,9.74257394,1.61414584,7.64488489,1.78678199,0.00000000,0.00771455,0.51328577
-5.92196098,9.75074166,1.59897348,7.67956850,1.78953893,0.00000000,0.00782530,0.49618962
-5.91595798,9.75173853,1.58199761,7.70822322,1.79018261,0.00000000,0.00794517,0.47980584
-5.90995498,9.74591569,1.56345418,7.73101371,1.78879496,0.00000000,0.00807420,0.46421149
-5.90395198,9.73374974,1.54360652,7.74819979,1.78549773,0.00000000,0.00821202,0.44947269
-5.89794897,9.71581945,1.52273865,7.76011776,1.78044674,0.00000000,0.00835790,0.43564547
-5.89194597,9.69277595,1.50114763,7.76715701,1.77382456,0.00000000,0.00851063,0.42277655
-5.88594297,9.66530804,1.47913520,7.76973309,1.76583199,0.00000000,0.00866863,0.41090383
-5.87993997,9.63410451,1.45699914,7.76825895,1.75667870,0.00000000,0.00882991,0.40005671
-5.87393697,9.59981595,1.43502454,7.76311606,1.74657357,0.00000000,0.00899209,0.39025630
-5.86793397,9.56301830,1.41347538,7.75462739,1.73571531,0.00000000,0.00915249,0.38151549
-5.86193097,9.52418061,1.39258691,7.74303404,1.72428365,0.00000000,0.00930815,0.37383904
-5.85592796,9.48363911,1.37255892,7.72847707,1.71243187,0.00000000,0.00945592,0.36722376
-5.84992496,9.44157930,1.35355033,7.71098598,1.70028073,0.00000000,0.00959250,0.36165885
-5.84392196,9.39802739,1.33567532,7.69047457,1.68791442,0.00000000,0.00971461,0.35712645
-5.83791896,9.35285161,1.31900104,7.66674474,1.67537848,0.00000000,0.00981901,0.35360243
-5.83191596,9.30577333,1.30354703,7.63949787,1.66267991,0.00000000,0.00990265,0.35105742
-5.82591296,9.25638738,1.28928640,7.60835340,1.64978933,0.00000000,0.00996273,0.34945807
-5.81990995,9.20419013,1.27614855,7.57287322,1.63664507,0.00000000,0.00999686,0.34876831
-5.81390695,9.14861353,1.26402337,7.53259053,1.62315889,0.00000000,0.01000308,0.34895074
-5.80790395,9.08906300,1.25276663,7.48704129,1.60922292,0.00000000,0.00997998,0.34996775
-5.80190095,9.02495657,1.24220644,7.43579630,1.59471747,0.00000000,0.00992677,0.35178249
-5.79589795,8.95576305,1.23215025,7.37849195,1.57951920,0.00000000,0.00984328,0.35435935
-5.78989495,8.88103669,1.22239236,7.31485782,1.56350919,0.00000000,0.00973001,0.35766402
-5.78389195,8.80044642,1.21272144,7.24473948,1.54658051,0.00000000,0.00958817,0.36166289
-5.77788894,8.71379809,1.20292782,7.16811515,1.52864481,0.00000000,0.00941957,0.36632193
