energy_ev,total_up,As_p_up,As_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,3.23321285,0.42482945,0.00000000,1.52234564,0.00000000,1.18525090,1.26027050
-5.99399700,3.09475013,0.39756426,0.00000000,1.46317473,0.00000000,1.11863283,1.21117406
-5.98799400,2.96289926,0.37236625,0.00000000,1.40620925,0.00000000,1.05561419,1.16453701
-5.98199100,2.83805606,0.34934191,0.00000000,1.35157346,0.00000000,0.99664596,1.12045241
-5.97598799,2.72055649,0.32857428,0.00000000,1.29937256,0.00000000,0.94211681,1.07900081
-5.96998499,2.61070021,0.31012565,0.00000000,1.24970404,0.00000000,0.89235283,1.04026157
-5.96398199,2.50877150,0.29404039,0.00000000,1.20266773,0.00000000,0.84761860,1.00432245
-5.95797899,2.41505650,0.28034748,0.00000000,1.15837414,0.00000000,0.80811917,0.97128711
-5.95197599,2.32985568,0.26906291,0.00000000,1.11695055,0.00000000,0.77400295,0.94127990
-5.94597299,2.25349102,0.26019167,0.00000000,1.07854467,0.00000000,0.74536506,0.91444797
-5.93996998,2.18630750,0.25372925,0.00000000,1.04332562,0.00000000,0.72225091,0.89096042
-5.93396698,2.12866898,0.24966269,0.00000000,1.01148226,0.00000000,0.70465980,0.87100467
-5.92796398,2.08094869,0.24797096,0.00000000,0.98321909,0.00000000,0.69254826,0.85478023
-5.92196098,2.04351512,0.24862498,0.00000000,0.95874984,0.00000000,0.68583298,0.84249033
-5.91595798,2.01671412,0.25158697,0.00000000,0.93828937,0.00000000,0.68439331,0.83433183
-5.90995498,2.00084838,0.25680952,0.00000000,0.92204429,0.00000000,0.68807314,0.83048398
-5.90395198,1.99615571,0.26423422,0.00000000,0.91020290,0.00000000,0.69668244,0.83109682
-5.89794897,2.00278736,0.27379028,0.00000000,0.90292515,0.00000000,0.70999849,0.83627977
-5.89194597,2.02078802,0.28539294,0.00000000,0.90033315,0.00000000,0.72776695,0.84609109
-5.88594297,2.05007878,0.29894221,0.00000000,0.90250305,0.00000000,0.74970314,0.86052902
-5.87993997,2.09044423,0.31432178,0.00000000,0.90945859,0.00000000,0.77549367,0.87952493
-5.87393697,2.14152501,0.33139849,0.00000000,0.92116696,0.00000000,0.80479881,0.90293919
-5.86793397,2.20281626,0.35002239,0.00000000,0.93753723,0.00000000,0.83725566,0.93055988
-5.86193097,2.27367265,0.37002750,0.00000000,0.95842153,0.00000000,0.87248243,0.96210470
-5.85592796,2.35332011,0.39123340,0.00000000,0.98361899,0.00000000,0.91008393,0.99722603
-5.84992496,2.44087378,0.41344756,0.00000000,1.01288242,0.00000000,0.94965810,1.03551905
-5.84392196,2.53536194,0.43646857,0.00000000,1.04592724,0.00000000,0.99080370,1.07653264
-5.83791896,2.63575452,0.46008994,0.00000000,1.08244246,0.00000000,1.03312883,1.11978251
-5.83191596,2.74099530,0.48410455,0.00000000,1.12210289,0.00000000,1.07625996,1.16476622
-5.82591296,2.85003613,0.50830947,0.00000000,1.16458226,0.00000000,1.11985120,1.21097922
-5.81990995,2.96187161,0.53251095,0.00000000,1.20956616,0.00000000,1.16359318,1.25793130
-5.81390695,3.07557233,0.55652927,0.00000000,1.25676440,0.00000000,1.20722121,1.30516262
-5.80790395,3.19031527,0.58020339,0.00000000,1.30592186,0.00000000,1.25052215,1.35225867
-5.80190095,3.30540947,0.60339486,0.00000000,1.35682726,0.00000000,1.29333949,1.39886331
-5.79589795,3.42031567,0.62599104,0.00000000,1.40931927,0.00000000,1.33557633,1.44468938
-5.78989495,3.53465886,0.64790721,0.00000000,1.46328951,0.00000000,1.37719581,1.48952628
-5.78389195,3.64823279,0.66908757,0.00000000,1.51868215,0.00000000,1.41821885,1.53324421
-5.77788894,3.76099609,0.68950489,0.00000000,1.57549000,0.00000000,1.45871917,1.57579476
-5.77188594,3.87305992,0.70915899,0.00000000,1.63374719,0.00000000,1.49881556,1.61720779
-5.76588294,3.98466763,0.72807379,0.00000000,1.69351855,0.00000000,1.53866161,1.65758480
-5.75987994,4.09616701,0.74629333,0.00000000,1.75488630,0.00000000,1.57843341,1.69708881
-5.75387694,4.20797633,0.76387672,0.00000000,1.81793442,0.00000000,1.61831543,1.73593144
-5.74787394,4.32054560,0.78089232,0.00000000,1.88273154,0.00000000,1.65848538,1.77435739
-5.74187094,4.43431461,0.79741139,0.00000000,1.94931296,0.00000000,1.69909859,1.81262723
-5.73586793,4.54966957,0.81350152,0.00000000,2.01766289,0.00000000,1.74027254,1.85099892
-5.72986493,4.66690024,0.82922007,0.00000000,2.08769751,0.00000000,1.78207237,1.88970909
-5.72386193,4.78615935,0.84460798,0.00000000,2.15924985,0.00000000,1.82449795,1.92895452
-5.71785893,4.90742625,0.85968420,0.00000000,2.23205723,0.00000000,1.86747310,1.96887484
-5.71185593,5.03047627,0.87444101,0.00000000,2.30575197,0.00000000,1.91083754,2.00953705
-5.70585293,5.15485742,0.88884046,0.00000000,2.37985590,0.00000000,1.95434206,2.05092246
-5.69984992,5.27987556,0.90281199,0.00000000,2.45377925,0.00000000,1.99764701,2.09291685
-5.69384692,5.40458895,0.91625153,0.00000000,2.52682395,0.00000000,2.04032452,2.13530401
-5.68784392,5.52781275,0.92902200,0.00000000,2.59819170,0.00000000,2.08186438,2.17776342
-5.68184092,5.64813380,0.94095526,0.00000000,2.66699655,0.00000000,2.12168345,2.21987198
-5.67583792,5.76393548,0.95185554,0.00000000,2.73228192,0.00000000,2.15913838,2.26111010
-5.66983492,5.87343216,0.96150416,0.00000000,2.79304139,0.00000000,2.19354145,2.30087206
-5.66383192,5.97471243,0.96966544,0.00000000,2.84824298,0.00000000,2.22417879,2.33848038
-5.65782891,6.06579002,0.97609361,0.00000000,2.89685599,0.00000000,2.25033071,2.37320402
-5.65182591,6.14466071,0.98054059,0.00000000,2.93787973,0.00000000,2.27129330,2.40427966
-5.64582291,6.20936366,0.98276425,0.00000000,2.97037308,0.00000000,2.28640082,2.43093565
-5.63981991,6.25804516,0.98253700,0.00000000,2.99348410,0.00000000,2.29504804,2.45241770
-5.63381691,6.28902254,0.97965430,0.00000000,3.00647854,0.00000000,2.29671184,2.46801548
-5.62781391,6.30084609,0.97394299,0.00000000,3.00876636,0.00000000,2.29097143,2.47708917
-5.62181091,6.29235673,0.96526891,0.00000000,2.99992525,0.00000000,2.27752650,2.47909498
-5.61580790,6.26273727,0.95354368,0.00000000,2.97972036,0.00000000,2.25621257,2.47360851
-5.60980490,6.21155509,0.93873038,0.00000000,2.94811945,0.00000000,2.22701320,2.46034519
-5.60380190,6.13879468,0.92084777,0.00000000,2.90530280,0.00000000,2.19006840,2.43917673
-5.59779890,6.04487842,0.89997297,0.00000000,2.85166750,0.00000000,2.14567897,2.41014297
-5.59179590,5.93067452,0.87624247,0.00000000,2.78782581,0.00000000,2.09430654,2.37345842
-5.58579290,5.79749171,0.84985129,0.00000000,2.71459742,0.00000000,2.03656914,2.32951329
-5.57978989,5.64706022,0.82105031,0.00000000,2.63299596,0.00000000,1.97323233,2.27886863
-5.57378689,5.48149985,0.79014192,0.00000000,2.54420976,0.00000000,1.90519602,2.22224593
-5.56778389,5.30327551,0.75747389,0.00000000,2.44957767,0.00000000,1.83347732,2.16051117
-5.56178089,5.11514207,0.72343192,0.00000000,2.35056034,0.00000000,1.75918964,2.09465423
-5.55577789,4.92007977,0.68843076,0.00000000,2.24870800,0.00000000,1.68351875,2.02576402
-5.54977489,4.72122268,0.65290460,0.00000000,2.14562547,0.00000000,1.60769629,1.95500050
-5.54377189,4.52178213,0.61729660,0.00000000,2.04293555,0.00000000,1.53297142,1.88356445
-5.53776888,4.32496791,0.58204835,0.00000000,1.94224173,0.00000000,1.46058146,1.81266610
-5.53176588,4.13390945,0.54758919,0.00000000,1.84509137,0.00000000,1.39172220,1.74349368
-5.52576288,3.95157960,0.51432611,0.00000000,1.75294026,0.00000000,1.32751881,1.67718298
-5.51975988,3.78072322,0.48263421,0.00000000,1.66711967,0.00000000,1.26899812,1.61478891
-5.51375688,3.62379270,0.45284835,0.00000000,1.58880661,0.00000000,1.21706309,1.55725990
-5.50775388,3.48289211,0.42525591,0.00000000,1.51899822,0.00000000,1.17247020,1.50541583
-5.50175088,3.35973165,0.40009108,0.00000000,1.45849089,0.00000000,1.13581053,1.45993016
