energy_ev,total_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,0.98922809,0.43136018,0.51654143,0.01523646,0.11301343,0.34288690,0.00000000
-5.99399700,1.01901087,0.44485978,0.54077858,0.01536834,0.11405748,0.35217829,0.00000000
-5.98799400,1.05136153,0.45924612,0.56746485,0.01541944,0.11459010,0.36255721,0.00000000
-5.98199100,1.08589933,0.47437761,0.59637712,0.01538773,0.11460018,0.37386918,0.00000000
-5.97598799,1.12224496,0.49012053,0.62727266,0.01527364,0.11409191,0.38595705,0.00000000
-5.96998499,1.16003395,0.50635458,0.65989609,0.01508006,0.11308489,0.39866672,0.00000000
-5.96398199,1.19892872,0.52297769,0.69398622,0.01481230,0.11161372,0.41185236,0.00000000
-5.95797899,1.23862894,0.53990983,0.72928297,0.01447795,0.10972709,0.42538105,0.00000000
-5.95197599,1.27888025,0.55709584,0.76553413,0.01408663,0.10748642,0.43913667,0.00000000
-5.94597299,1.31948100,0.57450727,0.80250181,0.01364973,0.10496423,0.45302303,0.00000000
-5.93996998,1.36028731,0.59214309,0.83996864,0.01318005,0.10224206,0.46696622,0.00000000
-5.93396698,1.40121600,0.61002940,0.87774341,0.01269143,0.09940835,0.48091607,0.00000000
-5.92796398,1.44224566,0.62821807,0.91566593,0.01219835,0.09655607,0.49484681,0.00000000
-5.92196098,1.48341547,0.64678417,0.95361089,0.01171550,0.09378038,0.50875674,0.00000000
-5.91595798,1.52482185,0.66582245,0.99149038,0.01125738,0.09117630,0.52266706,0.00000000
-5.90995498,1.56661262,0.68544261,1.02925480,0.01083788,0.08883649,0.53661965,0.00000000
-5.90395198,1.60897868,0.70576341,1.06689180,0.01046994,0.08684914,0.55067392,0.00000000
-5.89794897,1.65214298,0.72690586,1.10442313,0.01016520,0.08529598,0.56490269,0.00000000
-5.89194597,1.69634693,0.74898526,1.14189906,0.00993374,0.08425060,0.57938706,0.00000000
-5.88594297,1.74183426,0.77210257,1.17939059,0.00978378,0.08377677,0.59421055,0.00000000
-5.87993997,1.78883281,0.79633500,1.21697934,0.00972155,0.08392709,0.60945235,0.00000000
-5.87393697,1.83753449,0.82172645,1.25474559,0.00975112,0.08474178,0.62518026,0.00000000
-5.86793397,1.88807446,0.84827798,1.29275482,0.00987434,0.08624757,0.64144320,0.00000000
-5.86193097,1.94051014,0.87593882,1.33104352,0.01009078,0.08845696,0.65826395,0.00000000
-5.85592796,1.99480134,0.90459848,1.36960490,0.01039777,0.09136745,0.67563222,0.00000000
-5.84992496,2.05079263,0.93408048,1.40837552,0.01079048,0.09496119,0.69349873,0.00000000
-5.84392196,2.10819919,0.96413827,1.44722378,0.01126202,0.09920480,0.71177049,0.00000000
-5.83791896,2.16659739,0.99445374,1.48594109,0.01180363,0.10404942,0.73030777,0.00000000
