energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.25580890,0.01048228,0.38376423,0.73957117,0.48562814,0.00746811,1.15693706,0.66401839,0.22735886
-5.99399700,2.21415480,0.00995330,0.37250084,0.72303509,0.47703680,0.00731944,1.13588819,0.64084430,0.22450378
-5.98799400,2.17657569,0.00942093,0.36231322,0.70733518,0.46950630,0.00720379,1.11652747,0.61923437,0.22203802
-5.98199100,2.14347083,0.00889687,0.35319988,0.69269189,0.46311957,0.00712612,1.09915723,0.59946720,0.22001074
-5.97598799,2.11519150,0.00839262,0.34515186,0.67930508,0.45795907,0.00709082,1.08405331,0.58178576,0.21846332
-5.96998499,2.09205187,0.00791919,0.33815625,0.66735581,0.45411030,0.00710164,1.07146795,0.56639625,0.21742961
-5.96398199,2.07434053,0.00748699,0.33219932,0.65700898,0.45166502,0.00716165,1.06163360,0.55346804,0.21693642
-5.95797899,2.06233185,0.00710565,0.32726911,0.64841661,0.45072397,0.00727322,1.05476700,0.54313439,0.21700425
-5.95197599,2.05629632,0.00678384,0.32335728,0.64172107,0.45139902,0.00743798,1.05107310,0.53549396,0.21764821
-5.94597299,2.05650880,0.00652922,0.32046029,0.63705821,0.45381443,0.00765678,1.05074831,0.53061260,0.21887895
-5.93996998,2.06325409,0.00634829,0.31857977,0.63455970,0.45810706,0.00792973,1.05398277,0.52852551,0.22070365
-5.93396698,2.07682898,0.00624629,0.31772205,0.63435432,0.46442563,0.00825612,1.06096110,0.52923941,0.22312692
-5.92796398,2.09754056,0.00622716,0.31789701,0.63656807,0.47292865,0.00863444,1.07186147,0.53273449,0.22615151
-5.92196098,2.12570044,0.00629341,0.31911617,0.64132271,0.48378132,0.00906240,1.08685299,0.53896618,0.22977885
-5.91595798,2.16161501,0.00644609,0.32139027,0.64873287,0.49715120,0.00953688,1.10609119,0.54786652,0.23400930
-5.90995498,2.20557213,0.00668469,0.32472639,0.65890171,0.51320292,0.01005400,1.12971198,0.55934512,0.23884215
-5.90395198,2.25782466,0.00700712,0.32912475,0.67191540,0.53209204,0.01060907,1.15782431,0.57328981,0.24427527
-5.89794897,2.31857191,0.00740967,0.33457550,0.68783660,0.55395814,0.01119668,1.19050189,0.58956696,0.25030461
-5.89194597,2.38793975,0.00788699,0.34105553,0.70669757,0.57891764,0.01181073,1.22777459,0.60802169,0.25692331
-5.88594297,2.46596072,0.00843210,0.34852572,0.72849316,0.60705635,0.01244449,1.26962006,0.62847807,0.26412084
-5.87993997,2.55255521,0.00903645,0.35692856,0.75317440,0.63842226,0.01309072,1.31595609,0.65073954,0.27188190
-5.87393697,2.64751499,0.00969002,0.36618651,0.78064310,0.67301871,0.01374176,1.36663443,0.67458974,0.28018537
-5.86793397,2.75049015,0.01038142,0.37620127,0.81074797,0.71079839,0.01438966,1.42143640,0.69979388,0.28900341
-5.86193097,2.86098045,0.01109814,0.38685392,0.84328285,0.75165830,0.01502639,1.48007094,0.72610085,0.29830063
-5.85592796,2.97833182,0.01182673,0.39800613,0.87798714,0.79543602,0.01564394,1.54217515,0.75324621,0.30803358
-5.84992496,3.10173858,0.01255309,0.40950243,0.91454887,0.84190750,0.01623458,1.60731772,0.78095605,0.31815051
-5.84392196,3.23025140,0.01326284,0.42117353,0.95261033,0.89078643,0.01679097,1.67500499,0.80895170,0.32859147
-5.83791896,3.36279108,0.01394159,0.43284050,0.99177618,0.94172544,0.01730642,1.74468964,0.83695522,0.33928877
-5.83191596,3.49816759,0.01457543,0.44431972,1.03162381,0.99431900,0.01777498,1.81578161,0.86469551,0.35016782
-5.82591296,3.63510361,0.01515120,0.45542845,1.07171544,1.04810819,0.01819167,1.88766070,0.89191474,0.36114816
-5.81990995,3.77226167,0.01565696,0.46599059,1.11161147,1.10258708,0.01855254,1.95969043,0.91837491,0.37214491
-5.81390695,3.90827364,0.01608229,0.47584248,1.15088427,1.15721068,0.01885476,2.03123231,0.94386400,0.38307021
-5.80790395,4.04177124,0.01641863,0.48483844,1.18913181,1.21140429,0.01909667,2.10165996,0.96820157,0.39383488
-5.80190095,4.17141628,0.01665952,0.49285560,1.22599028,1.26457387,0.01927778,2.17037237,0.99124329,0.40435001
-5.79589795,4.29592918,0.01680080,0.49979792,1.26114486,1.31611733,0.01939872,2.23680574,1.01288414,0.41452850
-5.78989495,4.41411474,0.01684072,0.50559897,1.29433818,1.36543633,0.01946112,2.30044316,1.03305995,0.42428642
-5.78389195,4.52488398,0.01677996,0.51022349,1.32537574,1.41194825,0.01946752,2.36082216,1.05174715,0.43354414
-5.77788894,4.62727139,0.01662158,0.51366739,1.35412810,1.45509809,0.01942115,2.41753941,1.06896061,0.44222725
-5.77188594,4.72044706,0.01637085,0.51595638,1.38052941,1.49436990,0.01932582,2.47025295,1.08474950,0.45026717
-5.76588294,4.80372354,0.01603503,0.51714308,1.40457269,1.52929745,0.01918565,2.51868168,1.09919152,0.45760154
-5.75987994,4.87655760,0.01562308,0.51730291,1.42630178,1.55947383,0.01900490,2.56260272,1.11238552,0.46417431
-5.75387694,4.93854726,0.01514532,0.51652890,1.44580069,1.58455975,0.01878781,2.60184669,1.12444297,0.46993579
-5.74787394,4.98942472,0.01461300,0.51492580,1.46318089,1.60429025,0.01853835,2.63629166,1.13547884,0.47484244
-5.74187094,5.02904619,0.01403792,0.51260366,1.47856733,1.61847972,0.01826015,2.66585619,1.14560222,0.47885670
-5.73586793,5.05737936,0.01343200,0.50967146,1.49208415,1.62702493,0.01795636,2.69049203,1.15490726,0.48194686
-5.72986493,5.07448965,0.01280688,0.50623101,1.50384098,1.62990623,0.01762959,2.71017712,1.16346513,0.48408688
-5.72386193,5.08052611,0.01217357,0.50237157,1.51392062,1.62718658,0.01728186,2.72490919,1.17131723,0.48525649
-5.71785893,5.07570787,0.01154213,0.49816536,1.52236899,1.61900870,0.01691465,2.73470054,1.17847026,0.48544131
-5.71185593,5.06031179,0.01092141,0.49366443,1.52918798,1.60559026,0.01652894,2.73957413,1.18489340,0.48463315
-5.70585293,5.03466177,0.01031882,0.48889882,1.53433157,1.58721732,0.01612529,2.73956115,1.19051775,0.48283041
-5.69984992,4.99912014,0.00974031,0.48387622,1.53770552,1.56423614,0.01570396,2.73470004,1.19523808,0.48003860
-5.69384692,4.95408098,0.00919021,0.47858308,1.53917064,1.53704375,0.01526504,2.72503686,1.19891682,0.47627082
-5.68784392,4.89996540,0.00867134,0.47298702,1.53854930,1.50607735,0.01480858,2.71062676,1.20139000,0.47154820
