energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-6.00000000,2.20255338,0.03235654,0.08247294,0.05353638,1.26545441,0.32579118,0.08399748,0.34733383,0.33925616
-5.99399700,2.22195458,0.03298229,0.08332161,0.05458935,1.27622363,0.32756496,0.08467189,0.34149296,0.34601193
-5.98799400,2.23649117,0.03351281,0.08392878,0.05545998,1.28436281,0.32882318,0.08517289,0.33642864,0.35155244
-5.98199100,2.24659618,0.03396276,0.08431236,0.05615978,1.29011772,0.32961324,0.08552626,0.33217262,0.35595526
-5.97598799,2.25293766,0.03435066,0.08450006,0.05670666,1.29386714,0.33001837,0.08576659,0.32877239,0.35934036
-5.96998499,2.25640267,0.03469824,0.08452876,0.05712430,1.29611405,0.33015744,0.08593623,0.32629258,0.36186605
-5.96398199,2.25806973,0.03502967,0.08444343,0.05744113,1.29747008,0.33018304,0.08608390,0.32481471,0.36372319
-5.95797899,2.25917112,0.03537057,0.08429569,0.05768922,1.29863416,0.33027789,0.08626299,0.32443510,0.36512780
-5.95197599,2.26104686,0.03574698,0.08414212,0.05790284,1.30036630,0.33064997,0.08652952,0.32526131,0.36631246
-5.94597299,2.26509284,0.03618435,0.08404230,0.05811697,1.30345794,0.33152635,0.08694000,0.32740726,0.36751691
-5.93996998,2.27270583,0.03670640,0.08405684,0.05836574,1.30870047,0.33314636,0.08754931,0.33098742,0.36897836
-5.93396698,2.28522847,0.03733414,0.08424535,0.05868093,1.31685362,0.33575438,0.08840855,0.33611053,0.37092192
-5.92796398,2.30389704,0.03808502,0.08466464,0.05909050,1.32861534,0.33959249,0.08956323,0.34287311,0.37355173
-5.92196098,2.32979499,0.03897210,0.08536705,0.05961743,1.34459500,0.34489365,0.09105174,0.35135344,0.37704322
-5.91595798,2.36381452,0.04000356,0.08639921,0.06027868,1.36529099,0.35187550,0.09290419,0.36160614,0.38153686
-5.90995498,2.40662818,0.04118230,0.08780109,0.06108454,1.39107417,0.36073523,0.09514182,0.37365790,0.38713373
-5.90395198,2.45867185,0.04250584,0.08960552,0.06203826,1.42217766,0.37164563,0.09777686,0.38750451,0.39389312
