energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.32887413,1.30452225,0.35540301,0.00187982,0.11733078,0.01159977,1.36597913,0.65011900,0.28704916
-5.99399700,2.28936236,1.27572857,0.34886669,0.00184551,0.12161281,0.01126961,1.33626682,0.63524097,0.28878227
-5.98799400,2.24712169,1.24508323,0.34103631,0.00181039,0.12644189,0.01096800,1.30412308,0.61911541,0.29085829
-5.98199100,2.20223371,1.21261216,0.33196458,0.00177356,0.13178521,0.01069137,1.26963743,0.60175092,0.29327347
-5.97598799,2.15487229,1.17838847,0.32173460,0.00173427,0.13760191,0.01043701,1.23296786,0.58318726,0.29602106
-5.96998499,2.10530362,1.14253467,0.31045749,0.00169192,0.14384440,0.01020310,1.19433927,0.56349710,0.29909173
-5.96398199,2.05388036,1.10522154,0.29826868,0.00164611,0.15046008,0.00998864,1.15403800,0.54278596,0.30247401
-5.95797899,2.00103089,1.06666397,0.28532336,0.00159660,0.15739328,0.00979338,1.11240278,0.52119059,0.30615466
-5.95197599,1.94724441,1.02711424,0.27179115,0.00154330,0.16458743,0.00961759,1.06981280,0.49887587,0.31011909
-5.94597299,1.89305334,0.98685321,0.25785041,0.00148630,0.17198748,0.00946195,1.02667377,0.47603066,0.31435187
-5.93996998,1.83901421,0.94618027,0.24368235,0.00142582,0.17954250,0.00932728,0.98340275,0.45286281,0.31883745
-5.93396698,1.78568834,0.90540255,0.22946532,0.00136221,0.18720831,0.00921429,0.94041282,0.42959369,0.32356106
-5.92796398,1.73362362,0.86482429,0.21536963,0.00129592,0.19495005,0.00912344,0.89809842,0.40645265,0.32850984
-5.92196098,1.68333820,0.82473688,0.20155282,0.00122749,0.20274472,0.00905467,0.85682210,0.38367148,0.33367410
-5.91595798,1.63530711,0.78541011,0.18815594,0.00115751,0.21058316,0.00900730,0.81690350,0.36147937,0.33904870
-5.90995498,1.58995208,0.74708518,0.17530066,0.00108661,0.21847180,0.00897986,0.77861086,0.34009829,0.34463433
-5.90395198,1.54763487,0.70996966,0.16308743,0.00101545,0.22643356,0.00897006,0.74215563,0.31973907,0.35043874
-5.89794897,1.50865411,0.67423452,0.15159464,0.00094470,0.23450808,0.00897481,0.70769002,0.30059817,0.35647753
-5.89194597,1.47324512,0.64001334,0.14087876,0.00087500,0.24275103,0.00899019,0.67530773,0.28285505,0.36277458
-5.88594297,1.44158250,0.60740359,0.13097536,0.00080699,0.25123237,0.00901162,0.64504736,0.26667028,0.36936180
-5.87993997,1.41378460,0.57646955,0.12190086,0.00074129,0.26003369,0.00903399,0.61689836,0.25218407,0.37627823
