energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,0.91354840,0.00064274,0.08669419,0.16626078,0.32274847,0.40556536,0.44378441,0.00000000
-5.99399700,0.94130107,0.00069269,0.08801244,0.17402696,0.33991750,0.41551030,0.45670652,0.00000000
-5.98799400,0.97057924,0.00075268,0.08967651,0.18204161,0.35810949,0.42633836,0.46975194,0.00000000
-5.98199100,1.00118972,0.00082192,0.09169255,0.19025852,0.37723001,0.43795421,0.48284158,0.00000000
-5.97598799,1.03292255,0.00089966,0.09405893,0.19861978,0.39718908,0.45025331,0.49589921,0.00000000
-5.96998499,1.06555044,0.00098524,0.09676599,0.20705655,0.41790080,0.46312139,0.50885095,0.00000000
-5.96398199,1.09883055,0.00107802,0.09979631,0.21549044,0.43928394,0.47643523,0.52162537,0.00000000
-5.95797899,1.13250868,0.00117742,0.10312556,0.22383553,0.46126333,0.49006448,0.53415414,0.00000000
-5.95197599,1.16632535,0.00128294,0.10672366,0.23200093,0.48377197,0.50387469,0.54637315,0.00000000
-5.94597299,1.20002348,0.00139411,0.11055632,0.23989367,0.50675335,0.51773110,0.55822404,0.00000000
-5.93996998,1.23335695,0.00151052,0.11458675,0.24742197,0.53016371,0.53150301,0.56965587,0.00000000
-5.93396698,1.26609938,0.00163182,0.11877740,0.25449846,0.55397391,0.54506847,0.58062691,0.00000000
-5.92796398,1.29805237,0.00175770,0.12309167,0.26104342,0.57817048,0.55831875,0.59110603,0.00000000
-5.92196098,1.32905243,0.00188788,0.12749530,0.26698763,0.60275544,0.57116253,0.60107377,0.00000000
-5.91595798,1.35897596,0.00202209,0.13195756,0.27227474,0.62774487,0.58352915,0.61052262,0.00000000
-5.90995498,1.38774169,0.00216005,0.13645194,0.27686309,0.65316574,0.59537096,0.61945648,0.00000000
-5.90395198,1.41531028,0.00230146,0.14095636,0.28072662,0.67905124,0.60666436,0.62788917,0.00000000
-5.89794897,1.44168091,0.00244594,0.14545297,0.28385507,0.70543447,0.61740957,0.63584190,0.00000000
-5.89194597,1.46688500,0.00259302,0.14992742,0.28625328,0.73234096,0.62762914,0.64333984,0.00000000
-5.88594297,1.49097748,0.00274212,0.15436770,0.28793965,0.75978012,0.63736518,0.65040797,0.00000000
-5.87993997,1.51402607,0.00289248,0.15876270,0.28894397,0.78773646,0.64667575,0.65706631,0.00000000
-5.87393697,1.53609956,0.00304319,0.16310056,0.28930458,0.81616090,0.65563048,0.66332510,0.00000000
-5.86793397,1.55725588,0.00319314,0.16736699,0.28906527,0.84496300,0.66430596,0.66918005,0.00000000
-5.86193097,1.57753101,0.00334102,0.17154362,0.28827195,0.87400477,0.67278114,0.67460825,0.00000000
-5.85592796,1.59692964,0.00348532,0.17560663,0.28696938,0.90309658,0.68113314,0.67956511,0.00000000
-5.84992496,1.61541854,0.00362438,0.17952583,0.28519831,0.93199598,0.68943381,0.68398250,0.00000000
-5.84392196,1.63292314,0.00375636,0.18326407,0.28299300,0.96040949,0.69774724,0.68776868,0.00000000
-5.83791896,1.64932787,0.00387935,0.18677741,0.28037947,0.98799786,0.70612836,0.69080986,0.00000000
-5.83191596,1.66448036,0.00399137,0.19001573,0.27737452,1.01438467,0.71462263,0.69297372,0.00000000
-5.82591296,1.67819911,0.00409045,0.19292406,0.27398560,1.03916801,0.72326681,0.69411457,0.00000000
-5.81990995,1.69028442,0.00417472,0.19544436,0.27021147,1.06193495,0.73209036,0.69408011,0.00000000
-5.81390695,1.70053150,0.00424245,0.19751780,0.26604368,1.08227785,0.74111749,0.69271931,0.00000000
-5.80790395,1.70874489,0.00429216,0.19908732,0.26146865,1.09981206,0.75036915,0.68989104,0.00000000
-5.80190095,1.71475304,0.00432262,0.20010040,0.25647022,1.11419365,0.75986475,0.68547293,0.00000000
-5.79589795,1.71842177,0.00433298,0.20051170,0.25103252,1.12513650,0.76962322,0.67936983,0.00000000
-5.78989495,1.71966555,0.00432277,0.20028561,0.24514282,1.13242754,0.77966297,0.67152141,0.00000000
-5.78389195,1.71845569,0.00429195,0.19939842,0.23879432,1.13593927,0.79000058,0.66190838,0.00000000
-5.77788894,1.71482446,0.00424090,0.19783989,0.23198849,1.13563887,0.80064815,0.65055680,0.00000000
-5.77188594,1.70886503,0.00417044,0.19561436,0.22473699,1.13159315,0.81160926,0.63754038,0.00000000
-5.76588294,1.70072691,0.00408177,0.19274102,0.21706284,1.12396913,0.82287387,0.62298039,0.00000000
-5.75987994,1.69060721,0.00397648,0.18925360,0.20900101,1.11303009,0.83441229,0.60704329,0.00000000
-5.75387694,1.67873843,0.00385645,0.18519927,0.20059814,1.09912725,0.84616901,0.58993612,0.00000000
-5.74787394,1.66537352,0.00372380,0.18063703,0.19191166,1.08268753,0.85805661,0.57189997,0.00000000
-5.74187094,1.65076946,0.00358082,0.17563543,0.18300825,1.06419798,0.86995068,0.55320186,0.00000000
-5.73586793,1.63517050,0.00342991,0.17027010,0.17396176,1.04418765,0.88168607,0.53412543,0.00000000
-5.72986493,1.61879236,0.00327344,0.16462083,0.16485083,1.02320796,0.89305527,0.51496112,0.00000000
-5.72386193,1.60180861,0.00311377,0.15876875,0.15575633,1.00181231,0.90380920,0.49599619,0.00000000
-5.71785893,1.58434025,0.00295311,0.15279351,0.14675864,0.98053615,0.91366071,0.47750521,0.00000000
-5.71185593,1.56644916,0.00279352,0.14677070,0.13793524,0.95987821,0.92229104,0.45974142,0.00000000
-5.70585293,1.54813614,0.00263684,0.14076961,0.12935846,0.94028388,0.92935888,0.44292948,0.00000000
-5.69984992,1.52934354,0.00248471,0.13485143,0.12109361,0.92213126,0.93451202,0.42725975,0.00000000
-5.69384692,1.50996226,0.00233853,0.12906801,0.11319765,0.90572055,0.93740081,0.41288444,0.00000000
-5.68784392,1.48984287,0.00219950,0.12346104,0.10571830,0.89126687,0.93769304,0.39991572,0.00000000
-5.68184092,1.46880990,0.00206862,0.11806188,0.09869378,0.87889696,0.93508923,0.38842574,0.00000000
-5.67583792,1.44667846,0.00194677,0.11289177,0.09215295,0.86864946,0.92933775,0.37844848,0.00000000
-5.66983492,1.42327213,0.00183473,0.10796254,0.08611604,0.86047874,0.92024862,0.36998330,0.00000000
-5.66383192,1.39844103,0.00173325,0.10327766,0.08059571,0.85426199,0.90770553,0.36299987,0.00000000
-5.65782891,1.37207891,0.00164314,0.09883356,0.07559846,0.84980906,0.89167518,0.35744430,0.00000000
