energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-5.66383192,2.22173404,0.00227600,0.18204546,0.61288981,0.60029132,0.00415875,1.14009177,0.57836004,0.38969162
-5.65782891,2.13645656,0.00215859,0.17536942,0.58594684,0.58022117,0.00398600,1.09153893,0.55933464,0.37414657
-5.65182591,2.05333054,0.00204347,0.16865626,0.55922556,0.56138384,0.00382455,1.04437636,0.54042221,0.35852032
-5.64582291,1.97223309,0.00192998,0.16190246,0.53272433,0.54361385,0.00367558,0.99857315,0.52158586,0.34289456
-5.63981991,1.89313936,0.00181779,0.15511546,0.50647181,0.52678102,0.00354034,0.95414231,0.50282420,0.32735740
-5.63381691,1.81612901,0.00170683,0.14831279,0.48052503,0.51079728,0.00342016,0.91114328,0.48417078,0.31200272
-5.62781391,1.74138737,0.00159725,0.14152095,0.45496610,0.49562131,0.00331633,0.86968166,0.46569183,0.29692927
-5.62181091,1.66920125,0.00148939,0.13477391,0.42989785,0.48126081,0.00323012,0.82990621,0.44748269,0.28223945
-5.61580790,1.59994960,0.00138372,0.12811141,0.40543878,0.46777233,0.00316271,0.79200338,0.42966292,0.26803779
-5.60980490,1.53408957,0.00128079,0.12157721,0.38171742,0.45525873,0.00311512,0.75618962,0.41237042,0.25442916
-5.60380190,1.47213833,0.00118119,0.11521706,0.35886648,0.44386448,0.00308820,0.72270175,0.39575470,0.24151675
-5.59779890,1.41465156,0.00108554,0.10907687,0.33701694,0.43376891,0.00308256,0.69178587,0.37996976,0.22939971
-5.59179590,1.36219951,0.00099447,0.10320076,0.31629242,0.42517781,0.00309850,0.66368523,0.36516667,0.21817077
-5.58579290,1.31534144,0.00090854,0.09762930,0.29680387,0.41831379,0.00313601,0.63862768,0.35148623,0.20791365
-5.57978989,1.27459976,0.00082829,0.09239794,0.27864494,0.41340571,0.00319467,0.61681315,0.33905210,0.19870048
-5.57378689,1.24043480,0.00075422,0.08753557,0.26188806,0.41067778,0.00327368,0.59840171,0.32796449,0.19058941
-5.56778389,1.21322138,0.00068676,0.08306344,0.24658140,0.41033866,0.00337179,0.58350289,0.31829496,0.18362230
-5.56178089,1.19322805,0.00062626,0.07899433,0.23274675,0.41257115,0.00348729,0.57216653,0.31008219,0.17782288
-5.55577789,1.18060015,0.00057303,0.07533203,0.22037850,0.41752264,0.00361808,0.56437581,0.30332933,0.17319522
-5.54977489,1.17534710,0.00052734,0.07207123,0.20944358,0.42529697,0.00376159,0.56004262,0.29800268,0.16972284
-5.54377189,1.17733467,0.00048939,0.06919770,0.19988243,0.43594772,0.00391493,0.55900565,0.29403199,0.16736833
-5.53776888,1.18628241,0.00045933,0.06668881,0.19161093,0.44947323,0.00407487,0.56103121,0.29131234,0.16607366
-5.53176588,1.20176633,0.00043727,0.06451438,0.18452315,0.46581355,0.00423792,0.56581688,0.28970741,0.16576114
-5.52576288,1.22322664,0.00042329,0.06263779,0.17849492,0.48484920,0.00440048,0.57299780,0.28905415,0.16633501
-5.51975988,1.24998010,0.00041742,0.06101734,0.17338789,0.50640180,0.00455885,0.58215530,0.28916845,0.16768362
-5.51375688,1.28123648,0.00041967,0.05960770,0.16905401,0.53023643,0.00470940,0.59282772,0.28985176,0.16968216
-5.50775388,1.31611817,0.00043000,0.05836154,0.16534021,0.55606559,0.00484866,0.60452270,0.29089813,0.17219576
-5.50175088,1.35368232,0.00044832,0.05723115,0.16209318,0.58355447,0.00497341,0.61673068,0.29210152,0.17508286
-5.49574787,1.39294431,0.00047452,0.05617001,0.15916382,0.61232742,0.00508078,0.62893890,0.29326291,0.17819882
-5.48974487,1.43290180,0.00050841,0.05513426,0.15641146,0.64197525,0.00516834,0.64064536,0.29419699,0.18139949
-5.48374187,1.47255836,0.00054976,0.05408404,0.15370753,0.67206324,0.00523418,0.65137234,0.29473806,0.18454464
-5.47773887,1.51094591,0.00059827,0.05298451,0.15093861,0.70213950,0.00527693,0.66067869,0.29474487,0.18750124
-5.47173587,1.54714519,0.00065357,0.05180678,0.14800872,0.73174360,0.00529581,0.66817077,0.29410437,0.19014631
-5.46573287,1.58030387,0.00071519,0.05052839,0.14484087,0.76041519,0.00529062,0.67351143,0.29273402,0.19236943
-5.45972986,1.60965173,0.00078260,0.04913364,0.14137780,0.78770248,0.00526172,0.67642689,0.29058275,0.19407465
-5.45372686,1.63451281,0.00085518,0.04761358,0.13758200,0.81317045,0.00521000,0.67671135,0.28763062,0.19518201
-5.44772386,1.65431445,0.00093220,0.04596576,0.13343497,0.83640867,0.00513682,0.67422930,0.28388707,0.19562845
-5.44172086,1.66859323,0.00101286,0.04419372,0.12893589,0.85703861,0.00504394,0.66891550,0.27938824,0.19536817
-5.43571786,1.67699808,0.00109627,0.04230638,0.12409976,0.87472036,0.00493340,0.66077287,0.27419321,0.19437262
-5.42971486,1.67929072,0.00118148,0.04031717,0.11895525,0.88915867,0.00480750,0.64986851,0.26837965,0.19262998
-5.42371186,1.67534389,0.00126744,0.03824317,0.11354218,0.90010821,0.00466863,0.63632802,0.26203903,0.19014425
-5.41770885,1.66513757,0.00135309,0.03610413,0.10790898,0.90737803,0.00451925,0.62032868,0.25527170,0.18693415
-5.41170585,1.64875372,0.00143730,0.03392155,0.10211013,0.91083498,0.00436177,0.60209153,0.24818206,0.18303166
-5.40570285,1.62636972,0.00151895,0.03171778,0.09620369,0.91040621,0.00419847,0.58187306,0.24087407,0.17848048
-5.39969985,1.59825090,0.00159692,0.02951518,0.09024912,0.90608054,0.00403149,0.55995655,0.23344736,0.17333442
-5.39369685,1.56474234,0.00167012,0.02733540,0.08430528,0.89790868,0.00386273,0.53664362,0.22599397,0.16765567
-5.38769385,1.52626037,0.00173750,0.02519884,0.07842887,0.88600226,0.00369387,0.51224609,0.21859597,0.16151314
-5.38169085,1.48328358,0.00179809,0.02312412,0.07267308,0.87053175,0.00352632,0.48707849,0.21132393,0.15498083
-5.37568784,1.43634384,0.00185103,0.02112781,0.06708671,0.85172313,0.00336126,0.46145143,0.20423623,0.14813631
-5.36968484,1.38601722,0.00189557,0.01922420,0.06171358,0.82985352,0.00319961,0.43566579,0.19737930,0.14105925
-5.36368184,1.33291488,0.00193109,0.01742524,0.05659224,0.80524580,0.00304208,0.41000801,0.19078850,0.13383006
-5.35767884,1.27767407,0.00195714,0.01574058,0.05175592,0.77826231,0.00288920,0.38474636,0.18448966,0.12652873
-5.35167584,1.22094925,0.00197342,0.01417767,0.04723273,0.74929788,0.00274135,0.36012818,0.17850112,0.11923367
-5.34567284,1.16340328,0.00197980,0.01274191,0.04304599,0.71877223,0.00259878,0.33637804,0.17283599,0.11202072
-5.33966983,1.10569880,0.00197637,0.01143693,0.03921469,0.68712207,0.00246168,0.31369675,0.16750459,0.10496232
-5.33366683,1.04848973,0.00196335,0.01026478,0.03575397,0.65479284,0.00233018,0.29226096,0.16251673,0.09812665
-5.32766383,0.99241297,0.00194117,0.00922621,0.03267564,0.62223061,0.00220442,0.27222338,0.15788387,0.09157697
-5.32166083,0.93808020,0.00191041,0.00832092,0.02998869,0.58987393,0.00208451,0.25371334,0.15362074,0.08537102
-5.31565783,0.88606994,0.00187181,0.00754781,0.02769972,0.55814600,0.00197060,0.23683755,0.14974659,0.07956048
-5.30965483,0.83691976,0.00182626,0.00690516,0.02581333,0.52744727,0.00186288,0.22168102,0.14628569,0.07419047
-5.30365183,0.79111874,0.00177473,0.00639080,0.02433240,0.49814846,0.00176156,0.20830793,0.14326732,0.06929921
-5.29764882,0.74910020,0.00171832,0.00600232,0.02325833,0.47058415,0.00166686,0.19676239,0.14072496,0.06491764
-5.29164582,0.71123488,0.00165814,0.00573711,0.02259121,0.44504709,0.00157904,0.18706902,0.13869494,0.06106915
-5.28564282,0.67782451,0.00159536,0.00559247,0.02232986,0.42178312,0.00149836,0.17923341,0.13721447,0.05776941
-5.27963982,0.64909608,0.00153115,0.00556572,0.02247190,0.40098699,0.00142502,0.17324234,0.13631924,0.05502620
-5.27363682,0.62519698,0.00146663,0.00565416,0.02301380,0.38279895,0.00135924,0.16906392,0.13604071,0.05283939
-5.26763382,0.60619116,0.00140285,0.00585513,0.02395080,0.36730236,0.00130112,0.16664762,0.13640325,0.05120099
-5.26163082,0.59205661,0.00134079,0.00616607,0.02527705,0.35452226,0.00125070,0.16592447,0.13742128,0.05009532
-5.25562781,0.58268440,0.00128127,0.00658445,0.02698557,0.34442508,0.00120792,0.16680727,0.13909668,0.04949927
-5.24962481,0.57787955,0.00122501,0.00710786,0.02906843,0.33691961,0.00117260,0.16919119,0.14141653,0.04938276
-5.24362181,0.57736398,0.00117255,0.00773398,0.03151689,0.33185913,0.00114442,0.17295474,0.14435148,0.04970931
-5.23761881,0.58078153,0.00112426,0.00846067,0.03432163,0.32904498,0.00112292,0.17796118,0.14785472,0.05043679
-5.23161581,0.58770546,0.00108035,0.00928592,0.03747310,0.32823142,0.00110754,0.18406054,0.15186186,0.05151830
-5.22561281,0.59764807,0.00104085,0.01020797,0.04096185,0.32913179,0.00109756,0.19109222,0.15629157,0.05290323
-5.21960980,0.61007266,0.00100562,0.01122532,0.04477898,0.33142599,0.00109216,0.19888813,0.16104710,0.05453846
-5.21360680,0.62440732,0.00097439,0.01233679,0.04891656,0.33476900,0.00109040,0.20727646,0.16601870,0.05636966
-5.20760380,0.64006045,0.00094676,0.01354153,0.05336813,0.33880033,0.00109131,0.21608580,0.17108671,0.05834267
-5.20160080,0.65643738,0.00092220,0.01483910,0.05812912,0.34315415,0.00109385,0.22514967,0.17612529,0.06040496
-5.19559780,0.67295763,0.00090012,0.01622943,0.06319726,0.34746976,0.00109694,0.23431117,0.18100659,0.06250707
-5.18959480,0.68907221,0.00087988,0.01771285,0.06857294,0.35140208,0.00109957,0.24342758,0.18560522,0.06460395
-5.18359180,0.70428025,0.00086082,0.01929002,0.07425949,0.35463178,0.00110073,0.25237489,0.18980271,0.06665629
-5.17758879,0.71814438,0.00084226,0.02096192,0.08026333,0.35687470,0.00109951,0.26105175,0.19349184,0.06863166
-5.17158579,0.73030421,0.00082360,0.02272971,0.08659410,0.35789017,0.00109510,0.26938302,0.19658055,0.07050543
-5.16558279,0.74048741,0.00080425,0.02459470,0.09326463,0.35748797,0.00108683,0.27732250,0.19899536,0.07226153
-5.15957979,0.74851794,0.00078374,0.02655816,0.10029086,0.35553361,0.00107417,0.28485490,0.20068398,0.07389288
-5.15357679,0.75432112,0.00076167,0.02862125,0.10769174,0.35195174,0.00105674,0.29199682,0.20161718,0.07540163
-5.14757379,0.75792541,0.00073775,0.03078488,0.11548900,0.34672761,0.00103434,0.29879692,0.20178971,0.07679907
-5.14157079,0.75946090,0.00071180,0.03304959,0.12370698,0.33990658,0.00100695,0.30533507,0.20122028,0.07810532
-5.13556778,0.75915460,0.00068377,0.03541547,0.13237243,0.33159166,0.00097469,0.31172064,0.19995070,0.07934876
-5.12956478,0.75732283,0.00065369,0.03788211,0.14151429,0.32193928,0.00093785,0.31809008,0.19804412,0.08056522
-5.12356178,0.75436120,0.00062171,0.04044852,0.15116357,0.31115355,0.00089683,0.32460371,0.19558262,0.08179700
-5.11755878,0.75073236,0.00058804,0.04311314,0.16135312,0.29947920,0.00085217,0.33144201,0.19266421,0.08309180
-5.11155578,0.74695232,0.00055300,0.04587389,0.17211749,0.28719365,0.00080447,0.33880141,0.18939929,0.08450142
-5.10555278,0.74357572,0.00051693,0.04872817,0.18349263,0.27459838,0.00075443,0.34688977,0.18590703,0.08608048
-5.09954977,0.74118045,0.00048023,0.05167292,0.19551556,0.26201011,0.00070276,0.35592158,0.18231147,0.08788504
-5.09354677,0.74035234,0.00044329,0.05470464,0.20822389,0.24975201,0.00065018,0.36611301,0.17873776,0.08997119
-5.08754377,0.74167003,0.00040655,0.05781948,0.22165504,0.23814525,0.00059740,0.37767685,0.17530856,0.09239374
-5.08154077,0.74569053,0.00037039,0.06101312,0.23584529,0.22750114,0.00054512,0.39081738,0.17214068,0.09520472
-5.07553777,0.75293564,0.00033518,0.06428083,0.25082847,0.21811404,0.00049395,0.40572520,0.16934220,0.09845216
-5.06953477,0.76387948,0.00030126,0.06761726,0.26663431,0.21025519,0.00044445,0.42257216,0.16700985,0.10217867
-5.06353177,0.77893712,0.00026892,0.07101631,0.28328655,0.20416749,0.00039710,0.44150621,0.16522696,0.10642025
-5.05752876,0.79845454,0.00023839,0.07447091,0.30080059,0.20006125,0.00035229,0.46264648,0.16406187,0.11120505
-5.05152576,0.82269992,0.00020986,0.07797269,0.31918106,0.19811099,0.00031032,0.48607846,0.16356672,0.11655227
-5.04552276,0.85185623,0.00018346,0.08151169,0.33841914,0.19845302,0.00027142,0.51184950,0.16377671,0.12247111
-5.03951976,0.88601527,0.00015925,0.08507602,0.35848988,0.20118402,0.00023570,0.53996465,0.16470979,0.12895990
-5.03351676,0.92517316,0.00013726,0.08865150,0.37934960,0.20636022,0.00020322,0.57038310,0.16636663,0.13600530
-5.02751376,0.96922741,0.00011746,0.09222143,0.40093354,0.21399734,0.00017397,0.60301524,0.16873100,0.14358181
-5.02151076,1.01797556,0.00009982,0.09576630,0.42315395,0.22407110,0.00014787,0.63772059,0.17177037,0.15165136
-5.01550775,1.07111559,0.00008421,0.09926371,0.44589868,0.23651821,0.00012479,0.67430668,0.17543683,0.16016326
-5.00950475,1.12824812,0.00007055,0.10268833,0.46903050,0.25123791,0.00010455,0.71252913,0.17966822,0.16905436
-5.00350175,1.18888055,0.00005868,0.10601201,0.49238713,0.26809394,0.00008697,0.75209290,0.18438948,0.17824958
-4.99749875,1.25243309,0.00004845,0.10920407,0.51578226,0.28691688,0.00007183,0.79265484,0.18951417,0.18766266
-4.99149575,1.31824675,0.00003973,0.11223170,0.53900727,0.30750702,0.00005890,0.83382763,0.19494620,0.19719728
-4.98549275,1.38559319,0.00003234,0.11506048,0.56183400,0.32963757,0.00004795,0.87518489,0.20058167,0.20674852
-4.97948974,1.45368637,0.00002614,0.11765505,0.58401824,0.35305831,0.00003876,0.91626764,0.20631084,0.21620447
-4.97348674,1.52169572,0.00002097,0.11997992,0.60530398,0.37749967,0.00003110,0.95659176,0.21202017,0.22544821
-4.96748374,1.58876063,0.00001671,0.12200021,0.62542823,0.40267704,0.00002478,0.99565635,0.21759449,0.23435988
-4.96148074,1.65400594,0.00001322,0.12368260,0.64412638,0.42829554,0.00001961,1.03295283,0.22291910,0.24281899
-4.95547774,1.71655807,0.00001038,0.12499611,0.66113773,0.45405487,0.00001541,1.06797452,0.22788187,0.25070672
-4.94947474,1.77556139,0.00000810,0.12591300,0.67621123,0.47965435,0.00001203,1.10022640,0.23237537,0.25790827
-4.94347174,1.83019442,0.00000627,0.12640949,0.68911113,0.50479793,0.00000933,1.12923487,0.23629877,0.26431520
-4.93746873,1.87968543,0.00000483,0.12646646,0.69962236,0.52919908,0.00000721,1.15455727,0.23955968,0.26982763
-4.93146573,1.92332708,0.00000370,0.12606998,0.70755559,0.55258540,0.00000555,1.17579084,0.24207587,0.27435624
-4.92546273,1.96048970,0.00000282,0.12521178,0.71275176,0.57470282,0.00000428,1.19258105,0.24377664,0.27782420
-4.91945973,1.99063289,0.00000215,0.12388952,0.71508592,0.59531926,0.00000333,1.20462903,0.24460412,0.28016868
-4.91345673,2.01331513,0.00000165,0.12210696,0.71447044,0.61422766,0.00000266,1.21169783,0.24451422,0.28134219
-4.90745373,2.02820125,0.00000128,0.11987397,0.71085731,0.63124827,0.00000221,1.21361768,0.24347736,0.28131356
-4.90145073,2.03506752,0.00000103,0.11720641,0.70423973,0.64623018,0.00000198,1.21028974,0.24147889,0.28006862
-4.89544772,2.03380437,0.00000088,0.11412587,0.69465264,0.65905205,0.00000196,1.20168856,0.23851921,0.27761047
-4.88944472,2.02441655,0.00000082,0.11065934,0.68217255,0.66962210,0.00000215,1.18786309,0.23461368,0.27395947
-4.88344172,2.00702101,0.00000085,0.10683871,0.66691628,0.67787734,0.00000259,1.16893604,0.22979214,0.26915281
-4.87743872,1.98184239,0.00000098,0.10270021,0.64903902,0.68378232,0.00000331,1.14510190,0.22409817,0.26324384
-4.87143572,1.94920640,0.00000121,0.09828379,0.62873142,0.68732724,0.00000439,1.11662329,0.21758814,0.25630093
-4.86543272,1.90953138,0.00000156,0.09363241,0.60621601,0.68852593,0.00000594,1.08382599,0.21032994,0.24840614
-4.85942971,1.86331813,0.00000208,0.08879128,0.58174288,0.68741344,0.00000807,1.04709252,0.20240153,0.23965360
-4.85342671,1.81113853,0.00000279,0.08380705,0.55558483,0.68404382,0.00001097,1.00685456,0.19388922,0.23014761
-4.84742371,1.75362320,0.00000376,0.07872707,0.52803199,0.67848786,0.00001486,0.96358432,0.18488593,0.22000061
-4.84142071,1.69144862,0.00000505,0.07359851,0.49938619,0.67083120,0.00002003,0.91778500,0.17548916,0.20933099
-4.83541771,1.62532401,0.00000675,0.06846762,0.46995512,0.66117274,0.00002681,0.86998080,0.16579910,0.19826083
-4.82941471,1.55597848,0.00000897,0.06337897,0.44004642,0.64962347,0.00003566,0.82070650,0.15591654,0.18691361
-4.82341171,1.48414868,0.00001184,0.05837474,0.40996202,0.63630574,0.00004710,0.77049709,0.14594098,0.17541204
-4.81740870,1.41056730,0.00001552,0.05349409,0.37999268,0.62135296,0.00006177,0.71987771,0.13596872,0.16387593
-4.81140570,1.33595268,0.00002021,0.04877267,0.35041306,0.60490960,0.00008043,0.66935410,0.12609122,0.15242026
-4.80540270,1.26099976,0.00002612,0.04424211,0.32147731,0.58713154,0.00010397,0.61940397,0.11639358,0.14115346
-4.79939970,1.18637240,0.00003353,0.03992975,0.29341544,0.56818646,0.00013345,0.57046947,0.10695326,0.13017595
-4.79339670,1.11269717,0.00004272,0.03585843,0.26643036,0.54825430,0.00017005,0.52295084,0.09783912,0.11957902
-4.78739370,1.04055869,0.00005405,0.03204634,0.24069587,0.52752747,0.00021514,0.47720163,0.08911067,0.10944390
-4.78139070,0.97049615,0.00006789,0.02850713,0.21635541,0.50621081,0.00027023,0.43352528,0.08081767,0.09984125
-4.77538769,0.90300115,0.00008466,0.02524997,0.19352168,0.48452102,0.00033699,0.39217328,0.07300000,0.09083086
-4.76938469,0.83851639,0.00010481,0.02227978,0.17227707,0.46268549,0.00041723,0.35334475,0.06568774,0.08246168
-4.76338169,0.77743525,0.00012884,0.01959759,0.15267476,0.44094046,0.00051286,0.31718734,0.05890155,0.07477199
-4.75737869,0.72010166,0.00015723,0.01720084,0.13474044,0.41952842,0.00062589,0.28379935,0.05265323,0.06778987
-4.75137569,0.66681034,0.00019050,0.01508382,0.11847458,0.39869467,0.00075835,0.25323279,0.04694641,0.06153370
-4.74537269,0.61780696,0.00022915,0.01323811,0.10385497,0.37868325,0.00091225,0.22549728,0.04177741,0.05601283
-4.73936968,0.57328817,0.00027367,0.01165298,0.09083965,0.35973209,0.00108951,0.20056435,0.03713609,0.05122819
-4.73336668,0.53340126,0.00032449,0.01031586,0.07936981,0.34206772,0.00129187,0.17837223,0.03300687,0.04717301
-4.72736368,0.49824352,0.00038199,0.00921268,0.06937278,0.32589952,0.00152084,0.15883058,0.02936953,0.04383342
-4.72136068,0.46786123,0.00044644,0.00832829,0.06076495,0.31141391,0.00177756,0.14182523,0.02620022,0.04118896
-4.71535768,0.44224831,0.00051802,0.00764671,0.05345442,0.29876847,0.00206272,0.12722265,0.02347219,0.03921313
-4.70935468,0.42134499,0.00059677,0.00715142,0.04734349,0.28808656,0.00237649,0.11487407,0.02115655,0.03787370
-4.70335168,0.40503650,0.00068255,0.00682559,0.04233087,0.27945233,0.00271839,0.10461924,0.01922298,0.03713309
-4.69734867,0.39315216,0.00077505,0.00665223,0.03831356,0.27290673,0.00308724,0.09628965,0.01764019,0.03694861
-4.69134567,0.38546516,0.00087378,0.00661432,0.03518845,0.26844449,0.00348110,0.08971138,0.01637652,0.03727271
-4.68534267,0.38169328,0.00097802,0.00669494,0.03285367,0.26601245,0.00389720,0.08470757,0.01540026,0.03805330
-4.67933967,0.38150087,0.00108683,0.00687736,0.03120967,0.26550933,0.00433196,0.08110048,0.01468003,0.03923402
-4.67333667,0.38450227,0.00119910,0.00714512,0.03016010,0.26678708,0.00478100,0.07871332,0.01418512,0.04075472
-4.66733367,0.39026703,0.00131347,0.00748210,0.02961252,0.26965392,0.00523918,0.07737191,0.01388576,0.04255195
-4.66133067,0.39832670,0.00142844,0.00787269,0.02947902,0.27387890,0.00570068,0.07690623,0.01375339,0.04455974
-4.65532766,0.40818353,0.00154234,0.00830186,0.02967669,0.27919812,0.00615916,0.07715190,0.01376096,0.04671041
-4.64932466,0.41932076,0.00165340,0.00875535,0.03012815,0.28532233,0.00660789,0.07795172,0.01388325,0.04893563
-4.64332166,0.43121436,0.00175978,0.00921984,0.03076193,0.29194562,0.00703994,0.07915720,0.01409714,0.05116762
