energy_ev,total_up,Ga_p_up,Ga_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,3.12174847,0.76180165,0.00000000,1.30476183,0.00000000,1.69231871,0.95779783
-5.99399700,3.10064187,0.75503472,0.00000000,1.29754438,0.00000000,1.67232448,0.95553063
-5.98799400,3.06796109,0.74562850,0.00000000,1.28519299,0.00000000,1.64561306,0.95000321
-5.98199100,3.02447929,0.73383404,0.00000000,1.26795651,0.00000000,1.61270261,0.94141232
-5.97598799,2.97106996,0.71991757,0.00000000,1.24613542,0.00000000,1.57417498,0.92997776
-5.96998499,2.90868339,0.70415222,0.00000000,1.22007421,0.00000000,1.53066035,0.91593637
-5.96398199,2.83832365,0.68681064,0.00000000,1.19015328,0.00000000,1.48282176,0.89953640
-5.95797899,2.76102681,0.66815853,0.00000000,1.15678088,0.00000000,1.43134033,0.88103257
-5.95197599,2.67784108,0.64844939,0.00000000,1.12038518,0.00000000,1.37690124,0.86068191
-5.94597299,2.58980890,0.62792053,0.00000000,1.08140664,0.00000000,1.32018110,0.83874014
-5.93996998,2.49795146,0.60679041,0.00000000,1.04029088,0.00000000,1.26183665,0.81545895
-5.93396698,2.40325535,0.58525709,0.00000000,0.99748193,0.00000000,1.20249513,0.79108362
-5.92796398,2.30666136,0.56349771,0.00000000,0.95341617,0.00000000,1.14274616,0.76585116
-5.92196098,2.20905515,0.54166892,0.00000000,0.90851672,0.00000000,1.08313518,0.73998873
-5.91595798,2.11125948,0.51990775,0.00000000,0.86318843,0.00000000,1.02415838,0.71371213
-5.90995498,2.01402781,0.49833293,0.00000000,0.81781334,0.00000000,0.96625887,0.68722434
-5.90395198,1.91803896,0.47704639,0.00000000,0.77274670,0.00000000,0.90982412,0.66071399
-5.89794897,1.82389277,0.45613473,0.00000000,0.72831350,0.00000000,0.85518445,0.63435370
-5.89194597,1.73210665,0.43567045,0.00000000,0.68480547,0.00000000,0.80261245,0.60829846
-5.88594297,1.64311303,0.41571311,0.00000000,0.64247876,0.00000000,0.75232334,0.58268387
-5.87993997,1.55725792,0.39631014,0.00000000,0.60155206,0.00000000,0.70447614,0.55762467
-5.87393697,1.47480063,0.37749742,0.00000000,0.56220556,0.00000000,0.65917562,0.53321337
-5.86793397,1.39591495,0.35929974,0.00000000,0.52458045,0.00000000,0.61647510,0.50951938
-5.86193097,1.32069196,0.34173120,0.00000000,0.48877935,0.00000000,0.57637999,0.48658873
-5.85592796,1.24914456,0.32479561,0.00000000,0.45486744,0.00000000,0.53885202,0.46444438
-5.84992496,1.18121391,0.30848704,0.00000000,0.42287440,0.00000000,0.50381428,0.44308735
-5.84392196,1.11677761,0.29279061,0.00000000,0.39279714,0.00000000,0.47115681,0.42249863
