energy_ev,total_up,Al_p_up,Al_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,2.61754433,0.08935418,0.00000000,1.34527515,0.92251522,0.00538440,0.54924716
-5.99399700,2.53547362,0.08468964,0.00000000,1.30797647,0.88989664,0.00506890,0.51597886
-5.98799400,2.45296409,0.08025086,0.00000000,1.27000478,0.85733195,0.00474418,0.48320081
-5.98199100,2.37091701,0.07608265,0.00000000,1.23186187,0.82516449,0.00441595,0.45123875
-5.97598799,2.29015241,0.07222151,0.00000000,1.19402035,0.79370672,0.00408986,0.42037866
-5.96998499,2.21141407,0.06869634,0.00000000,1.15692491,0.76324190,0.00377137,0.39086526
-5.96398199,2.13537922,0.06552949,0.00000000,1.12099601,0.73402733,0.00346565,0.36290195
-5.95797899,2.06267176,0.06273796,0.00000000,1.08663519,0.70629880,0.00317751,0.33665221
-5.95197599,1.99387747,0.06033475,0.00000000,1.05423146,0.68027566,0.00291132,0.31224212
-5.94597299,1.92955975,0.05833018,0.00000000,1.02416781,0.65616610,0.00267099,0.28976375
-5.93996998,1.87027406,0.05673314,0.00000000,0.99682691,0.63417198,0.00245993,0.26927921
-5.93396698,1.81657951,0.05555212,0.00000000,0.97259525,0.61449273,0.00228104,0.25082486
-5.92796398,1.76904616,0.05479604,0.00000000,0.95186487,0.59732776,0.00213673,0.23441565
-5.92196098,1.72825686,0.05447465,0.00000000,0.93503203,0.58287714,0.00202890,0.22004901
-5.91595798,1.69480275,0.05459871,0.00000000,0.92249243,0.57134016,0.00195895,0.20770831
-5.90995498,1.66927225,0.05517968,0.00000000,0.91463277,0.56291182,0.00192786,0.19736558
-5.90395198,1.65223349,0.05622911,0.00000000,0.91181875,0.55777719,0.00193610,0.18898344
-5.89794897,1.64421110,0.05775773,0.00000000,0.91437999,0.55610387,0.00198374,0.18251613
-5.89194597,1.64565813,0.05977422,0.00000000,0.92259228,0.55803311,0.00207040,0.17790976
-5.88594297,1.65692506,0.06228386,0.00000000,0.93665842,0.56366986,0.00219529,0.17510182
-5.87993997,1.67822744,0.06528707,0.00000000,0.95668838,0.57307258,0.00235719,0.17402013
-5.87393697,1.70961445,0.06877794,0.00000000,0.98268038,0.58624337,0.00255449,0.17458140
-5.86793397,1.75094058,0.07274294,0.00000000,1.01450388,0.60311921,0.00278513,0.17668964
-5.86193097,1.80184244,0.07715979,0.00000000,1.05188597,0.62356490,0.00304669,0.18023470
-5.85592796,1.86172269,0.08199667,0.00000000,1.09440230,0.64736846,0.00333635,0.18509101
-5.84992496,1.92974281,0.08721185,0.00000000,1.14147338,0.67423925,0.00365092,0.19111703
-5.84392196,2.00482559,0.09275365,0.00000000,1.19236725,0.70380939,0.00398688,0.19815518
-5.83791896,2.08566826,0.09856099,0.00000000,1.24620870,0.73563841,0.00434043,0.20603272
-5.83191596,2.17076593,0.10456427,0.00000000,1.30199513,0.76922127,0.00470753,0.21456346
-5.82591296,2.25844508,0.11068679,0.00000000,1.35861883,0.80399931,0.00508395,0.22355026
-5.81990995,2.34690552,0.11684643,0.00000000,1.41489480,0.83937381,0.00546535,0.23278842
-5.81390695,2.43426942,0.12295772,0.00000000,1.46959319,0.87472156,0.00584738,0.24206962
-5.80790395,2.51863492,0.12893397,0.00000000,1.52147494,0.90941163,0.00622570,0.25118643
-5.80190095,2.59813210,0.13468964,0.00000000,1.56932906,0.94282253,0.00659612,0.25993703
-5.79589795,2.67097842,0.14014249,0.00000000,1.61200993,0.97435901,0.00695461,0.26812996
-5.78989495,2.73553122,0.14521570,0.00000000,1.64847274,1.00346759,0.00729741,0.27558865
-5.78389195,2.79033462,0.14983970,0.00000000,1.67780562,1.02965012,0.00762105,0.28215557
-5.77788894,2.83415885,0.15395366,0.00000000,1.69925683,1.05247481,0.00792241,0.28769558
-5.77188594,2.86603017,0.15750654,0.00000000,1.71225585,1.07158421,0.00819872,0.29209865
-5.76588294,2.88525041,0.16045782,0.00000000,1.71642753,1.08669997,0.00844759,0.29528147
-5.75987994,2.89140546,0.16277767,0.00000000,1.71159866,1.09762441,0.00866699,0.29718822
-5.75387694,2.88436290,0.16444679,0.00000000,1.69779705,1.10423892,0.00885524,0.29779025
-5.74787394,2.86425949,0.16545586,0.00000000,1.67524329,1.10649962,0.00901100,0.29708497
-5.74187094,2.83147970,0.16580473,0.00000000,1.64433586,1.10443086,0.00913320,0.29509380
-5.73586793,2.78662692,0.16550135,0.00000000,1.60563065,1.09811703,0.00922107,0.29185958
-5.72986493,2.73048943,0.16456061,0.00000000,1.55981607,1.08769342,0.00927403,0.28744343
-5.72386193,2.66400300,0.16300321,0.00000000,1.50768517,1.07333679,0.00929176,0.28192143
-5.71785893,2.58821251,0.16085447,0.00000000,1.45010616,1.05525621,0.00927411,0.27538115
-5.71185593,2.50423432,0.15814338,0.00000000,1.38799284,1.03368477,0.00922114,0.26791828
-5.70585293,2.41322118,0.15490177,0.00000000,1.32227619,1.00887248,0.00913311,0.25963359
-5.69984992,2.31633116,0.15116368,0.00000000,1.25387832,0.98108069,0.00901049,0.25063015
-5.69384692,2.21470137,0.14696495,0.00000000,1.18368960,0.95057798,0.00885401,0.24101111
-5.68784392,2.10942710,0.14234304,0.00000000,1.11254969,0.91763765,0.00866465,0.23087790
-5.68184092,2.00154653,0.13733693,0.00000000,1.04123274,0.88253646,0.00844369,0.22032890
-5.67583792,1.89203064,0.13198722,0.00000000,0.97043697,0.84555440,0.00819275,0.20945861
-5.66983492,1.78177787,0.12633624,0.00000000,0.90077833,0.80697514,0.00791378,0.19835716
-5.66383192,1.67161262,0.12042816,0.00000000,0.83278797,0.76708672,0.00760908,0.18711010
-5.65782891,1.56228676,0.11430904,0.00000000,0.76691298,0.72618221,0.00728133,0.17579841
-5.65182591,1.45448314,0.10802684,0.00000000,0.70351984,0.68455988,0.00693350,0.16449861
-5.64582291,1.34882017,0.10163122,0.00000000,0.64289984,0.64252273,0.00656891,0.15328286
-5.63981991,1.24585676,0.09517326,0.00000000,0.58527587,0.60037720,0.00619110,0.14221911
-5.63381691,1.14609687,0.08870494,0.00000000,0.53081003,0.55843099,0.00580379,0.13137098
-5.62781391,1.04999334,0.08227862,0.00000000,0.47961140,0.51699001,0.00541083,0.12079775
-5.62181091,0.95795061,0.07594628,0.00000000,0.43174371,0.47635468,0.00501611,0.11055401
-5.61580790,0.87032650,0.06975878,0.00000000,0.38723248,0.43681568,0.00462344,0.10068935
-5.60980490,0.78743293,0.06376506,0.00000000,0.34607146,0.39864951,0.00423650,0.09124793
-5.60380190,0.70953592,0.05801136,0.00000000,0.30822829,0.36211403,0.00385873,0.08226802
-5.59779890,0.63685516,0.05254057,0.00000000,0.27364927,0.32744433,0.00349330,0.07378152
-5.59179590,0.56956345,0.04739159,0.00000000,0.24226339,0.29484917,0.00314298,0.06581365
-5.58579290,0.50778630,0.04259890,0.00000000,0.21398563,0.26450816,0.00281015,0.05838264
-5.57978989,0.45160203,0.03819229,0.00000000,0.18871956,0.23656978,0.00249676,0.05149963
-5.57378689,0.40104247,0.03419669,0.00000000,0.16635960,0.21115039,0.00220426,0.04516868
-5.56778389,0.35609437,0.03063223,0.00000000,0.14679271,0.18833419,0.00193366,0.03938706
-5.56178089,0.31670164,0.02751436,0.00000000,0.12989987,0.16817405,0.00168553,0.03414559
-5.55577789,0.28276819,0.02485418,0.00000000,0.11555730,0.15069308,0.00146001,0.02942922
-5.54977489,0.25416141,0.02265873,0.00000000,0.10363748,0.13588685,0.00125686,0.02521773
-5.54377189,0.23071597,0.02093142,0.00000000,0.09401003,0.12372600,0.00107550,0.02148651
