energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.70557091,0.00510752,0.05410489,0.01560918,1.85302815,0.78113474,0.25277947,1.13782456,0.23516964
-5.99399700,2.78255512,0.00510529,0.05279544,0.01618954,1.91128523,0.79638594,0.26317624,1.17079888,0.24567698
-5.98799400,2.86193899,0.00509519,0.05177038,0.01674266,1.97079832,0.81298439,0.27367214,1.20468017,0.25649971
-5.98199100,2.94166125,0.00507644,0.05098199,0.01725650,2.03016785,0.83029374,0.28405188,1.23868196,0.26740844
-5.97598799,3.01956580,0.00504830,0.05038119,0.01771915,2.08792591,0.84766218,0.29408990,1.27196674,0.27816663
-5.96998499,3.09345247,0.00501011,0.04991871,0.01811911,2.14257094,0.86443647,0.30355599,1.30366597,0.28853520
-5.96398199,3.16113231,0.00496124,0.04954619,0.01844567,2.19260591,0.87997665,0.31222143,1.33290255,0.29827749
-5.95797899,3.22048577,0.00490119,0.04921722,0.01868922,2.23657871,0.89367087,0.31986532,1.35881499,0.30716451
-5.95197599,3.26952191,0.00482953,0.04888839,0.01884155,2.27312335,0.90495018,0.32628114,1.38058252,0.31498032
-5.94597299,3.30643622,0.00474597,0.04852022,0.01889617,2.30100051,0.91330273,0.33128300,1.39745021,0.32152731
-5.93996998,3.32966502,0.00465038,0.04807796,0.01884854,2.31913570,0.91828699,0.33471154,1.40875303,0.32663129
-5.93396698,3.33793398,0.00454279,0.04753232,0.01869623,2.32665348,0.91954346,0.33643902,1.41393790,0.33014617
-5.92796398,3.33029875,0.00442342,0.04685996,0.01843902,2.32290629,0.91680442,0.33637365,1.41258280,0.33195798
-5.92196098,3.30617593,0.00429273,0.04604390,0.01807897,2.30749651,0.90990144,0.33446262,1.40441196,0.33198811
-5.91595798,3.26536270,0.00415135,0.04507367,0.01762032,2.28029073,0.89876999,0.33069403,1.38930659,0.33019564
-5.90995498,3.20804447,0.00400017,0.04394532,0.01706942,2.24142555,0.88345124,0.32509737,1.36731043,0.32657853
-5.90395198,3.13478974,0.00384028,0.04266119,0.01643447,2.19130453,0.86409069,0.31774261,1.33862998,0.32117373
-5.89794897,3.04653263,0.00367299,0.04122958,0.01572534,2.13058637,0.84093363,0.30873804,1.30362928,0.31405608
-5.89194597,2.94454343,0.00349980,0.03966414,0.01495320,2.06016480,0.81431760,0.29822676,1.26281932,0.30533608
-5.88594297,2.83038867,0.00332237,0.03798319,0.01413021,1.98114095,0.78466201,0.28638212,1.21684273,0.29515652
-5.87993997,2.70588208,0.00314249,0.03620894,0.01326916,1.89478932,0.75245535,0.27340223,1.16645408,0.28368827
-5.87393697,2.57302869,0.00296206,0.03436654,0.01238308,1.80251889,0.71824029,0.25950385,1.11249682,0.27112511
-5.86793397,2.43396417,0.00278302,0.03248314,0.01148493,1.70583072,0.68259742,0.24491583,1.05587765,0.25767812
-5.86193097,2.29089181,0.00260733,0.03058696,0.01058724,1.60627392,0.64612795,0.22987241,0.99753937,0.24356959
-5.85592796,2.14601975,0.00243689,0.02870626,0.00970180,1.50540157,0.60943623,0.21460665,0.93843327,0.22902681
-5.84992496,2.00150046,0.00227352,0.02686850,0.00883950,1.40472827,0.57311252,0.19934421,0.87949201,0.21427598
