energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,2.65852330,0.02496014,0.27983133,0.61285015,0.98106677,0.85269189,1.17601489,0.00000000
-5.99399700,2.61248101,0.02549589,0.27177415,0.61821194,0.96240948,0.83194075,1.16300986,0.00000000
-5.98799400,2.56976429,0.02595439,0.26356508,0.62345835,0.94349732,0.81324698,1.15171799,0.00000000
-5.98199100,2.53145981,0.02632435,0.25535869,0.62854146,0.92464632,0.79705766,1.14253905,0.00000000
-5.97598799,2.49845943,0.02659519,0.24729637,0.63339617,0.90613877,0.78373262,1.13579062,0.00000000
-5.96998499,2.47143810,0.02675754,0.23950365,0.63794288,0.88821815,0.77353510,1.13169933,0.00000000
-5.96398199,2.45083955,0.02680365,0.23208834,0.64209075,0.87108558,0.76662565,1.13039527,0.00000000
-5.95797899,2.43687017,0.02672777,0.22513935,0.64574122,0.85489794,0.76305953,1.13190968,0.00000000
-5.95197599,2.42950093,0.02652646,0.21872620,0.64879176,0.83976750,0.76278774,1.13617584,0.00000000
-5.94597299,2.42847704,0.02619883,0.21289910,0.65113950,0.82576293,0.76566135,1.14303316,0.00000000
-5.93996998,2.43333453,0.02574668,0.20768959,0.65268469,0.81291152,0.77143907,1.15223402,0.00000000
-5.93396698,2.44342293,0.02517447,0.20311158,0.65333380,0.80120234,0.77979765,1.16345311,0.00000000
-5.92796398,2.45793287,0.02448933,0.19916265,0.65300215,0.79059014,0.79034471,1.17629867,0.00000000
-5.92196098,2.47592737,0.02370076,0.19582557,0.65161607,0.78099966,0.80263331,1.19032530,0.00000000
-5.91595798,2.49637558,0.02282041,0.19307001,0.64911443,0.77233014,0.81617807,1.20504763,0.00000000
-5.90995498,2.51818753,0.02186168,0.19085416,0.64544978,0.76445994,0.83047177,1.21995440,0.00000000
-5.90395198,2.54024890,0.02083929,0.18912643,0.64058891,0.75725090,0.84500226,1.23452251,0.00000000
-5.89794897,2.56145445,0.01976878,0.18782704,0.63451312,0.75055256,0.85926884,1.24823047,0.00000000
-5.89194597,2.58073924,0.01866609,0.18688964,0.62721810,0.74420602,0.87279768,1.26057111,0.00000000
-5.88594297,2.59710692,0.01754698,0.18624270,0.61871360,0.73804755,0.88515578,1.27106303,0.00000000
-5.87993997,2.60965431,0.01642667,0.18581106,0.60902306,0.73191191,0.89596302,1.27926076,0.00000000
-5.87393697,2.61759204,0.01531939,0.18551724,0.59818297,0.72563552,0.90490212,1.28476359,0.00000000
-5.86793397,2.62026089,0.01423805,0.18528293,0.58624240,0.71905941,0.91172609,1.28722280,0.00000000
