energy_ev,total_up,Bi_p_up,Bi_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.28026556,0.85454225,0.00719564,1.46133532,0.00000000,1.24092876,0.19547123
-5.99399700,3.26166366,0.82432497,0.00687803,1.50172037,0.00000000,1.23129621,0.19098099
-5.98799400,3.23528086,0.79039760,0.00654282,1.53941940,0.00000000,1.21843602,0.18639870
-5.98199100,3.20062286,0.75335441,0.00619330,1.57327383,0.00000000,1.20227126,0.18168076
-5.97598799,3.15730223,0.71382143,0.00583309,1.60216830,0.00000000,1.18276329,0.17678993
-5.96998499,3.10504932,0.67243751,0.00546601,1.62506524,0.00000000,1.15991391,0.17169593
-5.96398199,3.04372256,0.62983631,0.00509596,1.64103810,0.00000000,1.13376746,0.16637596
-5.95797899,2.97331799,0.58662998,0.00472676,1.64930185,0.00000000,1.10441294,0.16081504
-5.95197599,2.89397725,0.54339498,0.00436204,1.64923951,0.00000000,1.07198594,0.15500623
-5.94597299,2.80599353,0.50066060,0.00400517,1.64042348,0.00000000,1.03667015,0.14895077
-5.93996998,2.70981472,0.45890028,0.00365914,1.62263065,0.00000000,0.99869830,0.14265796
-5.93396698,2.60604316,0.41852588,0.00332655,1.59585056,0.00000000,0.95835218,0.13614501
-5.92796398,2.49543126,0.37988473,0.00300954,1.56028628,0.00000000,0.91596155,0.12943656
-5.92196098,2.37887285,0.34325941,0.00270981,1.51634778,0.00000000,0.87190182,0.12256417
-5.91595798,2.25738985,0.30886971,0.00242860,1.46463824,0.00000000,0.82659026,0.11556552
-5.90995498,2.13211464,0.27687658,0.00216675,1.40593385,0.00000000,0.78048081,0.10848346
-5.90395198,2.00426826,0.24738758,0.00192467,1.34115803,0.00000000,0.73405749,0.10136490
-5.89794897,1.87513537,0.22046329,0.00170247,1.27135131,0.00000000,0.68782664,0.09425963
-5.89194597,1.74603663,0.19612434,0.00149996,1.19763821,0.00000000,0.64230803,0.08721895
-5.88594297,1.61829977,0.17435874,0.00131669,1.12119260,0.00000000,0.59802535,0.08029436
-5.87993997,1.49323035,0.15512891,0.00115209,1.04320300,0.00000000,0.55549629,0.07353623
-5.87393697,1.37208352,0.13837847,0.00100543,0.96483929,0.00000000,0.51522257,0.06699250
-5.86793397,1.25603788,0.12403830,0.00087595,0.88722206,0.00000000,0.47768032,0.06070761
-5.86193097,1.14617242,0.11203185,0.00076288,0.81139564,0.00000000,0.44331112,0.05472147
-5.85592796,1.04344751,0.10227974,0.00066549,0.73830571,0.00000000,0.41251396,0.04906870
-5.84992496,0.94869032,0.09470335,0.00058317,0.66878201,0.00000000,0.38563849,0.04377814
-5.84392196,0.86258531,0.08922772,0.00051542,0.60352628,0.00000000,0.36297949,0.03887250
-5.83791896,0.78566961,0.08578369,0.00046192,0.54310569,0.00000000,0.34477301,0.03436836
-5.83191596,0.71833344,0.08430936,0.00042256,0.48795120,0.00000000,0.33119392,0.03027630
-5.82591296,0.66082497,0.08475107,0.00039749,0.43836063,0.00000000,0.32235510,0.02660133
-5.81990995,0.61325918,0.08706387,0.00038710,0.39450565,0.00000000,0.31830804,0.02334343
-5.81390695,0.57563012,0.09121177,0.00039207,0.35644213,0.00000000,0.31904495,0.02049828
-5.80790395,0.54782559,0.09716759,0.00041338,0.32412285,0.00000000,0.32450202,0.01805801
-5.80190095,0.52964361,0.10491279,0.00045233,0.29741198,0.00000000,0.33456390,0.01601209
-5.79589795,0.52080977,0.11443697,0.00051051,0.27610041,0.00000000,0.34906905,0.01434812
-5.78989495,0.52099450,0.12573737,0.00058981,0.25992126,0.00000000,0.36781580,0.01305268
-5.78389195,0.52982979,0.13881803,0.00069238,0.24856506,0.00000000,0.39056894,0.01211202
-5.77788894,0.54692436,0.15368883,0.00082062,0.24169378,0.00000000,0.41706647,0.01151269
-5.77188594,0.57187685,0.17036415,0.00097711,0.23895372,0.00000000,0.44702640,0.01124199
-5.76588294,0.60428652,0.18886116,0.00116455,0.23998653,0.00000000,0.48015321,0.01128835
-5.75987994,0.64376105,0.20919760,0.00138565,0.24443851,0.00000000,0.51614363,0.01164148
-5.75387694,0.68992121,0.23138909,0.00164311,0.25196784,0.00000000,0.55469173,0.01229237
-5.74787394,0.74240237,0.25544577,0.00193940,0.26224988,0.00000000,0.59549278,0.01323318
-5.74187094,0.80085280,0.28136838,0.00227674,0.27498063,0.00000000,0.63824584,0.01445701
-5.73586793,0.86492910,0.30914377,0.00265691,0.28987836,0.00000000,0.68265503,0.01595749
-5.72986493,0.93428905,0.33874006,0.00308113,0.30668379,0.00000000,0.72842924,0.01772834
-5.72386193,1.00858249,0.37010132,0.00354991,0.32515890,0.00000000,0.77528045,0.01976292
-5.71785893,1.08744085,0.40314243,0.00406298,0.34508494,0.00000000,0.82292094,0.02205366
-5.71185593,1.17046622,0.43774398,0.00461912,0.36625959,0.00000000,0.87105939,0.02459166
