energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.13423249,-0.88901174,0.34751779,-0.21262083,0.14671079,-0.14232690,0.00130632,-0.00061100,0.05088576,-0.04177424,0.21599232,-0.17321550,0.14194275,-0.07905961,0.03578939,-0.04099099,0.60273588,-0.46257863
-5.99399700,1.17757774,-0.90570785,0.36721042,-0.22530417,0.15075570,-0.14315240,0.00147764,-0.00071328,0.05203835,-0.04070925,0.22431889,-0.17355590,0.14959671,-0.08304899,0.03566290,-0.04051058,0.62789645,-0.47474048
-5.98799400,1.22281891,-0.92640156,0.38665953,-0.23962092,0.15535557,-0.14432705,0.00166183,-0.00083100,0.05330679,-0.03989262,0.23290408,-0.17520063,0.15733964,-0.08755929,0.03570965,-0.04001501,0.65391771,-0.48907015
-5.98199100,1.26930758,-0.95128553,0.40555954,-0.25549808,0.16046839,-0.14593516,0.00185755,-0.00096449,0.05465407,-0.03933110,0.24155800,-0.17813574,0.16507718,-0.09258474,0.03593303,-0.03953658,0.68044569,-0.50564878
-5.97598799,1.31634167,-0.98044545,0.42360962,-0.27282249,0.16603545,-0.14804884,0.00206314,-0.00111388,0.05604224,-0.03902523,0.25009485,-0.18231504,0.17271273,-0.09810804,0.03632972,-0.03910637,0.70710093,-0.52450052
-5.96998499,1.36318732,-1.01384730,0.44052293,-0.29143986,0.17198328,-0.15072460,0.00227656,-0.00127908,0.05743369,-0.03896931,0.25833911,-0.18766094,0.18015033,-0.10409951,0.03688983,-0.03875287,0.73349013,-0.54558571
-5.96398199,1.40910232,-1.05132890,0.45603575,-0.31115534,0.17822617,-0.15400055,0.00249544,-0.00145967,0.05879240,-0.03915168,0.26613137,-0.19406648,0.18729766,-0.11051680,0.03759730,-0.03850085,0.75921875,-0.56879645
-5.95797899,1.45336050,-1.09259642,0.46991618,-0.33173584,0.18466917,-0.15789422,0.00271710,-0.00165492,0.06008509,-0.03955503,0.27333364,-0.20139819,0.19406893,-0.11730506,0.03843046,-0.03837031,0.78390395,-0.59395498
-5.95197599,1.49527581,-1.13722655,0.48197188,-0.35291406,0.19121164,-0.16240129,0.00293858,-0.00186370,0.06128234,-0.04015704,0.27983397,-0.20950007,0.20038765,-0.12439773,0.03936288,-0.03837556,0.80718727,-0.62081492
-5.94597299,1.53422529,-1.18467418,0.49205667,-0.37439430,0.19775089,-0.16749513,0.00315672,-0.00208446,0.06235947,-0.04093109,0.28555020,-0.21819834,0.20618901,-0.13171785,0.04036431,-0.03852469,0.82874674,-0.64906574
-5.93996998,1.56966989,-1.23428589,0.50007570,-0.39585976,0.20418619,-0.17312735,0.00336821,-0.00231525,0.06329734,-0.04184718,0.29043265,-0.22730699,0.21142188,-0.13917998,0.04140172,-0.03881919,0.84830769,-0.67834030
-5.93396698,1.60117262,-1.28531857,0.50598883,-0.41698139,0.21042258,-0.17922929,0.00356970,-0.00255368,0.06408286,-0.04287292,0.29446571,-0.23663378,0.21605038,-0.14669256,0.04244054,-0.03925387,0.86565212,-0.70822515
-5.92796398,1.62841315,-1.33696277,0.50981227,-0.43742765,0.21637477,-0.18571447,0.00375787,-0.00279697,0.06470929,-0.04397462,0.29766832,-0.24598676,0.22005491,-0.15416067,0.04344581,-0.03981710,0.88062611,-0.73827342
