energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.06663112,0.00595097,0.37796876,1.12351480,0.65451428,0.02129041,0.72329558,0.23047215,0.18832852
-5.99399700,2.10686166,0.00645223,0.38582033,1.16801547,0.66642631,0.02072707,0.73727479,0.24117611,0.19098143
-5.98799400,2.14670574,0.00698633,0.39312222,1.21272500,0.67777767,0.02008158,0.75185086,0.25267633,0.19379557
-5.98199100,2.18577408,0.00754833,0.39984613,1.25709360,0.68849778,0.01936801,0.76681776,0.26480272,0.19674018
-5.97598799,2.22372464,0.00813287,0.40597131,1.30059057,0.69853257,0.01860091,0.78198948,0.27739802,0.19978462
-5.96998499,2.26026917,0.00873423,0.41148475,1.34271859,0.70784495,0.01779492,0.79720408,0.29032217,0.20289870
-5.96398199,2.29517975,0.00934645,0.41638159,1.38302768,0.71641534,0.01696426,0.81232747,0.30345621,0.20605307
-5.95797899,2.32829496,0.00996354,0.42066562,1.42112819,0.72424233,0.01612239,0.82725655,0.31670524,0.20921996
-5.95197599,2.35952554,0.01057961,0.42434995,1.45670240,0.73134329,0.01528166,0.84192169,0.33000068,0.21237390
-5.94597299,2.38885901,0.01118898,0.42745764,1.48951421,0.73775488,0.01445305,0.85628847,0.34330141,0.21549270
-5.93996998,2.41636288,0.01178641,0.43002229,1.51941626,0.74353332,0.01364601,0.87035841,0.35659389,0.21855842
-5.93396698,2.44218598,0.01236712,0.43208843,1.54635433,0.74875436,0.01286831,0.88416864,0.36989112,0.22155838
-5.92796398,2.46655733,0.01292700,0.43371168,1.57036844,0.75351268,0.01212609,0.89779038,0.38323061,0.22448598
-5.92196098,2.48978229,0.01346258,0.43495843,1.59159066,0.75792065,0.01142384,0.91132618,0.39667116,0.22734142
-5.91595798,2.51223566,0.01397113,0.43590516,1.61023946,0.76210646,0.01076456,0.92490584,0.41028883,0.23013208
-5.90995498,2.53435164,0.01445062,0.43663718,1.62661079,0.76621136,0.01014987,0.93868125,0.42417218,0.23287259
-5.90395198,2.55661079,0.01489969,0.43724687,1.64106611,0.77038619,0.00958020,0.95282001,0.43841684,0.23558452
-5.89794897,2.57952416,0.01531757,0.43783138,1.65401781,0.77478715,0.00905502,0.96749833,0.45311988,0.23829560
-5.89194597,2.60361514,0.01570395,0.43848986,1.66591259,0.77957093,0.00857305,0.98289326,0.46837405,0.24103858
