energy_ev,total_up,Ga_p_up,Ga_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,1.78386352,0.07139631,0.00000000,1.27488695,0.48965443,0.00792528,0.52079132
-5.99399700,1.74382174,0.06564410,0.00000000,1.20539237,0.48941795,0.00754892,0.53763957
-5.98799400,1.70863570,0.05999117,0.00000000,1.13868964,0.49053509,0.00722226,0.55679555
-5.98199100,1.67825274,0.05450067,0.00000000,1.07535225,0.49284157,0.00694359,0.57780020
-5.97598799,1.65240355,0.04922668,0.00000000,1.01580093,0.49611506,0.00671022,0.60012750
-5.96998499,1.63062247,0.04421363,0.00000000,0.96030587,0.50008406,0.00651869,0.62319689
-5.96398199,1.61227520,0.03949613,0.00000000,0.90899449,0.50443883,0.00636501,0.64638795
-5.95797899,1.59659279,0.03509911,0.00000000,0.86186399,0.50884379,0.00624490,0.66905692
-5.95197599,1.58271006,0.03103827,0.00000000,0.81879793,0.51295085,0.00615398,0.69055455
-5.94597299,1.56970667,0.02732080,0.00000000,0.77958559,0.51641311,0.00608799,0.71024463
-5.93996998,1.55664900,0.02394623,0.00000000,0.74394317,0.51889829,0.00604296,0.72752262
-5.93396698,1.54263075,0.02090749,0.00000000,0.71153558,0.52010130,0.00601533,0.74183351
-5.92796398,1.52681057,0.01819199,0.00000000,0.68199784,0.51975545,0.00600207,0.75268840
-5.92196098,1.50844517,0.01578280,0.00000000,0.65495493,0.51764183,0.00600072,0.75967899
-5.91595798,1.48691646,0.01365969,0.00000000,0.63003956,0.51359647,0.00600939,0.76248939
-5.90995498,1.46175182,0.01180024,0.00000000,0.60690690,0.50751503,0.00602678,0.76090489
-5.90395198,1.43263693,0.01018078,0.00000000,0.58524606,0.49935493,0.00605209,0.75481723
-5.89794897,1.39942091,0.00877725,0.00000000,0.56478801,0.48913494,0.00608491,0.74422616
-5.89194597,1.36211395,0.00756589,0.00000000,0.54531000,0.47693232,0.00612515,0.72923742
-5.88594297,1.32087814,0.00652383,0.00000000,0.52663656,0.46287767,0.00617290,0.71005708
-5.87993997,1.27601211,0.00562955,0.00000000,0.50863765,0.44714809,0.00622824,0.68698271
-5.87393697,1.22793087,0.00486318,0.00000000,0.49122423,0.42995874,0.00629119,0.66039171
-5.86793397,1.17714202,0.00420670,0.00000000,0.47434200,0.41155351,0.00636149,0.63072746
-5.86193097,1.12421980,0.00364403,0.00000000,0.45796396,0.39219515,0.00643857,0.59848382
-5.85592796,1.06977832,0.00316107,0.00000000,0.44208232,0.37215540,0.00652141,0.56418875
-5.84992496,1.01444545,0.00274559,0.00000000,0.42670048,0.35170555,0.00660852,0.52838772
-5.84392196,0.95883845,0.00238718,0.00000000,0.41182569,0.33110784,0.00669789,0.49162759
-5.83791896,0.90354256,0.00207705,0.00000000,0.39746264,0.31060799,0.00678702,0.45444151
-5.83191596,0.84909308,0.00180787,0.00000000,0.38360854,0.29042914,0.00687298,0.41733549
-5.82591296,0.79596173,0.00157362,0.00000000,0.37024977,0.27076740,0.00695244,0.38077690
-5.81990995,0.74454742,0.00136938,0.00000000,0.35736023,0.25178891,0.00702185,0.34518529
-5.81390695,0.69517139,0.00119118,0.00000000,0.34490132,0.23362857,0.00707750,0.31092563
-5.80790395,0.64807658,0.00103581,0.00000000,0.33282343,0.21639024,0.00711570,0.27830406
-5.80190095,0.60343078,0.00090075,0.00000000,0.32106868,0.20014823,0.00713293,0.24756604
-5.79589795,0.56133284,0.00078398,0.00000000,0.30957459,0.18494987,0.00712596,0.21889670
-5.78989495,0.52182139,0.00068392,0.00000000,0.29827837,0.17081893,0.00709203,0.19242315
-5.78389195,0.48488520,0.00059935,0.00000000,0.28712139,0.15775959,0.00702895,0.16821842
