energy_ev,total_up,Cu_p_up,Cu_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,2.24716916,0.90685668,1.18818183,0.46284022,0.00702433,0.52059414,0.00000000
-5.99399700,2.24304641,0.89583192,1.19026756,0.45433955,0.00678069,0.52536727,0.00000000
-5.98799400,2.23794639,0.88290456,1.19339411,0.44605088,0.00652254,0.52919188,0.00000000
-5.98199100,2.23226991,0.86834769,1.19772071,0.43811038,0.00625339,0.53212299,0.00000000
-5.97598799,2.22632548,0.85244510,1.20330940,0.43062015,0.00597672,0.53422115,0.00000000
-5.96998499,2.22031885,0.83548334,1.21012210,0.42364642,0.00569592,0.53554913,0.00000000
-5.96398199,2.21434684,0.81774373,1.21802155,0.41721906,0.00541424,0.53616878,0.00000000
-5.95797899,2.20839555,0.79949466,1.22677619,0.41133239,0.00513472,0.53613810,0.00000000
-5.95197599,2.20234334,0.78098453,1.23606881,0.40594717,0.00486015,0.53550860,0.00000000
-5.94597299,2.19596821,0.76243555,1.24550858,0.40099378,0.00459305,0.53432338,0.00000000
-5.93996998,2.18895964,0.74403879,1.25464606,0.39637630,0.00433564,0.53261573,0.00000000
-5.93396698,2.18093427,0.72595063,1.26299059,0.39197757,0.00408978,0.53040857,0.00000000
-5.92796398,2.17145479,0.70829081,1.27002932,0.38766481,0.00385700,0.52771455,0.00000000
-5.92196098,2.16005126,0.69114201,1.27524711,0.38329569,0.00363848,0.52453690,0.00000000
-5.91595798,2.14624392,0.67455107,1.27814653,0.37872465,0.00343505,0.52087089,0.00000000
-5.90995498,2.12956632,0.65853156,1.27826702,0.37380915,0.00324722,0.51670582,0.00000000
-5.90395198,2.10958786,0.64306764,1.27520252,0.36841564,0.00307518,0.51202721,0.00000000
-5.89794897,2.08593444,0.62811872,1.26861668,0.36242499,0.00291883,0.50681928,0.00000000
-5.89194597,2.05830650,0.61362490,1.25825527,0.35573722,0.00277782,0.50106724,0.00000000
-5.88594297,2.02649339,0.59951250,1.24395500,0.34827535,0.00265159,0.49475948,0.00000000
-5.87993997,1.99038361,0.58569966,1.22564881,0.33998811,0.00253941,0.48788930,0.00000000
-5.87393697,1.94997044,0.57210155,1.20336714,0.33085164,0.00244039,0.48045622,0.00000000
-5.86793397,1.90535298,0.55863502,1.17723562,0.32086995,0.00235357,0.47246677,0.00000000
-5.86193097,1.85673262,0.54522242,1.14746921,0.31007429,0.00227790,0.46393471,0.00000000
-5.85592796,1.80440553,0.53179476,1.11436332,0.29852145,0.00221233,0.45488078,0.00000000
-5.84992496,1.74875173,0.51829380,1.07828257,0.28629118,0.00215582,0.44533212,0.00000000
-5.84392196,1.69022166,0.50467354,1.03964770,0.27348286,0.00210738,0.43532138,0.00000000
-5.83791896,1.62932117,0.49090090,0.99892164,0.26021161,0.00206609,0.42488572,0.00000000
-5.83191596,1.56659596,0.47695598,0.95659532,0.24660411,0.00203113,0.41406586,0.00000000
-5.82591296,1.50261648,0.46283192,0.91317393,0.23279436,0.00200180,0.40290537,0.00000000
-5.81990995,1.43796407,0.44853462,0.86916453,0.21891954,0.00197757,0.39145024,0.00000000
-5.81390695,1.37321930,0.43408251,0.82506525,0.20511619,0.00195804,0.37974883,0.00000000
-5.80790395,1.30895276,0.41950636,0.78135671,0.19151694,0.00194299,0.36785232,0.00000000
-5.80190095,1.24571894,0.40484939,0.73849579,0.17824776,0.00193240,0.35581560,0.00000000
-5.79589795,1.18405296,0.39016760,0.69691189,0.16542606,0.00192641,0.34369850,0.00000000
-5.78989495,1.12447028,0.37553028,0.65700553,0.15315930,0.00192538,0.33156739,0.00000000
-5.78389195,1.06746889,0.36102068,0.61914920,0.14154454,0.00192982,0.31949690,0.00000000
-5.77788894,1.01353351,0.34673680,0.58368998,0.13066850,0.00194042,0.30757165,0.00000000
-5.77188594,0.96314123,0.33279191,0.55095370,0.12060822,0.00195804,0.29588788,0.00000000
-5.76588294,0.91676776,0.31931503,0.52124993,0.11143222,0.00198368,0.28455470,0.00000000
-5.75987994,0.87489383,0.30645081,0.49487754,0.10320198,0.00201841,0.27369496,0.00000000
-5.75387694,0.83801082,0.29435908,0.47213024,0.09597354,0.00206344,0.26344548,0.00000000
-5.74787394,0.80662521,0.28321367,0.45330165,0.08979921,0.00211999,0.25395670,0.00000000
