energy_ev,total_up,Bi_p_up,Bi_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,2.37510672,0.96787967,0.01992410,0.94041327,1.36368770,0.00292286,0.17055991
-5.99399700,2.39400810,0.97785871,0.02006281,0.94730530,1.37243054,0.00293670,0.17328672
-5.98799400,2.39739699,0.98164139,0.02006357,0.94807993,1.37224024,0.00293005,0.17484346
-5.98199100,2.38522797,0.97915104,0.01992745,0.94269651,1.36314506,0.00290316,0.17519491
-5.97598799,2.35782705,0.97046065,0.01965884,0.93125767,1.34538619,0.00285680,0.17433383
-5.96998499,2.31588910,0.95579436,0.01926535,0.91400824,1.31941479,0.00279221,0.17228125
-5.96398199,2.26046347,0.93552400,0.01875758,0.89132955,1.28588226,0.00271104,0.16908576
-5.95797899,2.19292821,0.91016090,0.01814890,0.86372930,1.24562435,0.00261538,0.16482200
-5.95197599,2.11495442,0.88034325,0.01745499,0.83182763,1.19963957,0.00250764,0.15958826
-5.94597299,2.02846204,0.84681966,0.01669347,0.79633987,1.14906321,0.00239053,0.15350338
-5.93996998,1.93556921,0.81042952,0.01588342,0.75805698,1.09513780,0.00226699,0.14670313
-5.93396698,1.83853720,0.77208111,0.01504484,0.71782426,1.03918152,0.00214014,0.13933614
-5.92796398,1.73971322,0.73272816,0.01419818,0.67651949,0.98255561,0.00201318,0.13155956
-5.92196098,1.64147306,0.69334590,0.01336386,0.63503115,0.92663207,0.00188938,0.12353478
-5.91595798,1.54616572,0.65490730,0.01256180,0.59423766,0.87276277,0.00177200,0.11542317
-5.90995498,1.45606147,0.61836032,0.01181098,0.55498819,0.82225072,0.00166426,0.10738213
-5.90395198,1.37330484,0.58460667,0.01112912,0.51808568,0.77632439,0.00156929,0.09956153
-5.89794897,1.29987347,0.55448269,0.01053236,0.48427230,0.73611547,0.00149013,0.09210058
-5.89194597,1.23754336,0.52874262,0.01003503,0.45421773,0.70264036,0.00142968,0.08512539
-5.88594297,1.18786090,0.50804444,0.00964941,0.42851013,0.67678548,0.00139071,0.07874692
-5.87993997,1.15212150,0.49293844,0.00938572,0.40764990,0.65929642,0.00137583,0.07305967
-5.87393697,1.13135467,0.48385844,0.00925196,0.39204584,0.65077045,0.00138748,0.06814082
-5.86793397,1.12631505,0.48111565,0.00925391,0.38201363,0.65165247,0.00142795,0.06404990
-5.86193097,1.13747886,0.48489499,0.00939519,0.37777613,0.66223377,0.00149933,0.06082891
-5.85592796,1.16504522,0.49525371,0.00967729,0.37946531,0.68265327,0.00160352,0.05850280
-5.84992496,1.20894175,0.51212230,0.01009967,0.38712532,0.71290108,0.00174220,0.05708014
-5.84392196,1.26883404,0.53530745,0.01065988,0.40071656,0.75282390,0.00191678,0.05655415
-5.83791896,1.34413846,0.56449694,0.01135366,0.42012029,0.80213205,0.00212840,0.05690374
-5.83191596,1.43403801,0.59926661,0.01217512,0.44514378,0.86040787,0.00237786,0.05809471
-5.82591296,1.53750085,0.63908896,0.01311687,0.47552569,0.92711536,0.00266559,0.06008097
-5.81990995,1.65330130,0.68334371,0.01417019,0.51094156,1.00161083,0.00299158,0.06280575
-5.81390695,1.78004286,0.73132993,0.01532520,0.55100947,1.08315434,0.00335530,0.06620284
-5.80790395,1.91618310,0.78227973,0.01657099,0.59529570,1.17092183,0.00375573,0.07019783
-5.80190095,2.06005988,0.83537328,0.01789582,0.64332037,1.26401761,0.00419122,0.07470931
-5.79589795,2.20991847,0.88975494,0.01928722,0.69456310,1.36148705,0.00465948,0.07965009
-5.78989495,2.36393907,0.94455008,0.02073217,0.74846865,1.46232913,0.00515756,0.08492844
-5.78389195,2.52026409,0.99888235,0.02221718,0.80445248,1.56550861,0.00568184,0.09044934
-5.77788894,2.67702455,1.05189072,0.02372843,0.86190627,1.66996764,0.00622799,0.09611575
-5.77188594,2.83236506,1.10274611,0.02525185,0.92020332,1.77463632,0.00679101,0.10182996
-5.76588294,2.98446683,1.15066684,0.02677316,0.97870387,1.87844248,0.00736529,0.10749488
-5.75987994,3.13156817,1.19493264,0.02827800,1.03676037,1.98032009,0.00794463,0.11301541
-5.75387694,3.27198243,1.23489671,0.02975190,1.09372265,2.07921688,0.00852235,0.11829981
-5.74787394,3.40411304,1.26999549,0.03118036,1.14894310,2.17410081,0.00909140,0.12326100
-5.74187094,3.52646598,1.29975605,0.03254888,1.20178193,2.26396608,0.00964443,0.12781781
-5.73586793,3.63765980,1.32380077,0.03384303,1.25161266,2.34783872,0.01017399,0.13189626
-5.72986493,3.73643381,1.34184949,0.03504851,1.29782785,2.42478239,0.01067262,0.13543055
-5.72386193,3.82165490,1.35371922,0.03615123,1.33984523,2.49390474,0.01113306,0.13836409
-5.71785893,3.89232372,1.35932160,0.03713746,1.37711444,2.55436472,0.01154836,0.14065030
-5.71185593,3.94758071,1.35865847,0.03799400,1.40912416,2.60538130,0.01191209,0.14225322
-5.70585293,3.98671275,1.35181595,0.03870832,1.43540992,2.64624371,0.01221844,0.14314800
-5.69984992,4.00916047,1.33895742,0.03926891,1.45556235,2.67632330,0.01246241,0.14332112
-5.69384692,4.01452670,1.32031575,0.03966543,1.46923574,2.69508687,0.01263989,0.14277047
-5.68784392,4.00258575,1.29618531,0.03988909,1.47615670,2.70211111,0.01274781,0.14150524
-5.68184092,3.97329323,1.26691396,0.03993292,1.47613259,2.69709759,0.01278421,0.13954556
-5.67583792,3.92679586,1.23289528,0.03979205,1.46905935,2.67988756,0.01274829,0.13692202
-5.66983492,3.86344032,1.19456128,0.03946403,1.45492826,2.65047574,0.01264042,0.13367506
-5.66383192,3.78378038,1.15237561,0.03894903,1.43383126,2.60902205,0.01246219,0.12985410
-5.65782891,3.68858114,1.10682733,0.03825006,1.40596431,2.55586045,0.01221631,0.12551670
