energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,3.78111576,0.00154529,0.29210657,0.65128111,2.05380912,1.00339609,1.36148281,0.19414397,0.00000000
-5.99399700,3.97890292,0.00146752,0.30409545,0.68436986,2.17804072,1.02957378,1.42978932,0.20098755,0.00000000
-5.98799400,4.18826695,0.00139415,0.31674220,0.72017343,2.30912587,1.05940942,1.50150707,0.20904657,0.00000000
-5.98199100,4.40729158,0.00132551,0.32992544,0.75854673,2.44612696,1.09270927,1.57577604,0.21811433,0.00000000
-5.97598799,4.63391434,0.00126182,0.34350447,0.79933411,2.58802110,1.12923296,1.65168393,0.22798482,0.00000000
-5.96998499,4.86597227,0.00120322,0.35732246,0.84237619,2.73372331,1.16870245,1.72828458,0.23845668,0.00000000
-5.96398199,5.10125280,0.00114981,0.37121042,0.88751693,2.88211302,1.21081211,1.80461796,0.24933703,0.00000000
-5.95797899,5.33754824,0.00110162,0.38499187,0.93461051,3.03206301,1.25523939,1.87973140,0.26044510,0.00000000
-5.95197599,5.57271201,0.00105871,0.39848805,0.98352761,3.18246967,1.30165548,1.95270134,0.27161562,0.00000000
-5.94597299,5.80471421,0.00102109,0.41152338,1.03416056,3.33228313,1.34973555,2.02265503,0.28270185,0.00000000
-5.93996998,6.03169410,0.00098880,0.42393109,1.08642688,3.48053570,1.39916781,2.08879138,0.29357809,0.00000000
-5.93396698,6.25200687,0.00096191,0.43555852,1.14027085,3.62636711,1.44966089,2.15040015,0.30414171,0.00000000
-5.92796398,6.46426208,0.00094051,0.44627205,1.19566260,3.76904489,1.50094900,2.20687873,0.31431443,0.00000000
-5.92196098,6.66735171,0.00092472,0.45596115,1.25259457,3.90797865,1.55279452,2.25774576,0.32404289,0.00000000
-5.91595798,6.86046581,0.00091473,0.46454157,1.31107533,4.04272719,1.60498769,2.30265079,0.33329836,0.00000000
-5.90995498,7.04309465,0.00091073,0.47195725,1.37112077,4.17299767,1.65734344,2.34137970,0.34207558,0.00000000
-5.90395198,7.21501684,0.00091296,0.47818092,1.43274295,4.29863680,1.70969539,2.37385533,0.35039075,0.00000000
-5.89794897,7.37627382,0.00092169,0.48321334,1.49593736,4.41961427,1.76188747,2.40013326,0.35827872,0.00000000
