energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up
-5.69384692,0.49692660,0.04649900,0.28280693,0.00059957,0.02534633,0.12702139,0.06081975,0.00727833,0.09701748
-5.68784392,0.54136125,0.05139465,0.30793281,0.00066905,0.02724045,0.13659034,0.06704300,0.00772399,0.10726411
-5.68184092,0.58814675,0.05665517,0.33483717,0.00075211,0.02909991,0.14605485,0.07360559,0.00814355,0.11812061
-5.67583792,0.63704718,0.06227301,0.36340020,0.00084892,0.03090306,0.15530731,0.08048962,0.00852887,0.12956466
-5.66983492,0.68780772,0.06823671,0.39348820,0.00095949,0.03262897,0.16424262,0.08767342,0.00887223,0.14156733
-5.66383192,0.74015700,0.07453040,0.42495421,0.00108365,0.03425803,0.17276096,0.09513143,0.00916654,0.15409239
-5.65782891,0.79380896,0.08113328,0.45763830,0.00122103,0.03577257,0.18077039,0.10283397,0.00940563,0.16709565
-5.65182591,0.84846432,0.08801905,0.49136772,0.00137104,0.03715728,0.18818916,0.11074710,0.00958443,0.18052427
-5.64582291,0.90381172,0.09515545,0.52595684,0.00153285,0.03839970,0.19494760,0.11883251,0.00969917,0.19431615
-5.63981991,0.95952848,0.10250386,0.56120710,0.00170537,0.03949051,0.20098959,0.12704743,0.00974749,0.20839944
-5.63381691,1.01528143,0.11001911,0.59690702,0.00188729,0.04042378,0.20627346,0.13534482,0.00972858,0.22269239
-5.62781391,1.07072785,0.11764939,0.63283245,0.00207700,0.04119707,0.21077241,0.14367357,0.00964318,0.23710338
-5.62181091,1.12551689,0.12533656,0.66874720,0.00227270,0.04181143,0.21447443,0.15197911,0.00949358,0.25153154
-5.61580790,1.17929184,0.13301665,0.70440438,0.00247235,0.04227135,0.21738171,0.16020419,0.00928356,0.26586774
-5.60980490,1.23169336,0.14062079,0.73954833,0.00267372,0.04258455,0.21950971,0.16829004,0.00901828,0.27999624
-5.60380190,1.28236411,0.14807646,0.77391754,0.00287445,0.04276176,0.22088596,0.17617790,0.00870409,0.29379692
-5.59779890,1.33095480,0.15530906,0.80724847,0.00307209,0.04281646,0.22154855,0.18381077,0.00834836,0.30714810
-5.59179590,1.37713159,0.16224392,0.83928028,0.00326413,0.04276452,0.22154471,0.19113565,0.00795926,0.31992997
-5.58579290,1.42058507,0.16880845,0.86976053,0.00344807,0.04262392,0.22092920,0.19810586,0.00754553,0.33202842
-5.57978989,1.46104010,0.17493453,0.89845145,0.00362152,0.04241439,0.21976292,0.20468358,0.00711620,0.34333929
-5.57378689,1.49826657,0.18056104,0.92513692,0.00378220,0.04215708,0.21811160,0.21084250,0.00668040,0.35377266
-5.56778389,1.53209017,0.18563622,0.94962939,0.00392805,0.04187426,0.21604464,0.21657026,0.00624709,0.36325718
-5.56178089,1.56240275,0.19012000,0.97177689,0.00405725,0.04158898,0.21363415,0.22187069,0.00582487,0.37174403
-5.55577789,1.58917149,0.19398595,0.99146926,0.00416832,0.04132475,0.21095417,0.22676570,0.00542179,0.37921031
-5.54977489,1.61244608,0.19722274,1.00864350,0.00426010,0.04110521,0.20807989,0.23129648,0.00504519,0.38566169
