energy_ev,total_up,Ir_p_up,Ir_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,3.63037939,1.19568105,2.13046011,0.02016066,0.50854246,1.17207558,0.00000000
-5.99399700,3.70036922,1.22752700,2.17172027,0.02070059,0.51208218,1.19346562,0.00000000
-5.98799400,3.76391328,1.25772071,2.20927991,0.02126480,0.51437451,1.21216874,0.00000000
-5.98199100,3.82007554,1.28595620,2.24254350,0.02184092,0.51532780,1.22795029,0.00000000
-5.97598799,3.86808905,1.31194986,2.27102775,0.02241621,0.51487477,1.24063191,0.00000000
-5.96998499,3.90737705,1.33544396,2.29437681,0.02297798,0.51297398,1.25009559,0.00000000
-5.96398199,3.93756701,1.35620975,2.31237200,0.02351405,0.50961055,1.25628561,0.00000000
-5.95797899,3.95849700,1.37405040,2.32493626,0.02401324,0.50479601,1.25920859,0.00000000
-5.95197599,3.97021455,1.38880374,2.33213279,0.02446562,0.49856738,1.25893147,0.00000000
-5.94597299,3.97296823,1.40034499,2.33415847,0.02486290,0.49098561,1.25557778,0.00000000
-5.93996998,3.96719260,1.40858935,2.33133222,0.02519859,0.48213340,1.24932233,0.00000000
-5.93396698,3.95348754,1.41349457,2.32407920,0.02546818,0.47211265,1.24038461,0.00000000
-5.92796398,3.93259305,1.41506327,2.31291163,0.02566914,0.46104162,1.22902117,0.00000000
-5.92196098,3.90536071,1.41334490,2.29840724,0.02580093,0.44905180,1.21551735,0.00000000
-5.91595798,3.87272328,1.40843726,2.28118651,0.02586491,0.43628490,1.20017861,0.00000000
-5.90995498,3.83566364,1.40048712,2.26188961,0.02586414,0.42288972,1.18332193,0.00000000
-5.90395198,3.79518451,1.38968998,2.24115440,0.02580323,0.40901923,1.16526729,0.00000000
-5.89794897,3.75227993,1.37628854,2.21959605,0.02568804,0.39482777,1.14632983,0.00000000
-5.89194597,3.70790955,1.36056989,2.19778938,0.02552547,0.38046845,1.12681266,0.00000000
-5.88594297,3.66297650,1.34286108,2.17625441,0.02532311,0.36609083,1.10700063,0.00000000
-5.87993997,3.61830922,1.32352323,2.15544542,0.02508905,0.35183867,1.08715515,0.00000000
-5.87393697,3.57464766,1.30294413,2.13574382,0.02483153,0.33784808,1.06751009,0.00000000
-5.86793397,3.53263357,1.28152939,2.11745457,0.02455878,0.32424568,1.04826890,0.00000000
-5.86193097,3.49280495,1.25969250,2.10080606,0.02427871,0.31114701,1.02960285,0.00000000
-5.85592796,3.45559386,1.23784398,2.08595276,0.02399881,0.29865513,1.01165021,0.00000000
-5.84992496,3.42132724,1.21638001,2.07298018,0.02372593,0.28685929,0.99451655,0.00000000
-5.84392196,3.39022988,1.19567100,2.06191136,0.02346616,0.27583383,0.97827566,0.00000000
-5.83791896,3.36242879,1.17605041,2.05271411,0.02322475,0.26563717,0.96297117,0.00000000
-5.83191596,3.33795830,1.15780443,2.04530841,0.02300600,0.25631104,0.94861858,0.00000000
-5.82591296,3.31676516,1.14116276,2.03957315,0.02281326,0.24787993,0.93520756,0.00000000
-5.81990995,3.29871315,1.12629099,2.03535186,0.02264881,0.24035067,0.92270427,0.00000000
-5.81390695,3.28358690,1.11328487,2.03245699,0.02251391,0.23371242,0.91105370,0.00000000
-5.80790395,3.27109479,1.10216664,2.03067266,0.02240877,0.22793686,0.90018178,0.00000000
-5.80190095,3.26087094,1.09288371,2.02975578,0.02233251,0.22297879,0.88999727,0.00000000
-5.79589795,3.25247675,1.08530970,2.02943603,0.02228326,0.21877703,0.88039346,0.00000000
-5.78989495,3.24540238,1.07924782,2.02941493,0.02225811,0.21525571,0.87124959,0.00000000
-5.78389195,3.23906887,1.07443659,2.02936454,0.02225320,0.21232593,0.86243220,0.00000000
-5.77788894,3.23283159,1.07055767,2.02892667,0.02226375,0.20988780,0.85379647,0.00000000
-5.77188594,3.22598577,1.06724556,2.02771294,0.02228417,0.20783277,0.84518763,0.00000000
-5.76588294,3.21777479,1.06409890,2.02530655,0.02230817,0.20604628,0.83644278,0.00000000
-5.75987994,3.20740169,1.06069313,2.02126628,0.02232887,0.20441067,0.82739306,0.00000000
