energy_ev,total_up,As_p_up,As_d_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,1.66176637,0.38897955,0.00000000,0.47534942,0.29743478,0.04300806,0.51713529
-5.99399700,1.70483021,0.40740850,0.00000000,0.48110655,0.30918841,0.04454280,0.51963841
-5.98799400,1.74891600,0.42544807,0.00000000,0.48790492,0.32098977,0.04602914,0.52341160
-5.98199100,1.79355761,0.44283894,0.00000000,0.49569889,0.33273369,0.04745899,0.52850400
-5.97598799,1.83833408,0.45932937,0.00000000,0.50444380,0.34432433,0.04882828,0.53497824
-5.96998499,1.88290066,0.47468377,0.00000000,0.51410507,0.35568142,0.05013763,0.54291866
-5.96398199,1.92701838,0.48869087,0.00000000,0.52466691,0.36674624,0.05139284,0.55243897
-5.95797899,1.97058021,0.50117139,0.00000000,0.53614004,0.37748700,0.05260525,0.56368865
-5.95197599,2.01363194,0.51198445,0.00000000,0.54856795,0.38790331,0.05379198,0.57685770
-5.94597299,2.05638611,0.52103270,0.00000000,0.56203106,0.39802928,0.05497586,0.59217890
-5.93996998,2.09922760,0.52826560,0.00000000,0.57664834,0.40793507,0.05618510,0.60992736
-5.93396698,2.14270991,0.53368085,0.00000000,0.59257622,0.41772665,0.05745281,0.63041678
-5.92796398,2.18754156,0.53732373,0.00000000,0.61000442,0.42754357,0.05881609,0.65399242
-5.92196098,2.23456265,0.53928441,0.00000000,0.62914900,0.43755484,0.06031493,0.68102072
-5.91595798,2.28471206,0.53969349,0.00000000,0.65024246,0.44795286,0.06199089,0.71187560
-5.90995498,2.33898642,0.53871570,0.00000000,0.67352152,0.45894564,0.06388552,0.74692196
-5.90395198,2.39839226,0.53654244,0.00000000,0.69921292,0.47074759,0.06603866,0.78649686
-5.89794897,2.46389348,0.53338324,0.00000000,0.72751793,0.48356923,0.06848660,0.83088903
-5.89194597,2.53635626,0.52945680,0.00000000,0.75859620,0.49760621,0.07126032,0.88031751
-5.88594297,2.61649396,0.52498191,0.00000000,0.79254985,0.51302821,0.07438368,0.93491050
-5.87993997,2.70481476,0.52016877,0.00000000,0.82940853,0.52996815,0.07787183,0.99468525
-5.87393697,2.80157432,0.51521108,0.00000000,0.86911630,0.54851224,0.08172983,1.05953017
-5.86793397,2.90673623,0.51027927,0.00000000,0.91152107,0.56869139,0.08595150,1.12919005
-5.86193097,3.01994212,0.50551502,0.00000000,0.95636724,0.59047443,0.09051873,1.20325541
-5.85592796,3.14049337,0.50102748,0.00000000,1.00329212,0.61376352,0.09540113,1.28115686
-5.84992496,3.26734569,0.49689095,0.00000000,1.05182649,0.63839197,0.10055610,1.36216495
-5.84392196,3.39911732,0.49314434,0.00000000,1.10139950,0.66412482,0.10592941,1.44539616
-5.83791896,3.53411103,0.48979205,0.00000000,1.15134794,0.69066213,0.11145617,1.52982512
-5.83191596,3.67034950,0.48680623,0.00000000,1.20092966,0.71764498,0.11706225,1.61430311
-5.82591296,3.80562306,0.48413025,0.00000000,1.24934088,0.74466402,0.12266603,1.69758225
-5.81990995,3.93754816,0.48168299,0.00000000,1.29573662,0.77127037,0.12818045,1.77834514
-5.81390695,4.06363448,0.47936373,0.00000000,1.33925374,0.79698828,0.13351536,1.85523856
-5.80790395,4.18135813,0.47705750,0.00000000,1.37903558,0.82132933,0.13857989,1.92691052
-5.80190095,4.28823817,0.47464034,0.00000000,1.41425739,0.84380743,0.14328493,1.99204890
-5.79589795,4.38191330,0.47198457,0.00000000,1.44415136,0.86395405,0.14754554,2.04942049
-5.78989495,4.46021580,0.46896364,0.00000000,1.46803049,0.88133322,0.15128325,2.09790864
-5.78389195,4.52123959,0.46545655,0.00000000,1.48531010,0.89555539,0.15442806,2.13654801
-5.77788894,4.56339985,0.46135168,0.00000000,1.49552634,0.90628990,0.15692020,2.16455496
-5.77188594,4.58548166,0.45654997,0.00000000,1.49835073,0.91327533,0.15871157,2.18135218
-5.76588294,4.58667599,0.45096749,0.00000000,1.49360039,0.91632738,0.15976668,2.18658658
-5.75987994,4.56660154,0.44453739,0.00000000,1.48124343,0.91534401,0.16006331,2.18013954
-5.75387694,4.52531190,0.43721122,0.00000000,1.46139946,0.91030762,0.15959272,2.16212914
-5.74787394,4.46328803,0.42895974,0.00000000,1.43433523,0.90128422,0.15835941,2.13290433
-5.74187094,4.38141667,0.41977336,0.00000000,1.40045565,0.88841975,0.15638062,2.09303134
-5.73586793,4.28095600,0.40966205,0.00000000,1.36029080,0.87193373,0.15368546,2.04327294
-5.72986493,4.16349032,0.39865502,0.00000000,1.31447947,0.85211052,0.15031379,1.98456165
-5.72386193,4.03087603,0.38680018,0.00000000,1.26374999,0.82928882,0.14631485,1.91796813
-5.71785893,3.88518144,0.37416324,0.00000000,1.20889939,0.80384974,0.14174583,1.84466613
-5.71185593,3.72862309,0.36082681,0.00000000,1.15077150,0.77620407,0.13667030,1.76589572
-5.70585293,3.56350131,0.34688921,0.00000000,1.09023526,0.74677938,0.13115654,1.68292625
-5.69984992,3.39213777,0.33246323,0.00000000,1.02816371,0.71600744,0.12527603,1.59702063
-5.69384692,3.21681710,0.31767474,0.00000000,0.96541472,0.68431249,0.11910187,1.50940234
-5.68784392,3.03973488,0.30266118,0.00000000,0.90281380,0.65210080,0.11270733,1.42122638
-5.68184092,2.86295342,0.28756996,0.00000000,0.84113972,0.61975190,0.10616456,1.33355490
-5.67583792,2.68836633,0.27255669,0.00000000,0.78111300,0.58761170,0.09954334,1.24733846
-5.66983492,2.51767267,0.25778339,0.00000000,0.72338748,0.55598764,0.09291010,1.16340292
-5.66383192,2.35236046,0.24341645,0.00000000,0.66854498,0.52514582,0.08632700,1.08244216
-5.65782891,2.19369923,0.22962463,0.00000000,0.61709261,0.49531017,0.07985122,1.00501632
-5.65182591,2.04274077,0.21657674,0.00000000,0.56946267,0.46666325,0.07353439,0.93155500
-5.64582291,1.90032679,0.20443940,0.00000000,0.52601442,0.43934867,0.06742217,0.86236469
-5.63981991,1.76710214,0.19337449,0.00000000,0.48703742,0.41347448,0.06155401,0.79763961
-5.63381691,1.64353190,0.18353657,0.00000000,0.45275566,0.38911752,0.05596302,0.73747498
-5.62781391,1.52992078,0.17507011,0.00000000,0.42333218,0.36632799,0.05067595,0.68188169
-5.62181091,1.42643334,0.16810664,0.00000000,0.39887344,0.34513424,0.04571330,0.63080157
-5.61580790,1.33311339,0.16276171,0.00000000,0.37943317,0.32554709,0.04108959,0.58412222
-5.60980490,1.24990177,0.15913184,0.00000000,0.36501534,0.30756375,0.03681360,0.54169081
-5.60380190,1.17665122,0.15729139,0.00000000,0.35557597,0.29117088,0.03288879,0.50332625
-5.59779890,1.11313817,0.15728949,0.00000000,0.35102382,0.27634677,0.02931373,0.46882936
-5.59179590,1.05907098,0.15914708,0.00000000,0.35121992,0.26306263,0.02608258,0.43799070
-5.58579290,1.01409483,0.16285416,0.00000000,0.35597628,0.25128298,0.02318558,0.41059625
-5.57978989,0.97779377,0.16836750,0.00000000,0.36505395,0.24096520,0.02060962,0.38643085
-5.57378689,0.94969048,0.17560877,0.00000000,0.37816094,0.23205857,0.01833876,0.36527986
-5.56778389,0.92924471,0.18446344,0.00000000,0.39495044,0.22450280,0.01635471,0.34692917
-5.56178089,0.91585125,0.19478052,0.00000000,0.41501989,0.21822651,0.01463740,0.33116424
-5.55577789,0.90883870,0.20637321,0.00000000,0.43791138,0.21314576,0.01316543,0.31776845
-5.54977489,0.90746965,0.21902081,0.00000000,0.46311378,0.20916289,0.01191654,0.30652131
-5.54377189,0.91094352,0.23247174,0.00000000,0.49006704,0.20616604,0.01086800,0.29719691
-5.53776888,0.91840230,0.24644783,0.00000000,0.51816897,0.20402922,0.00999705,0.28956300
-5.53176588,0.92894001,0.26064985,0.00000000,0.54678436,0.20261337,0.00928120,0.28338093
-5.52576288,0.94161570,0.27476416,0.00000000,0.57525665,0.20176819,0.00869858,0.27840665
-5.51975988,0.95547000,0.28847035,0.00000000,0.60292179,0.20133493,0.00822818,0.27439282
-5.51375688,0.96954473,0.30144964,0.00000000,0.62912380,0.20114984,0.00785013,0.27109199
-5.50775388,0.98290487,0.31339374,0.00000000,0.65323172,0.20104839,0.00754588,0.26826073
-5.50175088,0.99466193,0.32401384,0.00000000,0.67465702,0.20086982,0.00729836,0.26566444
-5.49574787,1.00399774,0.33304942,0.00000000,0.69287082,0.20046195,0.00709216,0.26308261
-5.48974487,1.01018730,0.34027642,0.00000000,0.70742021,0.19968597,0.00691359,0.26031425
-5.48374187,1.01261976,0.34551443,0.00000000,0.71794259,0.19842084,0.00675077,0.25718296
-5.47773887,1.01081612,0.34863256,0.00000000,0.72417767,0.19656731,0.00659364,0.25354165
-5.47173587,1.00444293,0.34955378,0.00000000,0.72597606,0.19405103,0.00643399,0.24927621
-5.46573287,0.99332104,0.34825727,0.00000000,0.72330435,0.19082483,0.00626537,0.24430825
-5.45972986,0.97742885,0.34477896,0.00000000,0.71624598,0.18686991,0.00608309,0.23859651
-5.45372686,0.95690000,0.33920995,0.00000000,0.70499810,0.18219595,0.00588405,0.23213688
-5.44772386,0.93201524,0.33169301,0.00000000,0.68986419,0.17684009,0.00566664,0.22496110
-5.44172086,0.90318911,0.32241720,0.00000000,0.67124296,0.17086480,0.00543059,0.21713398
-5.43571786,0.87095182,0.31161100,0.00000000,0.64961386,0.16435492,0.00517681,0.20874956
-5.42971486,0.83592722,0.29953401,0.00000000,0.62551977,0.15741375,0.00490716,0.19992614
-5.42371186,0.79880790,0.28646785,0.00000000,0.59954778,0.15015868,0.00462430,0.19080050
-5.41770885,0.76032855,0.27270644,0.00000000,0.57230871,0.14271636,0.00433149,0.18152168
