energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.99319735,0.20064776,0.09510755,0.01640842,0.13961579,0.36844837,0.00000000,0.58120606,0.09714339
-5.99399700,0.97598952,0.19437070,0.09770631,0.01573462,0.13597849,0.36225209,0.00000000,0.56551514,0.09441770
-5.98799400,0.95800327,0.18786101,0.10068560,0.01504870,0.13202116,0.35585835,0.00000000,0.54838795,0.09153706
-5.98199100,0.94005405,0.18127855,0.10408026,0.01436462,0.12789641,0.34954206,0.00000000,0.53043768,0.08858406
-5.97598799,0.92296662,0.17479037,0.10791586,0.01369738,0.12376289,0.34357946,0.00000000,0.51230171,0.08564421
-5.96998499,0.90754597,0.16856511,0.11220616,0.01306255,0.11978078,0.33823764,0.00000000,0.49462292,0.08280307
-5.96398199,0.89454905,0.16276740,0.11695102,0.01247583,0.11610722,0.33376445,0.00000000,0.47803113,0.08014355
-5.95797899,0.88465865,0.15755247,0.12213472,0.01195255,0.11289186,0.33037940,0.00000000,0.46312520,0.07774326
-5.95197599,0.87846026,0.15306121,0.12772509,0.01150717,0.11027269,0.32826566,0.00000000,0.45045614,0.07567209
-5.94597299,0.87642269,0.14941576,0.13367320,0.01115289,0.10837209,0.32756364,0.00000000,0.44051192,0.07399014
-5.93996998,0.87888319,0.14671576,0.13991395,0.01090115,0.10729346,0.32836632,0.00000000,0.43370411,0.07274599
-5.93396698,0.88603717,0.14503548,0.14636742,0.01076129,0.10711826,0.33071644,0.00000000,0.43035674,0.07197532
-5.92796398,0.89793301,0.14442167,0.15294100,0.01074023,0.10790359,0.33460550,0.00000000,0.43069750,0.07170004
-5.92196098,0.91447165,0.14489235,0.15953219,0.01084212,0.10968042,0.33997477,0.00000000,0.43485150,0.07192777
-5.91595798,0.93541093,0.14643641,0.16603203,0.01106825,0.11245241,0.34671787,0.00000000,0.44283753,0.07265180
-5.90995498,0.96037424,0.14901407,0.17232899,0.01141680,0.11619542,0.35468507,0.00000000,0.45456702,0.07385140
-5.90395198,0.98886305,0.15255806,0.17831307,0.01188286,0.12085764,0.36368874,0.00000000,0.46984559,0.07549256
-5.89794897,1.02027277,0.15697564,0.18388008,0.01245842,0.12636044,0.37351008,0.00000000,0.48837712,0.07752900
-5.89194597,1.05391133,0.16215113,0.18893583,0.01313246,0.13259987,0.38390645,0.00000000,0.50977045,0.07990360
-5.88594297,1.08901985,0.16794912,0.19339991,0.01389119,0.13944880,0.39461937,0.00000000,0.53354839,0.08254993
-5.87993997,1.12479479,0.17421817,0.19720917,0.01471826,0.14675980,0.40538267,0.00000000,0.55915912,0.08539413
-5.87393697,1.16041079,0.18079483,0.20032050,0.01559516,0.15436852,0.41593062,0.00000000,0.58598962,0.08835694
-5.86793397,1.19504381,0.18750804,0.20271278,0.01650165,0.16209766,0.42600582,0.00000000,0.61338098,0.09135577
-5.86193097,1.22789370,0.19418369,0.20438810,0.01741622,0.16976144,0.43536647,0.00000000,0.64064523,0.09430694
-5.85592796,1.25820572,0.20064922,0.20537199,0.01831668,0.17717037,0.44379307,0.00000000,0.66708330,0.09712787
-5.84992496,1.28529044,0.20673829,0.20571266,0.01918073,0.18413634,0.45109407,0.00000000,0.69200372,0.09973931
-5.84392196,1.30854139,0.21229508,0.20547942,0.01998660,0.19047772,0.45711058,0.00000000,0.71474134,0.10206734
-5.83791896,1.32745001,0.21717844,0.20476009,0.02071364,0.19602445,0.46171982,0.00000000,0.73467571,0.10404537
-5.83191596,1.34161742,0.22126553,0.20365776,0.02134291,0.20062287,0.46483741,0.00000000,0.75124838,0.10561579
-5.82591296,1.35076267,0.22445486,0.20228678,0.02185777,0.20414014,0.46641826,0.00000000,0.76397841,0.10673145
-5.81990995,1.35472706,0.22666864,0.20076829,0.02224432,0.20646800,0.46645612,0.00000000,0.77247576,0.10735673
-5.81390695,1.35347462,0.22785446,0.19922541,0.02249185,0.20752590,0.46498193,0.00000000,0.77645175,0.10746835
-5.80790395,1.34708840,0.22798596,0.19777827,0.02259311,0.20726317,0.46206077,0.00000000,0.77572633,0.10705569
-5.80190095,1.33576298,0.22706278,0.19653905,0.02254450,0.20566020,0.45778788,0.00000000,0.77023174,0.10612076
-5.79589795,1.31979331,0.22510956,0.19560733,0.02234616,0.20272870,0.45228353,0.00000000,0.76001251,0.10467781
-5.78989495,1.29956053,0.22217416,0.19506583,0.02200192,0.19851078,0.44568728,0.00000000,0.74522170,0.10275243
-5.78389195,1.27551511,0.21832516,0.19497673,0.02151910,0.19307717,0.43815167,0.00000000,0.72611361,0.10038048
-5.77788894,1.24815839,0.21364873,0.19537884,0.02090826,0.18652445,0.42983572,0.00000000,0.70303324,0.09760657
-5.77188594,1.21802311,0.20824509,0.19628563,0.02018282,0.17897147,0.42089842,0.00000000,0.67640311,0.09448245
-5.76588294,1.18565400,0.20222469,0.19768427,0.01935860,0.17055524,0.41149269,0.00000000,0.64670787,0.09106514
-5.75987994,1.15158925,0.19570426,0.19953578,0.01845336,0.16142629,0.40175990,0.00000000,0.61447753,0.08741508
-5.75387694,1.11634372,0.18880305,0.20177626,0.01748626,0.15174383,0.39182533,0.00000000,0.58026998,0.08359430
-5.74787394,1.08039482,0.18163922,0.20431918,0.01647729,0.14167089,0.38179476,0.00000000,0.54465360,0.07966462
-5.74187094,1.04417139,0.17432680,0.20705868,0.01544683,0.13136960,0.37175224,0.00000000,0.50819057,0.07568609
-5.73586793,1.00804619,0.16697305,0.20987379,0.01441513,0.12099685,0.36175934,0.00000000,0.47142173,0.07171567
-5.72986493,0.97233222,0.15967660,0.21263330,0.01340187,0.11070039,0.35185564,0.00000000,0.43485318,0.06780611
-5.72386193,0.93728267,0.15252611,0.21520116,0.01242585,0.10061562,0.34206056,0.00000000,0.39894537,0.06400518
-5.71785893,0.90309432,0.14559968,0.21744225,0.01150466,0.09086300,0.33237622,0.00000000,0.36410477,0.06035523
-5.71185593,0.86991401,0.13896483,0.21922800,0.01065446,0.08154630,0.32279136,0.00000000,0.33067814,0.05689294
